policy,paper_method,source_method,expected_order,nominal_h,effective_h,steps,final_partial_h,terminal_time,terminal_time_offset_from_T,coordinate_error_q,velocity_error_v,frobenius_error_norm_eta,max_residual_norm,total_newton_iterations
adjust_h_to_hit_T_exactly,tfe2026_Newmark_beta,Newmark_beta,2,0.012,0.012004801920768308,833,0.0,10.0,0.0,0.0004504953494266495,0.0010707351853025404,0.0006370966275578427,9.979934191762468e-13,1043.0
adjust_h_to_hit_T_exactly,tfe2026_Newmark_beta,Newmark_beta,2,0.006,0.00599880023995201,1667,0.0,10.0,0.0,0.00011245681808524921,0.0002673845978788947,0.00015903795723363456,8.407856998053701e-13,1667.0
adjust_h_to_hit_T_exactly,tfe2026_Newmark_beta,Newmark_beta,2,0.003,0.003000300030003,3333,0.0,10.0,0.0,2.812908135885195e-05,6.688762354456479e-05,3.9780528353439635e-05,5.000730161509756e-13,3327.0
adjust_h_to_hit_T_exactly,tfe2026_TFE_m1,TFE_m1,1,0.012,0.012004801920768308,833,0.0,10.0,0.0,0.0004020366163048905,0.004158692908841077,0.0005685656315198449,9.912071163853398e-13,1553.0
adjust_h_to_hit_T_exactly,tfe2026_TFE_m1,TFE_m1,1,0.006,0.00599880023995201,1667,0.0,10.0,0.0,0.00028831516026261994,0.0022842657638535435,0.0004077392084689548,9.623413177450857e-13,3057.0
adjust_h_to_hit_T_exactly,tfe2026_TFE_m1,TFE_m1,1,0.003,0.003000300030003,3333,0.0,10.0,0.0,0.00016608046379795738,0.001193936358746761,0.00023487324407839074,9.978684545330907e-13,5961.0
adjust_h_to_hit_T_exactly,tfe2026_TFE_m2,TFE_m2,3,0.012,0.012004801920768308,833,0.0,10.0,0.0,3.726490449551534e-08,2.631604887337602e-07,5.270053331883609e-08,1.5034580517333537e-10,1582.0
adjust_h_to_hit_T_exactly,tfe2026_TFE_m2,TFE_m2,3,0.006,0.00599880023995201,1667,0.0,10.0,0.0,4.7436850003634845e-09,3.301713658032668e-08,6.708583629713029e-09,6.475998374089242e-10,3213.0
adjust_h_to_hit_T_exactly,tfe2026_TFE_m2,TFE_m2,3,0.003,0.003000300030003,3333,0.0,10.0,0.0,5.722511353667414e-10,4.0553582714153436e-09,8.092853412956862e-10,2.676253849073688e-09,6509.0
adjust_h_to_hit_T_exactly,tfe2026_trapezoidal,trapezoidal,2,0.012,0.012004801920768308,833,0.0,10.0,0.0,0.00034650356364496204,0.0008207253213359245,0.0004900300366658144,9.9101634195185e-13,1044.0
adjust_h_to_hit_T_exactly,tfe2026_trapezoidal,trapezoidal,2,0.006,0.00599880023995201,1667,0.0,10.0,0.0,8.650329978809879e-05,0.00020494956476313497,0.00012233413971219335,8.332364841509816e-13,1667.0
