method,h,steps,max_energy_relative_error,max_body_momentum_norm_relative_error,max_spatial_momentum_vector_error,max_orthogonality_fro,total_newton_iterations,runtime_sec
rkmk4,0.2,500,1.1156450804440598e-03,3.1220867140769291e-04,1.3240080256885077e-03,6.1926438809957646e-15,0,8.94672450e-02
rkmk4,0.1,1000,3.5732275483869206e-05,1.0136033706736374e-05,4.9269458125808169e-05,8.7660187306301964e-15,0,1.99075756e-01
rkmk4,0.05,2000,1.1485343547889053e-06,3.3451533139501774e-07,2.2507959547989698e-06,1.2434769215650106e-14,0,4.12569266e-01
lie_midpoint,0.2,500,8.7029732297081257e-12,6.0060072065614052e-12,4.4917709209545936e-02,3.3707871528820649e-15,1899,3.37318524e-01
lie_midpoint,0.1,1000,3.1900548155581051e-14,1.5041561949255141e-14,1.1271511960194876e-02,5.8374603851451566e-15,3000,5.61541948e-01
lie_midpoint,0.05,2000,8.0590858498310021e-15,4.8663876894648985e-15,2.8171085935399525e-03,9.2343266100870202e-15,6000,1.08765488e+00
lie_midpoint_yoshida4,0.2,500,5.3727238998873352e-15,2.8755927255928946e-15,6.0591264100966543e-03,7.6679498590245549e-15,6000,1.11388516e+00
lie_midpoint_yoshida4,0.1,1000,1.6195236708101016e-11,8.0029957547654559e-12,4.1920139903947265e-04,1.3576663067938076e-14,9000,1.60807294e+00
lie_midpoint_yoshida4,0.05,2000,2.0147714624577507e-14,1.1059972021511132e-14,2.6915750443395961e-05,1.5056177965744966e-14,18000,3.14937200e+00
gauss_lie4,0.2,500,1.7410983388072396e-12,8.5604183446496165e-13,1.4829301884696899e-04,8.6400386646945248e-15,1645,1.02269627e+00
gauss_lie4,0.1,1000,6.3801096311162101e-15,3.5391910468835624e-15,9.3465864005963072e-06,1.4375022113168683e-14,3000,1.79500822e+00
gauss_lie4,0.05,2000,4.5332357905299389e-15,3.3179916064533400e-15,5.8543564369049899e-07,1.4436537274386552e-14,6000,3.64073948e+00
