method,h,steps,orientation_error_rad,omega_l2_error,max_energy_relative_error,max_body_momentum_norm_relative_error,max_spatial_momentum_vector_error,total_newton_iterations,runtime_sec
rkmk4,0.4,25,1.5709186269715660e-02,1.5047948711923161e-02,3.5062670750679011e-03,1.0444214852340366e-03,7.1691483027098643e-03,0,4.53903299e-03
rkmk4,0.2,50,7.5687422180365405e-04,9.3313920837018573e-04,1.2070205657129871e-04,3.8018570375570818e-05,4.1508218520152718e-04,0,8.16125504e-03
rkmk4,0.1,100,3.9475770146707438e-05,5.7615386812205886e-05,4.2605268824383260e-06,1.4679951850622745e-06,2.5160112497413016e-05,0,1.63905790e-02
rkmk4,0.05,200,2.2323708472933413e-06,3.5737485700499593e-06,1.6268471014768690e-07,6.2997853907886708e-08,1.5556740180712020e-06,0,3.10841800e-02
lie_midpoint,0.4,25,2.3466650848455095e-01,3.6765770741093989e-01,1.3431809749718338e-15,6.6359832129066793e-16,1.4310263484071262e-01,100,1.58102920e-02
lie_midpoint,0.2,50,6.2773202695730723e-02,9.5682961697559410e-02,1.5196413755587584e-12,9.5226359105210851e-13,3.7189577986204286e-02,190,2.91640120e-02
lie_midpoint,0.1,100,1.5947003501913016e-02,2.4149105477862483e-02,7.0517001186021272e-15,2.8755927255928946e-15,9.4123782868043068e-03,300,5.19525340e-02
lie_midpoint,0.05,200,4.0024990456216892e-03,6.0513758204288112e-03,2.0147714624577505e-15,1.3271966425813359e-15,2.3595085745052894e-03,600,1.11157323e-01
lie_midpoint_yoshida4,0.4,25,6.7094678917793471e-02,7.9812580932377808e-02,4.0933440212266632e-13,1.5616680494373720e-13,5.7580743635428588e-02,300,4.69979950e-02
lie_midpoint_yoshida4,0.2,50,5.3993739030991300e-03,6.1047013013684481e-03,1.0073857312288753e-15,6.6359832129066793e-16,5.1329956387724373e-03,600,1.01279114e-01
lie_midpoint_yoshida4,0.1,100,3.6226420111401531e-04,4.0376672619404301e-04,2.3707144208252867e-12,9.4474281007748089e-13,3.5610352277716669e-04,900,1.47013522e-01
lie_midpoint_yoshida4,0.05,200,2.3060911575686744e-05,2.5607600186417246e-05,4.7011334124014181e-15,2.2119944043022264e-15,2.2860965998219446e-05,1800,3.31857658e-01
gauss_lie4,0.4,25,2.1959278109698319e-03,2.2538509415192557e-03,6.7159048748591690e-16,4.4239888086044530e-16,2.0610271777158039e-03,100,7.08915090e-02
gauss_lie4,0.2,50,1.4032131299478629e-04,1.4336563887565044e-04,1.9157118655535779e-13,9.6442956027577077e-14,1.3342440396543439e-04,164,1.40132828e-01
gauss_lie4,0.1,100,8.8186410426006084e-06,8.9998236399728458e-06,1.3431809749718338e-15,8.8479776172089061e-16,8.4125906308862724e-06,300,2.04776222e-01
gauss_lie4,0.05,200,5.5192559091908097e-07,5.6310713607578563e-07,2.3505667062007091e-15,1.3271966425813359e-15,5.2694252932122591e-07,600,3.95727960e-01
