method,h,steps,orientation_error_rad,orthogonality_fro,determinant_abs_error,runtime_sec
lie_euler,0.25,16,2.3648972417283246e-01,7.6926091156230632e-16,2.2204460492503131e-16,3.27342015e-04
lie_euler,0.125,32,1.1866154725840458e-01,1.7555471866875808e-15,8.8817841970012523e-16,6.70331006e-04
lie_euler,0.0625,64,5.9427607276658891e-02,2.3222747096627810e-15,8.8817841970012523e-16,8.22882901e-03
lie_euler,0.03125,128,2.9737152871572151e-02,3.4133366310479845e-15,8.8817841970012523e-16,2.14281201e-03
lie_euler,0.015625,256,1.4874309817420595e-02,3.5611489977800887e-15,1.5543122344752192e-15,1.05892230e-02
exp_midpoint,0.25,16,5.0458501385404510e-03,6.4718433808399738e-16,2.2204460492503131e-16,6.12419972e-04
exp_midpoint,0.125,32,1.2623258052564842e-03,2.3242537919530669e-15,1.5543122344752192e-15,8.70517979e-04
exp_midpoint,0.0625,64,3.1563404374439268e-04,1.5438487477254220e-15,0.0000000000000000e+00,1.36199260e-02
exp_midpoint,0.03125,128,7.8911777308035270e-05,1.9227857700599595e-15,0.0000000000000000e+00,1.69410270e-02
exp_midpoint,0.015625,256,1.9728148153287000e-05,3.3779056215324141e-15,1.3322676295501878e-15,2.90351840e-02
cf4,0.25,16,2.0143716235061503e-06,4.3887290181627393e-16,0.0000000000000000e+00,6.50882802e-03
cf4,0.125,32,1.2364436992717122e-07,1.2157334476884101e-15,4.4408920985006262e-16,2.78907805e-03
cf4,0.0625,64,7.6938845719112713e-09,2.3524915063630552e-15,7.7715611723760958e-16,1.15755600e-02
cf4,0.03125,128,4.8034207290149082e-10,5.7746158725157736e-15,4.6629367034256575e-15,9.27264901e-03
cf4,0.015625,256,3.0011532977600092e-11,4.4966139991106260e-15,1.3322676295501878e-15,1.86814770e-02
rkmk4,0.25,16,1.1103167089065323e-05,5.7575869868924790e-16,2.2204460492503131e-16,2.99698696e-03
rkmk4,0.125,32,7.2047840972454484e-07,9.8479264874481412e-16,2.2204460492503131e-16,1.42495980e-02
rkmk4,0.0625,64,4.5456085879783083e-08,2.4487008068852494e-15,1.9984014443252818e-15,1.86882970e-02
rkmk4,0.03125,128,2.8481137297799194e-09,2.6582199403427100e-15,2.2204460492503131e-15,4.16619800e-02
rkmk4,0.015625,256,1.7813246839500569e-10,4.6460174373956414e-15,2.9976021664879227e-15,8.88016520e-02
matrix_rk4,0.25,16,4.6389615840360708e-05,6.7708386567003705e-05,4.9675763993617394e-05,1.02994003e-03
matrix_rk4,0.125,32,2.9975835390991770e-06,2.1623179117607939e-06,1.5888932645147236e-06,1.93412398e-03
matrix_rk4,0.0625,64,1.8891343189206701e-07,6.7939806775555711e-08,4.9942142088532648e-08,7.89862406e-03
matrix_rk4,0.03125,128,1.1831646908280005e-08,2.1259979293813855e-09,1.5629585403686974e-09,1.69959140e-02
matrix_rk4,0.015625,256,7.3985695255194982e-10,6.6461038070521555e-11,4.8861248380660527e-11,4.45392020e-02
