method,h,steps,orientation_error_rad,omega_l2_error,max_energy_relative_error,max_constraint_norm,max_velocity_constraint_norm,max_dae_force_residual_norm,max_dae_torque_residual_norm,max_orthogonality_fro,total_newton_iterations,runtime_sec
lie_euler,0.2,25,1.5482870685355234e+00,1.2811095514137216e+00,4.4011363781890533e-01,0.0000000000000000e+00,0.0000000000000000e+00,0.0000000000000000e+00,1.5565119181463907e-14,1.1690000650199452e-15,0,7.17322598e-03
lie_euler,0.1,50,5.2481422159501145e-01,3.9405879818740513e-01,1.3742826655197662e-01,0.0000000000000000e+00,0.0000000000000000e+00,0.0000000000000000e+00,1.8956231482821776e-14,1.3617094723384936e-15,0,1.52981500e-02
lie_euler,0.05,100,2.2405706659158148e-01,1.4898512330638106e-01,5.4815229579027014e-02,0.0000000000000000e+00,0.0000000000000000e+00,0.0000000000000000e+00,2.7195026617832005e-14,2.1883647653169788e-15,0,3.10255460e-02
lie_euler,0.025,200,1.0421297897503252e-01,6.3445106193969356e-02,2.4458965114836851e-02,0.0000000000000000e+00,0.0000000000000000e+00,0.0000000000000000e+00,3.4644651351886477e-14,4.0528653366184412e-15,0,6.44665040e-02
rkmk4,0.2,25,1.0793805482040381e-01,1.5997743527944458e-01,1.2668671672091670e-02,0.0000000000000000e+00,0.0000000000000000e+00,0.0000000000000000e+00,9.9487381964723966e-15,1.0876805417995016e-15,0,1.48565460e-02
rkmk4,0.1,50,4.3502835167381401e-03,6.4884150352160766e-03,4.2952563882719475e-04,0.0000000000000000e+00,0.0000000000000000e+00,0.0000000000000000e+00,3.8203451102226643e-14,2.7619268853433999e-15,0,2.80672800e-02
rkmk4,0.05,100,1.8173876474865072e-04,2.8674976941344158e-04,1.3772240144499104e-05,0.0000000000000000e+00,0.0000000000000000e+00,0.0000000000000000e+00,3.2129785315168472e-14,3.1326696376738686e-15,0,6.23745870e-02
rkmk4,0.025,200,8.5744142617631830e-06,1.4915204717407518e-05,4.4087482816996208e-07,0.0000000000000000e+00,0.0000000000000000e+00,0.0000000000000000e+00,4.2896312266092042e-14,3.7768700553467503e-15,0,1.19003306e-01
gauss_lie4,0.2,25,5.3732004262994990e-03,8.8107996363276306e-03,3.8642862727683726e-05,0.0000000000000000e+00,0.0000000000000000e+00,0.0000000000000000e+00,1.8073122771572260e-14,2.0088190406973376e-15,100,3.82794350e-01
gauss_lie4,0.1,50,3.4471628407075640e-04,5.6362018865510188e-04,2.4321820696085532e-06,0.0000000000000000e+00,0.0000000000000000e+00,0.0000000000000000e+00,1.7613051421191095e-14,1.7747257567526445e-15,200,7.98138182e-01
gauss_lie4,0.05,100,2.1642497833919929e-05,3.5408180646418252e-05,1.4946731834731055e-07,0.0000000000000000e+00,0.0000000000000000e+00,0.0000000000000000e+00,3.4062866041710677e-14,2.7038979274896521e-15,300,1.15738480e+00
gauss_lie4,0.025,200,1.3529631784771286e-06,2.2150918662782881e-06,9.4706367459876414e-09,0.0000000000000000e+00,0.0000000000000000e+00,0.0000000000000000e+00,5.7225550653738454e-14,4.6237639328733944e-15,600,2.03379805e+00
