case,method,h,steps,orientation_error_rad,omega_l2_error,max_endpoint_constraint_norm,max_endpoint_velocity_constraint_norm,max_stage_constraint_norm,max_stage_force_residual_norm,max_stage_torque_residual_norm,max_lambda_norm,final_energy_relative_change,max_step_energy_increase,total_newton_iterations,runtime_sec
smooth_eps_0p50,endpoint_fd,0.2,10,1.1385294481359495e-03,4.2906250015032005e-03,2.2887833992611188e-15,9.5725471555842944e-14,4.1540741810552243e-16,8.1402896778041619e-15,3.8401771399108984e-13,5.6068379199991917e+01,-2.8834521430388636e-02,0.0000000000000000e+00,40,1.07679869e+00
smooth_eps_0p50,endpoint_fd,0.1,20,7.0954162948526470e-05,2.5926808998862045e-04,2.3055512673781017e-16,2.7194799110210365e-16,1.2719202621569003e-16,7.1054273576010019e-15,5.7058470144142132e-15,5.6938573169768219e+01,-2.8869514036739728e-02,0.0000000000000000e+00,80,2.22097244e+00
smooth_eps_0p50,endpoint_fd,0.05,40,4.5760434056765673e-06,1.6543702460526709e-05,1.2719202621569003e-16,4.0083750524433855e-16,1.5944364291470360e-16,7.1054273576010019e-15,5.5511324703334376e-15,5.7038870403003585e+01,-2.8870948400200130e-02,0.0000000000000000e+00,160,4.73106311e+00
smooth_eps_0p50,endpoint_jax,0.2,10,1.1385294481360507e-03,4.2906250015030999e-03,2.1570921968334044e-15,9.5859914936665429e-14,4.8393499691331265e-16,7.1054273576010019e-15,3.7950446421327841e-13,5.6068379199991917e+01,-2.8834521430389129e-02,0.0000000000000000e+00,40,4.10431910e-02
smooth_eps_0p50,endpoint_jax,0.1,20,7.0954162948817293e-05,2.5926808998848991e-04,2.2478939112464178e-16,2.5438405243138006e-16,2.2377260456559048e-16,7.1054273576010019e-15,5.0854329249804139e-15,5.6938573169768212e+01,-2.8869514036739728e-02,0.0000000000000000e+00,80,8.01355850e-02
smooth_eps_0p50,endpoint_jax,0.05,40,4.5760434056060780e-06,1.6543702460929795e-05,1.3092278833360675e-16,4.5775667985222375e-16,1.5944364291470360e-16,7.1054273576010019e-15,6.4117332144987617e-15,5.7038870403003585e+01,-2.8870948400200457e-02,0.0000000000000000e+00,160,1.41656440e-01
sharp_eps_0p05,endpoint_fd,0.2,10,2.5761934413177819e-03,7.1433640340721480e-03,2.2887833992611188e-15,8.8738152054765564e-14,4.0626616427409522e-16,1.1374233532693354e-14,3.8751466756401258e-13,5.6082604968028839e+01,-3.0114923261091341e-02,0.0000000000000000e+00,40,1.15130716e+00
sharp_eps_0p05,endpoint_fd,0.1,20,1.2767477321814165e-04,1.9076221369479429e-03,1.2719202621569003e-16,5.1371251749364736e-16,2.2377260456559048e-16,7.1054273576010019e-15,6.3069469073705272e-15,5.6940485444025434e+01,-3.0150034543357223e-02,0.0000000000000000e+00,80,2.35196114e+00
sharp_eps_0p05,endpoint_fd,0.05,40,8.4802334800350345e-05,4.0833849221698408e-04,2.2247786310271853e-16,5.0876810486276012e-16,2.3055512673781017e-16,7.1054273576010019e-15,5.7209486516588035e-15,5.7039741248408994e+01,-3.0157139383879490e-02,0.0000000000000000e+00,160,4.55024417e+00
sharp_eps_0p05,endpoint_jax,0.2,10,2.5761934413182372e-03,7.1433640340724256e-03,2.1904055965636781e-15,8.8600475342989596e-14,4.4754520913118096e-16,7.1054273576010019e-15,3.8697259130303551e-13,5.6082604968028832e+01,-3.0114923261091504e-02,0.0000000000000000e+00,40,3.11240970e-02
sharp_eps_0p05,endpoint_jax,0.1,20,1.2767477321795766e-04,1.9076221369473544e-03,2.2388016169968658e-16,4.5002618892067857e-16,1.2719202621569003e-16,7.1054273576010019e-15,4.2883262555432419e-15,5.6940485444025441e+01,-3.0150034543357060e-02,0.0000000000000000e+00,80,5.80147270e-02
sharp_eps_0p05,endpoint_jax,0.05,40,8.4802334800404135e-05,4.0833849221791200e-04,1.3947004136484323e-16,4.7102773760513248e-16,2.3055512673781017e-16,7.1054273576010019e-15,4.9537287955038884e-15,5.7039741248408987e+01,-3.0157139383879653e-02,0.0000000000000000e+00,160,1.17903630e-01
