case,method,h,steps,orientation_error_rad,omega_l2_error,max_endpoint_constraint_norm,max_endpoint_velocity_constraint_norm,max_stage_constraint_norm,max_stage_force_residual_norm,max_stage_torque_residual_norm,max_quaternion_unit_error,final_energy_relative_change,max_step_energy_increase,total_newton_iterations,runtime_sec
smooth_eps_0p50,reduced_rkmk4,0.2,10,8.7473805921410800e-03,2.2713325392249840e-02,0.0000000000000000e+00,0.0000000000000000e+00,0.0000000000000000e+00,0.0000000000000000e+00,0.0000000000000000e+00,0.0000000000000000e+00,-3.3629926991116547e-02,0.0000000000000000e+00,0,8.87755799e-03
smooth_eps_0p50,reduced_rkmk4,0.1,20,4.8098790209584816e-04,1.5819179286870578e-03,0.0000000000000000e+00,0.0000000000000000e+00,0.0000000000000000e+00,0.0000000000000000e+00,0.0000000000000000e+00,2.2204460492503131e-16,-2.9025545751864095e-02,0.0000000000000000e+00,0,2.07900760e-02
smooth_eps_0p50,reduced_rkmk4,0.05,40,2.7457972480167162e-05,1.0220655402366316e-04,0.0000000000000000e+00,0.0000000000000000e+00,0.0000000000000000e+00,0.0000000000000000e+00,0.0000000000000000e+00,1.1102230246251565e-16,-2.8875664174728487e-02,0.0000000000000000e+00,0,1.84132950e-02
smooth_eps_0p50,quaternion_gauss_lie4_endpoint_jax,0.2,10,1.1385294476637785e-03,4.2906250012831734e-03,2.2569225766329164e-15,9.5901293646309108e-14,4.8710837515742581e-16,7.1054273576010019e-15,3.8057739673268933e-13,1.1102230246251565e-16,-2.8834521430388636e-02,0.0000000000000000e+00,40,1.18161802e+00
smooth_eps_0p50,quaternion_gauss_lie4_endpoint_jax,0.1,20,7.0954162509494440e-05,2.5926808978147311e-04,2.6184557666721351e-16,1.0532500405730103e-15,2.5438405243138006e-16,7.1054273576010019e-15,6.1267093295750263e-15,1.1102230246251565e-16,-2.8869514036739402e-02,0.0000000000000000e+00,80,8.68770980e-02
smooth_eps_0p50,quaternion_gauss_lie4_endpoint_jax,0.05,40,4.5760429476041962e-06,1.6543702246986931e-05,2.0206364052201326e-16,8.6711190182627340e-16,3.1524274001217121e-16,7.1054273576010019e-15,9.0124666246580991e-15,1.1102230246251565e-16,-2.8870948400199967e-02,0.0000000000000000e+00,160,1.48053732e-01
sharp_eps_0p05,reduced_rkmk4,0.2,10,7.3155607219135112e-03,2.0020611358284323e-02,0.0000000000000000e+00,0.0000000000000000e+00,0.0000000000000000e+00,0.0000000000000000e+00,0.0000000000000000e+00,0.0000000000000000e+00,-3.4899208543289754e-02,0.0000000000000000e+00,0,6.47288101e-03
sharp_eps_0p05,reduced_rkmk4,0.1,20,4.8669480552982305e-04,3.6949714388415998e-03,0.0000000000000000e+00,0.0000000000000000e+00,0.0000000000000000e+00,0.0000000000000000e+00,0.0000000000000000e+00,1.1102230246251565e-16,-3.0315343130079619e-02,0.0000000000000000e+00,0,1.24508050e-02
sharp_eps_0p05,reduced_rkmk4,0.05,40,1.5486762986925885e-04,3.6664786114097862e-04,0.0000000000000000e+00,0.0000000000000000e+00,0.0000000000000000e+00,0.0000000000000000e+00,0.0000000000000000e+00,1.1102230246251565e-16,-3.0159203482113258e-02,0.0000000000000000e+00,0,2.45846630e-02
sharp_eps_0p05,quaternion_gauss_lie4_endpoint_jax,0.2,10,2.5761934405709921e-03,7.1433640337760932e-03,2.2073972817097756e-15,8.8543022575500479e-14,4.4754520913118096e-16,7.1054273576010019e-15,3.8875235750204265e-13,1.1102230246251565e-16,-3.0114923261091341e-02,0.0000000000000000e+00,40,3.72711780e-02
sharp_eps_0p05,quaternion_gauss_lie4_endpoint_jax,0.1,20,1.2767477326994491e-04,1.9076221372265464e-03,2.5476231888929306e-16,5.5788016545937291e-16,2.4980018054066022e-16,7.1054273576010019e-15,6.0276266651872467e-15,1.1102230246251565e-16,-3.0150034543357716e-02,0.0000000000000000e+00,80,7.91992130e-02
sharp_eps_0p05,quaternion_gauss_lie4_endpoint_jax,0.05,40,8.4802335572149081e-05,4.0833849200979820e-04,3.1524274001217121e-16,9.9340148152900379e-16,2.5438405243138006e-16,7.1054273576010019e-15,8.1466397046008224e-15,1.1102230246251565e-16,-3.0157139383880309e-02,0.0000000000000000e+00,160,1.65181477e-01
