case,method,h,steps,orientation_error_rad,omega_l2_error,runtime_sec,total_newton_iterations,max_endpoint_constraint_norm,max_endpoint_velocity_constraint_norm,max_quaternion_unit_error,final_energy_relative_change,max_step_energy_increase
frictionless,reduced_lie_trapezoidal_fd,0.1,10,1.2006860606794730e-02,7.5693753321732005e-02,3.78696920e-02,30,0.0000000000000000e+00,0.0000000000000000e+00,0.0000000000000000e+00,3.2944400694685109e-05,9.8109937060577579e-03
frictionless,reduced_lie_trapezoidal_fd,0.05,20,3.0690566093241663e-03,1.9149910115924484e-02,8.42268770e-02,60,0.0000000000000000e+00,0.0000000000000000e+00,0.0000000000000000e+00,7.8197058401428537e-06,1.3295887479323198e-03
frictionless,reduced_lie_trapezoidal_fd,0.025,40,7.7145331797164702e-04,4.8013660757853576e-03,1.85173368e-01,120,0.0000000000000000e+00,0.0000000000000000e+00,0.0000000000000000e+00,2.1739656075373752e-06,1.7027942147862518e-04
frictionless,quaternion_gauss_lie4_endpoint_jax,0.1,10,4.6442243201556021e-05,1.4577684380009929e-04,4.28312780e-02,40,1.5700924586837752e-16,5.0876810486276012e-16,0.0000000000000000e+00,6.6046494562353326e-08,2.9298709250724642e-05
frictionless,quaternion_gauss_lie4_endpoint_jax,0.05,20,2.9273642803124634e-06,9.1675195369148545e-06,8.60085840e-02,80,2.4980018054066022e-16,4.6111025347562034e-16,1.1102230246251565e-16,5.4328826372014260e-09,9.4439661069145586e-07
frictionless,quaternion_gauss_lie4_endpoint_jax,0.025,40,1.8335623566924224e-07,5.7380146204392038e-07,1.92585944e-01,120,2.6184557666721351e-16,2.6907456826590799e-15,1.1102230246251565e-16,3.9226530718480600e-10,2.9758066233398495e-08
frictionless,quaternion_gauss_lie6_endpoint_jax,0.1,10,6.5631713706295663e-08,1.6456255891619073e-07,5.26621240e-02,40,1.5700924586837752e-16,5.0876810486276012e-16,1.1102230246251565e-16,-1.6001189295847965e-09,1.3529639630860402e-07
frictionless,quaternion_gauss_lie6_endpoint_jax,0.05,20,1.0303789703139019e-09,2.5854338016747750e-09,1.08831000e-01,80,2.1677797545656835e-16,6.0044490637300822e-16,1.1102230246251565e-16,-2.4430376804957165e-11,1.2164171891981823e-09
frictionless,quaternion_gauss_lie6_endpoint_jax,0.025,40,1.5935572072988002e-11,4.0265780252083060e-11,2.30531317e-01,120,2.4980018054066022e-16,2.8465707535595205e-15,1.1102230246251565e-16,-3.7220182518609611e-13,9.7486463346285746e-12
smooth_friction,reduced_lie_trapezoidal_fd,0.1,10,1.0210059542179109e-02,7.3045652512810214e-02,4.04263400e-02,30,3.3766115072321297e-16,8.8861199474166826e-17,2.2204460492503131e-16,-1.4991578677698687e-02,0.0000000000000000e+00
smooth_friction,reduced_lie_trapezoidal_fd,0.05,20,2.6097497333005515e-03,1.8460787281838191e-02,1.07498823e-01,60,0.0000000000000000e+00,0.0000000000000000e+00,0.0000000000000000e+00,-1.5215550059224309e-02,0.0000000000000000e+00
smooth_friction,reduced_lie_trapezoidal_fd,0.025,40,6.5601062900721540e-04,4.6274369446934367e-03,2.03413197e-01,120,0.0000000000000000e+00,0.0000000000000000e+00,0.0000000000000000e+00,-1.5274893800588983e-02,0.0000000000000000e+00
smooth_friction,quaternion_gauss_lie4_endpoint_jax,0.1,10,3.8167752910830438e-05,1.3752309409810964e-04,1.06825782e-01,40,2.6184557666721351e-16,4.5775667985222375e-16,1.1102230246251565e-16,-1.5294743043161205e-02,0.0000000000000000e+00
smooth_friction,quaternion_gauss_lie4_endpoint_jax,0.05,20,2.4272059067086501e-06,8.5704062357634740e-06,1.03401950e-01,80,1.8619006149354548e-16,5.6610488670036757e-16,1.1102230246251565e-16,-1.5295256353295310e-02,0.0000000000000000e+00
smooth_friction,quaternion_gauss_lie4_endpoint_jax,0.025,40,1.5212145927094910e-07,5.3465225618348117e-07,1.57078330e-01,120,2.7894008272968645e-16,2.0189677380521921e-15,1.1102230246251565e-16,-1.5295274733325013e-02,0.0000000000000000e+00
smooth_friction,quaternion_gauss_lie6_endpoint_jax,0.1,10,1.1346171083577091e-07,3.6296699922588473e-07,6.55886300e-02,40,1.2719202621569003e-16,5.4389598220420729e-16,0.0000000000000000e+00,-1.5295298822731989e-02,0.0000000000000000e+00
smooth_friction,quaternion_gauss_lie6_endpoint_jax,0.05,20,1.1389591474646502e-09,1.6639465510070272e-09,1.47412806e-01,80,1.5944364291470360e-16,5.9932122824760636e-16,1.1102230246251565e-16,-1.5295275883317812e-02,0.0000000000000000e+00
smooth_friction,quaternion_gauss_lie6_endpoint_jax,0.025,40,1.5787429809612915e-11,2.0655087112129968e-11,2.16979834e-01,120,2.7894008272968645e-16,2.1619526780282180e-15,2.2204460492503131e-16,-1.5295276291062617e-02,0.0000000000000000e+00
sharp_friction,reduced_lie_trapezoidal_fd,0.1,10,9.8336273173109511e-03,7.2334103887164727e-02,4.56028710e-02,31,0.0000000000000000e+00,0.0000000000000000e+00,0.0000000000000000e+00,-1.5463682518958586e-02,0.0000000000000000e+00
sharp_friction,reduced_lie_trapezoidal_fd,0.05,20,2.5133904856739831e-03,1.9325814375291600e-02,9.38683850e-02,60,0.0000000000000000e+00,0.0000000000000000e+00,0.0000000000000000e+00,-1.5750314678290946e-02,0.0000000000000000e+00
sharp_friction,reduced_lie_trapezoidal_fd,0.025,40,6.4809373131050041e-04,4.7728274571174891e-03,1.99467146e-01,120,0.0000000000000000e+00,0.0000000000000000e+00,0.0000000000000000e+00,-1.5827790700701758e-02,0.0000000000000000e+00
sharp_friction,quaternion_gauss_lie4_endpoint_jax,0.1,10,4.9324541344081213e-05,1.1539391015089931e-03,4.35723440e-02,40,1.6883057536160649e-16,3.5108334685767012e-16,0.0000000000000000e+00,-1.5846188548398980e-02,0.0000000000000000e+00
