case,method,h,steps,orientation_error_rad,omega_l2_error,runtime_sec,total_newton_iterations,max_endpoint_constraint_norm,max_endpoint_velocity_constraint_norm,max_quaternion_unit_error,final_energy_relative_change,max_step_energy_increase
frictionless,reduced_lie_lobatto4_fd,0.1,10,4.3594568205457223e-05,1.5746678971824296e-04,1.36843797e-01,30,0.0000000000000000e+00,0.0000000000000000e+00,0.0000000000000000e+00,-3.7646160237302090e-06,2.9568386459288831e-05
frictionless,reduced_lie_lobatto4_fd,0.05,20,2.7405332476573368e-06,9.8955144247960799e-06,1.54366009e-01,40,0.0000000000000000e+00,0.0000000000000000e+00,0.0000000000000000e+00,-2.3329266206157267e-07,9.3535647138764944e-07
frictionless,reduced_lie_lobatto4_fd,0.025,40,1.7148379460141324e-07,6.1930603375284173e-07,3.29896299e-01,80,0.0000000000000000e+00,0.0000000000000000e+00,0.0000000000000000e+00,-1.4485834822896354e-08,3.0089406521938145e-08
frictionless,reduced_lie_lobatto6_fd,0.1,10,5.5899377805470960e-08,1.5903553339927611e-07,2.68333147e-01,30,0.0000000000000000e+00,0.0000000000000000e+00,0.0000000000000000e+00,-4.3103740734887989e-09,1.7154324538637411e-07
frictionless,reduced_lie_lobatto6_fd,0.05,20,8.7887286633345416e-10,2.5033618822062231e-09,3.17986661e-01,40,0.0000000000000000e+00,0.0000000000000000e+00,0.0000000000000000e+00,-6.7212435143891696e-11,1.3861409797755186e-09
frictionless,reduced_lie_lobatto6_fd,0.025,40,1.3620595120508384e-11,3.8954640452738110e-11,6.09446731e-01,80,0.0000000000000000e+00,0.0000000000000000e+00,0.0000000000000000e+00,-1.0428209727680932e-12,1.0913936421275139e-11
frictionless,quaternion_gauss_lie6_endpoint_jax,0.1,10,6.5631713706295663e-08,1.6456255891619073e-07,4.52876220e-02,40,1.5700924586837752e-16,5.0876810486276012e-16,1.1102230246251565e-16,-1.6001189295847965e-09,1.3529639630860402e-07
frictionless,quaternion_gauss_lie6_endpoint_jax,0.05,20,1.0303789703139019e-09,2.5854338016747750e-09,9.15409370e-02,80,2.1677797545656835e-16,6.0044490637300822e-16,1.1102230246251565e-16,-2.4430376804957165e-11,1.2164171891981823e-09
frictionless,quaternion_gauss_lie6_endpoint_jax,0.025,40,1.5935572072988002e-11,4.0265780252083060e-11,1.38033520e-01,120,2.4980018054066022e-16,2.8465707535595205e-15,1.1102230246251565e-16,-3.7220182518609611e-13,9.7486463346285746e-12
smooth_friction,reduced_lie_lobatto4_fd,0.1,10,3.7392592066498026e-05,1.4166845798967468e-04,1.55214521e-01,30,0.0000000000000000e+00,0.0000000000000000e+00,0.0000000000000000e+00,-1.5295495043386063e-02,0.0000000000000000e+00
smooth_friction,reduced_lie_lobatto4_fd,0.05,20,2.3141118790603236e-06,8.9620833076709710e-06,1.57855216e-01,40,0.0000000000000000e+00,0.0000000000000000e+00,0.0000000000000000e+00,-1.5295269064163902e-02,0.0000000000000000e+00
