case,method,h,steps,orientation_error_rad,omega_l2_error,runtime_sec,total_newton_iterations,max_endpoint_constraint_norm,max_endpoint_velocity_constraint_norm,max_stage_torque_residual_norm,max_lambda_norm,max_stage_friction_power,min_stage_friction_power,final_energy_relative_change,max_step_energy_increase
lambda_smooth,lambda_gauss4_endpoint_jax,0.1,10,4.1125720728066702e-05,1.3698716640604355e-04,1.10588866e+00,40,2.7894008272968645e-16,5.9787339602818165e-16,5.2322756973878661e-15,5.7036737414877130e+01,-2.2283343767173561e-02,-3.9912195429576075e-01,-9.5139331918892081e-03,0.0000000000000000e+00
lambda_smooth,lambda_gauss4_endpoint_jax,0.05,20,2.6006086543129693e-06,8.7875155544699250e-06,1.78995301e-01,80,1.5700924586837752e-16,4.8710837515742581e-16,9.7227993331544791e-15,5.7139752995391341e+01,-2.2338436759802509e-02,-3.9989675672500202e-01,-9.5144986197452271e-03,0.0000000000000000e+00
lambda_smooth,lambda_gauss4_endpoint_jax,0.025,40,1.6335139773127790e-07,5.4748905734790677e-07,3.15961998e-01,120,2.7894008272968645e-16,2.2724665659685439e-15,4.7682878848612986e-13,5.7162575857980805e+01,-2.1860896806445353e-02,-3.9989399885028853e-01,-9.5145242400870109e-03,0.0000000000000000e+00
lambda_smooth,lambda_gauss6_endpoint_jax,0.1,10,7.8607911178624776e-08,4.5825573163798818e-07,1.17258013e-01,40,1.3597399555105182e-16,2.8441001681421824e-16,6.0998600352861258e-15,5.7135932484996069e+01,-2.3800092344407879e-02,-3.9988730260100669e-01,-9.5145436508148936e-03,0.0000000000000000e+00
lambda_smooth,lambda_gauss6_endpoint_jax,0.05,20,5.8700262534050723e-09,5.4729402535036852e-09,2.39215163e-01,80,1.7772239894833365e-16,4.6111025347562034e-16,6.7146626180014229e-15,5.7161667611019929e+01,-2.2002249839338569e-02,-3.9990231608811050e-01,-9.5145259163410545e-03,0.0000000000000000e+00
lambda_smooth,lambda_gauss6_endpoint_jax,0.025,40,4.3499822967138479e-11,4.3750434754207543e-11,3.77975724e-01,120,2.7894008272968645e-16,2.4014588535873647e-15,9.0671923834226571e-13,5.7166916884545749e+01,-2.1888715288176156e-02,-3.9983852942818915e-01,-9.5145262095567337e-03,0.0000000000000000e+00
lambda_sharp,lambda_gauss4_endpoint_jax,0.1,10,4.3316692006717916e-05,3.9068312552488412e-04,8.73436740e-02,40,1.3877787807814457e-16,4.9960036108132044e-16,5.9523577525980597e-15,5.7037725916523577e+01,-2.8932079252366034e-02,-4.0360217824618577e-01,-9.8248631401345703e-03,0.0000000000000000e+00
lambda_sharp,lambda_gauss4_endpoint_jax,0.05,20,1.4471175561321620e-05,9.7314645183417010e-05,1.80466214e-01,80,1.6653345369377348e-16,4.1540741810552243e-16,6.7638521167261658e-15,5.7140241562532388e+01,-2.9323160000200223e-02,-4.0446437934703694e-01,-9.8302738803784494e-03,0.0000000000000000e+00
lambda_sharp,lambda_gauss4_endpoint_jax,0.025,40,1.0366076400734553e-06,1.0262867584468156e-05,3.32783202e-01,120,2.2887833992611187e-16,2.8985646084562058e-15,4.9576059088325699e-13,5.7162835250986063e+01,-2.8446385541220781e-02,-4.0450807788990562e-01,-9.8301019300381636e-03,0.0000000000000000e+00
lambda_sharp,lambda_gauss6_endpoint_jax,0.1,10,7.3513422921060503e-05,2.6718152829416071e-04,1.03115531e-01,40,2.2377260456559048e-16,3.3308497693360055e-16,6.5220066110226070e-15,5.7136308347484629e+01,-3.2445093907913426e-02,-4.0444665860818241e-01,-9.8298778429948188e-03,0.0000000000000000e+00
lambda_sharp,lambda_gauss6_endpoint_jax,0.05,20,4.1719007020212775e-06,4.0665764956914121e-05,2.35154010e-01,80,2.5438405243138006e-16,5.9787339602818165e-16,1.0787143849065921e-14,5.7161986579156938e+01,-2.8312070399554540e-02,-4.0451377884004652e-01,-9.8299853721045740e-03,0.0000000000000000e+00
lambda_sharp,lambda_gauss6_endpoint_jax,0.025,40,3.2494718124060363e-07,9.5167661881496070e-07,4.10503118e-01,120,3.1031676915590914e-16,2.5172027167143303e-15,8.4645402281983533e-13,5.7167009386935348e+01,-2.8302543427407484e-02,-4.0444283825092819e-01,-9.8299793669554009e-03,0.0000000000000000e+00
