case,run_type,label,method,tolerance,h,accepted_steps,rejected_steps,orientation_error_rad,omega_l2_error,runtime_sec,total_newton_iterations,min_h,max_h,mean_h,max_embedded_error_norm,max_lambda_norm,max_stage_friction_power,max_endpoint_constraint_norm,max_endpoint_velocity_constraint_norm,final_energy_relative_change,max_step_energy_increase
lambda_smooth,fixed,gauss4_fixed_h0025,lambda_gauss4_endpoint_jax,,0.025,40,0,1.6335139773127790e-07,5.4748905734790677e-07,3.51427694e-01,120,2.5000000000000001e-02,2.5000000000000001e-02,2.5000000000000001e-02,,5.7162575857980805e+01,-2.1860896806445353e-02,2.7894008272968645e-16,2.2724665659685439e-15,-9.5145242400870109e-03,0.0000000000000000e+00
lambda_smooth,fixed,gauss6_fixed_h0025,lambda_gauss6_endpoint_jax,,0.025,40,0,4.3499822967138479e-11,4.3750434754207543e-11,3.89693147e-01,120,2.5000000000000001e-02,2.5000000000000001e-02,2.5000000000000001e-02,,5.7166916884545749e+01,-2.1888715288176156e-02,2.7894008272968645e-16,2.4014588535873647e-15,-9.5145262095567337e-03,0.0000000000000000e+00
lambda_smooth,fixed,gauss6_fixed_h00125,lambda_gauss6_endpoint_jax,,0.0125,80,0,6.3189110011346781e-13,6.6020746656233853e-13,8.36595424e-01,240,1.2500000000000001e-02,1.2500000000000001e-02,1.2500000000000001e-02,,5.7167607479747858e+01,-2.1868428714452812e-02,2.5776846797341143e-16,5.5520908193340063e-16,-9.5145262110942382e-03,0.0000000000000000e+00
lambda_smooth,adaptive,adaptive_lambda_gauss64_tol1e-04,adaptive_lambda_gauss64_endpoint_jax,1.0e-04,,10,0,7.8607911178624776e-08,4.5825573163798818e-07,1.93197439e-01,80,1.0000000000000001e-01,1.0000000000000001e-01,1.0000000000000001e-01,2.1443646494106161e-01,5.7135932484996069e+01,-2.3800092344407879e-02,1.3597399555105182e-16,2.8441001681421824e-16,-9.5145436508148936e-03,0.0000000000000000e+00
lambda_smooth,adaptive,adaptive_lambda_gauss64_tol1e-05,adaptive_lambda_gauss64_endpoint_jax,1.0e-05,,13,0,3.9837507427644615e-08,4.8059486776659289e-07,2.50696471e-01,102,2.0882161527572829e-02,1.0000000000000001e-01,7.6923076923076927e-02,8.6778968249917576e-01,5.7100118891233038e+01,-2.3800092344407879e-02,2.2887833992611187e-16,4.0673994421849393e-16,-9.5145380759976000e-03,0.0000000000000000e+00
lambda_smooth,adaptive,adaptive_lambda_gauss64_tol1e-06,adaptive_lambda_gauss64_endpoint_jax,1.0e-06,,21,2,5.8412151457150869e-09,5.9447386145691245e-09,4.78084453e-01,182,1.2069717058450280e-02,5.6529657538885114e-02,4.7619047619047616e-02,6.1708746405826798e-01,5.7167233876254180e+01,-2.2012078587830396e-02,1.6883057536160649e-16,5.5639227329338210e-16,-9.5145260990898550e-03,0.0000000000000000e+00
lambda_smooth,adaptive,adaptive_lambda_gauss64_tol3e-07,adaptive_lambda_gauss64_endpoint_jax,3.0e-07,,26,2,1.1087650482883468e-09,9.8758769216409323e-10,5.54668038e-01,210,2.4278379411378226e-02,4.3970602807505685e-02,3.8461538461538457e-02,6.0901924953042652e-01,5.7167436933099978e+01,-2.1951587826361006e-02,2.1912846773859066e-15,6.1081439923646717e-14,-9.5145262416800463e-03,0.0000000000000000e+00
lambda_smooth,adaptive,adaptive_lambda_gauss64_tol1e-07,adaptive_lambda_gauss64_endpoint_jax,1.0e-07,,33,3,1.9166644266312820e-10,2.0132910423904317e-10,6.76956852e-01,224,2.9497348843408044e-03,3.5546357959665209e-02,3.0303030303030311e-02,5.8296360329368324e-01,5.7160974156952342e+01,-2.1890296853112078e-02,1.0114613123884174e-15,4.8827508909839647e-14,-9.5145262095762441e-03,0.0000000000000000e+00
lambda_sharp,fixed,gauss4_fixed_h0025,lambda_gauss4_endpoint_jax,,0.025,40,0,1.0366076400734553e-06,1.0262867584468156e-05,3.06634756e-01,120,2.5000000000000001e-02,2.5000000000000001e-02,2.5000000000000001e-02,,5.7162835250986063e+01,-2.8446385541220781e-02,2.2887833992611187e-16,2.8985646084562058e-15,-9.8301019300381636e-03,0.0000000000000000e+00
lambda_sharp,fixed,gauss6_fixed_h0025,lambda_gauss6_endpoint_jax,,0.025,40,0,3.2494718124060363e-07,9.5167661881496070e-07,4.21169494e-01,120,2.5000000000000001e-02,2.5000000000000001e-02,2.5000000000000001e-02,,5.7167009386935348e+01,-2.8302543427407484e-02,3.1031676915590914e-16,2.5172027167143303e-15,-9.8299793669554009e-03,0.0000000000000000e+00
lambda_sharp,fixed,gauss6_fixed_h00125,lambda_gauss6_endpoint_jax,,0.0125,80,0,1.3808361380084854e-08,6.7328155506959329e-08,8.43882383e-01,240,1.2500000000000001e-02,1.2500000000000001e-02,1.2500000000000001e-02,,5.7167606492482356e+01,-2.8273467217029027e-02,3.5544479789666730e-16,6.0809419444881176e-16,-9.8300165368291857e-03,0.0000000000000000e+00
lambda_sharp,adaptive,adaptive_lambda_gauss64_tol1e-04,adaptive_lambda_gauss64_endpoint_jax,1.0e-04,,13,4,9.6284741168339407e-07,7.8711242170264994e-06,3.37063579e-01,134,1.4349400775708565e-02,1.0000000000000001e-01,7.6923076923076927e-02,2.4598349759384958e-01,5.7139732626280079e+01,-2.8680463247557245e-02,1.7772239894833365e-16,4.1540741810552243e-16,-9.8295702744653508e-03,0.0000000000000000e+00
lambda_sharp,adaptive,adaptive_lambda_gauss64_tol1e-05,adaptive_lambda_gauss64_endpoint_jax,1.0e-05,,18,5,6.5003214656260969e-08,7.0646975994305411e-07,4.58571514e-01,168,2.1895813034673636e-02,8.8798120031848768e-02,5.5555555555555552e-02,9.7136862833128179e-01,5.7156147760928725e+01,-2.8313559293081825e-02,2.4980018054066022e-16,3.9080520695128487e-14,-9.8299795563767806e-03,0.0000000000000000e+00
lambda_sharp,adaptive,adaptive_lambda_gauss64_tol1e-06,adaptive_lambda_gauss64_endpoint_jax,1.0e-06,,30,7,2.4336642444983127e-08,3.7805343482181539e-08,7.09735860e-01,258,1.6268925406728307e-03,5.6910501425463889e-02,3.3333333333333333e-02,9.8880124320539142e-01,5.7167217189678730e+01,-2.8359445968646646e-02,3.1524274001217121e-16,9.9388604400917787e-16,-9.8300131141359701e-03,0.0000000000000000e+00
