case,run_type,label,method,tolerance,h,steps,accepted_steps,rejected_steps,angle_error_rad,velocity_error,runtime_sec,total_newton_iterations,min_h,max_h,mean_h,max_reaction_norm,max_stage_friction_power,final_energy_relative_change,max_step_energy_increase,max_quaternion_unit_error
revolute_bm_smooth,fixed,gauss4_fixed_h005,gauss4,,0.05,20,20,0,1.2303642188404851e-06,3.3156092930544667e-04,2.85477310e-02,73,5.0000000000000003e-02,5.0000000000000003e-02,5.0000000000000003e-02,6.5962908083089502e+01,-2.8218589726529405e-02,-9.9483100556136253e-02,0.0000000000000000e+00,1.1102230246251565e-16
revolute_bm_smooth,fixed,gauss4_fixed_h0025,gauss4,,0.025,40,40,0,1.6169421712675103e-07,3.4675255009941619e-05,6.56165370e-02,120,2.5000000000000001e-02,2.5000000000000001e-02,2.5000000000000001e-02,6.5963837467576454e+01,-3.7897405804564020e-04,-9.9474999970490099e-02,0.0000000000000000e+00,1.1102230246251565e-16
revolute_bm_smooth,fixed,gauss4_fixed_h00125,gauss4,,0.0125,80,80,0,2.3427304207679353e-08,1.1151099102713058e-06,1.46770993e-01,240,1.2500000000000001e-02,1.2500000000000001e-02,1.2500000000000001e-02,6.5964590156116898e+01,-7.2256252496198257e-04,-9.9475728981648373e-02,0.0000000000000000e+00,1.1102230246251565e-16
revolute_bm_smooth,fixed,gauss4_fixed_h000625,gauss4,,0.00625,160,160,0,1.1874773386821857e-09,5.3619216927591751e-08,2.41343636e-01,480,6.2500000000000003e-03,6.2500000000000003e-03,6.2500000000000003e-03,6.5966714507078748e+01,-1.7732676601109698e-04,-9.9475728461339508e-02,0.0000000000000000e+00,1.1102230246251565e-16
revolute_bm_smooth,fixed,gauss6_fixed_h005,gauss6,,0.05,20,20,0,4.6327717218019870e-07,9.5254934645599976e-05,3.85246440e-02,75,5.0000000000000003e-02,5.0000000000000003e-02,5.0000000000000003e-02,6.5964631371424360e+01,-5.3210999507720558e-03,-9.9473752210437985e-02,0.0000000000000000e+00,1.1102230246251565e-16
revolute_bm_smooth,fixed,gauss6_fixed_h0025,gauss6,,0.025,40,40,0,2.1598482224938206e-08,1.4706428373423286e-06,6.80513700e-02,120,2.5000000000000001e-02,2.5000000000000001e-02,2.5000000000000001e-02,6.5955895164278701e+01,-5.6539290645157760e-04,-9.9475796787993204e-02,0.0000000000000000e+00,1.1102230246251565e-16
revolute_bm_smooth,fixed,gauss6_fixed_h00125,gauss6,,0.0125,80,80,0,3.9216119240848002e-10,2.2925626869119142e-08,1.43948254e-01,240,1.2500000000000001e-02,1.2500000000000001e-02,1.2500000000000001e-02,6.5965656749671496e+01,-6.2475725558935229e-04,-9.9475728455602722e-02,0.0000000000000000e+00,1.1102230246251565e-16
revolute_bm_smooth,fixed,gauss6_fixed_h000625,gauss6,,0.00625,160,160,0,2.8402835638985380e-12,1.5710249767764140e-10,2.87496686e-01,480,6.2500000000000003e-03,6.2500000000000003e-03,6.2500000000000003e-03,6.5966428891642494e+01,-1.5665481908945275e-04,-9.9475728351021905e-02,0.0000000000000000e+00,1.1102230246251565e-16
revolute_bm_smooth,adaptive,adaptive_revolute_bm_gauss64_tol1e-05,adaptive_revolute_bm_gauss64,1.0e-05,,17,17,5,2.0228962049895216e-07,7.0487113719430727e-06,7.84331880e-02,166,4.4318117559750680e-03,1.0000000000000001e-01,5.8823529411764705e-02,6.5949205433592354e+01,-1.3098150798434191e-04,-9.9475803861248727e-02,0.0000000000000000e+00,1.1102230246251565e-16
revolute_bm_smooth,adaptive,adaptive_revolute_bm_gauss64_tol1e-06,adaptive_revolute_bm_gauss64,1.0e-06,,26,26,8,3.2966762653074966e-10,3.5212570026477152e-08,1.26306160e-01,237,9.8230586096220082e-03,6.3225402050634011e-02,3.8461538461538464e-02,6.5937677284087243e+01,-6.6214506850108011e-06,-9.9475728871734836e-02,0.0000000000000000e+00,1.1102230246251565e-16
revolute_bm_smooth,adaptive,adaptive_revolute_bm_gauss64_tol1e-07,adaptive_revolute_bm_gauss64,1.0e-07,,42,42,10,2.0177859383352370e-11,6.2219968066656861e-10,1.97632881e-01,326,3.0226199110303664e-03,4.3791426270222429e-02,2.3809523809523808e-02,6.5963050904178615e+01,-1.7647986585966806e-04,-9.9475728340774228e-02,0.0000000000000000e+00,1.1102230246251565e-16
