case,method,h,status,error_message,steps,orientation_error_rad,omega_l2_error,runtime_sec,total_newton_iterations,linear_lstsq_fallbacks,min_jacobian_rank,max_endpoint_constraint_norm,max_endpoint_velocity_constraint_norm,max_stage_constraint_norm,max_stage_velocity_constraint_norm,max_lambda_norm,max_stage_friction_power,final_energy_relative_change,max_step_energy_increase,max_quaternion_unit_error
absolute_revolute_smooth,abs_revolute_gauss4,0.05,ok,,20,2.3550153730702231e-01,2.2351907596962759e+00,8.19513620e-02,98,0,46,8.5659523026984587e-04,3.1314778733998909e+00,2.4825341532472731e-16,5.9169382794411203e-02,6.2911417146355905e+02,-4.2740767250498940e-02,2.7585483121557575e-01,1.0148754459426126e+00,1.1102230246251565e-16
absolute_revolute_smooth,abs_revolute_gauss4,0.025,ok,,40,4.0966998408431243e-01,1.7926149417088324e+00,1.67006606e-01,199,0,46,1.8195094711213300e-04,2.4792032618019846e+00,3.1401849173675503e-16,2.5208605448872132e-02,1.0410149953509854e+03,-4.4957168740676215e-03,-1.0461143233607652e-01,2.8999158542597314e-01,1.1102230246251565e-16
absolute_revolute_smooth,abs_revolute_gauss4,0.0125,ok,,80,6.3061462136974777e-01,1.2079272705546411e+00,3.03830999e-01,405,0,46,3.6471331729223081e-05,1.7429477214626692e+00,2.4825341532472731e-16,1.0106229819292729e-02,1.5275551687607967e+03,-4.4528074704430802e-04,-4.4345428353840777e-01,6.7158017181153440e-02,1.1102230246251565e-16
absolute_revolute_smooth,abs_revolute_gauss6,0.05,ok,,20,4.4473917216877102e-06,4.1553394295701158e-02,8.38581870e-02,80,0,69,8.0206029453596399e-06,4.3996622041219291e-02,4.0029660424867210e-16,9.3838638675036419e-04,6.9642629039793036e+01,-6.7747198491292272e-04,-1.0034200990556218e-01,0.0000000000000000e+00,1.1102230246251565e-16
absolute_revolute_smooth,abs_revolute_gauss6,0.025,ok,,40,8.9453253044319159e-07,1.0235312377973878e-02,1.71496779e-01,158,0,69,5.1967861065646598e-07,1.1382557856639372e-02,3.1401849173675503e-16,1.2161017566457772e-04,6.8094327290525044e+01,-5.9920497552496191e-04,-1.0043752389703621e-01,0.0000000000000000e+00,1.1102230246251565e-16
absolute_revolute_smooth,abs_revolute_gauss6,0.0125,ok,,80,1.1114685424046970e-07,1.9004341809299233e-03,3.53064996e-01,299,0,69,3.0646369447015884e-08,2.6628009626044761e-03,4.0029660424867210e-16,1.4319985503382976e-05,6.7050264726284098e+01,-3.3243650540748516e-07,-1.0044293743601868e-01,0.0000000000000000e+00,1.1102230246251565e-16
absolute_revolute_smooth,abs_revolute_lobatto4,0.05,failed,"abs_revolute_lobatto4 solve failed, residual=2.944e+11",,,,1.65637649e-02,,,,,,,,,,,,
absolute_revolute_smooth,abs_revolute_lobatto4,0.025,failed,"abs_revolute_lobatto4 solve failed, residual=1.485e+09",,,,1.69141640e-02,,,,,,,,,,,,
absolute_revolute_smooth,abs_revolute_lobatto4,0.0125,failed,"abs_revolute_lobatto4 solve failed, residual=8.236e+04",,,,1.74044930e-02,,,,,,,,,,,,
absolute_revolute_smooth,abs_revolute_lobatto6,0.05,failed,"abs_revolute_lobatto6 solve failed, residual=4.100e+02",,,,2.03148520e-02,,,,,,,,,,,,
absolute_revolute_smooth,abs_revolute_lobatto6,0.025,failed,"abs_revolute_lobatto6 solve failed, residual=5.163e+29",,,,2.34549920e-02,,,,,,,,,,,,
absolute_revolute_smooth,abs_revolute_lobatto6,0.0125,failed,"abs_revolute_lobatto6 solve failed, residual=9.611e+16",,,,2.41345010e-02,,,,,,,,,,,,
