case,method,h,status,error_message,steps,orientation_error_rad,omega_l2_error,runtime_sec,total_newton_iterations,max_raw_endpoint_constraint_norm,max_raw_endpoint_velocity_constraint_norm,max_endpoint_constraint_norm,max_endpoint_velocity_constraint_norm,max_projection_position_correction,max_projection_orientation_correction_rad,max_projection_velocity_correction,max_projection_omega_correction,max_stage_constraint_norm,max_stage_velocity_constraint_norm,max_lambda_norm,max_stage_friction_power,final_energy_relative_change,max_step_energy_increase,max_quaternion_unit_error
absolute_revolute_smooth,abs_revolute_gauss4,0.05,ok,,20,2.3550057750996023e-01,2.2344993637162092e+00,1.29704343e-01,98,8.5659523027106831e-04,3.1314778734042474e+00,8.5659523027106831e-04,3.1314778734042474e+00,0.0000000000000000e+00,0.0000000000000000e+00,0.0000000000000000e+00,0.0000000000000000e+00,2.4825341532472731e-16,5.9169382794498529e-02,6.2911417146456279e+02,-4.2740767250496393e-02,2.7585483121734378e-01,1.0148754459467799e+00,1.1102230246251565e-16
absolute_revolute_smooth,abs_revolute_gauss4,0.025,ok,,40,4.0966902428681001e-01,1.7919235457311271e+00,2.42838069e-01,199,1.8195094711207134e-04,2.4792032618068767e+00,1.8195094711207134e-04,2.4792032618068767e+00,0.0000000000000000e+00,0.0000000000000000e+00,0.0000000000000000e+00,0.0000000000000000e+00,2.7755575615628914e-16,2.5208605448843589e-02,1.0410149953521600e+03,-4.4957168740625145e-03,-1.0461143233474247e-01,2.8999158542985271e-01,1.1102230246251565e-16
absolute_revolute_smooth,abs_revolute_gauss4,0.0125,ok,,80,6.3061366160149734e-01,1.2072358748426104e+00,4.27696072e-01,405,3.6471331730788709e-05,1.7429477216795202e+00,3.6471331730788709e-05,1.7429477216795202e+00,0.0000000000000000e+00,0.0000000000000000e+00,0.0000000000000000e+00,0.0000000000000000e+00,3.5108334685767012e-16,1.0106229819741144e-02,1.5275551688655651e+03,-4.4528074703923835e-04,-4.4345428351394522e-01,6.7158017201450093e-02,1.1102230246251565e-16
absolute_revolute_smooth,abs_revolute_gauss6,0.05,ok,,20,3.4875943153962565e-06,4.2244790258105520e-02,1.01402596e-01,80,8.0206029414678691e-06,4.3996622017237606e-02,8.0206029414678691e-06,4.3996622017237606e-02,0.0000000000000000e+00,0.0000000000000000e+00,0.0000000000000000e+00,0.0000000000000000e+00,3.5108334685767012e-16,9.3838638627645856e-04,6.9642629037599491e+01,-6.7747198491320928e-04,-1.0034200990568311e-01,0.0000000000000000e+00,1.1102230246251565e-16
absolute_revolute_smooth,abs_revolute_gauss6,0.025,ok,,40,6.5264870339099040e-08,1.0926708388069868e-02,2.30758504e-01,158,5.1967861166062545e-07,1.1382557892076737e-02,5.1967861166062545e-07,1.1382557892076737e-02,0.0000000000000000e+00,0.0000000000000000e+00,0.0000000000000000e+00,0.0000000000000000e+00,2.4825341532472731e-16,1.2161017589534284e-04,6.8094327298625018e+01,-5.9920497552537250e-04,-1.0043752389698846e-01,0.0000000000000000e+00,1.1102230246251565e-16
absolute_revolute_smooth,abs_revolute_gauss6,0.0125,ok,,80,8.4865051729476544e-07,2.5918302183878320e-03,4.28295195e-01,299,3.0646368391768660e-08,2.6628009216352988e-03,3.0646368391768660e-08,2.6628009216352988e-03,0.0000000000000000e+00,0.0000000000000000e+00,0.0000000000000000e+00,0.0000000000000000e+00,3.3766115072321297e-16,1.4319985007426003e-05,6.7050264629112306e+01,-3.3243650589147688e-07,-1.0044293743609709e-01,0.0000000000000000e+00,1.1102230246251565e-16
absolute_revolute_smooth,abs_revolute_gauss4_projected,0.05,ok,,20,2.1670150355773750e-02,1.8328628819895672e-02,1.11880419e-01,79,1.1411918255885331e-04,1.3803496210669087e-02,0.0000000000000000e+00,0.0000000000000000e+00,1.1411918255887849e-04,1.6131891807278234e-16,1.3803496210669194e-02,0.0000000000000000e+00,2.2887833992611187e-16,6.1957482035988895e-03,6.5814176833592313e+01,-4.2740767250496393e-02,-1.2915105690624379e-01,0.0000000000000000e+00,1.1102230246251565e-16
absolute_revolute_smooth,abs_revolute_gauss4_projected,0.025,ok,,40,1.0952334468829745e-02,8.2885123025459376e-03,1.79317129e-01,154,1.4459656231202691e-05,3.4611316393384985e-03,0.0000000000000000e+00,0.0000000000000000e+00,1.4459656231202691e-05,2.3207249087421628e-16,3.4611316393384985e-03,0.0000000000000000e+00,2.4825341532472731e-16,1.5731880162088434e-03,6.5910834470270729e+01,-4.5339837291661694e-03,-1.1501808097466239e-01,0.0000000000000000e+00,1.1102230246251565e-16
absolute_revolute_smooth,abs_revolute_gauss4_projected,0.0125,ok,,80,5.5153539291544814e-03,3.9318935314783601e-03,3.49875988e-01,288,1.8166223154656380e-06,8.6789651066217644e-04,0.0000000000000000e+00,0.0000000000000000e+00,1.8166223154656380e-06,3.2317519980331147e-16,8.6789651066217644e-04,0.0000000000000000e+00,2.9893669801409083e-16,3.9618987152802561e-04,6.6022624756798265e+01,-4.5396182478573511e-04,-1.0779926424252521e-01,0.0000000000000000e+00,1.1102230246251565e-16
absolute_revolute_smooth,abs_revolute_gauss6_projected,0.05,ok,,20,2.3137462194274138e-04,2.8903487057050301e-03,1.19043053e-01,79,4.7706055802648588e-06,1.1443753457860506e-03,0.0000000000000000e+00,0.0000000000000000e+00,4.7706055802648588e-06,2.6138918989384471e-16,1.1443753457860506e-03,0.0000000000000000e+00,4.0029660424867210e-16,5.0818808686803514e-04,6.6162119333936815e+01,-6.7747198491320928e-04,-1.0072808654353223e-01,0.0000000000000000e+00,1.1102230246251565e-16
