case,method,h,status,error_message,steps,orientation_error_rad,omega_l2_error,runtime_sec,total_newton_iterations,max_raw_endpoint_constraint_norm,max_raw_endpoint_velocity_constraint_norm,max_endpoint_pivot_velocity_constraint_norm,max_endpoint_axis_velocity_constraint_norm,max_stage_pivot_velocity_constraint_norm,max_stage_axis_velocity_constraint_norm,max_endpoint_constraint_norm,max_endpoint_velocity_constraint_norm,max_projection_position_correction,max_projection_orientation_correction_rad,max_projection_velocity_correction,max_projection_omega_correction,max_stage_constraint_norm,max_stage_velocity_constraint_norm,max_lambda_norm,max_stage_friction_power,final_energy_relative_change,max_step_energy_increase,max_quaternion_unit_error
absolute_revolute_smooth,abs_revolute_gauss4,0.05,ok,,20,2.3550153730701531e-01,2.2351907621660714e+00,1.48791638e-01,98,8.5659523027106831e-04,3.1314778734042474e+00,3.1314778734042474e+00,0.0000000000000000e+00,5.9169382794498529e-02,0.0000000000000000e+00,8.5659523027106831e-04,3.1314778734042474e+00,0.0000000000000000e+00,0.0000000000000000e+00,0.0000000000000000e+00,0.0000000000000000e+00,2.4825341532472731e-16,5.9169382794498529e-02,6.2911417146456279e+02,-4.2740767250496393e-02,2.7585483121734378e-01,1.0148754459467799e+00,1.1102230246251565e-16
absolute_revolute_smooth,abs_revolute_gauss4,0.025,ok,,40,4.0966998408386518e-01,1.7926149441809891e+00,2.63096422e-01,199,1.8195094711207134e-04,2.4792032618068767e+00,2.4792032618068767e+00,0.0000000000000000e+00,2.5208605448843589e-02,0.0000000000000000e+00,1.8195094711207134e-04,2.4792032618068767e+00,0.0000000000000000e+00,0.0000000000000000e+00,0.0000000000000000e+00,0.0000000000000000e+00,2.7755575615628914e-16,2.5208605448843589e-02,1.0410149953521600e+03,-4.4957168740625145e-03,-1.0461143233474247e-01,2.8999158542985271e-01,1.1102230246251565e-16
absolute_revolute_smooth,abs_revolute_gauss4,0.0125,ok,,80,6.3061462139855240e-01,1.2079272732924724e+00,5.63467393e-01,405,3.6471331730788709e-05,1.7429477216795202e+00,1.7429477216795202e+00,0.0000000000000000e+00,1.0106229819741144e-02,0.0000000000000000e+00,3.6471331730788709e-05,1.7429477216795202e+00,0.0000000000000000e+00,0.0000000000000000e+00,0.0000000000000000e+00,0.0000000000000000e+00,3.5108334685767012e-16,1.0106229819741144e-02,1.5275551688655651e+03,-4.4528074703923835e-04,-4.4345428351394522e-01,6.7158017201450093e-02,1.1102230246251565e-16
absolute_revolute_smooth,abs_revolute_gauss6,0.05,ok,,20,4.4473913704728373e-06,4.1553391808243509e-02,1.70208304e-01,80,8.0206029414678691e-06,4.3996622017237606e-02,4.3996622017237606e-02,0.0000000000000000e+00,9.3838638627645856e-04,0.0000000000000000e+00,8.0206029414678691e-06,4.3996622017237606e-02,0.0000000000000000e+00,0.0000000000000000e+00,0.0000000000000000e+00,0.0000000000000000e+00,3.5108334685767012e-16,9.3838638627645856e-04,6.9642629037599491e+01,-6.7747198491320928e-04,-1.0034200990568311e-01,0.0000000000000000e+00,1.1102230246251565e-16
absolute_revolute_smooth,abs_revolute_gauss6,0.025,ok,,40,8.9453218476150182e-07,1.0235309938207857e-02,3.55809801e-01,158,5.1967861166062545e-07,1.1382557892076737e-02,1.1382557892076737e-02,0.0000000000000000e+00,1.2161017589534284e-04,0.0000000000000000e+00,5.1967861166062545e-07,1.1382557892076737e-02,0.0000000000000000e+00,0.0000000000000000e+00,0.0000000000000000e+00,0.0000000000000000e+00,2.4825341532472731e-16,1.2161017589534284e-04,6.8094327298625018e+01,-5.9920497552537250e-04,-1.0043752389698846e-01,0.0000000000000000e+00,1.1102230246251565e-16
absolute_revolute_smooth,abs_revolute_gauss6,0.0125,ok,,80,1.1114653780582653e-07,1.9004317685258204e-03,5.97300089e-01,299,3.0646368391768660e-08,2.6628009216352988e-03,2.6628009216352988e-03,0.0000000000000000e+00,1.4319985007426003e-05,0.0000000000000000e+00,3.0646368391768660e-08,2.6628009216352988e-03,0.0000000000000000e+00,0.0000000000000000e+00,0.0000000000000000e+00,0.0000000000000000e+00,3.3766115072321297e-16,1.4319985007426003e-05,6.7050264629112306e+01,-3.3243650589147688e-07,-1.0044293743609709e-01,0.0000000000000000e+00,1.1102230246251565e-16
absolute_revolute_smooth,abs_revolute_gauss4_pivotvc,0.05,ok,,20,9.1538839863854075e-06,8.1181914085418083e-05,1.15158012e-01,79,8.2443199406192765e-07,3.2103833695953377e-03,3.2103833695953377e-03,0.0000000000000000e+00,4.9650683064945462e-16,0.0000000000000000e+00,8.2443199406192765e-07,3.2103833695953377e-03,0.0000000000000000e+00,0.0000000000000000e+00,0.0000000000000000e+00,0.0000000000000000e+00,2.7755575615628914e-16,4.9650683064945462e-16,6.6144078786885828e+01,-4.2573165789155300e-02,-1.0045506972098700e-01,0.0000000000000000e+00,1.1102230246251565e-16
absolute_revolute_smooth,abs_revolute_gauss4_pivotvc,0.025,ok,,40,8.8578203473149977e-07,4.8474617406586706e-04,1.75965656e-01,136,5.1621712462157625e-08,8.0272281253733675e-04,8.0272281253733675e-04,0.0000000000000000e+00,2.7744249029682645e-14,0.0000000000000000e+00,5.1621712462157625e-08,8.0272281253733675e-04,0.0000000000000000e+00,0.0000000000000000e+00,0.0000000000000000e+00,0.0000000000000000e+00,3.5108334685767012e-16,2.7744249029682645e-14,6.6191231957786073e+01,-4.5419977126435127e-03,-1.0044195989802071e-01,0.0000000000000000e+00,1.1102230246251565e-16
absolute_revolute_smooth,abs_revolute_gauss4_pivotvc,0.0125,ok,,80,4.6019480399858649e-08,6.0598704183827123e-04,3.80731035e-01,240,3.2278484028257578e-09,2.0066136603224036e-04,2.0066136603224036e-04,0.0000000000000000e+00,8.8861199474166826e-16,0.0000000000000000e+00,3.2278484028257578e-09,2.0066136603224036e-04,0.0000000000000000e+00,0.0000000000000000e+00,0.0000000000000000e+00,0.0000000000000000e+00,3.1401849173675503e-16,8.8861199474166826e-16,6.6164482077681441e+01,-4.5416229847281318e-04,-1.0044298188534082e-01,0.0000000000000000e+00,1.1102230246251565e-16
absolute_revolute_smooth,abs_revolute_gauss6_pivotvc,0.05,ok,,20,2.5325671617718807e-06,6.2824108085841879e-04,1.75852431e-01,79,2.6993457933083673e-10,2.6230589253435455e-05,2.6230589253435455e-05,0.0000000000000000e+00,9.1551335970444749e-16,0.0000000000000000e+00,2.6993457933083673e-10,2.6230589253435455e-05,0.0000000000000000e+00,0.0000000000000000e+00,0.0000000000000000e+00,0.0000000000000000e+00,3.7238012298709097e-16,9.1551335970444749e-16,6.6122930553594216e+01,-6.7693662322287093e-04,-1.0043988561083962e-01,0.0000000000000000e+00,1.1102230246251565e-16
