case,method,h,status,error_message,steps,orientation_error_rad,omega_l2_error,runtime_sec,total_newton_iterations,max_raw_endpoint_constraint_norm,max_raw_endpoint_velocity_constraint_norm,max_endpoint_pivot_velocity_constraint_norm,max_endpoint_axis_velocity_constraint_norm,max_stage_pivot_velocity_constraint_norm,max_stage_axis_velocity_constraint_norm,max_stage_pivot_acceleration_constraint_norm,max_stage_axis_acceleration_constraint_norm,max_stage_acceleration_constraint_norm,max_endpoint_constraint_norm,max_endpoint_velocity_constraint_norm,max_projection_position_correction,max_projection_orientation_correction_rad,max_projection_velocity_correction,max_projection_omega_correction,max_stage_constraint_norm,max_stage_velocity_constraint_norm,max_lambda_norm,max_stage_friction_power,final_energy_relative_change,max_step_energy_increase,max_quaternion_unit_error
offaxis_revolute_smooth,abs_revolute_gauss4,0.05,ok,,20,2.3550156944960074e-01,2.2345478808142696e+00,1.57922749e-01,98,8.5659523027133838e-04,3.1314778734053759e+00,3.1314778734053759e+00,1.2607430986652192e-18,5.9169382794513489e-02,2.6582017694591132e-20,2.1479530421239346e+02,8.6038958003293866e-17,2.1479530421239346e+02,8.5659523027133838e-04,3.1314778734053759e+00,0.0000000000000000e+00,0.0000000000000000e+00,0.0000000000000000e+00,0.0000000000000000e+00,4.0029660424867220e-16,5.9169382794513489e-02,6.2911510134274238e+02,-4.2740767250496442e-02,2.7585483121735493e-01,1.0148754459467693e+00,1.1102230246251565e-16
offaxis_revolute_smooth,abs_revolute_gauss4,0.025,ok,,40,4.0967001622824462e-01,1.7919720628532232e+00,2.82084618e-01,199,1.8195094711337661e-04,2.4792032618298685e+00,2.4792032618298685e+00,8.9915947746676227e-20,2.5208605449035471e-02,1.1791999199133389e-21,3.4190626915805922e+02,1.2413158934793637e-17,3.4190626915805922e+02,1.8195094711337661e-04,2.4792032618298685e+00,0.0000000000000000e+00,0.0000000000000000e+00,0.0000000000000000e+00,0.0000000000000000e+00,2.4825341532472731e-16,2.5208605449035471e-02,1.0410155573100421e+03,-4.4957168740625483e-03,-1.0461143233009418e-01,2.8999158543611614e-01,1.1102230246251565e-16
offaxis_revolute_smooth,abs_revolute_gauss4,0.0125,ok,,80,6.3061465353630086e-01,1.2072843919254814e+00,5.49142143e-01,405,3.6471331730189816e-05,1.7429477216358991e+00,1.7429477216358991e+00,1.0595039468335555e-19,1.0106229819582736e-02,1.5139942395794029e-21,4.8202291242641348e+02,2.9054707511752384e-17,4.8202291242641348e+02,3.6471331730189816e-05,1.7429477216358991e+00,0.0000000000000000e+00,0.0000000000000000e+00,0.0000000000000000e+00,0.0000000000000000e+00,3.5108334685767012e-16,1.0106229819582736e-02,1.5275555517781822e+03,-4.4528074703924285e-04,-4.4345428352749350e-01,6.7158017190234176e-02,1.1102230246251565e-16
offaxis_revolute_smooth,abs_revolute_gauss6,0.05,ok,,20,4.4795339537894286e-06,4.2196273168856456e-02,1.22698111e-01,80,8.0206029424709950e-06,4.3996622023792870e-02,4.3996622023792870e-02,2.7991998929953049e-19,9.3838638639155312e-04,7.2165146625526549e-21,5.2130653509955867e+00,3.3259140375637325e-17,5.2130653509955867e+00,8.0206029424709950e-06,4.3996622023792870e-02,0.0000000000000000e+00,0.0000000000000000e+00,0.0000000000000000e+00,0.0000000000000000e+00,3.5108334685767012e-16,9.3838638639155312e-04,6.9651028559186486e+01,-6.7747198491319507e-04,-1.0034200990565725e-01,0.0000000000000000e+00,1.1102230246251565e-16
offaxis_revolute_smooth,abs_revolute_gauss6,0.025,ok,,40,9.2667478212250601e-07,1.0878191330640156e-02,2.38565534e-01,159,5.1967861312969282e-07,1.1382557918263784e-02,1.1382557918263784e-02,6.1713213613560873e-18,1.2161017623498647e-04,7.9812811917256083e-20,2.7145467576593902e+00,1.4677466360985143e-15,2.7145467576593902e+00,5.1967861312969282e-07,1.1382557918263784e-02,0.0000000000000000e+00,0.0000000000000000e+00,0.0000000000000000e+00,0.0000000000000000e+00,2.4825341532472731e-16,1.2161017623498647e-04,6.8102917778358872e+01,-5.9920497552536816e-04,-1.0043752389699825e-01,0.0000000000000000e+00,1.1102230246251565e-16
offaxis_revolute_smooth,abs_revolute_gauss6,0.0125,ok,,80,1.4328908108890649e-07,2.5433128180058703e-03,5.10648751e-01,299,3.0646365690579751e-08,2.6628006557729224e-03,2.6628006557729224e-03,1.9199671575082678e-16,1.4319983656458065e-05,1.1269994329151593e-18,1.2741313402289800e+00,9.1782416025856634e-14,1.2741313402289800e+00,3.0646365690579751e-08,2.6628006557729224e-03,0.0000000000000000e+00,0.0000000000000000e+00,0.0000000000000000e+00,0.0000000000000000e+00,2.9893669801409083e-16,1.4319983656458065e-05,6.7058988841942053e+01,-3.3243650589136729e-07,-1.0044293743609228e-01,0.0000000000000000e+00,1.1102230246251565e-16
offaxis_revolute_smooth,abs_revolute_gauss4_pivotvc,0.05,ok,,20,9.1860265682069425e-06,5.6169943978947451e-04,1.05634643e-01,79,8.2443199406192765e-07,3.2103833695953377e-03,3.2103833695953377e-03,1.5258987243639686e-18,4.9650683064945462e-16,4.7407934588429742e-20,2.2092262823125183e-01,1.0335536330561347e-16,2.2092262823125183e-01,8.2443199406192765e-07,3.2103833695953377e-03,0.0000000000000000e+00,0.0000000000000000e+00,0.0000000000000000e+00,0.0000000000000000e+00,2.7755575615628914e-16,4.9650683064945512e-16,6.6152922524751389e+01,-4.2573165789155300e-02,-1.0045506972098700e-01,0.0000000000000000e+00,1.1102230246251565e-16
offaxis_revolute_smooth,abs_revolute_gauss4_pivotvc,0.025,ok,,40,8.5363943163311124e-07,1.5813518024792445e-04,5.48574231e-01,146,5.1621713269825160e-08,8.0272281288411274e-04,8.0272281288411274e-04,2.5361058148961217e-15,6.9688054555761956e-15,2.4344322202150552e-17,1.1107864434734800e-01,3.4991426951338705e-13,1.1107864434734800e-01,5.1621713269825160e-08,8.0272281288411274e-04,0.0000000000000000e+00,0.0000000000000000e+00,0.0000000000000000e+00,0.0000000000000000e+00,2.7755575622882849e-16,6.9688357908072223e-15,6.6200069396563606e+01,-4.5419977126435127e-03,-1.0044195989804344e-01,0.0000000000000000e+00,1.1102230246251565e-16
offaxis_revolute_smooth,abs_revolute_gauss4_pivotvc,0.0125,ok,,80,1.3876898606754034e-08,3.6894312036621357e-05,5.81298942e-01,240,3.2278484028257578e-09,2.0066136603224036e-04,2.0066136603224036e-04,4.5812842230529053e-15,8.8861199474166826e-16,3.5294581139917361e-17,5.5598446685675255e-02,1.2650122319348900e-12,5.5598446685675255e-02,3.2278484028257578e-09,2.0066136603224036e-04,0.0000000000000000e+00,0.0000000000000000e+00,0.0000000000000000e+00,0.0000000000000000e+00,3.1401849173715114e-16,8.8876149481441002e-16,6.6173323088747978e+01,-4.5416229847281318e-04,-1.0044298188534082e-01,0.0000000000000000e+00,1.1102230246251565e-16
offaxis_revolute_smooth,abs_revolute_gauss6_pivotvc,0.05,ok,,20,2.5004245799787247e-06,1.4640273016473804e-05,2.07549708e-01,79,2.6993457933083673e-10,2.6230589253435455e-05,2.6230589253435455e-05,5.5345497743524553e-17,9.1551335970444749e-16,1.4486412906574751e-18,2.7287211003356347e-03,6.5220820689776853e-15,2.7287211003356347e-03,2.6993457933083673e-10,2.6230589253435455e-05,0.0000000000000000e+00,0.0000000000000000e+00,0.0000000000000000e+00,0.0000000000000000e+00,3.7238012298709097e-16,9.1551447937886526e-16,6.6131777119592385e+01,-6.7693662322287093e-04,-1.0043988561083962e-01,0.0000000000000000e+00,1.1102230246251565e-16
