case,method,h,status,error_message,steps,orientation_error_rad,omega_l2_error,runtime_sec,total_newton_iterations,max_endpoint_constraint_norm,max_endpoint_velocity_constraint_norm,max_endpoint_pivot_velocity_constraint_norm,max_endpoint_axis_velocity_constraint_norm,max_stage_constraint_norm,max_stage_velocity_constraint_norm,max_stage_pivot_velocity_constraint_norm,max_stage_axis_velocity_constraint_norm,max_stage_pivot_acceleration_constraint_norm,max_stage_axis_acceleration_constraint_norm,max_stage_acceleration_constraint_norm,max_lambda_norm,max_stage_friction_power,final_energy_relative_change,max_step_energy_increase,max_quaternion_unit_error
double_revolute_smooth,double_revolute_gauss4,0.04,ok,,5,7.4709523381132208e-05,3.7258730564967465e-02,1.08286707e-01,22,7.2351361722592037e-05,3.5265053199639060e-02,3.5265053199639060e-02,5.4764922661490334e-19,5.3533015581491672e-16,5.7503149764542268e-03,5.7503149764542268e-03,4.9609234470865748e-20,2.6772910983574545e+00,4.4346545284438358e-17,2.6772910983574545e+00,5.2233941699896640e+01,-1.4945171101069873e-01,-2.0375790035996382e-03,0.0000000000000000e+00,0.0000000000000000e+00
double_revolute_smooth,double_revolute_gauss4,0.02,ok,,10,2.3115884189529944e-05,3.6160336467369804e-02,1.96992511e-01,40,1.8089916799217759e-05,3.4403789696906537e-02,3.4403789696906537e-02,1.4331213466451554e-18,4.5097472448829339e-16,3.0003248425846348e-03,3.0003248425846348e-03,5.1246616857883157e-20,5.5767435533953567e+00,2.4175630859572004e-16,5.5767435533953567e+00,6.5538204432039677e+01,-1.4682068732796152e-01,-1.9972226452569138e-03,0.0000000000000000e+00,1.1102230246251565e-16
double_revolute_smooth,double_revolute_gauss6,0.04,ok,,5,1.3873104054839912e-06,1.0861409010218348e-03,4.67270761e+00,23,5.4060318976083685e-07,7.9676786465632688e-04,7.9676786465632688e-04,3.6676706771284789e-19,6.3777457165885396e-16,7.2227623047230695e-05,7.2227623047230695e-05,3.3262256566997645e-20,1.1235425020521042e-01,5.2054092224551748e-17,1.1235425020521042e-01,4.6294741659551171e+01,-1.4620577522061334e-01,-2.0951384549148804e-03,0.0000000000000000e+00,1.1102230246251565e-16
double_revolute_smooth,double_revolute_gauss6,0.02,ok,,10,4.1048771961544058e-09,2.4861198059115676e-04,7.08560777e+00,40,3.2973665238234942e-08,1.8067052190947117e-04,1.8067052190947117e-04,3.0656003732606985e-19,4.5775667985222375e-16,8.7811012522561872e-06,8.7811012522561872e-06,1.5222963776870711e-20,5.4005369880723582e-02,8.9898847234463492e-17,5.4005369880723582e-02,4.7419304469662364e+01,-1.4742301636640040e-01,-2.0970898040037819e-03,0.0000000000000000e+00,0.0000000000000000e+00
double_revolute_smooth,double_revolute_gauss4_pivotva,0.04,ok,,5,9.3593784474703303e-06,2.6498446645308784e-05,1.39103931e-01,22,2.1436926496200621e-08,2.6317793470024428e-07,2.6317793470024428e-07,4.7985948492599477e-20,5.1478923876445170e-16,3.0169110567251755e-15,3.0169110567233563e-15,1.3055795440796885e-20,1.1799581718285565e-12,3.4360874959330612e-18,1.1799581718299647e-12,4.6593644457669733e+01,-1.4976477543207431e-01,-2.0963722767750495e-03,0.0000000000000000e+00,0.0000000000000000e+00
double_revolute_smooth,double_revolute_gauss4_pivotva,0.02,ok,,10,7.4777338575078968e-08,3.1763881181273744e-07,1.34773949e-01,40,1.3389423959386314e-09,1.6448067535515985e-08,1.6448067535515985e-08,8.3359612813552190e-19,4.6111025347562034e-16,1.0057327714035492e-15,1.0057327710640516e-15,3.1638187474126508e-20,3.8991588996869228e-13,1.4032591142226018e-16,3.8991588997056268e-13,4.6947894172678197e+01,-1.4665266017379741e-01,-2.0966536897713316e-03,0.0000000000000000e+00,1.1102230246251565e-16
double_revolute_smooth,double_revolute_gauss6_pivotva,0.04,ok,,5,7.7375528791205047e-07,2.0355079443347291e-06,3.84288946e+00,23,4.0770115848161571e-12,5.1254191809803041e-11,5.1254191809803041e-11,9.0897069071642759e-20,4.0792198665315552e-16,9.0823415300836466e-15,9.0823415300827788e-15,8.8070356710590781e-21,2.5765466011210717e-12,1.2722421319312858e-17,2.5765466011211807e-12,4.6924078469706508e+01,-1.4665511430251513e-01,-2.0966800903428097e-03,0.0000000000000000e+00,0.0000000000000000e+00
double_revolute_smooth,double_revolute_gauss6_pivotva,0.02,ok,,10,2.1112329103961177e-09,9.7977164847563915e-09,8.20629583e+00,40,6.3086756552449973e-14,7.7447423653906943e-13,7.7447423653887778e-13,5.4471535691744287e-19,4.7102773760513257e-16,1.4536113271248636e-15,1.4536113270870746e-15,2.7923962054440702e-20,8.2871006764575876e-13,1.6025458379696471e-16,8.2871006765419405e-13,4.7115677224234823e+01,-1.4713118728490601e-01,-2.0966542640099908e-03,0.0000000000000000e+00,1.1102230246251565e-16
double_revolute_smooth,double_revolute_gauss4_fullva,0.04,ok,,5,9.3593784475213742e-06,2.6498446645308784e-05,1.08659266e-01,22,2.1436926650079812e-08,2.6317793467621073e-07,2.6317793467621073e-07,2.6214901396021795e-26,5.1478923876445170e-16,3.0169110567233563e-15,3.0169110567233563e-15,2.0729304908007530e-24,1.1803195303878323e-12,9.0893234957127528e-26,1.1803195303878323e-12,4.6593644457669733e+01,-1.4976477543207431e-01,-2.0963722767750495e-03,0.0000000000000000e+00,0.0000000000000000e+00
double_revolute_smooth,double_revolute_gauss4_fullva,0.02,ok,,10,7.4777338575078968e-08,3.1763881181273744e-07,1.77745380e-01,40,1.3389423959386314e-09,1.6448067535515985e-08,1.6448067535515985e-08,5.1833658535010225e-27,4.6111025347562034e-16,1.0057327710640516e-15,1.0057327710640516e-15,4.4824648415632171e-25,3.8999408977420700e-13,7.5411767153945534e-26,3.8999408977420700e-13,4.6947894172678197e+01,-1.4665266017379744e-01,-2.0966536897713316e-03,0.0000000000000000e+00,1.1102230246251565e-16
double_revolute_smooth,double_revolute_gauss6_fullva,0.04,ok,,5,7.7375528791205047e-07,2.0355079443347291e-06,3.44426267e+00,23,4.0770115848161571e-12,5.1254338650172816e-11,5.1254338650172816e-11,5.3342623086706800e-27,4.0792198665315572e-16,9.1054999065347243e-15,9.1054999065347243e-15,1.4097144323875960e-24,2.5761273846028608e-12,3.5739116172272829e-26,2.5761273846028608e-12,4.6924078469706501e+01,-1.4665511430251515e-01,-2.0966800903428097e-03,0.0000000000000000e+00,0.0000000000000000e+00
