model,mapping_scope,method,h,reference_mode,reference_h,t_final,status,error_message,steps,runtime_sec,reference_runtime_sec,body_count,constraint_count,dp1_count,dp2_count,cd_count,d_count,pos_traj_linf,vel_traj_linf,acc_traj_linf,max_position_constraint_norm,max_velocity_constraint_norm,max_acceleration_constraint_norm,max_so3_fro,avg_iterations,max_iterations,pos_observed_order,vel_observed_order,acc_observed_order,notes
single_pendulum,four_example_lower_pair_constraint_graph_residual_bridge,v047_constraint_level_residual_audit_on_asme_json_graphs,0.02,kinematics,0.001,0.2,ok,,10,2.16359720e-02,1.06616555e-01,1,6,3,0,3,0,2.3730992726456179e-09,4.8130495702330078e-02,2.2258568637868326e+00,3.2810828402801461e-09,2.2840730968578526e-02,1.1118835282068893e+00,1.0619029877206130e-10,3.9090909090909092e+00,5.0000000000000000e+00,1.0564018563227711e-15,9.9773696058791117e-01,1.3118676246478501e-03,"Method-side bridge for the four ASME JSON lower-pair graphs. The run evaluates DP1/CD/DP2/D position-, velocity-, and acceleration-level residuals on nested v046 trajectories and records three-step-size trajectory errors. This maps four-link and slider-crank constraint graphs into the v047 gate, but it is not yet a local FullVA closed-loop time-stepper for those two examples."
single_pendulum,four_example_lower_pair_constraint_graph_residual_bridge,v047_constraint_level_residual_audit_on_asme_json_graphs,0.01,kinematics,0.001,0.2,ok,,20,2.63100161e-02,1.06616555e-01,1,6,3,0,3,0,2.3730992726456179e-09,2.4115665751083926e-02,2.2225692856345494e+00,3.2810828402801461e-09,1.1444679301195249e-02,1.1110116584205678e+00,1.0619022026846924e-10,3.3333333333333335e+00,4.0000000000000000e+00,1.0564018563227711e-15,9.9773696058791117e-01,1.3118676246478501e-03,"Method-side bridge for the four ASME JSON lower-pair graphs. The run evaluates DP1/CD/DP2/D position-, velocity-, and acceleration-level residuals on nested v046 trajectories and records three-step-size trajectory errors. This maps four-link and slider-crank constraint graphs into the v047 gate, but it is not yet a local FullVA closed-loop time-stepper for those two examples."
single_pendulum,four_example_lower_pair_constraint_graph_residual_bridge,v047_constraint_level_residual_audit_on_asme_json_graphs,0.005,kinematics,0.001,0.2,ok,,40,4.98344511e-02,1.06616555e-01,1,6,3,0,3,0,2.3730992726456179e-09,1.2070432416059651e-02,2.2218125219829243e+00,3.2810828402801461e-09,5.7289757335547281e-03,1.1107944826674268e+00,1.0619006325816580e-10,2.7317073170731709e+00,3.0000000000000000e+00,1.0564018563227711e-15,9.9773696058791117e-01,1.3118676246478501e-03,"Method-side bridge for the four ASME JSON lower-pair graphs. The run evaluates DP1/CD/DP2/D position-, velocity-, and acceleration-level residuals on nested v046 trajectories and records three-step-size trajectory errors. This maps four-link and slider-crank constraint graphs into the v047 gate, but it is not yet a local FullVA closed-loop time-stepper for those two examples."
double_pendulum,four_example_lower_pair_constraint_graph_residual_bridge,v047_constraint_level_residual_audit_on_asme_json_graphs,0.02,dynamics,0.001,0.2,ok,,10,2.23004860e-02,2.01733251e-01,2,10,4,0,6,0,2.2306625753647724e-02,5.7717541197055411e-04,9.6095838297262870e-02,2.0082898689110137e-13,9.8138844367382204e-03,1.9244171272123770e-01,4.7114495447305225e-16,3.2727272727272729e+00,4.0000000000000000e+00,1.1237327970144608e+00,1.1411534037454663e+00,1.1045421245052838e+00,"Method-side bridge for the four ASME JSON lower-pair graphs. The run evaluates DP1/CD/DP2/D position-, velocity-, and acceleration-level residuals on nested v046 trajectories and records three-step-size trajectory errors. This maps four-link and slider-crank constraint graphs into the v047 gate, but it is not yet a local FullVA closed-loop time-stepper for those two examples."
double_pendulum,four_example_lower_pair_constraint_graph_residual_bridge,v047_constraint_level_residual_audit_on_asme_json_graphs,0.01,dynamics,0.001,0.2,ok,,20,3.47818070e-02,2.01733251e-01,2,10,4,0,6,0,1.0568582454506981e-02,2.6917084392774626e-04,4.6345447901969594e-02,5.1404871054343359e-13,4.9081294056688828e-03,9.7580079317833607e-02,1.1109425843038101e-15,2.7142857142857144e+00,3.0000000000000000e+00,1.1237327970144608e+00,1.1411534037454663e+00,1.1045421245052838e+00,"Method-side bridge for the four ASME JSON lower-pair graphs. The run evaluates DP1/CD/DP2/D position-, velocity-, and acceleration-level residuals on nested v046 trajectories and records three-step-size trajectory errors. This maps four-link and slider-crank constraint graphs into the v047 gate, but it is not yet a local FullVA closed-loop time-stepper for those two examples."
double_pendulum,four_example_lower_pair_constraint_graph_residual_bridge,v047_constraint_level_residual_audit_on_asme_json_graphs,0.005,dynamics,0.001,0.2,ok,,40,5.84551661e-02,2.01733251e-01,2,10,4,0,6,0,4.6976355770700362e-03,1.1864925434901252e-04,2.0782795193287962e-02,1.3838108890456022e-12,2.4543604540069241e-03,4.9133540582902445e-02,7.4519841631947404e-16,2.3170731707317072e+00,3.0000000000000000e+00,1.1237327970144608e+00,1.1411534037454663e+00,1.1045421245052838e+00,"Method-side bridge for the four ASME JSON lower-pair graphs. The run evaluates DP1/CD/DP2/D position-, velocity-, and acceleration-level residuals on nested v046 trajectories and records three-step-size trajectory errors. This maps four-link and slider-crank constraint graphs into the v047 gate, but it is not yet a local FullVA closed-loop time-stepper for those two examples."
four_link,four_example_lower_pair_constraint_graph_residual_bridge,v047_constraint_level_residual_audit_on_asme_json_graphs,0.02,kinematics,0.001,0.2,ok,,10,5.40243420e-02,2.70174395e-01,3,18,6,0,12,0,1.0990309018410471e-07,1.6849987521732146e-01,8.7967711776490081e+00,1.3960723369716503e-02,7.2855249201598840e+00,3.6006593899743871e+02,2.6478425458277136e-09,6.6363636363636367e+00,8.0000000000000000e+00,-8.3327186222499184e-16,9.9460527968112400e-01,-2.7104507947960925e-16,"Method-side bridge for the four ASME JSON lower-pair graphs. The run evaluates DP1/CD/DP2/D position-, velocity-, and acceleration-level residuals on nested v046 trajectories and records three-step-size trajectory errors. This maps four-link and slider-crank constraint graphs into the v047 gate, but it is not yet a local FullVA closed-loop time-stepper for those two examples."
four_link,four_example_lower_pair_constraint_graph_residual_bridge,v047_constraint_level_residual_audit_on_asme_json_graphs,0.01,kinematics,0.001,0.2,ok,,20,6.96278751e-02,2.70174395e-01,3,18,6,0,12,0,1.0990309018410471e-07,8.4677386089232698e-02,8.7967711776489974e+00,1.3960723369716503e-02,7.2855249201598840e+00,7.3574017352914791e+02,2.6478428786116690e-09,5.0000000000000000e+00,7.0000000000000000e+00,-8.3327186222499184e-16,9.9460527968112400e-01,-2.7104507947960925e-16,"Method-side bridge for the four ASME JSON lower-pair graphs. The run evaluates DP1/CD/DP2/D position-, velocity-, and acceleration-level residuals on nested v046 trajectories and records three-step-size trajectory errors. This maps four-link and slider-crank constraint graphs into the v047 gate, but it is not yet a local FullVA closed-loop time-stepper for those two examples."
four_link,four_example_lower_pair_constraint_graph_residual_bridge,v047_constraint_level_residual_audit_on_asme_json_graphs,0.005,kinematics,0.001,0.2,ok,,40,1.75840809e-01,2.70174395e-01,3,18,6,0,12,0,1.0990309018410471e-07,4.2441188537567065e-02,8.7967711776490081e+00,1.3960723369716503e-02,7.2855249201598840e+00,1.5542511171145300e+03,2.6478435638791259e-09,4.0000000000000000e+00,6.0000000000000000e+00,-8.3327186222499184e-16,9.9460527968112400e-01,-2.7104507947960925e-16,"Method-side bridge for the four ASME JSON lower-pair graphs. The run evaluates DP1/CD/DP2/D position-, velocity-, and acceleration-level residuals on nested v046 trajectories and records three-step-size trajectory errors. This maps four-link and slider-crank constraint graphs into the v047 gate, but it is not yet a local FullVA closed-loop time-stepper for those two examples."
slider_crank,four_example_lower_pair_constraint_graph_residual_bridge,v047_constraint_level_residual_audit_on_asme_json_graphs,0.02,kinematics,0.001,0.2,ok,,10,5.10776041e-02,3.66844265e-01,3,18,7,4,6,1,2.7989692150121037e-07,2.6640908725063906e-02,1.0464684845934622e+00,1.2059301331624360e-06,3.3285861962291712e-02,1.6874661462312652e+00,2.1531077653584147e-06,5.7272727272727275e+00,7.0000000000000000e+00,2.3986119566831181e-15,9.9930126303526634e-01,1.3606692478588539e-01,"Method-side bridge for the four ASME JSON lower-pair graphs. The run evaluates DP1/CD/DP2/D position-, velocity-, and acceleration-level residuals on nested v046 trajectories and records three-step-size trajectory errors. This maps four-link and slider-crank constraint graphs into the v047 gate, but it is not yet a local FullVA closed-loop time-stepper for those two examples."
