h,component,status,error_message,paper_source,rows_per_stage,total_rows,paper_inputs_required,stage_local_formula,paper_augmented_dim_6n_plus_c,paper_q_dim,paper_lambda_dim,max_formula_residual_norm,max_y_relation_residual_norm,max_z_relation_residual_norm,max_lie_velocity_reconstruction_norm,max_lie_acceleration_reconstruction_norm,start_z0_policy_required,stage_local_formula_present,residual_substituted,accepted_h_sweep_present,full_tfe_stage_replacement,blocking_gap,notes
0.04,translational_position_weak_defect,paper_tfe_kinematic_formula_derived_residual_not_replaced,,Chaturvedi-Sandu-Sandu-2026 Eq-26-to-33 and Eq-43,6,18,"x_q,y_q",v - y_r,20,12,8,0.0000000000000000e+00,0.0000000000000000e+00,0.0000000000000000e+00,3.4694469519536142e-18,2.4532694666933987e-18,False,True,False,False,False,substitute the paper y_r kinematic row into the Newton residual and remove the Gauss position-collocation row,"Manufactured stage-local audit: paper x nodes are built over the v047 q/lambda layout, paper y/z are derived by the Lobatto operator, and the listed kinematic row formula is checked against the v047 local v/w/a/alpha variable path. This derives the formula but does not insert it into the Newton residual."
0.04,rotational_lie_position_weak_defect,paper_tfe_kinematic_formula_derived_residual_not_replaced,,Chaturvedi-Sandu-Sandu-2026 Eq-26-to-33 and Eq-43,6,18,"x_q,y_q",J_r(u)^{-1} w - y_u,20,12,8,4.6708859064701692e-18,0.0000000000000000e+00,0.0000000000000000e+00,3.4694469519536142e-18,2.4532694666933987e-18,False,True,False,False,False,substitute the right-trivialized paper y_u Lie row into the Newton residual and remove the Gauss rotational-collocation row,"Manufactured stage-local audit: paper x nodes are built over the v047 q/lambda layout, paper y/z are derived by the Lobatto operator, and the listed kinematic row formula is checked against the v047 local v/w/a/alpha variable path. This derives the formula but does not insert it into the Newton residual."
0.04,translational_velocity_weak_defect,paper_tfe_kinematic_formula_derived_residual_not_replaced,,Chaturvedi-Sandu-Sandu-2026 Eq-26-to-33 and Eq-43,6,18,"y_q,z_q",a - z_r,20,12,8,0.0000000000000000e+00,0.0000000000000000e+00,0.0000000000000000e+00,3.4694469519536142e-18,2.4532694666933987e-18,True,True,False,False,False,"supply an accepted step-start z0 acceleration policy, then substitute the paper z_r row into the Newton residual","Manufactured stage-local audit: paper x nodes are built over the v047 q/lambda layout, paper y/z are derived by the Lobatto operator, and the listed kinematic row formula is checked against the v047 local v/w/a/alpha variable path. This derives the formula but does not insert it into the Newton residual."
0.04,angular_velocity_weak_defect,paper_tfe_kinematic_formula_derived_residual_not_replaced,,Chaturvedi-Sandu-Sandu-2026 Eq-26-to-33 and Eq-43,6,18,"y_q,z_q",d/dt[J_r(u)^{-1} w] - z_u,20,12,8,3.5762240613454980e-18,0.0000000000000000e+00,0.0000000000000000e+00,3.4694469519536142e-18,2.4532694666933987e-18,True,True,False,False,False,"supply an accepted step-start z0 acceleration policy, then substitute the Lie-Hessian paper z_u row into the Newton residual","Manufactured stage-local audit: paper x nodes are built over the v047 q/lambda layout, paper y/z are derived by the Lobatto operator, and the listed kinematic row formula is checked against the v047 local v/w/a/alpha variable path. This derives the formula but does not insert it into the Newton residual."
0.02,translational_position_weak_defect,paper_tfe_kinematic_formula_derived_residual_not_replaced,,Chaturvedi-Sandu-Sandu-2026 Eq-26-to-33 and Eq-43,6,18,"x_q,y_q",v - y_r,20,12,8,0.0000000000000000e+00,0.0000000000000000e+00,0.0000000000000000e+00,4.9065389333867974e-18,1.7881120306727490e-18,False,True,False,False,False,substitute the paper y_r kinematic row into the Newton residual and remove the Gauss position-collocation row,"Manufactured stage-local audit: paper x nodes are built over the v047 q/lambda layout, paper y/z are derived by the Lobatto operator, and the listed kinematic row formula is checked against the v047 local v/w/a/alpha variable path. This derives the formula but does not insert it into the Newton residual."
0.02,rotational_lie_position_weak_defect,paper_tfe_kinematic_formula_derived_residual_not_replaced,,Chaturvedi-Sandu-Sandu-2026 Eq-26-to-33 and Eq-43,6,18,"x_q,y_q",J_r(u)^{-1} w - y_u,20,12,8,7.2576788204181851e-18,0.0000000000000000e+00,0.0000000000000000e+00,4.9065389333867974e-18,1.7881120306727490e-18,False,True,False,False,False,substitute the right-trivialized paper y_u Lie row into the Newton residual and remove the Gauss rotational-collocation row,"Manufactured stage-local audit: paper x nodes are built over the v047 q/lambda layout, paper y/z are derived by the Lobatto operator, and the listed kinematic row formula is checked against the v047 local v/w/a/alpha variable path. This derives the formula but does not insert it into the Newton residual."
0.02,translational_velocity_weak_defect,paper_tfe_kinematic_formula_derived_residual_not_replaced,,Chaturvedi-Sandu-Sandu-2026 Eq-26-to-33 and Eq-43,6,18,"y_q,z_q",a - z_r,20,12,8,0.0000000000000000e+00,0.0000000000000000e+00,0.0000000000000000e+00,4.9065389333867974e-18,1.7881120306727490e-18,True,True,False,False,False,"supply an accepted step-start z0 acceleration policy, then substitute the paper z_r row into the Newton residual","Manufactured stage-local audit: paper x nodes are built over the v047 q/lambda layout, paper y/z are derived by the Lobatto operator, and the listed kinematic row formula is checked against the v047 local v/w/a/alpha variable path. This derives the formula but does not insert it into the Newton residual."
0.02,angular_velocity_weak_defect,paper_tfe_kinematic_formula_derived_residual_not_replaced,,Chaturvedi-Sandu-Sandu-2026 Eq-26-to-33 and Eq-43,6,18,"y_q,z_q",d/dt[J_r(u)^{-1} w] - z_u,20,12,8,3.1868905207277775e-18,0.0000000000000000e+00,0.0000000000000000e+00,4.9065389333867974e-18,1.7881120306727490e-18,True,True,False,False,False,"supply an accepted step-start z0 acceleration policy, then substitute the Lie-Hessian paper z_u row into the Newton residual","Manufactured stage-local audit: paper x nodes are built over the v047 q/lambda layout, paper y/z are derived by the Lobatto operator, and the listed kinematic row formula is checked against the v047 local v/w/a/alpha variable path. This derives the formula but does not insert it into the Newton residual."
0.01,translational_position_weak_defect,paper_tfe_kinematic_formula_derived_residual_not_replaced,,Chaturvedi-Sandu-Sandu-2026 Eq-26-to-33 and Eq-43,6,18,"x_q,y_q",v - y_r,20,12,8,0.0000000000000000e+00,0.0000000000000000e+00,0.0000000000000000e+00,3.8789596144488642e-18,9.6973990361221606e-19,False,True,False,False,False,substitute the paper y_r kinematic row into the Newton residual and remove the Gauss position-collocation row,"Manufactured stage-local audit: paper x nodes are built over the v047 q/lambda layout, paper y/z are derived by the Lobatto operator, and the listed kinematic row formula is checked against the v047 local v/w/a/alpha variable path. This derives the formula but does not insert it into the Newton residual."
0.01,rotational_lie_position_weak_defect,paper_tfe_kinematic_formula_derived_residual_not_replaced,,Chaturvedi-Sandu-Sandu-2026 Eq-26-to-33 and Eq-43,6,18,"x_q,y_q",J_r(u)^{-1} w - y_u,20,12,8,5.1313812427473405e-18,0.0000000000000000e+00,0.0000000000000000e+00,3.8789596144488642e-18,9.6973990361221606e-19,False,True,False,False,False,substitute the right-trivialized paper y_u Lie row into the Newton residual and remove the Gauss rotational-collocation row,"Manufactured stage-local audit: paper x nodes are built over the v047 q/lambda layout, paper y/z are derived by the Lobatto operator, and the listed kinematic row formula is checked against the v047 local v/w/a/alpha variable path. This derives the formula but does not insert it into the Newton residual."
