case,h,reference_h,alpha,steps,status,error_message,reference_completed,trajectory_completed,position_error_vs_source_free_mean_blend_reference,velocity_error_vs_source_free_mean_blend_reference,max_residual_norm,max_source_consistency_row_norm,max_blend_mean_closure_row_norm,max_source_free_lower_pair_row_norm,max_raw_terminal_endpoint_constraint_norm,max_raw_terminal_endpoint_velocity_constraint_norm,max_terminal_vs_gauss_position_delta_norm,max_terminal_vs_gauss_velocity_delta_norm,min_jacobian_rank,max_raw_jacobian_condition,max_scaled_jacobian_condition,max_condition_reduction_raw_to_scaled,max_raw_linear_residual_norm,max_scaled_linear_residual_norm,initial_z0_residual_norm,initial_z0_jacobian_rank,initial_z0_jacobian_condition,initial_z0_norm,max_terminal_z0_update_delta_norm,max_terminal_z0_norm,total_newton_iterations,max_newton_iterations,position_observed_order,velocity_observed_order,terminal_velocity_observed_power_h,residual_observed_power_h,row_families_substituted,stage_rows_substituted,source_consistency_rows,blend_mean_closure_rows,source_free_lower_pair_rows,lower_pair_row_formula,linear_solve_policy,output_policy,start_z0_policy,selection_source,external_endpoint_source_removed,endpoint_boundary_source_removed,terminal_row_replacement_used,projection_used,trajectory_h_sweep_present,one_step_h_sweep_present,accepted_h_sweep_present,full_tfe_stage_replacement,blocking_gap,notes,gamma,gamma_values,centered_terminal_velocity_bridge_present,terminal_boundary_row_used,terminal_velocity_gamma_best,global_best_gamma_by_terminal_velocity,gamma_count
cylindrical_smooth,0.04,0.005,,2,paper_tfe_lower_pair_centered_terminal_velocity_bridge_order_limited_not_full_tfe,,True,True,8.7614367976848781e-08,1.1999710618288891e-05,2.3216613581402388e-12,1.4072531010223460e-15,2.4608819147268843e-17,1.4074682533957319e-15,8.6027203594800381e-08,2.4867555943846454e-16,3.1937596407829102e-03,1.4077479182095655e-02,132,3.1522824439811148e+07,2.2261434582878451e+03,1.5256955083089988e+04,2.6073028478302135e-14,3.8184080565964612e-15,4.4087858519822445e-15,20,1.6575151823470364e+01,1.9456826690375223e+01,2.0360953441648486e+00,1.9456826690375223e+01,13,5,3.5232369711335463e+00,4.8279852358992263e+00,-3.4486192787472952e-01,-9.2977370766386658e-01,6,132,16,8,24,centered_acceleration_source_consistency_plus_terminal_velocity_defect_bridge,iterative_equilibrated,raw_terminal_lobatto_node_no_projection,consistent_initial_acceleration_then_recurrent_terminal_z,gamma_sweep_terminal_velocity_bridge,True,False,True,False,True,False,False,False,"Direct terminal velocity rows close the terminal gate, but they are endpoint-boundary rows and the best terminal gamma is smooth-order limited.",gamma=0 is centered source-consistency plus direct terminal velocity; positive gamma adds an h-scaled mean-acceleration defect. This bridge localizes the remaining target to replacing terminal-boundary rows by independently derived stage-local TFE rows.,0,0;0.5;1,True,True,0,0,3
cylindrical_smooth,0.02,0.005,,4,paper_tfe_lower_pair_centered_terminal_velocity_bridge_order_limited_not_full_tfe,,True,True,4.2799306747328826e-09,3.9529354256953026e-08,2.5293403096553380e-12,6.7466542278306283e-16,1.9454391072930252e-17,6.7494585414762525e-16,2.1140497905973304e-08,1.9667027129381250e-16,8.0381261297306336e-04,4.0560715190017475e-03,132,2.5224957758688003e+08,6.1937100358719781e+03,4.7830062811860189e+04,3.9099739150640344e-14,3.8184080565964612e-15,4.4087858519822445e-15,20,1.6575151823470364e+01,1.9456826690375223e+01,1.2441297513691498e+00,1.9456826690375223e+01,21,5,3.5232369711335463e+00,4.8279852358992263e+00,-3.4486192787472952e-01,-9.2977370766386658e-01,6,132,16,8,24,centered_acceleration_source_consistency_plus_terminal_velocity_defect_bridge,iterative_equilibrated,raw_terminal_lobatto_node_no_projection,consistent_initial_acceleration_then_recurrent_terminal_z,gamma_sweep_terminal_velocity_bridge,True,False,True,False,True,False,False,False,"Direct terminal velocity rows close the terminal gate, but they are endpoint-boundary rows and the best terminal gamma is smooth-order limited.",gamma=0 is centered source-consistency plus direct terminal velocity; positive gamma adds an h-scaled mean-acceleration defect. This bridge localizes the remaining target to replacing terminal-boundary rows by independently derived stage-local TFE rows.,0,0;0.5;1,True,True,0,0,3
cylindrical_smooth,0.01,0.005,,8,paper_tfe_lower_pair_centered_terminal_velocity_bridge_order_limited_not_full_tfe,,True,True,6.6278903071868529e-10,1.4874213933662871e-08,8.4251651641329973e-12,6.3389938807487866e-16,8.6540905665459194e-18,6.3390550480739369e-16,5.4214743581147279e-09,4.0110739872464226e-16,2.0138320357231766e-04,1.0125510546193117e-03,132,2.0156274460085013e+09,1.6877489646598944e+04,1.4959480580292118e+05,6.5067350387097585e-14,3.8184080565964612e-15,4.4087858519822445e-15,20,1.6575151823470364e+01,1.9456826690375223e+01,6.2839055166612223e-01,1.9456826690375223e+01,37,5,3.5232369711335463e+00,4.8279852358992263e+00,-3.4486192787472952e-01,-9.2977370766386658e-01,6,132,16,8,24,centered_acceleration_source_consistency_plus_terminal_velocity_defect_bridge,iterative_equilibrated,raw_terminal_lobatto_node_no_projection,consistent_initial_acceleration_then_recurrent_terminal_z,gamma_sweep_terminal_velocity_bridge,True,False,True,False,True,False,False,False,"Direct terminal velocity rows close the terminal gate, but they are endpoint-boundary rows and the best terminal gamma is smooth-order limited.",gamma=0 is centered source-consistency plus direct terminal velocity; positive gamma adds an h-scaled mean-acceleration defect. This bridge localizes the remaining target to replacing terminal-boundary rows by independently derived stage-local TFE rows.,0,0;0.5;1,True,True,0,0,3
cylindrical_smooth,0.04,0.005,,2,paper_tfe_lower_pair_centered_terminal_velocity_bridge_order_limited_not_full_tfe,,True,True,8.7543511616035250e-08,1.2000121057702600e-05,2.5667257506386390e-12,1.2881909270124476e-15,1.9231693476717080e-17,1.2882703700515229e-15,1.1182774923937462e-07,1.4191215911405716e-06,3.1937596407653115e-03,1.4077481661990746e-02,132,2.0356495883938827e+07,1.4328564111802718e+03,1.5469901386919479e+04,2.0335210431781814e-14,3.8184080565964612e-15,4.4087858519822445e-15,20,1.6575151823470364e+01,1.9456826690375223e+01,2.0360885980592500e+00,1.9456826690375223e+01,13,5,3.6082618875106029e+00,5.0309430936762629e+00,9.6949121062854260e-01,-6.9130792704418831e-01,6,132,16,8,24,centered_acceleration_source_consistency_plus_terminal_velocity_defect_bridge,iterative_equilibrated,raw_terminal_lobatto_node_no_projection,consistent_initial_acceleration_then_recurrent_terminal_z,gamma_sweep_terminal_velocity_bridge,True,False,True,False,True,False,False,False,"Direct terminal velocity rows close the terminal gate, but they are endpoint-boundary rows and the best terminal gamma is smooth-order limited.",gamma=0 is centered source-consistency plus direct terminal velocity; positive gamma adds an h-scaled mean-acceleration defect. This bridge localizes the remaining target to replacing terminal-boundary rows by independently derived stage-local TFE rows.,0.5,0;0.5;1,True,True,0,0,3
cylindrical_smooth,0.02,0.005,,4,paper_tfe_lower_pair_centered_terminal_velocity_bridge_order_limited_not_full_tfe,,True,True,4.2241192532349142e-09,4.3844599612662042e-08,2.5171183352745383e-12,9.7109650202235871e-16,1.2810845756089553e-17,9.7110325734475902e-16,3.3943388591733914e-08,4.2795360723202305e-07,8.0381261297270351e-04,4.0560705415248286e-03,132,1.6307646593224183e+08,4.0005960769890967e+03,4.8275615407968457e+04,3.6230281330674519e-14,3.8184080565964612e-15,4.4087858519822445e-15,20,1.6575151823470364e+01,1.9456826690375223e+01,1.2441359676445785e+00,1.9456826690375223e+01,21,5,3.6082618875106029e+00,5.0309430936762629e+00,9.6949121062854260e-01,-6.9130792704418831e-01,6,132,16,8,24,centered_acceleration_source_consistency_plus_terminal_velocity_defect_bridge,iterative_equilibrated,raw_terminal_lobatto_node_no_projection,consistent_initial_acceleration_then_recurrent_terminal_z,gamma_sweep_terminal_velocity_bridge,True,False,True,False,True,False,False,False,"Direct terminal velocity rows close the terminal gate, but they are endpoint-boundary rows and the best terminal gamma is smooth-order limited.",gamma=0 is centered source-consistency plus direct terminal velocity; positive gamma adds an h-scaled mean-acceleration defect. This bridge localizes the remaining target to replacing terminal-boundary rows by independently derived stage-local TFE rows.,0.5,0;0.5;1,True,True,0,0,3
cylindrical_smooth,0.01,0.005,,8,paper_tfe_lower_pair_centered_terminal_velocity_bridge_order_limited_not_full_tfe,,True,True,5.8861841196546047e-10,1.1226802221364298e-08,6.6924989579937828e-12,5.1273008452142633e-16,1.1439418222366086e-17,5.1285767992944708e-16,1.0510773525761719e-08,3.7010737378103703e-07,2.0138320357244142e-04,1.0125508922581800e-03,132,1.3036416012414637e+09,1.0912095652582590e+04,1.5038452389488326e+05,3.9774762842230076e-14,3.8184080565964612e-15,4.4087858519822445e-15,20,1.6575151823470364e+01,1.9456826690375223e+01,6.2839223545910483e-01,1.9456826690375223e+01,37,5,3.6082618875106029e+00,5.0309430936762629e+00,9.6949121062854260e-01,-6.9130792704418831e-01,6,132,16,8,24,centered_acceleration_source_consistency_plus_terminal_velocity_defect_bridge,iterative_equilibrated,raw_terminal_lobatto_node_no_projection,consistent_initial_acceleration_then_recurrent_terminal_z,gamma_sweep_terminal_velocity_bridge,True,False,True,False,True,False,False,False,"Direct terminal velocity rows close the terminal gate, but they are endpoint-boundary rows and the best terminal gamma is smooth-order limited.",gamma=0 is centered source-consistency plus direct terminal velocity; positive gamma adds an h-scaled mean-acceleration defect. This bridge localizes the remaining target to replacing terminal-boundary rows by independently derived stage-local TFE rows.,0.5,0;0.5;1,True,True,0,0,3
cylindrical_smooth,0.04,0.005,,2,paper_tfe_lower_pair_centered_terminal_velocity_bridge_order_limited_not_full_tfe,,True,True,8.7520297511765777e-08,1.2000712129930575e-05,2.6250415695210965e-12,7.9135154311057415e-16,1.6090120554038812e-17,7.9151417062534617e-16,1.2416701801573460e-07,2.0978240585338780e-06,3.1937596407568439e-03,1.4077482848116513e-02,132,1.5017795352446014e+07,1.0539717717842977e+03,1.5642080333212009e+04,2.7307713796503245e-14,3.8184080565964612e-15,4.4087858519822445e-15,20,1.6575151823470364e+01,1.9456826690375223e+01,2.0360853720089112e+00,1.9456826690375223e+01,13,5,3.7350421643341072e+00,5.0079536314466502e+00,9.5119833562150791e-01,-9.2193218679857136e-01,6,132,16,8,24,centered_acceleration_source_consistency_plus_terminal_velocity_defect_bridge,iterative_equilibrated,raw_terminal_lobatto_node_no_projection,consistent_initial_acceleration_then_recurrent_terminal_z,gamma_sweep_terminal_velocity_bridge,True,False,True,False,True,False,False,False,"Direct terminal velocity rows close the terminal gate, but they are endpoint-boundary rows and the best terminal gamma is smooth-order limited.",gamma=0 is centered source-consistency plus direct terminal velocity; positive gamma adds an h-scaled mean-acceleration defect. This bridge localizes the remaining target to replacing terminal-boundary rows by independently derived stage-local TFE rows.,1,0;0.5;1,True,True,0,0,3
cylindrical_smooth,0.02,0.005,,4,paper_tfe_lower_pair_centered_terminal_velocity_bridge_order_limited_not_full_tfe,,True,True,4.1902422377298113e-09,4.1431989709776727e-08,4.1240608860886221e-12,7.2269134330044096e-16,1.3567117390814871e-17,7.2280950195789567e-16,4.1125554452724933e-08,7.3773760842803359e-07,8.0381261297289769e-04,4.0560701242041228e-03,132,1.2043094928613058e+08,2.9518853119476225e+03,4.8685173275460023e+04,3.6225436003818209e-14,3.8184080565964612e-15,4.4087858519822445e-15,20,1.6575151823470364e+01,1.9456826690375223e+01,1.2441396323787468e+00,1.9456826690375223e+01,21,5,3.7350421643341072e+00,5.0079536314466502e+00,9.5119833562150791e-01,-9.2193218679857136e-01,6,132,16,8,24,centered_acceleration_source_consistency_plus_terminal_velocity_defect_bridge,iterative_equilibrated,raw_terminal_lobatto_node_no_projection,consistent_initial_acceleration_then_recurrent_terminal_z,gamma_sweep_terminal_velocity_bridge,True,False,True,False,True,False,False,False,"Direct terminal velocity rows close the terminal gate, but they are endpoint-boundary rows and the best terminal gamma is smooth-order limited.",gamma=0 is centered source-consistency plus direct terminal velocity; positive gamma adds an h-scaled mean-acceleration defect. This bridge localizes the remaining target to replacing terminal-boundary rows by independently derived stage-local TFE rows.,1,0;0.5;1,True,True,0,0,3
cylindrical_smooth,0.01,0.005,,8,paper_tfe_lower_pair_centered_terminal_velocity_bridge_order_limited_not_full_tfe,,True,True,4.9361611800849886e-10,1.1590935742447147e-08,9.4231188680821832e-12,8.0516704291414257e-16,1.8314746208282109e-17,8.0535432432955458e-16,1.4668623964052171e-08,5.6116503087342386e-07,2.0138320357235997e-04,1.0125507785455389e-03,132,9.6313184509699798e+08,8.0591799136280579e+03,1.5114344836836227e+05,3.8964571109268699e-14,3.8184080565964612e-15,4.4087858519822445e-15,20,1.6575151823470364e+01,1.9456826690375223e+01,6.2839357608843804e-01,1.9456826690375223e+01,37,5,3.7350421643341072e+00,5.0079536314466502e+00,9.5119833562150791e-01,-9.2193218679857136e-01,6,132,16,8,24,centered_acceleration_source_consistency_plus_terminal_velocity_defect_bridge,iterative_equilibrated,raw_terminal_lobatto_node_no_projection,consistent_initial_acceleration_then_recurrent_terminal_z,gamma_sweep_terminal_velocity_bridge,True,False,True,False,True,False,False,False,"Direct terminal velocity rows close the terminal gate, but they are endpoint-boundary rows and the best terminal gamma is smooth-order limited.",gamma=0 is centered source-consistency plus direct terminal velocity; positive gamma adds an h-scaled mean-acceleration defect. This bridge localizes the remaining target to replacing terminal-boundary rows by independently derived stage-local TFE rows.,1,0;0.5;1,True,True,0,0,3
cylindrical_sharp,0.04,0.005,,2,paper_tfe_lower_pair_centered_terminal_velocity_bridge_order_limited_not_full_tfe,,True,True,2.2900988207497414e-05,7.7480154079725928e-04,7.2327825647431289e-13,1.0689169837305571e-15,1.9887043662004437e-17,1.0691019654893758e-15,2.3434872312276880e-07,9.1689882164158581e-17,3.1717452287670289e-03,1.9293676519365706e-02,132,3.0620669415522940e+07,2.4939888230929600e+03,1.6245931659178710e+04,2.1057318712748476e-14,4.4061678072136439e-15,5.9415067247857465e-15,20,1.6511184154789674e+01,1.9347419632600847e+01,2.7223696660539205e+00,1.9370353468356072e+01,14,5,2.5545078658447880e+00,1.9176628373022309e+00,-9.1729437930746893e-02,-1.8566061427661245e+00,6,132,16,8,24,centered_acceleration_source_consistency_plus_terminal_velocity_defect_bridge,iterative_equilibrated,raw_terminal_lobatto_node_no_projection,consistent_initial_acceleration_then_recurrent_terminal_z,gamma_sweep_terminal_velocity_bridge,True,False,True,False,True,False,False,False,"Direct terminal velocity rows close the terminal gate, but they are endpoint-boundary rows and the best terminal gamma is smooth-order limited.",gamma=0 is centered source-consistency plus direct terminal velocity; positive gamma adds an h-scaled mean-acceleration defect. This bridge localizes the remaining target to replacing terminal-boundary rows by independently derived stage-local TFE rows.,0,0;0.5;1,True,True,0,0,3
