candidate,source_family,status,row_count,max_residual_norm,max_terminal_velocity_norm,smooth_position_order,smooth_velocity_order,sharp_position_order,sharp_velocity_order,residual_clean,terminal_velocity_closed,source_free_lower_pair_rows,endpoint_boundary_source_removed,external_endpoint_source_removed,terminal_row_replacement_used,projection_used,smooth_order_ok,sharp_order_ok,accepted_h_sweep_present,accepted_candidate,full_tfe_stage_replacement,satisfied_acceptance_checks,missing_acceptance_checks,blocking_gap,next_repair_target,evidence,notes
source_free_acceleration_closure,16 centered acceleration source-consistency rows plus 8 mean-acceleration rows,paper_tfe_lower_pair_closure_acceptance_matrix_prioritized_not_full_tfe,6,8.3486900021843809e-12,7.9937730928109221e-06,4.9369594630684457e+00,4.7988752591482760e+00,2.5547917051076108e+00,1.9176259056503104e+00,True,False,True,True,True,False,False,True,True,False,False,False,8,"terminal_velocity_closed,accepted_h_sweep_present,full_tfe_stage_replacement","Order is strong, but the raw terminal endpoint velocity constraint is not closed without a separate terminal-row policy.",derive a source-free mean closure that preserves acceleration-row order while closing terminal velocity,cylindrical_chain_endpoint_tfe_paper_lower_pair_acceleration_terminal_output_audit.csv,Best order-preserving source-free lower-pair candidate so far; not accepted because terminal velocity remains open.
terminal_velocity_row_replacement,124 retained paper rows plus 8 inserted raw endpoint-velocity rows,paper_tfe_lower_pair_closure_acceptance_matrix_prioritized_not_full_tfe,6,9.7339065946391795e-12,5.8022676723189295e-16,3.4590211445482728e+00,4.8384374422152652e+00,2.5545394912137280e+00,1.9177323385067622e+00,True,True,False,True,True,True,False,False,True,False,False,False,6,"source_free_lower_pair_rows,no_terminal_row_replacement,smooth_order_ok,accepted_h_sweep_present,full_tfe_stage_replacement","Terminal velocity closes to roundoff, but eight paper lower-pair rows are replaced by raw endpoint-velocity rows.",replace the raw terminal velocity rows with derived source-free lower-pair TFE rows,cylindrical_chain_endpoint_tfe_paper_lower_pair_acceleration_terminal_velocity_closure_audit.csv,Best projection-free terminal-velocity closure; not accepted because it is explicitly a terminal-row replacement diagnostic.
direct_endpoint_source_residual_substitution,raw lower-pair rows plus lifted direct endpoint-velocity source,paper_tfe_lower_pair_closure_acceptance_matrix_prioritized_not_full_tfe,6,1.8213368904159088e-13,7.9691764965280498e-06,5.3327604897018928e+00,6.7874936288103891e+00,2.5547770899849516e+00,1.9176248076632652e+00,True,False,False,False,False,False,False,True,True,False,False,False,5,"terminal_velocity_closed,source_free_lower_pair_rows,endpoint_boundary_source_removed,external_endpoint_source_removed,accepted_h_sweep_present,full_tfe_stage_replacement","The lifted C_v source is algebraically compatible with raw lower-pair rows, but it is still endpoint-boundary-derived.",derive the bounded C_v-equivalent source from stage-local paper TFE equations instead of endpoint data,cylindrical_chain_endpoint_tfe_paper_lower_pair_direct_source_residual_substitution_audit.csv,Compatibility proof for source substitution; not source-free and not an accepted h-sweep replacement.
residual_derived_stage_source,C_hat_i recovered from raw lower-pair residual rows,paper_tfe_lower_pair_closure_acceptance_matrix_prioritized_not_full_tfe,6,0.0000000000000000e+00,7.9691764965280498e-06,5.3327604897018928e+00,6.7874936288103891e+00,2.5547770899849516e+00,1.9176248076632652e+00,True,False,False,False,False,False,False,True,True,False,False,False,5,"terminal_velocity_closed,source_free_lower_pair_rows,endpoint_boundary_source_removed,external_endpoint_source_removed,accepted_h_sweep_present,full_tfe_stage_replacement","Stage-local source reconstruction matches the direct source, but the trajectory is still generated from endpoint-boundary source data.",use the residual-derived stage source inside a genuinely source-free paper lower-pair residual,cylindrical_chain_endpoint_tfe_paper_lower_pair_residual_derived_stage_source_audit.csv,Stage-consistency bridge; not accepted because endpoint-boundary source still drives the trajectory.
self_consistent_endpoint_source,C_v computed inside Newton from the terminal paper node,paper_tfe_lower_pair_closure_acceptance_matrix_prioritized_not_full_tfe,6,9.4408511989264427e-12,7.9738853081290959e-06,5.3334144749134857e+00,6.7895157679756704e+00,2.5547772137767413e+00,1.9176247954456365e+00,True,False,False,False,True,False,False,True,True,False,False,False,6,"terminal_velocity_closed,source_free_lower_pair_rows,endpoint_boundary_source_removed,accepted_h_sweep_present,full_tfe_stage_replacement","The external source input is removed, but C_v is still an endpoint-boundary expression rather than a source-free TFE row.",eliminate endpoint-boundary C_v and replace it with independent stage-local lower-pair closure rows,cylindrical_chain_endpoint_tfe_paper_lower_pair_self_consistent_endpoint_source_audit.csv,External source removal bridge; not accepted because endpoint-boundary source remains inside Newton.
source_free_mean_velocity_closure,16 centered acceleration source-consistency rows plus 8 paper-stage velocity mean rows,paper_tfe_lower_pair_closure_acceptance_matrix_prioritized_not_full_tfe,6,8.1340031778287478e-12,1.0608082736897238e-05,3.5124241115945551e+00,4.4477483539784020e+00,2.5545206518532031e+00,1.9178419801939592e+00,True,False,True,True,True,False,False,False,True,False,False,False,7,"terminal_velocity_closed,smooth_order_ok,accepted_h_sweep_present,full_tfe_stage_replacement","Endpoint source, projection, and terminal-row replacement are removed, but smooth order and raw terminal velocity closure are not accepted.",replace the velocity-mean closure with a source-free mean row that preserves order and closes terminal velocity,cylindrical_chain_endpoint_tfe_paper_lower_pair_source_free_mean_velocity_closure_audit.csv,Cleanest source-removal candidate; not accepted because order and terminal velocity closure remain below the acceptance target.
source_free_final_stage_velocity_closure,16 centered acceleration source-consistency rows plus 8 final paper-stage velocity rows,paper_tfe_lower_pair_closure_acceptance_matrix_prioritized_not_full_tfe,6,9.4862308156287211e-12,4.0110739872464226e-16,3.5232369711335463e+00,4.8279852358992263e+00,2.5545078658447880e+00,1.9176628373022309e+00,True,True,True,True,True,False,False,False,True,False,False,False,8,"smooth_order_ok,accepted_h_sweep_present,full_tfe_stage_replacement","Endpoint source, projection, and terminal-row replacement are removed and terminal velocity is closed, but smooth position order is below the acceptance floor.",derive a source-free final-stage velocity closure that preserves the terminal-velocity closure while restoring smooth order,cylindrical_chain_endpoint_tfe_paper_lower_pair_source_free_final_stage_velocity_closure_audit.csv,Nonlinear trajectory version of the velocity-compression target; not accepted because smooth position order remains limited and full-TFE replacement is false.
source_free_mean_blend_closure_best_alpha,16 centered acceleration source-consistency rows plus 8 blended mean-acceleration/mean-velocity rows,paper_tfe_lower_pair_closure_acceptance_matrix_prioritized_not_full_tfe,42,5.4890204563679379e-12,2.3374895038106698e-10,nan,nan,nan,nan,True,False,True,True,True,False,False,False,False,False,False,False,6,"terminal_velocity_closed,smooth_order_ok,sharp_order_ok,accepted_h_sweep_present,full_tfe_stage_replacement","A source-free alpha sweep tests blended mean rows locally, but it is only a one-step h-sweep and has no accepted trajectory order.","promote the best source-free blend, if any, to a full trajectory h-sweep and prove it preserves order and closes terminal velocity",cylindrical_chain_endpoint_tfe_paper_lower_pair_source_free_mean_blend_closure_audit.csv,Local source-free family search; not accepted because accepted trajectory h-sweep and full-TFE proof remain missing.
source_free_mean_blend_trajectory_best_alpha,16 centered acceleration source-consistency rows plus 8 blended mean rows at the one-step best alpha,paper_tfe_lower_pair_closure_acceptance_matrix_prioritized_not_full_tfe,6,9.4528460314046262e-12,8.2335150265865238e-06,5.3168287326007357e+00,6.7822295377613671e+00,2.5547841757444809e+00,1.9176232928232309e+00,True,False,True,True,True,False,False,True,True,False,False,False,8,"terminal_velocity_closed,accepted_h_sweep_present,full_tfe_stage_replacement","The best one-step source-free blend is promoted to a trajectory h-sweep, but accepted full-TFE closure remains false.",derive or tune source-free mean rows that keep trajectory order while closing terminal velocity under the acceptance policy,cylindrical_chain_endpoint_tfe_paper_lower_pair_source_free_mean_blend_trajectory_audit.csv,Trajectory version of the source-free family search; not accepted unless the full h-sweep and full-TFE gates are satisfied.
source_free_mean_blend_trajectory_alpha_sweep_best_terminal,16 centered acceleration source-consistency rows plus 8 blended mean rows at the trajectory best alpha,paper_tfe_lower_pair_closure_acceptance_matrix_prioritized_not_full_tfe,42,8.7785141015577373e-12,7.4473271223943258e-06,5.1101296718588793e+00,6.3801927204654332e+00,2.5547699977471434e+00,1.9176401931388665e+00,True,False,True,True,True,False,False,True,True,False,False,False,8,"terminal_velocity_closed,accepted_h_sweep_present,full_tfe_stage_replacement","The source-free mean-blend family is swept at trajectory level, but the best terminal-velocity alpha is still diagnostic.",derive a source-free mean row family that closes terminal velocity over the full trajectory h-sweep,cylindrical_chain_endpoint_tfe_paper_lower_pair_source_free_mean_blend_trajectory_alpha_sweep_audit.csv,"Trajectory-level alpha search; not accepted unless the best alpha satisfies terminal closure, order, and full-TFE gates together."
