predictor_law,case,h,reference_h,t_final,steps,status,error_message,reference_completed,position_error,velocity_error,max_residual_norm,max_raw_terminal_endpoint_velocity_constraint_norm,min_jacobian_rank,source_free_converged_step_count,max_newton_iterations,max_scaled_jacobian_condition,projection_used,accepted_h_sweep_present,full_tfe_stage_replacement
stage02_convex_pose_velocity_hscaled_0p00001_pow_m2_z,cylindrical_smooth,0.04,0.005,0.08,2,paper_tfe_lower_pair_endpoint_pose_velocity_hscaled_predictor_h_sweep_audit_not_full_tfe,,True,8.755390631308002e-08,1.1998254636146982e-05,2.621733868589281e-12,2.0633842233382843e-08,132,2,5,2226.1397128765375,False,False,False
stage02_convex_pose_velocity_hscaled_0p00001_pow_m2_z,cylindrical_smooth,0.02,0.005,0.08,4,paper_tfe_lower_pair_endpoint_pose_velocity_hscaled_predictor_h_sweep_audit_not_full_tfe,,True,4.315781668269149e-09,3.953731230395086e-08,4.163460159294293e-12,2.354673991842908e-08,132,4,5,6193.6680270926345,False,False,False
stage02_convex_pose_velocity_hscaled_0p00001_pow_m2_z,cylindrical_smooth,0.01,0.005,0.08,8,paper_tfe_lower_pair_endpoint_pose_velocity_hscaled_predictor_h_sweep_audit_not_full_tfe,,True,6.661859128823134e-10,1.4509436502393773e-08,9.148988395786821e-12,2.508710639757782e-08,132,8,5,16877.030262806977,False,False,False
stage02_convex_pose_velocity_extrapolate_0p00001_0p00002_hpow_m1_z,cylindrical_smooth,0.04,0.005,0.08,2,paper_tfe_lower_pair_endpoint_pose_velocity_hscaled_predictor_h_sweep_audit_not_full_tfe,,True,8.761436744352051e-08,1.1999710589572913e-05,2.3455373102659534e-12,4.1441547604566477e-13,132,2,5,2226.1434582882066,False,False,False
stage02_convex_pose_velocity_extrapolate_0p00001_0p00002_hpow_m1_z,cylindrical_smooth,0.02,0.005,0.08,4,paper_tfe_lower_pair_endpoint_pose_velocity_hscaled_predictor_h_sweep_audit_not_full_tfe,,True,4.2799314675152556e-09,3.952935435983842e-08,2.840607575909754e-12,4.709986158395032e-13,132,4,5,6193.710035874386,False,False,False
stage02_convex_pose_velocity_extrapolate_0p00001_0p00002_hpow_m1_z,cylindrical_smooth,0.01,0.005,0.08,8,paper_tfe_lower_pair_endpoint_pose_velocity_hscaled_predictor_h_sweep_audit_not_full_tfe,,True,6.627890109409966e-10,1.487420679221695e-08,7.346252594153034e-12,5.003868752135985e-13,132,8,5,16877.48964659109,False,False,False
stage02_convex_pose_velocity_extrapolate_0p00001_0p00002_hpow_m2_z,cylindrical_smooth,0.04,0.005,0.08,2,paper_tfe_lower_pair_endpoint_pose_velocity_hscaled_predictor_h_sweep_audit_not_full_tfe,,True,8.76140979752543e-08,1.1999702386051588e-05,2.3455373102659534e-12,4.1441547604566477e-13,132,2,5,2226.1434582882066,False,False,False
stage02_convex_pose_velocity_extrapolate_0p00001_0p00002_hpow_m2_z,cylindrical_smooth,0.02,0.005,0.08,4,paper_tfe_lower_pair_endpoint_pose_velocity_hscaled_predictor_h_sweep_audit_not_full_tfe,,True,4.2802307364758626e-09,3.952921991161079e-08,3.4998080065117135e-12,1.8837789887734253e-12,132,4,5,6193.710035871937,False,False,False
stage02_convex_pose_velocity_extrapolate_0p00001_0p00002_hpow_m2_z,cylindrical_smooth,0.01,0.005,0.08,8,paper_tfe_lower_pair_endpoint_pose_velocity_hscaled_predictor_h_sweep_audit_not_full_tfe,,True,6.628473910544059e-10,1.4861550947055741e-08,7.52532305344392e-12,8.006612587720164e-12,132,8,5,16877.489646594855,False,False,False
stage02_convex_pose_velocity_extrapolate_0p00001_0p00002_hpow_m3_z,cylindrical_smooth,0.04,0.005,0.08,2,paper_tfe_lower_pair_endpoint_pose_velocity_hscaled_predictor_h_sweep_audit_not_full_tfe,,True,8.759688080898707e-08,1.1999177503888078e-05,2.3455373102659534e-12,4.1441547604566477e-13,132,2,5,2226.1434582882066,False,False,False
stage02_convex_pose_velocity_extrapolate_0p00001_0p00002_hpow_m3_z,cylindrical_smooth,0.02,0.005,0.08,4,paper_tfe_lower_pair_endpoint_pose_velocity_hscaled_predictor_h_sweep_audit_not_full_tfe,,True,4.300571814211937e-09,3.956147810687442e-08,3.2565372240996513e-12,7.534976011061244e-12,132,4,5,6193.710035872687,False,False,False
stage02_convex_pose_velocity_extrapolate_0p00001_0p00002_hpow_m3_z,cylindrical_smooth,0.01,0.005,0.08,8,paper_tfe_lower_pair_endpoint_pose_velocity_hscaled_predictor_h_sweep_audit_not_full_tfe,,True,6.69939541343416e-10,1.393735689496167e-08,1.3875373202712052e-11,1.2810672522060307e-10,132,8,5,16877.489646632945,False,False,False
