case,predictor_law,feedback_family,feedback_gain,feedback_h_power,feedback_h_scale_reference,effective_gain_h_values,effective_gain_reference_h,status,error_message,h_values,reference_h,t_final,reference_completed,steps,source_free_converged_steps,position_errors,velocity_errors,terminal_velocity_values,residual_values,position_order,velocity_order,min_position_velocity_order,max_terminal_velocity,max_residual_norm,min_jacobian_rank,max_raw_jacobian_condition,max_scaled_jacobian_condition,terminal_velocity_closed,smooth_order_ok,terminal_tolerance,smooth_order_floor,row_families_substituted,stage_rows_substituted,source_consistency_rows,endpoint_pose_velocity_predictor_closure_rows,source_free_lower_pair_rows,history_source_block_count,history_source_bootstrap_policy,lower_pair_row_formula,linear_solve_policy,output_policy,start_z0_policy,external_endpoint_source_removed,endpoint_boundary_source_removed,terminal_row_replacement_used,projection_used,target_jacobian_used_for_formula,target_direction_oracle_used,trajectory_h_sweep_present,accepted_h_sweep_present,full_tfe_stage_replacement,conclusion
cylindrical_smooth,recurrent_history_velocity_terminal_feedbacknormhscaled_source01historyslope_rel_p2_pow_m2_z,hscaled_norm_source01historyslope,2.0,-2.0,0.02,"5.0000000000000000e-01,2.0000000000000000e+00",8.0,paper_tfe_lower_pair_recurrent_hscaled_feedback_gain_boundary_tradeoff_not_full_tfe,,"0.04,0.02",0.01,0.04,True,"1,2","1,2","4.3900522353658851e-08,4.5857369161163833e-10","3.1344399812532104e-07,1.2986100866572887e-08","8.7215511422555228e-08,1.3155100586254773e-08","5.7788913622717016e-13,3.2960550623585044e-12",6.5809407058236555,4.593167479649768,4.593167479649768,8.721551142255523e-08,3.2960550623585044e-12,132,243694912.55786005,5578.111712727418,False,False,1e-12,5.0,6,132,16,8,24,1,zero_initial_then_stage0_source_estimate,centered_acceleration_source_consistency_plus_recurrent_feedbacknormhscaled_source01historyslope,iterative_equilibrated,raw_terminal_lobatto_node_no_projection,consistent_initial_acceleration_then_recurrent_terminal_z,True,True,False,False,False,False,False,False,False,hscaled_feedback_tradeoff_row
cylindrical_smooth,recurrent_history_velocity_terminal_feedbacknormhscaled_source01historyslope_rel_p2_pow_m1_z,hscaled_norm_source01historyslope,2.0,-1.0,0.02,"1.0000000000000000e+00,2.0000000000000000e+00",4.0,paper_tfe_lower_pair_recurrent_hscaled_feedback_gain_boundary_tradeoff_not_full_tfe,,"0.04,0.02",0.01,0.04,True,"1,2","1,2","4.3914086071413414e-08,4.5857426318201167e-10","3.1259925326119661e-07,1.2985114344059340e-08","8.0667980272639165e-08,1.3155100586254773e-08","4.6892265202617970e-12,3.2960550623585044e-12",6.5813845808304325,4.589383708783956,4.589383708783956,8.066798027263917e-08,4.689226520261797e-12,132,539941128.6721764,5578.111712727418,False,False,1e-12,5.0,6,132,16,8,24,1,zero_initial_then_stage0_source_estimate,centered_acceleration_source_consistency_plus_recurrent_feedbacknormhscaled_source01historyslope,iterative_equilibrated,raw_terminal_lobatto_node_no_projection,consistent_initial_acceleration_then_recurrent_terminal_z,True,True,False,False,False,False,False,False,False,hscaled_feedback_tradeoff_row
cylindrical_smooth,recurrent_history_velocity_terminal_feedbacknormhscaled_source01historyslope_rel_p2_pow_p1_z,hscaled_norm_source01historyslope,2.0,1.0,0.02,"4.0000000000000000e+00,2.0000000000000000e+00",1.0,paper_tfe_lower_pair_recurrent_hscaled_feedback_gain_boundary_tradeoff_not_full_tfe,,"0.04,0.02",0.01,0.04,True,"1,2","1,2","4.4082449160650682e-08,4.5708791823321532e-10","3.0316225623157976e-07,1.1736974022968150e-08","9.2618026238221461e-11,1.3155100586254773e-08","4.0773864140460395e-13,3.2960550623585044e-12",6.59158888400514,4.6909577368730275,4.6909577368730275,1.3155100586254773e-08,3.2960550623585044e-12,132,243694912.55786005,5578.111712727418,False,False,1e-12,5.0,6,132,16,8,24,1,zero_initial_then_stage0_source_estimate,centered_acceleration_source_consistency_plus_recurrent_feedbacknormhscaled_source01historyslope,iterative_equilibrated,raw_terminal_lobatto_node_no_projection,consistent_initial_acceleration_then_recurrent_terminal_z,True,True,False,False,False,False,False,False,False,hscaled_feedback_tradeoff_row
cylindrical_smooth,recurrent_history_velocity_terminal_feedbacknormhscaled_source01historyslope_rel_p2_pow_p2_z,hscaled_norm_source01historyslope,2.0,2.0,0.02,"8.0000000000000000e+00,2.0000000000000000e+00",0.5,paper_tfe_lower_pair_recurrent_hscaled_feedback_gain_boundary_tradeoff_not_full_tfe,,"0.04,0.02",0.01,0.04,True,"1,2","1,2","4.4082399109730579e-08,4.5664733215311186e-10","3.0314932727445906e-07,1.1571686051479015e-08","3.0903337736907187e-14,1.3155100586254773e-08","1.1503179861042934e-12,3.2960550623585044e-12",6.592978527318564,4.711357628299785,4.711357628299785,1.3155100586254773e-08,3.2960550623585044e-12,132,243694912.55786005,5578.111712727418,False,False,1e-12,5.0,6,132,16,8,24,1,zero_initial_then_stage0_source_estimate,centered_acceleration_source_consistency_plus_recurrent_feedbacknormhscaled_source01historyslope,iterative_equilibrated,raw_terminal_lobatto_node_no_projection,consistent_initial_acceleration_then_recurrent_terminal_z,True,True,False,False,False,False,False,False,False,hscaled_feedback_tradeoff_row
cylindrical_smooth,recurrent_history_velocity_terminal_feedbacknormhscaled_source01historyslope_rel_p5_pow_m2_z,hscaled_norm_source01historyslope,5.0,-2.0,0.02,"1.2500000000000000e+00,5.0000000000000000e+00",20.0,paper_tfe_lower_pair_recurrent_hscaled_feedback_gain_boundary_tradeoff_not_full_tfe,,"0.04,0.02",0.01,0.04,True,"1,2","1,2","4.4011697710582176e-08,4.5809740905204460e-10","3.0692312759360171e-07,1.3321523588242634e-08","3.3950854199383460e-08,2.8808027550532332e-11","9.3416996684208202e-12,2.1579541789453842e-12",6.5860888100525905,4.5260463627758005,4.5260463627758005,3.395085419938346e-08,9.34169966842082e-12,132,252208671.08206826,6064.508784351595,False,False,1e-12,5.0,6,132,16,8,24,1,zero_initial_then_stage0_source_estimate,centered_acceleration_source_consistency_plus_recurrent_feedbacknormhscaled_source01historyslope,iterative_equilibrated,raw_terminal_lobatto_node_no_projection,consistent_initial_acceleration_then_recurrent_terminal_z,True,True,False,False,False,False,False,False,False,hscaled_feedback_tradeoff_row
cylindrical_smooth,recurrent_history_velocity_terminal_feedbacknormhscaled_source01historyslope_rel_p5_pow_m1_z,hscaled_norm_source01historyslope,5.0,-1.0,0.02,"2.5000000000000000e+00,5.0000000000000000e+00",10.0,paper_tfe_lower_pair_recurrent_hscaled_feedback_gain_boundary_tradeoff_not_full_tfe,,"0.04,0.02",0.01,0.04,True,"1,2","1,2","4.4079521668076417e-08,4.5809698763263538e-10","3.0339489912425614e-07,1.3321523586618724e-08","1.9127055741089544e-09,2.8808027550532332e-11","5.0970530883538573e-12,2.1579541789453842e-12",6.588311682293977,4.5093658318259315,4.5093658318259315,1.9127055741089544e-09,5.097053088353857e-12,132,252208671.08206826,6064.508784351595,False,False,1e-12,5.0,6,132,16,8,24,1,zero_initial_then_stage0_source_estimate,centered_acceleration_source_consistency_plus_recurrent_feedbacknormhscaled_source01historyslope,iterative_equilibrated,raw_terminal_lobatto_node_no_projection,consistent_initial_acceleration_then_recurrent_terminal_z,True,True,False,False,False,False,False,False,False,hscaled_feedback_tradeoff_row
cylindrical_smooth,recurrent_history_velocity_terminal_feedbacknormhscaled_source01historyslope_rel_p5_pow_p1_z,hscaled_norm_source01historyslope,5.0,1.0,0.02,"1.0000000000000000e+01,5.0000000000000000e+00",2.5,paper_tfe_lower_pair_recurrent_hscaled_feedback_gain_boundary_tradeoff_not_full_tfe,,"0.04,0.02",0.01,0.04,True,"1,2","1,2","4.4083573048135293e-08,4.5810990227600933e-10","3.0319392957642563e-07,1.3301814190748457e-08","5.7818440861197355e-16,2.8808027550532332e-11","1.1445810982527469e-12,2.1579541789453842e-12",6.588403603523245,4.51054594005766,4.51054594005766,2.8808027550532332e-11,2.1579541789453842e-12,132,252208671.08206826,6064.508784351595,False,False,1e-12,5.0,6,132,16,8,24,1,zero_initial_then_stage0_source_estimate,centered_acceleration_source_consistency_plus_recurrent_feedbacknormhscaled_source01historyslope,iterative_equilibrated,raw_terminal_lobatto_node_no_projection,consistent_initial_acceleration_then_recurrent_terminal_z,True,True,False,False,False,False,False,False,False,hscaled_feedback_tradeoff_row
cylindrical_smooth,recurrent_history_velocity_terminal_feedbacknormhscaled_source01historyslope_rel_p5_pow_p2_z,hscaled_norm_source01historyslope,5.0,2.0,0.02,"2.0000000000000000e+01,5.0000000000000000e+00",1.25,paper_tfe_lower_pair_recurrent_hscaled_feedback_gain_boundary_tradeoff_not_full_tfe,,"0.04,0.02",0.01,0.04,True,"1,2","1,2","4.4083426463524383e-08,4.5801749915759282e-10","3.0317272565887635e-07,1.2830938512628185e-08","1.1267646594811073e-16,2.8808027550532332e-11","6.0862262440877184e-13,2.1579541789453842e-12",6.588689834679922,4.562441365497643,4.562441365497643,2.8808027550532332e-11,2.1579541789453842e-12,132,252208671.08206826,6064.508784351595,False,False,1e-12,5.0,6,132,16,8,24,1,zero_initial_then_stage0_source_estimate,centered_acceleration_source_consistency_plus_recurrent_feedbacknormhscaled_source01historyslope,iterative_equilibrated,raw_terminal_lobatto_node_no_projection,consistent_initial_acceleration_then_recurrent_terminal_z,True,True,False,False,False,False,False,False,False,hscaled_feedback_tradeoff_row
cylindrical_smooth,recurrent_history_velocity_terminal_feedbacknormhscaled_source01historyslope_rel_p8_pow_m2_z,hscaled_norm_source01historyslope,8.0,-2.0,0.02,"2.0000000000000000e+00,8.0000000000000000e+00",32.0,paper_tfe_lower_pair_recurrent_hscaled_feedback_gain_boundary_tradeoff_not_full_tfe,,"0.04,0.02",0.01,0.04,True,"1,2","1,2","4.4071430898783295e-08,4.5809605928787403e-10","3.0379814121921291e-07,1.3322264267007081e-08","5.7100520093521358e-09,7.1287904675613123e-14","1.0097372479887688e-12,1.3309336596324451e-12",6.588049775854282,4.511201832343927,4.511201832343927,5.710052009352136e-09,1.330933659632445e-12,132,252226554.17605934,6187.184438763971,False,False,1e-12,5.0,6,132,16,8,24,1,zero_initial_then_stage0_source_estimate,centered_acceleration_source_consistency_plus_recurrent_feedbacknormhscaled_source01historyslope,iterative_equilibrated,raw_terminal_lobatto_node_no_projection,consistent_initial_acceleration_then_recurrent_terminal_z,True,True,False,False,False,False,False,False,False,hscaled_feedback_tradeoff_row
cylindrical_smooth,recurrent_history_velocity_terminal_feedbacknormhscaled_source01historyslope_rel_p8_pow_m1_z,hscaled_norm_source01historyslope,8.0,-1.0,0.02,"4.0000000000000000e+00,8.0000000000000000e+00",16.0,paper_tfe_lower_pair_recurrent_hscaled_feedback_gain_boundary_tradeoff_not_full_tfe,,"0.04,0.02",0.01,0.04,True,"1,2","1,2","4.4083373856806280e-08,4.5809607426959015e-10","3.0320515057006112e-07,1.3322264322704167e-08","9.2618026238221461e-11,7.1287904675613123e-14","4.0773864140460395e-13,1.3309336596324451e-12",6.588440632978658,4.508383044429147,4.508383044429147,9.261802623822146e-11,1.330933659632445e-12,132,252226554.17605934,6187.184438763971,False,False,1e-12,5.0,6,132,16,8,24,1,zero_initial_then_stage0_source_estimate,centered_acceleration_source_consistency_plus_recurrent_feedbacknormhscaled_source01historyslope,iterative_equilibrated,raw_terminal_lobatto_node_no_projection,consistent_initial_acceleration_then_recurrent_terminal_z,True,True,False,False,False,False,False,False,False,hscaled_feedback_tradeoff_row
