case,predictor_law,source_law_family,source_law_base,retain_value,retain_h_power,retain_h_scale_reference,effective_retain_h_values,effective_retain_reference_h,status,error_message,h_values,reference_h,t_final,reference_completed,steps,source_free_converged_steps,position_errors,velocity_errors,terminal_velocity_values,residual_values,position_order,velocity_order,min_position_velocity_order,max_terminal_velocity,max_residual_norm,min_jacobian_rank,max_raw_jacobian_condition,max_scaled_jacobian_condition,terminal_velocity_closed,smooth_order_ok,terminal_tolerance,smooth_order_floor,row_families_substituted,stage_rows_substituted,source_consistency_rows,endpoint_pose_velocity_predictor_closure_rows,source_free_lower_pair_rows,history_source_block_count,history_source_bootstrap_policy,lower_pair_row_formula,linear_solve_policy,output_policy,start_z0_policy,external_endpoint_source_removed,endpoint_boundary_source_removed,final_stage_velocity_rows_used,terminal_row_replacement_used,projection_used,target_jacobian_used_for_formula,target_direction_oracle_used,trajectory_h_sweep_present,accepted_h_sweep_present,full_tfe_stage_replacement,conclusion
cylindrical_smooth,recurrent_history_velocity_terminal_finalretainsource_source01historyslope_rel_p0p000001_pow_p0_z,one_history_source_law,source01historyslope,1e-06,0.0,0.02,"9.9999999999999995e-07,9.9999999999999995e-07",1e-06,paper_tfe_lower_pair_recurrent_source_law_final_retain_boundary_tradeoff_not_full_tfe,,"0.04,0.02",0.01,0.04,True,"1,2","1,2","4.4083570623410480e-08,4.5809640419202958e-10","3.0319547092717332e-07,1.3322256364152298e-08","1.3768956078770687e-13,3.1705265961709509e-13","9.0796189840071231e-13,2.6513664182568061e-12",6.5884460334150345,4.508337848366589,4.508337848366589,3.170526596170951e-13,2.651366418256806e-12,132,252249318.9851183,6193.7003020241755,True,False,1e-12,5.0,6,132,16,8,24,1,mixed_one_and_two_history_source_shift_register,centered_acceleration_source_consistency_plus_recurrent_source_law_final_retain_boundary,iterative_equilibrated,raw_terminal_lobatto_node_no_projection,consistent_initial_acceleration_then_recurrent_terminal_z,True,True,True,False,False,False,False,False,False,False,final_retain_terminal_closed_order_limited
cylindrical_smooth,recurrent_history_velocity_terminal_finalretainsource_source01historyslope_rel_p0p000001_pow_p2_z,one_history_source_law,source01historyslope,1e-06,2.0,0.02,"3.9999999999999998e-06,9.9999999999999995e-07",2.5e-07,paper_tfe_lower_pair_recurrent_source_law_final_retain_boundary_tradeoff_not_full_tfe,,"0.04,0.02",0.01,0.04,True,"1,2","1,2","4.4083569699953456e-08,4.5809647282989059e-10","3.0319551426869684e-07,1.3322257440420438e-08","5.5067382656430416e-13,3.1705265961709509e-13","3.4939485855253137e-13,2.6513664182568061e-12",6.588445787030646,4.508337938047227,4.508337938047227,5.506738265643042e-13,2.651366418256806e-12,132,252249318.9851183,6193.7003020241755,True,False,1e-12,5.0,6,132,16,8,24,1,mixed_one_and_two_history_source_shift_register,centered_acceleration_source_consistency_plus_recurrent_source_law_final_retain_boundary,iterative_equilibrated,raw_terminal_lobatto_node_no_projection,consistent_initial_acceleration_then_recurrent_terminal_z,True,True,True,False,False,False,False,False,False,False,final_retain_terminal_closed_order_limited
cylindrical_smooth,recurrent_history_velocity_terminal_finalretainsource_source01historyslope_rel_p0p00001_pow_p0_z,one_history_source_law,source01historyslope,1e-05,0.0,0.02,"1.0000000000000001e-05,1.0000000000000001e-05",1e-05,paper_tfe_lower_pair_recurrent_source_law_final_retain_boundary_tradeoff_not_full_tfe,,"0.04,0.02",0.01,0.04,True,"1,2","1,2","4.4083568179731763e-08,4.5809680096806101e-10","3.0319560011497301e-07,1.3322169417372311e-08","1.3767403887910975e-12,3.1713184801051239e-12","7.6434529048594165e-13,2.3859796989756731e-12",6.588444703865676,4.508347878760382,4.508347878760382,3.171318480105124e-12,2.385979698975673e-12,132,252246991.2045853,6193.612697953422,False,False,1e-12,5.0,6,132,16,8,24,1,mixed_one_and_two_history_source_shift_register,centered_acceleration_source_consistency_plus_recurrent_source_law_final_retain_boundary,iterative_equilibrated,raw_terminal_lobatto_node_no_projection,consistent_initial_acceleration_then_recurrent_terminal_z,True,True,True,False,False,False,False,False,False,False,final_retain_tradeoff_row
cylindrical_smooth,recurrent_history_velocity_terminal_finalretainsource_source01historyslope_rel_p0p00001_pow_p2_z,one_history_source_law,source01historyslope,1e-05,2.0,0.02,"4.0000000000000003e-05,1.0000000000000001e-05",2.5e-06,paper_tfe_lower_pair_recurrent_source_law_final_retain_boundary_tradeoff_not_full_tfe,,"0.04,0.02",0.01,0.04,True,"1,2","1,2","4.4083559389957407e-08,4.5809684487352182e-10","3.0319603301604780e-07,1.3322180507454082e-08","5.5068765690558289e-12,3.1713184801051239e-12","8.6566543343191946e-13,2.3859796989756731e-12",6.5884442779357695,4.508348737655749,4.508348737655749,5.506876569055829e-12,2.385979698975673e-12,132,252246991.2045853,6193.612697953422,False,False,1e-12,5.0,6,132,16,8,24,1,mixed_one_and_two_history_source_shift_register,centered_acceleration_source_consistency_plus_recurrent_source_law_final_retain_boundary,iterative_equilibrated,raw_terminal_lobatto_node_no_projection,consistent_initial_acceleration_then_recurrent_terminal_z,True,True,True,False,False,False,False,False,False,False,final_retain_tradeoff_row
cylindrical_smooth,recurrent_history_velocity_terminal_finalretainsource_source01historyslope_rel_p0p0001_pow_p0_z,one_history_source_law,source01historyslope,0.0001,0.0,0.02,"1.0000000000000000e-04,1.0000000000000000e-04",0.0001,paper_tfe_lower_pair_recurrent_source_law_final_retain_boundary_tradeoff_not_full_tfe,,"0.04,0.02",0.01,0.04,True,"1,2","1,2","4.4083541757097334e-08,4.5809790484430059e-10","3.0319689284163456e-07,1.3321299408539098e-08","1.3766766101530645e-11,3.1711348452274586e-11","8.4955641089899113e-13,1.9033288831912379e-12",6.588440362689335,4.50844824869599,4.50844824869599,3.1711348452274586e-11,1.903328883191238e-12,132,252223715.74273968,6192.736711713425,False,False,1e-12,5.0,6,132,16,8,24,1,mixed_one_and_two_history_source_shift_register,centered_acceleration_source_consistency_plus_recurrent_source_law_final_retain_boundary,iterative_equilibrated,raw_terminal_lobatto_node_no_projection,consistent_initial_acceleration_then_recurrent_terminal_z,True,True,True,False,False,False,False,False,False,False,final_retain_tradeoff_row
cylindrical_smooth,recurrent_history_velocity_terminal_finalretainsource_source01historyslope_rel_p0p0001_pow_p2_z,one_history_source_law,source01historyslope,0.0001,2.0,0.02,"4.0000000000000002e-04,1.0000000000000000e-04",2.5e-05,paper_tfe_lower_pair_recurrent_source_law_final_retain_boundary_tradeoff_not_full_tfe,,"0.04,0.02",0.01,0.04,True,"1,2","1,2","4.4083453350363910e-08,4.5809744427807873e-10","3.0320121937267633e-07,1.3321411206555940e-08","5.5057725507625174e-11,3.1711348452274586e-11","7.6910227538550921e-13,1.9033288831912379e-12",6.588438919922759,4.508456727725386,4.508456727725386,5.5057725507625174e-11,1.903328883191238e-12,132,252223715.74273968,6192.736711713425,False,False,1e-12,5.0,6,132,16,8,24,1,mixed_one_and_two_history_source_shift_register,centered_acceleration_source_consistency_plus_recurrent_source_law_final_retain_boundary,iterative_equilibrated,raw_terminal_lobatto_node_no_projection,consistent_initial_acceleration_then_recurrent_terminal_z,True,True,True,False,False,False,False,False,False,False,final_retain_tradeoff_row
cylindrical_smooth,recurrent_history_velocity_terminal_finalretainsource_source01historyslope_rel_p0p001_pow_p0_z,one_history_source_law,source01historyslope,0.001,0.0,0.02,"1.0000000000000000e-03,1.0000000000000000e-03",0.001,paper_tfe_lower_pair_recurrent_source_law_final_retain_boundary_tradeoff_not_full_tfe,,"0.04,0.02",0.01,0.04,True,"1,2","1,2","4.4083278177679733e-08,4.5810818875924090e-10","3.0320981398865795e-07,1.3312605209990014e-08","1.3759657305786682e-10,3.1695028316871881e-10","3.4538278007443966e-13,1.9326808802091839e-12",6.588399349727688,4.5094516177928465,4.5094516177928465,3.169502831687188e-10,1.932680880209184e-12,132,251991172.53209054,6183.982294869757,False,False,1e-12,5.0,6,132,16,8,24,1,mixed_one_and_two_history_source_shift_register,centered_acceleration_source_consistency_plus_recurrent_source_law_final_retain_boundary,iterative_equilibrated,raw_terminal_lobatto_node_no_projection,consistent_initial_acceleration_then_recurrent_terminal_z,True,True,True,False,False,False,False,False,False,False,final_retain_tradeoff_row
cylindrical_smooth,recurrent_history_velocity_terminal_finalretainsource_source01historyslope_rel_p0p001_pow_p2_z,one_history_source_law,source01historyslope,0.001,2.0,0.02,"4.0000000000000001e-03,1.0000000000000000e-03",0.00025,paper_tfe_lower_pair_recurrent_source_law_final_retain_boundary_tradeoff_not_full_tfe,,"0.04,0.02",0.01,0.04,True,"1,2","1,2","4.4082402118574064e-08,4.5810780858334406e-10","3.0325300639652542e-07,1.3313724121119341e-08","5.4943325799596056e-10,3.1695028316871881e-10","8.3626370249199360e-13,1.9326808802091839e-12",6.588371876289833,4.509535863896147,4.509535863896147,5.494332579959606e-10,1.932680880209184e-12,132,251991172.53209054,6183.982294869757,False,False,1e-12,5.0,6,132,16,8,24,1,mixed_one_and_two_history_source_shift_register,centered_acceleration_source_consistency_plus_recurrent_source_law_final_retain_boundary,iterative_equilibrated,raw_terminal_lobatto_node_no_projection,consistent_initial_acceleration_then_recurrent_terminal_z,True,True,True,False,False,False,False,False,False,False,final_retain_tradeoff_row
cylindrical_smooth,recurrent_twohistory_velocity_terminal_finalretainsource_source01historyslopecurvature_rel_p0p000001_pow_p0_z,two_history_source_law,source01historyslopecurvature,1e-06,0.0,0.02,"9.9999999999999995e-07,9.9999999999999995e-07",1e-06,paper_tfe_lower_pair_recurrent_source_law_final_retain_boundary_tradeoff_not_full_tfe,,"0.04,0.02",0.01,0.04,True,"1,2","1,2","4.4083570939721541e-08,4.5809647954875300e-10","3.0319547105416558e-07,1.3322252213967121e-08","1.3764432999516205e-13,4.7109829816821915e-13","6.0832565330958094e-13,3.0658249923561124e-12",6.5884458064438665,4.508338298403167,4.508338298403167,4.710982981682191e-13,3.0658249923561124e-12,132,252249286.83550605,6193.699512751317,True,False,1e-12,5.0,6,132,16,8,24,2,mixed_one_and_two_history_source_shift_register,centered_acceleration_source_consistency_plus_recurrent_source_law_final_retain_boundary,iterative_equilibrated,raw_terminal_lobatto_node_no_projection,consistent_initial_acceleration_then_recurrent_terminal_z,True,True,True,False,False,False,False,False,False,False,final_retain_terminal_closed_order_limited
cylindrical_smooth,recurrent_twohistory_velocity_terminal_finalretainsource_source01historyslopecurvature_rel_p0p000001_pow_p2_z,two_history_source_law,source01historyslopecurvature,1e-06,2.0,0.02,"3.9999999999999998e-06,9.9999999999999995e-07",2.5e-07,paper_tfe_lower_pair_recurrent_source_law_final_retain_boundary_tradeoff_not_full_tfe,,"0.04,0.02",0.01,0.04,True,"1,2","1,2","4.4083569866757795e-08,4.5809643420356005e-10","3.0319551429634157e-07,1.3322253252040222e-08","5.5064389084249770e-13,4.7109829816821915e-13","4.7350434642167184e-13,3.0658249923561124e-12",6.588445914136447,4.508338391747257,4.508338391747257,5.506438908424977e-13,3.0658249923561124e-12,132,252249286.83550605,6193.699512751317,True,False,1e-12,5.0,6,132,16,8,24,2,mixed_one_and_two_history_source_shift_register,centered_acceleration_source_consistency_plus_recurrent_source_law_final_retain_boundary,iterative_equilibrated,raw_terminal_lobatto_node_no_projection,consistent_initial_acceleration_then_recurrent_terminal_z,True,True,True,False,False,False,False,False,False,False,final_retain_terminal_closed_order_limited
