case,history_mode,h,dictionary_group,status,bootstrap_step_count,newton_converged,residual_norm,min_jacobian_rank,raw_terminal_endpoint_velocity_constraint_norm,history_source_norm,source_curvature_norm,candidate_formula_count,candidate_laws,gain_values,basis_row_count,target_row_count,stage_unknown_count,basis_rank,augmented_rank,independent_target_rank,projection_residual_norm,projection_relative_residual,max_row_relative_residual,min_row_relative_residual,missing_direction_rank,missing_direction_dominant_variable_family,missing_direction_dominant_variable_fraction,missing_direction_stage0_fraction,missing_direction_stage1_fraction,missing_direction_stage2_fraction,dictionary_spans_terminal_bridge,max_closure_value_delta_from_recurrent_norm,target_free_dictionary,bounded_value_law_present,target_jacobian_used_for_formula,target_direction_oracle_used,target_bridge_used_for_scoring_only,formula_coefficient_law_present,accepted_h_sweep_present,full_tfe_stage_replacement,blocking_gap,next_repair_target
cylindrical_smooth,zero_initial,0.04,scalar_gradient,paper_tfe_lower_pair_recurrent_stage2_feature_dictionary_span_local_capacity_not_full_tfe,0,True,6.736947567718541e-13,132,2.3374864007605686e-10,0.0,8.056654275011763e-15,4,curvature_plus_history_delta@1e+08;curvature_plus_history_delta@1e+12;normalized_curvature_plus_history_delta@1e+08;normalized_curvature_plus_history_delta@1e+12,"1.0e+08,1.0e+12",96,8,132,32,32,0,3.517523466757624e-11,9.474228593742858e-11,2.817084476854947e-10,6.187154004653663e-12,0,lie_position_u,0.9447334216801866,0.5700769960681155,0.32778997385017833,0.10213303008170638,True,2.2795448608875844e-14,True,True,False,False,True,False,False,False,The target-free feature dictionary spans the local terminal bridge only as a multi-formula capacity space; a bounded target-free coefficient/selection law and trajectory h-sweep are still missing.,derive a bounded target-free coefficient law over this feature dictionary and run a nonlinear h-sweep
cylindrical_smooth,zero_initial,0.04,stage2_matrix_core,paper_tfe_lower_pair_recurrent_stage2_feature_dictionary_span_local_capacity_not_full_tfe,0,True,6.736947567718541e-13,132,2.3374864007605686e-10,0.0,8.056654275011763e-15,8,stage2_velocity_column_broadcast_feature@1e+08;stage2_velocity_column_broadcast_feature@1e+12;stage2_velocity_shifted_column_broadcast_feature@1e+08;stage2_velocity_shifted_column_broadcast_feature@1e+12;stage2_velocity_diagonal_plus_row_broadcast_feature@1e+08;stage2_velocity_diagonal_plus_row_broadcast_feature@1e+12;stage2_velocity_symmetric_broadcast_feature@1e+08;stage2_velocity_symmetric_broadcast_feature@1e+12,"1.0e+08,1.0e+12",192,8,132,32,32,0,4.024192924015791e-15,1.0838910963284039e-14,1.4218319913043595e-14,4.124052860081305e-15,0,lie_position_u,0.8293224171794257,0.6951137214932723,0.121338047734516,0.18354823077221166,True,6.330803037353388e-11,True,True,False,False,True,False,False,False,The target-free feature dictionary spans the local terminal bridge only as a multi-formula capacity space; a bounded target-free coefficient/selection law and trajectory h-sweep are still missing.,derive a bounded target-free coefficient law over this feature dictionary and run a nonlinear h-sweep
cylindrical_smooth,zero_initial,0.04,stage2_translation_velocity_matrix,paper_tfe_lower_pair_recurrent_stage2_feature_dictionary_span_gap_not_full_tfe,0,True,6.736947567718541e-13,132,2.3374864007605686e-10,0.0,8.056654275011763e-15,8,stage2_translation_velocity_row_broadcast_feature@1e+08;stage2_translation_velocity_row_broadcast_feature@1e+12;stage2_translation_velocity_column_broadcast_feature@1e+08;stage2_translation_velocity_column_broadcast_feature@1e+12;stage2_translation_velocity_symmetric_broadcast_feature@1e+08;stage2_translation_velocity_symmetric_broadcast_feature@1e+12;stage2_translation_velocity_diagonal_plus_row_broadcast_feature@1e+08;stage2_translation_velocity_diagonal_plus_row_broadcast_feature@1e+12,"1.0e+08,1.0e+12",192,8,132,29,32,3,0.2140018817379118,0.5764006313638069,0.9222776155121893,6.2110519133768495e-15,3,angular_velocity_w,0.9053639857168222,5.692280996570123e-29,3.289451252421668e-29,1.0,False,9.689509847333256e-12,True,True,False,False,True,False,False,False,Even the stacked target-free recurrent stage-2 feature dictionary does not span the local terminal bridge tangent for this sample.,derive a new coupled translational/angular weak-row feature outside this dictionary
cylindrical_smooth,zero_initial,0.04,stage2_translation_angular_coupled_matrix,paper_tfe_lower_pair_recurrent_stage2_feature_dictionary_span_gap_not_full_tfe,0,True,6.736947567718541e-13,132,2.3374864007605686e-10,0.0,8.056654275011763e-15,8,stage2_velocity_translation_to_angular_cross_feature@1e+08;stage2_velocity_translation_to_angular_cross_feature@1e+12;stage2_velocity_angular_to_translation_cross_feature@1e+08;stage2_velocity_angular_to_translation_cross_feature@1e+12;stage2_velocity_bidirectional_rowmask_translation_angular_feature@1e+08;stage2_velocity_bidirectional_rowmask_translation_angular_feature@1e+12;stage2_velocity_local_pair_cross_feature@1e+08;stage2_velocity_local_pair_cross_feature@1e+12,"1.0e+08,1.0e+12",192,8,132,31,32,1,0.07183920958495014,0.19349440026024967,0.5231675156215524,2.423931317285707e-11,6,angular_velocity_w,0.9253335662147933,1.0041739810770405e-15,4.50516668305621e-16,0.9999999999999987,False,3.6343206430333996e-11,True,True,False,False,True,False,False,False,Even the stacked target-free recurrent stage-2 feature dictionary does not span the local terminal bridge tangent for this sample.,derive a new coupled translational/angular weak-row feature outside this dictionary
cylindrical_smooth,zero_initial,0.04,combined_matrix_dictionary,paper_tfe_lower_pair_recurrent_stage2_feature_dictionary_span_local_capacity_not_full_tfe,0,True,6.736947567718541e-13,132,2.3374864007605686e-10,0.0,8.056654275011763e-15,24,stage2_velocity_column_broadcast_feature@1e+08;stage2_velocity_column_broadcast_feature@1e+12;stage2_velocity_shifted_column_broadcast_feature@1e+08;stage2_velocity_shifted_column_broadcast_feature@1e+12;stage2_velocity_diagonal_plus_row_broadcast_feature@1e+08;stage2_velocity_diagonal_plus_row_broadcast_feature@1e+12;stage2_velocity_symmetric_broadcast_feature@1e+08;stage2_velocity_symmetric_broadcast_feature@1e+12;stage2_translation_velocity_row_broadcast_feature@1e+08;stage2_translation_velocity_row_broadcast_feature@1e+12;stage2_translation_velocity_column_broadcast_feature@1e+08;stage2_translation_velocity_column_broadcast_feature@1e+12;stage2_translation_velocity_symmetric_broadcast_feature@1e+08;stage2_translation_velocity_symmetric_broadcast_feature@1e+12;stage2_translation_velocity_diagonal_plus_row_broadcast_feature@1e+08;stage2_translation_velocity_diagonal_plus_row_broadcast_feature@1e+12;stage2_velocity_translation_to_angular_cross_feature@1e+08;stage2_velocity_translation_to_angular_cross_feature@1e+12;stage2_velocity_angular_to_translation_cross_feature@1e+08;stage2_velocity_angular_to_translation_cross_feature@1e+12;stage2_velocity_bidirectional_rowmask_translation_angular_feature@1e+08;stage2_velocity_bidirectional_rowmask_translation_angular_feature@1e+12;stage2_velocity_local_pair_cross_feature@1e+08;stage2_velocity_local_pair_cross_feature@1e+12,"1.0e+08,1.0e+12",576,8,132,32,32,0,5.9882139766500915e-15,1.612887834841506e-14,2.937543788118112e-14,6.541259776230877e-15,0,lie_position_u,0.84157454394693,0.19781360485364274,0.4325390037091696,0.36964739143718767,True,6.330803037353388e-11,True,True,False,False,True,False,False,False,The target-free feature dictionary spans the local terminal bridge only as a multi-formula capacity space; a bounded target-free coefficient/selection law and trajectory h-sweep are still missing.,derive a bounded target-free coefficient law over this feature dictionary and run a nonlinear h-sweep
cylindrical_smooth,zero_initial,0.04,combined_all_target_free_dictionary,paper_tfe_lower_pair_recurrent_stage2_feature_dictionary_span_local_capacity_not_full_tfe,0,True,6.736947567718541e-13,132,2.3374864007605686e-10,0.0,8.056654275011763e-15,28,curvature_plus_history_delta@1e+08;curvature_plus_history_delta@1e+12;normalized_curvature_plus_history_delta@1e+08;normalized_curvature_plus_history_delta@1e+12;stage2_velocity_column_broadcast_feature@1e+08;stage2_velocity_column_broadcast_feature@1e+12;stage2_velocity_shifted_column_broadcast_feature@1e+08;stage2_velocity_shifted_column_broadcast_feature@1e+12;stage2_velocity_diagonal_plus_row_broadcast_feature@1e+08;stage2_velocity_diagonal_plus_row_broadcast_feature@1e+12;stage2_velocity_symmetric_broadcast_feature@1e+08;stage2_velocity_symmetric_broadcast_feature@1e+12;stage2_translation_velocity_row_broadcast_feature@1e+08;stage2_translation_velocity_row_broadcast_feature@1e+12;stage2_translation_velocity_column_broadcast_feature@1e+08;stage2_translation_velocity_column_broadcast_feature@1e+12;stage2_translation_velocity_symmetric_broadcast_feature@1e+08;stage2_translation_velocity_symmetric_broadcast_feature@1e+12;stage2_translation_velocity_diagonal_plus_row_broadcast_feature@1e+08;stage2_translation_velocity_diagonal_plus_row_broadcast_feature@1e+12;stage2_velocity_translation_to_angular_cross_feature@1e+08;stage2_velocity_translation_to_angular_cross_feature@1e+12;stage2_velocity_angular_to_translation_cross_feature@1e+08;stage2_velocity_angular_to_translation_cross_feature@1e+12;stage2_velocity_bidirectional_rowmask_translation_angular_feature@1e+08;stage2_velocity_bidirectional_rowmask_translation_angular_feature@1e+12;stage2_velocity_local_pair_cross_feature@1e+08;stage2_velocity_local_pair_cross_feature@1e+12,"1.0e+08,1.0e+12",672,8,132,32,32,0,6.189655370999279e-15,1.6671448095665592e-14,3.904573967515049e-14,7.480404647810524e-15,0,lie_position_u,0.882714748958159,0.25237139243408285,0.1703862438230693,0.5772423637428478,True,6.330803037353388e-11,True,True,False,False,True,False,False,False,The target-free feature dictionary spans the local terminal bridge only as a multi-formula capacity space; a bounded target-free coefficient/selection law and trajectory h-sweep are still missing.,derive a bounded target-free coefficient law over this feature dictionary and run a nonlinear h-sweep
cylindrical_smooth,post_one_step,0.04,scalar_gradient,paper_tfe_lower_pair_recurrent_stage2_feature_dictionary_span_gap_not_full_tfe,1,True,2.4825205374532975e-12,132,4.020786763889641e-06,7.946977087299714e-14,1.0761766132525447e-14,4,curvature_plus_history_delta@1e+08;curvature_plus_history_delta@1e+12;normalized_curvature_plus_history_delta@1e+08;normalized_curvature_plus_history_delta@1e+12,"1.0e+08,1.0e+12",96,8,132,32,32,0,0.24994393490733607,0.6488547971646942,0.9231372079706293,1.070751805261687e-05,8,translation_velocity_v,0.4972059383481898,3.2000989606540425e-12,2.3913733532323884e-12,0.9999999999944085,False,1.2455765118543182e-09,True,True,False,False,True,False,False,False,Even the stacked target-free recurrent stage-2 feature dictionary does not span the local terminal bridge tangent for this sample.,derive a new coupled translational/angular weak-row feature outside this dictionary
cylindrical_smooth,post_one_step,0.04,stage2_matrix_core,paper_tfe_lower_pair_recurrent_stage2_feature_dictionary_span_local_capacity_not_full_tfe,1,True,2.4825205374532975e-12,132,4.020786763889641e-06,7.946977087299714e-14,1.0761766132525447e-14,8,stage2_velocity_column_broadcast_feature@1e+08;stage2_velocity_column_broadcast_feature@1e+12;stage2_velocity_shifted_column_broadcast_feature@1e+08;stage2_velocity_shifted_column_broadcast_feature@1e+12;stage2_velocity_diagonal_plus_row_broadcast_feature@1e+08;stage2_velocity_diagonal_plus_row_broadcast_feature@1e+12;stage2_velocity_symmetric_broadcast_feature@1e+08;stage2_velocity_symmetric_broadcast_feature@1e+12,"1.0e+08,1.0e+12",192,8,132,32,32,0,1.2534013864132194e-13,3.253831714894817e-13,4.75398373552035e-13,9.135561796496204e-16,0,angular_velocity_w,0.5185525288799234,0.0700835460834686,0.02402893692909735,0.9058875169874341,True,1.4598968596387083e-06,True,True,False,False,True,False,False,False,The target-free feature dictionary spans the local terminal bridge only as a multi-formula capacity space; a bounded target-free coefficient/selection law and trajectory h-sweep are still missing.,derive a bounded target-free coefficient law over this feature dictionary and run a nonlinear h-sweep
cylindrical_smooth,post_one_step,0.04,stage2_translation_velocity_matrix,paper_tfe_lower_pair_recurrent_stage2_feature_dictionary_span_gap_not_full_tfe,1,True,2.4825205374532975e-12,132,4.020786763889641e-06,7.946977087299714e-14,1.0761766132525447e-14,8,stage2_translation_velocity_row_broadcast_feature@1e+08;stage2_translation_velocity_row_broadcast_feature@1e+12;stage2_translation_velocity_column_broadcast_feature@1e+08;stage2_translation_velocity_column_broadcast_feature@1e+12;stage2_translation_velocity_symmetric_broadcast_feature@1e+08;stage2_translation_velocity_symmetric_broadcast_feature@1e+12;stage2_translation_velocity_diagonal_plus_row_broadcast_feature@1e+08;stage2_translation_velocity_diagonal_plus_row_broadcast_feature@1e+12,"1.0e+08,1.0e+12",192,8,132,29,32,3,0.1893371090337279,0.49151939423285157,0.7550913296216154,9.110058334880831e-16,3,angular_velocity_w,0.7454391463313954,2.8353978046028415e-26,1.8502239614450929e-26,1.0,False,7.760503897330646e-07,True,True,False,False,True,False,False,False,Even the stacked target-free recurrent stage-2 feature dictionary does not span the local terminal bridge tangent for this sample.,derive a new coupled translational/angular weak-row feature outside this dictionary
cylindrical_smooth,post_one_step,0.04,stage2_translation_angular_coupled_matrix,paper_tfe_lower_pair_recurrent_stage2_feature_dictionary_span_local_capacity_not_full_tfe,1,True,2.4825205374532975e-12,132,4.020786763889641e-06,7.946977087299714e-14,1.0761766132525447e-14,8,stage2_velocity_translation_to_angular_cross_feature@1e+08;stage2_velocity_translation_to_angular_cross_feature@1e+12;stage2_velocity_angular_to_translation_cross_feature@1e+08;stage2_velocity_angular_to_translation_cross_feature@1e+12;stage2_velocity_bidirectional_rowmask_translation_angular_feature@1e+08;stage2_velocity_bidirectional_rowmask_translation_angular_feature@1e+12;stage2_velocity_local_pair_cross_feature@1e+08;stage2_velocity_local_pair_cross_feature@1e+12,"1.0e+08,1.0e+12",192,8,132,32,32,0,4.559019795048587e-12,1.1835221628733559e-11,3.220112559478262e-11,3.0568493200505183e-15,0,lie_position_u,0.8795909761475861,0.4214371139719943,0.4940777083848488,0.08448517764315686,True,9.20442598847641e-07,True,True,False,False,True,False,False,False,The target-free feature dictionary spans the local terminal bridge only as a multi-formula capacity space; a bounded target-free coefficient/selection law and trajectory h-sweep are still missing.,derive a bounded target-free coefficient law over this feature dictionary and run a nonlinear h-sweep
