case,h,variant,status,error_message,residual_norm,newton_iterations,raw_linear_residual_norm,scaled_linear_residual_norm,min_jacobian_rank,raw_condition,iterative_scaled_condition,condition_reduction_raw_to_scaled,dominant_left_row_family,dominant_left_row_family_fraction,dominant_right_variable_family,dominant_right_variable_family_fraction,full_left_lower_pair_fraction,full_right_lower_pair_lambda_fraction,lower_lambda_block_rank,lower_lambda_block_condition,schur_rank,schur_condition,schur_solve_residual_norm,row_families_substituted,stage_rows_substituted,initial_z0_residual_norm,initial_z0_jacobian_rank,initial_z0_jacobian_condition,accepted_h_sweep_present,full_tfe_stage_replacement,blocking_gap,notes
cylindrical_smooth,0.04,position_constraint,paper_tfe_lower_pair_row_variant_diagnostic_not_accepted,,9.5087257329850507e-13,4,8.9314597350424954e-15,9.5354042551981001e-17,132,6.1222236894250725e+10,6.4776817092588890e+03,9.4512573544239718e+06,lower_pair_index3_weak_constraints,9.9999999977683518e-01,lower_pair_lambda,8.8347284507252899e-01,9.9999999977683518e-01,8.8347284507252899e-01,0,0.0000000000000000e+00,24,5.8652134178133674e+03,2.8710707318497011e-15,6,132,4.4087858519822445e-15,20,1.6575151823470364e+01,False,False,"This row-variant diagnostic changes only the lower-pair row formula inside the six-family paper residual. It can identify a formulation target, but it is not an accepted full-TFE h-sweep.",Uses the current six-family paper residual with position-level lower-pair constraints.
cylindrical_smooth,0.02,position_constraint,paper_tfe_lower_pair_row_variant_diagnostic_not_accepted,,2.1650438478956130e-12,4,2.6804299435650293e-14,7.2787781651615571e-17,132,9.8876810038646069e+11,1.7514599562927058e+04,5.6453937004610382e+07,lower_pair_index3_weak_constraints,9.9999999999325329e-01,lower_pair_lambda,8.4807693921997507e-01,9.9999999999325329e-01,8.4807693921997507e-01,0,0.0000000000000000e+00,24,5.9661111299472132e+03,2.4622058340786103e-15,6,132,4.4087858519822445e-15,20,1.6575151823470364e+01,False,False,"This row-variant diagnostic changes only the lower-pair row formula inside the six-family paper residual. It can identify a formulation target, but it is not an accepted full-TFE h-sweep.",Uses the current six-family paper residual with position-level lower-pair constraints.
cylindrical_smooth,0.01,position_constraint,paper_tfe_lower_pair_row_variant_diagnostic_not_accepted,,7.2855487966326276e-12,4,8.9905324722792922e-15,3.6895361068900711e-17,132,1.5828203734884256e+13,5.0314299571111245e+04,3.1458658611581409e+08,lower_pair_index3_weak_constraints,9.9999999999959088e-01,lower_pair_lambda,8.4265520657094073e-01,9.9999999999959088e-01,8.4265520657094073e-01,0,0.0000000000000000e+00,24,5.9816799145824325e+03,1.8650655853744488e-15,6,132,4.4087858519822445e-15,20,1.6575151823470364e+01,False,False,"This row-variant diagnostic changes only the lower-pair row formula inside the six-family paper residual. It can identify a formulation target, but it is not an accepted full-TFE h-sweep.",Uses the current six-family paper residual with position-level lower-pair constraints.
cylindrical_smooth,0.04,velocity_constraint,paper_tfe_lower_pair_row_variant_diagnostic_not_accepted,,1.2437295574366509e-12,4,2.7510311715667912e-14,8.6711388853369145e-17,132,2.7448751811616212e+08,4.8833589583046214e+03,5.6208753126650605e+04,lower_pair_index3_weak_constraints,5.5616413357359218e-01,lower_pair_lambda,8.9197634067851039e-01,5.5616413357359218e-01,8.9197634067851039e-01,0,0.0000000000000000e+00,24,1.0767883916557630e+03,2.3793830467723794e-15,6,132,4.4087858519822445e-15,20,1.6575151823470364e+01,False,False,"This row-variant diagnostic changes only the lower-pair row formula inside the six-family paper residual. It can identify a formulation target, but it is not an accepted full-TFE h-sweep.",Replaces only the lower-pair rows with velocity-level constraint rows.
cylindrical_smooth,0.02,velocity_constraint,paper_tfe_lower_pair_row_variant_diagnostic_not_accepted,,2.7771509996072600e-12,4,1.4934198504035242e-14,3.8917263962831516e-17,132,2.2143308916613979e+09,1.3992971668590040e+04,1.5824593546715286e+05,lower_pair_index3_weak_constraints,5.5602282766636479e-01,lower_pair_lambda,8.9016714314404100e-01,5.5602282766636479e-01,8.9016714314404100e-01,0,0.0000000000000000e+00,24,1.1027291686575795e+03,2.8275376605162099e-15,6,132,4.4087858519822445e-15,20,1.6575151823470364e+01,False,False,"This row-variant diagnostic changes only the lower-pair row formula inside the six-family paper residual. It can identify a formulation target, but it is not an accepted full-TFE h-sweep.",Replaces only the lower-pair rows with velocity-level constraint rows.
cylindrical_smooth,0.01,velocity_constraint,paper_tfe_lower_pair_row_variant_diagnostic_not_accepted,,7.0137061731238080e-12,4,3.8964660716005214e-14,4.7612912226298020e-17,132,1.7722092001206020e+10,3.7501385972447635e+04,4.7257165413103631e+05,lower_pair_index3_weak_constraints,5.5596760148346502e-01,lower_pair_lambda,8.8977820628373927e-01,5.5596760148346502e-01,8.8977820628373927e-01,0,0.0000000000000000e+00,24,1.1073479854474451e+03,1.9011765513980202e-15,6,132,4.4087858519822445e-15,20,1.6575151823470364e+01,False,False,"This row-variant diagnostic changes only the lower-pair row formula inside the six-family paper residual. It can identify a formulation target, but it is not an accepted full-TFE h-sweep.",Replaces only the lower-pair rows with velocity-level constraint rows.
cylindrical_smooth,0.04,acceleration_constraint,paper_tfe_lower_pair_row_variant_diagnostic_not_accepted,,7.0212513433481174e-13,4,7.9158678944723082e-15,5.7407551637287430e-17,132,1.2185687669794024e+06,1.6648501941841164e+02,7.3193898840644906e+03,translational_position_weak_defect,8.4301892798829037e-01,lower_pair_lambda,6.8750952149406197e-01,9.2842327297590621e-02,6.8750952149406197e-01,0,0.0000000000000000e+00,24,9.6473341203746671e+01,3.6602094396076597e-15,6,132,4.4087858519822445e-15,20,1.6575151823470364e+01,False,False,"This row-variant diagnostic changes only the lower-pair row formula inside the six-family paper residual. It can identify a formulation target, but it is not an accepted full-TFE h-sweep.",Replaces only the lower-pair rows with acceleration-level constraint rows.
cylindrical_smooth,0.02,acceleration_constraint,paper_tfe_lower_pair_row_variant_diagnostic_not_accepted,,9.1538811823138858e-13,4,2.8182411026367907e-14,3.5896406728096875e-17,132,2.9999037567136185e+06,1.1056992854724430e+02,2.7131280594359978e+04,translational_position_weak_defect,4.9546618166983813e-01,lower_pair_lambda,7.2591275671225375e-01,3.3734572622943049e-01,7.2591275671225375e-01,0,0.0000000000000000e+00,24,9.7005254294404907e+01,2.1808849346155537e-15,6,132,4.4087858519822445e-15,20,1.6575151823470364e+01,False,False,"This row-variant diagnostic changes only the lower-pair row formula inside the six-family paper residual. It can identify a formulation target, but it is not an accepted full-TFE h-sweep.",Replaces only the lower-pair rows with acceleration-level constraint rows.
cylindrical_smooth,0.01,acceleration_constraint,paper_tfe_lower_pair_row_variant_diagnostic_not_accepted,,5.4890484426179787e-12,4,2.6217111607805716e-14,3.2065473851830681e-17,132,1.2093662419105303e+07,1.3108304840368501e+02,9.2259545123344302e+04,translational_position_weak_defect,5.1804899347842071e-01,lower_pair_lambda,8.1247200642530693e-01,3.6013141551840233e-01,8.1247200642530693e-01,0,0.0000000000000000e+00,24,9.7073715221681113e+01,1.8320600129679961e-15,6,132,4.4087858519822445e-15,20,1.6575151823470364e+01,False,False,"This row-variant diagnostic changes only the lower-pair row formula inside the six-family paper residual. It can identify a formulation target, but it is not an accepted full-TFE h-sweep.",Replaces only the lower-pair rows with acceleration-level constraint rows.
cylindrical_sharp,0.04,position_constraint,paper_tfe_lower_pair_row_variant_diagnostic_not_accepted,,5.2506277194099257e-13,4,1.4477837552010032e-14,1.0044537114507052e-16,132,6.1085939073555374e+10,6.9662919711500936e+03,8.7687882343338598e+06,lower_pair_index3_weak_constraints,9.9999999996430478e-01,lower_pair_lambda,5.5196022150239044e-01,9.9999999996430478e-01,5.5196022150239044e-01,0,0.0000000000000000e+00,24,5.7265955299006937e+03,3.1008903411102990e-15,6,132,5.9415067247857465e-15,20,1.6511184154789674e+01,False,False,"This row-variant diagnostic changes only the lower-pair row formula inside the six-family paper residual. It can identify a formulation target, but it is not an accepted full-TFE h-sweep.",Uses the current six-family paper residual with position-level lower-pair constraints.
