case,h,alpha,status,error_message,steps,newton_iterations,residual_norm,max_source_consistency_row_norm,max_blend_mean_closure_row_norm,max_source_free_lower_pair_row_norm,raw_terminal_endpoint_constraint_norm,raw_terminal_endpoint_velocity_constraint_norm,terminal_vs_gauss_position_delta_norm,terminal_vs_gauss_velocity_delta_norm,min_jacobian_rank,raw_jacobian_condition,scaled_jacobian_condition,condition_reduction_raw_to_scaled,raw_linear_residual_norm,scaled_linear_residual_norm,initial_z0_residual_norm,initial_z0_jacobian_rank,initial_z0_jacobian_condition,terminal_z0_update_delta_norm,terminal_velocity_observed_power_h,residual_observed_power_h,alpha_max_terminal_velocity_norm,alpha_max_residual_norm,best_alpha_for_case,global_best_alpha_by_max_terminal_velocity,source_free_lower_pair_rows,external_endpoint_source_removed,endpoint_boundary_source_removed,terminal_row_replacement_used,projection_used,trajectory_h_sweep_present,one_step_h_sweep_present,accepted_h_sweep_present,full_tfe_stage_replacement,blocking_gap,notes
cylindrical_smooth,0.04,-1,paper_tfe_lower_pair_source_free_mean_blend_closure_family_partial_not_full_tfe,,1,4,8.6325669151599944e-13,6.4089058781621562e-16,6.0190356580818339e-16,8.7922047751631703e-16,6.5755391517979260e-10,6.8441247847417013e-10,3.1937596410148593e-03,2.9399078983771555e-03,132,1.2355293303523643e+06,1.5987046938987478e+02,7.9219104089967113e+03,2.4102267474510363e-14,5.6378938390977246e-17,4.4087858519822445e-15,20,1.6575151823470364e+01,4.0408061658015959e-01,6.7780679996119968e+00,-1.5288533686205603e+00,6.8441247847417013e-10,7.1878896202906392e-12,0,0,True,True,True,False,False,False,True,False,False,"This is a one-step source-free alpha sweep, not a full trajectory acceptance h-sweep; terminal velocity, smooth order, and full TFE replacement remain unaccepted.","Lower-pair rows are 16 centered acceleration source-consistency equations plus (1-alpha)*mean_acceleration + alpha*mean_velocity closure rows. No endpoint source, terminal-row replacement, or projection is used."
cylindrical_smooth,0.04,0,paper_tfe_lower_pair_source_free_mean_blend_closure_family_partial_not_full_tfe,,1,4,7.0214410145536271e-13,8.5404261915413521e-16,5.7109415653850341e-16,1.0273934645324935e-15,6.4463003202159375e-10,2.3374895038106698e-10,3.1937596407329545e-03,2.9399078969132514e-03,132,1.2188681266593726e+06,1.6493790275949914e+02,7.5417464683303069e+03,8.6577307679816704e-15,4.4332416850871629e-17,4.4087858519822445e-15,20,1.6575151823470364e+01,4.0408061907770021e-01,7.7416884996325921e+00,-1.4833548323649512e+00,2.3374895038106698e-10,5.4890204563679379e-12,0,0,True,True,True,False,False,False,True,False,False,"This is a one-step source-free alpha sweep, not a full trajectory acceptance h-sweep; terminal velocity, smooth order, and full TFE replacement remain unaccepted.","Lower-pair rows are 16 centered acceleration source-consistency equations plus (1-alpha)*mean_acceleration + alpha*mean_velocity closure rows. No endpoint source, terminal-row replacement, or projection is used."
cylindrical_smooth,0.04,0.25,paper_tfe_lower_pair_source_free_mean_blend_closure_family_partial_not_full_tfe,,1,4,1.0455546450728621e-12,5.0068391407498690e-16,3.0629570641599418e-16,5.8694245167846041e-16,6.3619001794078364e-10,6.0029947915217414e-10,3.1937596405488336e-03,2.9399078959562253e-03,132,1.2171063279705213e+06,1.5642781940357651e+02,8.0322462496878361e+03,9.8931984746253007e-15,5.7309548378428957e-17,4.4087858519822445e-15,20,1.6575151823470364e+01,4.0408062071024231e-01,6.9508392448187477e+00,-1.2154875738093540e+00,6.0029947915217414e-10,5.6382350099286440e-12,0,0,True,True,True,False,False,False,True,False,False,"This is a one-step source-free alpha sweep, not a full trajectory acceptance h-sweep; terminal velocity, smooth order, and full TFE replacement remain unaccepted.","Lower-pair rows are 16 centered acceleration source-consistency equations plus (1-alpha)*mean_acceleration + alpha*mean_velocity closure rows. No endpoint source, terminal-row replacement, or projection is used."
cylindrical_smooth,0.04,0.5,paper_tfe_lower_pair_source_free_mean_blend_closure_family_partial_not_full_tfe,,1,4,6.8521281595802862e-13,6.5366139059060665e-16,1.9015905821500885e-16,6.8075963523850668e-16,6.1971841228733757e-10,1.5073936311203342e-09,3.1937596401888022e-03,2.9399078940865559e-03,132,1.2475490162576886e+06,1.4653763271804337e+02,9.2198769131636836e+03,1.4593017373288959e-14,6.6878581157777696e-17,4.4087858519822445e-15,20,1.6575151823470364e+01,4.0408062390005911e-01,6.8417392119966207e+00,-1.7460969085279232e+00,1.5073936311203342e-09,7.7104649420187123e-12,0,0,True,True,True,False,False,False,True,False,False,"This is a one-step source-free alpha sweep, not a full trajectory acceptance h-sweep; terminal velocity, smooth order, and full TFE replacement remain unaccepted.","Lower-pair rows are 16 centered acceleration source-consistency equations plus (1-alpha)*mean_acceleration + alpha*mean_velocity closure rows. No endpoint source, terminal-row replacement, or projection is used."
cylindrical_smooth,0.04,0.75,paper_tfe_lower_pair_source_free_mean_blend_closure_family_partial_not_full_tfe,,1,4,8.1758626035356720e-13,5.8795683575025866e-16,8.3556156768210455e-17,5.9386435491560732e-16,5.7335863098190379e-10,4.1302538940125527e-09,3.1937596391727972e-03,2.9399078888069285e-03,132,1.9855955144773365e+06,1.3628988718669004e+02,1.7567344816177680e+04,1.1064862934709117e-14,5.4777390332610038e-17,4.4087858519822445e-15,20,1.6575151823470364e+01,4.0408063290717833e-01,6.7881933809101094e+00,-1.6648304871312458e+00,4.1302538940125527e-09,8.2198030753028066e-12,0,0,True,True,True,False,False,False,True,False,False,"This is a one-step source-free alpha sweep, not a full trajectory acceptance h-sweep; terminal velocity, smooth order, and full TFE replacement remain unaccepted.","Lower-pair rows are 16 centered acceleration source-consistency equations plus (1-alpha)*mean_acceleration + alpha*mean_velocity closure rows. No endpoint source, terminal-row replacement, or projection is used."
cylindrical_smooth,0.04,1,paper_tfe_lower_pair_source_free_mean_blend_closure_family_partial_not_full_tfe,,1,4,5.0311947101333335e-13,7.7253603342105570e-16,9.1771162845342324e-18,7.7259053993511885e-16,5.0689844352425951e-10,6.1235101187938666e-08,3.1937596171314878e-03,2.9399077742874786e-03,132,2.5746116703031257e+07,1.2096357891018993e+03,2.1527255937100104e+04,1.1443391108741615e-14,5.4420475160275384e-17,4.4087858519822445e-15,20,1.6575151823470364e+01,4.0408082827164438e-01,5.8121028404422814e+00,-1.7693006383471026e+00,6.1235101187938666e-08,5.8465040125023197e-12,0,0,True,True,True,False,False,False,True,False,False,"This is a one-step source-free alpha sweep, not a full trajectory acceptance h-sweep; terminal velocity, smooth order, and full TFE replacement remain unaccepted.","Lower-pair rows are 16 centered acceleration source-consistency equations plus (1-alpha)*mean_acceleration + alpha*mean_velocity closure rows. No endpoint source, terminal-row replacement, or projection is used."
cylindrical_smooth,0.04,2,paper_tfe_lower_pair_source_free_mean_blend_closure_family_partial_not_full_tfe,,1,4,6.1430924285910851e-13,9.0872903532267532e-16,5.4965166687122881e-16,1.0620289141698545e-15,6.9833091986821211e-10,2.9553502734379739e-09,3.1937596419023000e-03,2.9399079029866172e-03,132,1.5015737331219383e+06,1.6222803781588308e+02,1.0111069156906262e+04,1.4955403976589698e-14,5.2173063908346733e-17,4.4087858519822445e-15,20,1.6575151823470364e+01,4.0408060871643720e-01,6.8219740203915000e+00,-1.5572436660061839e+00,2.9553502734379739e-09,5.3203616922816443e-12,0,0,True,True,True,False,False,False,True,False,False,"This is a one-step source-free alpha sweep, not a full trajectory acceptance h-sweep; terminal velocity, smooth order, and full TFE replacement remain unaccepted.","Lower-pair rows are 16 centered acceleration source-consistency equations plus (1-alpha)*mean_acceleration + alpha*mean_velocity closure rows. No endpoint source, terminal-row replacement, or projection is used."
cylindrical_smooth,0.02,-1,paper_tfe_lower_pair_source_free_mean_blend_closure_family_partial_not_full_tfe,,1,4,1.3514667386034723e-12,7.1872357585689396e-16,7.0829093983460638e-16,1.0090786064248466e-15,2.2643227547633633e-12,4.6688215817765940e-12,8.0381261297503618e-04,3.7632663801972171e-04,132,3.0247771694934461e+06,1.0110410634091863e+02,3.0768174935841729e+04,1.5981306994068157e-14,3.3883411332707343e-17,4.4087858519822445e-15,20,1.6575151823470364e+01,1.0838630018533014e-01,6.7780679996119968e+00,-1.5288533686205603e+00,6.8441247847417013e-10,7.1878896202906392e-12,0,0,True,True,True,False,False,False,True,False,False,"This is a one-step source-free alpha sweep, not a full trajectory acceptance h-sweep; terminal velocity, smooth order, and full TFE replacement remain unaccepted.","Lower-pair rows are 16 centered acceleration source-consistency equations plus (1-alpha)*mean_acceleration + alpha*mean_velocity closure rows. No endpoint source, terminal-row replacement, or projection is used."
cylindrical_smooth,0.02,0,paper_tfe_lower_pair_source_free_mean_blend_closure_family_partial_not_full_tfe,,1,4,9.1528737555134873e-13,4.7754656459733430e-16,2.1887634268266783e-16,5.2531664236425690e-16,2.2279085869978694e-12,8.1983350023314533e-13,8.0381261297307930e-04,3.7632663799403029e-04,132,2.9907905866280114e+06,1.0568991415489810e+02,2.9129507602383277e+04,1.2124797931978628e-14,3.1691275282037226e-17,4.4087858519822445e-15,20,1.6575151823470364e+01,1.0838630018994688e-01,7.7416884996325921e+00,-1.4833548323649512e+00,2.3374895038106698e-10,5.4890204563679379e-12,0,0,True,True,True,False,False,False,True,False,False,"This is a one-step source-free alpha sweep, not a full trajectory acceptance h-sweep; terminal velocity, smooth order, and full TFE replacement remain unaccepted.","Lower-pair rows are 16 centered acceleration source-consistency equations plus (1-alpha)*mean_acceleration + alpha*mean_velocity closure rows. No endpoint source, terminal-row replacement, or projection is used."
cylindrical_smooth,0.02,0.25,paper_tfe_lower_pair_source_free_mean_blend_closure_family_partial_not_full_tfe,,1,4,1.0181781969350315e-12,6.7751791715351552e-16,1.0461259655344717e-16,6.8554673321495190e-16,2.2040527364381146e-12,3.4338806090623657e-12,8.0381261297118812e-04,3.7632663797724684e-04,132,3.1148521794005521e+06,9.6174734354237941e+01,3.3650431651016785e+04,1.6473231654429090e-14,5.4694375079063371e-17,4.4087858519822445e-15,20,1.6575151823470364e+01,1.0838630019299431e-01,6.9508392448187477e+00,-1.2154875738093540e+00,6.0029947915217414e-10,5.6382350099286440e-12,0,0,True,True,True,False,False,False,True,False,False,"This is a one-step source-free alpha sweep, not a full trajectory acceptance h-sweep; terminal velocity, smooth order, and full TFE replacement remain unaccepted.","Lower-pair rows are 16 centered acceleration source-consistency equations plus (1-alpha)*mean_acceleration + alpha*mean_velocity closure rows. No endpoint source, terminal-row replacement, or projection is used."
