case,h,reference_h,steps,status,error_message,reference_completed,trajectory_completed,position_error_vs_source_free_order_closure_blend_reference,velocity_error_vs_source_free_order_closure_blend_reference,max_residual_norm,max_source_consistency_row_norm,max_order_closure_blend_closure_row_norm,max_source_free_lower_pair_row_norm,max_paper_kinematic_row_norm,max_paper_newton_euler_row_norm,max_raw_terminal_endpoint_constraint_norm,max_raw_terminal_endpoint_velocity_constraint_norm,max_terminal_vs_gauss_position_delta_norm,max_terminal_vs_gauss_velocity_delta_norm,min_jacobian_rank,max_raw_jacobian_condition,max_scaled_jacobian_condition,max_condition_reduction_raw_to_scaled,max_raw_linear_residual_norm,max_scaled_linear_residual_norm,initial_z0_residual_norm,initial_z0_jacobian_rank,initial_z0_jacobian_condition,initial_z0_norm,max_terminal_z0_update_delta_norm,max_terminal_z0_norm,total_newton_iterations,max_newton_iterations,position_observed_order,velocity_observed_order,row_families_substituted,stage_rows_substituted,source_consistency_rows,order_closure_blend_closure_rows,source_free_lower_pair_rows,lower_pair_row_formula,linear_solve_policy,output_policy,start_z0_policy,external_endpoint_source_removed,endpoint_boundary_source_removed,terminal_row_replacement_used,projection_used,trajectory_h_sweep_present,accepted_h_sweep_present,full_tfe_stage_replacement,blocking_gap,notes,beta,beta_values,order_preserving_baseline_formula,terminal_closure_baseline_formula,max_terminal_velocity_vs_beta0_ratio,max_terminal_velocity_vs_beta1_ratio,case_best_beta_by_terminal_velocity,global_best_beta_by_terminal_velocity,case_best_beta_by_order,global_best_beta_by_order,beta_count,order_closure_tradeoff_present,order_and_terminal_intersection_present
cylindrical_smooth,0.04,0.005,2,paper_tfe_lower_pair_source_free_order_closure_blend_trajectory_tradeoff_not_full_tfe,,True,True,8.7583492421545622e-08,1.2005571966325881e-05,2.3790173569198119e-12,1.2336857299717106e-15,7.5915281185288971e-16,1.4485487468773640e-15,7.2541183330743354e-13,2.2657226569749885e-12,1.5912781004351253e-07,4.0207867687937859e-06,3.1937596407329545e-03,1.4077486209118957e-02,132,3.4473200925958897e+06,4.4400904649226885e+02,7.9468912842977379e+03,2.3170090617809128e-14,3.8184080565964612e-15,4.4087858519822445e-15,20,1.6575151823470364e+01,1.9456826690375223e+01,2.0360762327557294e+00,1.9456826690375223e+01,13,5,5.3168287326007357e+00,6.7822295377613671e+00,6,132,16,8,24,centered_acceleration_source_consistency_plus_order_closure_blend,iterative_equilibrated,raw_terminal_lobatto_node_no_projection,consistent_initial_acceleration_then_recurrent_terminal_z,True,True,False,False,True,False,False,This beta path tests whether the order-preserving mean-acceleration closure and the terminal-closing final-stage velocity closure intersect. It remains diagnostic until one beta simultaneously passes terminal velocity and order gates.,"Lower-pair rows are 16 centered acceleration source-consistency equations plus (1-beta)*mean_acceleration + beta*final_stage_velocity closure rows. No endpoint source, terminal-row replacement, or projection is used.",0,"0,0.5,1",mean_acceleration_closure,final_stage_velocity_closure,1.0000000000000000e+00,1.0024214914953566e+10,1,1,0.5,1,3,True,False
cylindrical_smooth,0.02,0.005,4,paper_tfe_lower_pair_source_free_order_closure_blend_trajectory_tradeoff_not_full_tfe,,True,True,4.1576584356784358e-09,2.3614926646604040e-08,2.1663178304107305e-12,8.3780784348320477e-16,6.1954332298707585e-16,8.8314261981521911e-16,2.1663176226492374e-12,1.2820688616081982e-15,8.0584012674603780e-08,2.0465116557613063e-06,8.0381261297307930e-04,4.0560695581648067e-03,132,1.3973878737134904e+07,5.6853212698792811e+02,2.9129507602383277e+04,3.4348031777561534e-14,3.8184080565964612e-15,4.4087858519822445e-15,20,1.6575151823470364e+01,1.9456826690375223e+01,1.2441482306655054e+00,1.9456826690375223e+01,21,5,5.3168287326007357e+00,6.7822295377613671e+00,6,132,16,8,24,centered_acceleration_source_consistency_plus_order_closure_blend,iterative_equilibrated,raw_terminal_lobatto_node_no_projection,consistent_initial_acceleration_then_recurrent_terminal_z,True,True,False,False,True,False,False,This beta path tests whether the order-preserving mean-acceleration closure and the terminal-closing final-stage velocity closure intersect. It remains diagnostic until one beta simultaneously passes terminal velocity and order gates.,"Lower-pair rows are 16 centered acceleration source-consistency equations plus (1-beta)*mean_acceleration + beta*final_stage_velocity closure rows. No endpoint source, terminal-row replacement, or projection is used.",0,"0,0.5,1",mean_acceleration_closure,final_stage_velocity_closure,1.0000000000000000e+00,1.0024214914953566e+10,1,1,0.5,1,3,True,False
cylindrical_smooth,0.01,0.005,8,paper_tfe_lower_pair_source_free_order_closure_blend_trajectory_tradeoff_not_full_tfe,,True,True,5.5128020474045870e-11,9.9100032917262563e-10,9.4528460314046262e-12,7.5226195523301754e-16,3.2427886541382827e-16,7.8791431123886171e-16,9.4528460182698964e-12,5.0584469468129644e-16,4.6553484201536874e-08,1.0815805072671240e-06,2.0138320357235582e-04,1.0125503592907053e-03,132,5.6254301270142920e+07,7.3112224185377113e+02,9.6281410675582083e+04,8.0672613104229883e-14,3.8184080565964612e-15,4.4087858519822445e-15,20,1.6575151823470364e+01,1.9456826690375223e+01,6.2840070979270846e-01,1.9456826690375223e+01,37,5,5.3168287326007357e+00,6.7822295377613671e+00,6,132,16,8,24,centered_acceleration_source_consistency_plus_order_closure_blend,iterative_equilibrated,raw_terminal_lobatto_node_no_projection,consistent_initial_acceleration_then_recurrent_terminal_z,True,True,False,False,True,False,False,This beta path tests whether the order-preserving mean-acceleration closure and the terminal-closing final-stage velocity closure intersect. It remains diagnostic until one beta simultaneously passes terminal velocity and order gates.,"Lower-pair rows are 16 centered acceleration source-consistency equations plus (1-beta)*mean_acceleration + beta*final_stage_velocity closure rows. No endpoint source, terminal-row replacement, or projection is used.",0,"0,0.5,1",mean_acceleration_closure,final_stage_velocity_closure,1.0000000000000000e+00,1.0024214914953566e+10,1,1,0.5,1,3,True,False
cylindrical_sharp,0.04,0.005,2,paper_tfe_lower_pair_source_free_order_closure_blend_trajectory_tradeoff_not_full_tfe,,True,True,2.2901380248606307e-05,7.7481247357925062e-04,1.1852405566443735e-12,9.9477237828271978e-16,4.7549825407395170e-16,1.0076671836096985e-15,1.1852402527340434e-12,3.2476363612984830e-14,3.7956818021356868e-07,7.9936999591854712e-06,3.1717443644077819e-03,1.9293740361915061e-02,132,1.7602616000598464e+07,2.3511294948526188e+03,1.4001828895836614e+04,2.9888935206981484e-14,4.4061678072136439e-15,5.9415067247857465e-15,20,1.6511184154789674e+01,1.9347419632600847e+01,2.7223413237175556e+00,1.9370353467002587e+01,14,5,2.5547841757444809e+00,1.9176232928232309e+00,6,132,16,8,24,centered_acceleration_source_consistency_plus_order_closure_blend,iterative_equilibrated,raw_terminal_lobatto_node_no_projection,consistent_initial_acceleration_then_recurrent_terminal_z,True,True,False,False,True,False,False,This beta path tests whether the order-preserving mean-acceleration closure and the terminal-closing final-stage velocity closure intersect. It remains diagnostic until one beta simultaneously passes terminal velocity and order gates.,"Lower-pair rows are 16 centered acceleration source-consistency equations plus (1-beta)*mean_acceleration + beta*final_stage_velocity closure rows. No endpoint source, terminal-row replacement, or projection is used.",0,"0,0.5,1",mean_acceleration_closure,final_stage_velocity_closure,1.0000000000000000e+00,5.0462864763362747e+10,1,1,1,1,3,True,False
cylindrical_sharp,0.02,0.005,4,paper_tfe_lower_pair_source_free_order_closure_blend_trajectory_tradeoff_not_full_tfe,,True,True,1.8938248791374340e-06,1.0613493453383420e-03,2.7782117467297628e-12,1.2746956499112991e-15,3.5492630798631767e-16,1.3231861864467855e-15,2.7764563143510662e-12,9.8744497428604143e-14,2.8273850063392344e-07,8.2335150265865238e-06,7.9263562397226706e-04,1.1938905912482750e-02,132,1.1518118484784365e+08,4.8098848044646693e+03,1.1301870044325260e+05,3.6115968108294940e-14,4.4061678072136439e-15,5.9415067247857465e-15,20,1.6511184154789674e+01,1.9347419632600847e+01,3.2156216982928498e+00,1.9449720240575445e+01,22,5,2.5547841757444809e+00,1.9176232928232309e+00,6,132,16,8,24,centered_acceleration_source_consistency_plus_order_closure_blend,iterative_equilibrated,raw_terminal_lobatto_node_no_projection,consistent_initial_acceleration_then_recurrent_terminal_z,True,True,False,False,True,False,False,This beta path tests whether the order-preserving mean-acceleration closure and the terminal-closing final-stage velocity closure intersect. It remains diagnostic until one beta simultaneously passes terminal velocity and order gates.,"Lower-pair rows are 16 centered acceleration source-consistency equations plus (1-beta)*mean_acceleration + beta*final_stage_velocity closure rows. No endpoint source, terminal-row replacement, or projection is used.",0,"0,0.5,1",mean_acceleration_closure,final_stage_velocity_closure,1.0000000000000000e+00,5.0462864763362747e+10,1,1,1,1,3,True,False
cylindrical_sharp,0.01,0.005,8,paper_tfe_lower_pair_source_free_order_closure_blend_trajectory_tradeoff_not_full_tfe,,True,True,6.6332798345719317e-07,5.4284062355344396e-05,7.0934879517289944e-12,6.9416381478373953e-16,3.4067258522493831e-16,7.0436096939872932e-16,7.0934879336371230e-12,5.6555212555398467e-16,1.6489059185322186e-07,5.3351666674080705e-06,2.0235752260986021e-04,6.1299017002429280e-03,132,4.3675860877303654e+08,5.6175859114873665e+03,3.7889744311796385e+05,6.2983397385506745e-14,4.4061678072136439e-15,5.9415067247857465e-15,20,1.6511184154789674e+01,1.9347419632600847e+01,3.4305770295189109e+00,1.9500560811223327e+01,38,5,2.5547841757444809e+00,1.9176232928232309e+00,6,132,16,8,24,centered_acceleration_source_consistency_plus_order_closure_blend,iterative_equilibrated,raw_terminal_lobatto_node_no_projection,consistent_initial_acceleration_then_recurrent_terminal_z,True,True,False,False,True,False,False,This beta path tests whether the order-preserving mean-acceleration closure and the terminal-closing final-stage velocity closure intersect. It remains diagnostic until one beta simultaneously passes terminal velocity and order gates.,"Lower-pair rows are 16 centered acceleration source-consistency equations plus (1-beta)*mean_acceleration + beta*final_stage_velocity closure rows. No endpoint source, terminal-row replacement, or projection is used.",0,"0,0.5,1",mean_acceleration_closure,final_stage_velocity_closure,1.0000000000000000e+00,5.0462864763362747e+10,1,1,1,1,3,True,False
cylindrical_smooth,0.04,0.005,2,paper_tfe_lower_pair_source_free_order_closure_blend_trajectory_tradeoff_not_full_tfe,,True,True,8.7585704335660958e-08,1.2005542262657887e-05,2.6066176350859860e-12,9.1669094659185124e-16,2.6751312459287822e-16,9.5492699375025980e-16,1.2896483067990713e-12,2.2652288688841095e-12,1.5774194941879841e-07,3.9445597247696356e-06,3.1937596407341437e-03,1.4077486075877312e-02,132,3.3751215591450105e+06,4.0797420538197957e+02,8.5651914609376890e+03,2.0934019864315767e-14,3.8184080565964612e-15,4.4087858519822445e-15,20,1.6575151823470364e+01,1.9456826690375223e+01,2.0360765950088258e+00,1.9456826690375223e+01,13,5,5.3405827850218195e+00,6.8250077989945472e+00,6,132,16,8,24,centered_acceleration_source_consistency_plus_order_closure_blend,iterative_equilibrated,raw_terminal_lobatto_node_no_projection,consistent_initial_acceleration_then_recurrent_terminal_z,True,True,False,False,True,False,False,This beta path tests whether the order-preserving mean-acceleration closure and the terminal-closing final-stage velocity closure intersect. It remains diagnostic until one beta simultaneously passes terminal velocity and order gates.,"Lower-pair rows are 16 centered acceleration source-consistency equations plus (1-beta)*mean_acceleration + beta*final_stage_velocity closure rows. No endpoint source, terminal-row replacement, or projection is used.",0.5,"0,0.5,1",mean_acceleration_closure,final_stage_velocity_closure,9.8104175913635483e-01,9.8341734341269321e+09,1,1,0.5,1,3,True,False
cylindrical_smooth,0.02,0.005,4,paper_tfe_lower_pair_source_free_order_closure_blend_trajectory_tradeoff_not_full_tfe,,True,True,4.1552554378634921e-09,2.3537398793273783e-08,3.3225628204143352e-12,8.8521790861305019e-16,1.6069691115474484e-16,8.9278266408012705e-16,3.3225627876771285e-12,1.2576233546695490e-15,7.9307841779774763e-08,2.0143901114915285e-06,8.0381261297278342e-04,4.0560695564913485e-03,132,1.3750429253992984e+07,5.3203256848171429e+02,4.3288958335801690e+04,3.9409380524741108e-14,3.8184080565964612e-15,4.4087858519822445e-15,20,1.6575151823470364e+01,1.9456826690375223e+01,1.2441481234609366e+00,1.9456826690375223e+01,21,5,5.3405827850218195e+00,6.8250077989945472e+00,6,132,16,8,24,centered_acceleration_source_consistency_plus_order_closure_blend,iterative_equilibrated,raw_terminal_lobatto_node_no_projection,consistent_initial_acceleration_then_recurrent_terminal_z,True,True,False,False,True,False,False,This beta path tests whether the order-preserving mean-acceleration closure and the terminal-closing final-stage velocity closure intersect. It remains diagnostic until one beta simultaneously passes terminal velocity and order gates.,"Lower-pair rows are 16 centered acceleration source-consistency equations plus (1-beta)*mean_acceleration + beta*final_stage_velocity closure rows. No endpoint source, terminal-row replacement, or projection is used.",0.5,"0,0.5,1",mean_acceleration_closure,final_stage_velocity_closure,9.8104175913635483e-01,9.8341734341269321e+09,1,1,0.5,1,3,True,False
cylindrical_smooth,0.01,0.005,8,paper_tfe_lower_pair_source_free_order_closure_blend_trajectory_tradeoff_not_full_tfe,,True,True,5.3343560690164335e-11,9.3393713623555652e-10,8.8985149272221927e-12,5.4457776911890999e-16,1.2911391378983637e-16,5.5602166911336521e-16,8.8985149031261032e-12,4.9059277245616866e-16,4.5942952232277770e-08,1.0615877013011068e-06,2.0138320357246845e-04,1.0125503621879681e-03,132,5.6325377426292248e+07,6.8708799596536642e+02,1.4268050606733703e+05,6.7226889607830485e-14,3.8184080565964612e-15,4.4087858519822445e-15,20,1.6575151823470364e+01,1.9456826690375223e+01,6.2840062695326182e-01,1.9456826690375223e+01,37,5,5.3405827850218195e+00,6.8250077989945472e+00,6,132,16,8,24,centered_acceleration_source_consistency_plus_order_closure_blend,iterative_equilibrated,raw_terminal_lobatto_node_no_projection,consistent_initial_acceleration_then_recurrent_terminal_z,True,True,False,False,True,False,False,This beta path tests whether the order-preserving mean-acceleration closure and the terminal-closing final-stage velocity closure intersect. It remains diagnostic until one beta simultaneously passes terminal velocity and order gates.,"Lower-pair rows are 16 centered acceleration source-consistency equations plus (1-beta)*mean_acceleration + beta*final_stage_velocity closure rows. No endpoint source, terminal-row replacement, or projection is used.",0.5,"0,0.5,1",mean_acceleration_closure,final_stage_velocity_closure,9.8104175913635483e-01,9.8341734341269321e+09,1,1,0.5,1,3,True,False
cylindrical_sharp,0.04,0.005,2,paper_tfe_lower_pair_source_free_order_closure_blend_trajectory_tradeoff_not_full_tfe,,True,True,2.2901370192887039e-05,7.7481220289559469e-04,7.1672769642264812e-13,6.8608460741156204e-16,3.2576823977309633e-16,7.3494247593070048e-16,7.1592449168862867e-13,3.3914198785335788e-14,3.7681421084333673e-07,7.8421516475761244e-06,3.1717443807925566e-03,1.9293739151693572e-02,132,1.7438600285022229e+07,2.1542462671151829e+03,1.4660561028359967e+04,1.4810195064365962e-14,4.4061678072136439e-15,5.9415067247857465e-15,20,1.6511184154789674e+01,1.9347419632600847e+01,2.7223418608915795e+00,1.9370353467028249e+01,14,5,2.5547804653272452e+00,1.9176240968622877e+00,6,132,16,8,24,centered_acceleration_source_consistency_plus_order_closure_blend,iterative_equilibrated,raw_terminal_lobatto_node_no_projection,consistent_initial_acceleration_then_recurrent_terminal_z,True,True,False,False,True,False,False,This beta path tests whether the order-preserving mean-acceleration closure and the terminal-closing final-stage velocity closure intersect. It remains diagnostic until one beta simultaneously passes terminal velocity and order gates.,"Lower-pair rows are 16 centered acceleration source-consistency equations plus (1-beta)*mean_acceleration + beta*final_stage_velocity closure rows. No endpoint source, terminal-row replacement, or projection is used.",0.5,"0,0.5,1",mean_acceleration_closure,final_stage_velocity_closure,9.8315486901067883e-01,4.9612811196327507e+10,1,1,1,1,3,True,False
