case,metric,status,h_coarse,h_mid,h_fine,value_coarse,value_mid,value_fine,observed_power_h,condition_observed_power_h,missing_h_power_to_bounded,excess_missing_power_vs_condition,power_after_extra_sqrt_h,power_after_extra_h,power_after_extra_h2,simple_h2_scaling_sufficient,empirical_flattening_h_power,source_policy_rejected,replacement_target,source_sign,source_policy,accepted_h_sweep_present,full_tfe_stage_replacement,blocking_gap,notes
cylindrical_sharp,max_normalized_source_norm,paper_tfe_lower_pair_terminal_source_bounded_policy_target_quantified_not_accepted,0.04,0.02,0.01,2.3983535384447053e-03,1.2119180592443096e-01,8.8938042056769734e+02,-9.2501983893027120e+00,-3.0171441677131337e+00,9.2501983893027120e+00,6.2330542215895779e+00,-8.7501983893027120e+00,-8.2501983893027120e+00,-7.2501983893027120e+00,False,9.2501983893027120e+00,True,independent_bounded_stage_local_lower_pair_tfe_source_formula,-1,per_step_terminal_velocity_closure_source_normalized_by_sqrt_h_b_terminal,False,False,"The closure-derived source grows with a negative h-power; even adding an extra h^2 stage scaling does not bound the dominant source metrics. The repair target is an independent bounded stage-local lower-pair TFE source formula, not another terminal closure source normalization.",A bounded stage-local policy should have observed h-power >= 0 for source and terminal closure metrics. The empirical flattening power is diagnostic only; it is not proposed as an accepted method.
cylindrical_sharp,max_terminal_source_row_norm,paper_tfe_lower_pair_terminal_source_bounded_policy_target_quantified_not_accepted,0.04,0.02,0.01,2.5280866052698254e-04,9.0331038787663121e-03,4.6874463922539789e+01,-8.7501983893027102e+00,-3.0171441677131337e+00,8.7501983893027102e+00,5.7330542215895761e+00,-8.2501983893027102e+00,-7.7501983893027102e+00,-6.7501983893027102e+00,False,8.7501983893027102e+00,True,independent_bounded_stage_local_lower_pair_tfe_source_formula,-1,per_step_terminal_velocity_closure_source_normalized_by_sqrt_h_b_terminal,False,False,"The closure-derived source grows with a negative h-power; even adding an extra h^2 stage scaling does not bound the dominant source metrics. The repair target is an independent bounded stage-local lower-pair TFE source formula, not another terminal closure source normalization.",A bounded stage-local policy should have observed h-power >= 0 for source and terminal closure metrics. The empirical flattening power is diagnostic only; it is not proposed as an accepted method.
cylindrical_sharp,max_source_lifted_norm,paper_tfe_lower_pair_terminal_source_bounded_policy_target_quantified_not_accepted,0.04,0.02,0.01,4.7967070768894105e-04,1.7139109558681826e-02,8.8938042056769746e+01,-8.7501983893027102e+00,-3.0171441677131337e+00,8.7501983893027102e+00,5.7330542215895761e+00,-8.2501983893027102e+00,-7.7501983893027102e+00,-6.7501983893027102e+00,False,8.7501983893027102e+00,True,independent_bounded_stage_local_lower_pair_tfe_source_formula,-1,per_step_terminal_velocity_closure_source_normalized_by_sqrt_h_b_terminal,False,False,"The closure-derived source grows with a negative h-power; even adding an extra h^2 stage scaling does not bound the dominant source metrics. The repair target is an independent bounded stage-local lower-pair TFE source formula, not another terminal closure source normalization.",A bounded stage-local policy should have observed h-power >= 0 for source and terminal closure metrics. The empirical flattening power is diagnostic only; it is not proposed as an accepted method.
cylindrical_sharp,max_terminal_endpoint_velocity_constraint_norm,paper_tfe_lower_pair_terminal_source_bounded_policy_target_quantified_not_accepted,0.04,0.02,0.01,7.9945056072760511e-05,2.0198631424204676e-03,7.4115080283076882e+00,-8.2501993878777249e+00,-3.0171441677131337e+00,8.2501993878777249e+00,5.2330552201645908e+00,-7.7501993878777249e+00,-7.2501993878777249e+00,-6.2501993878777249e+00,False,8.2501993878777249e+00,True,independent_bounded_stage_local_lower_pair_tfe_source_formula,-1,per_step_terminal_velocity_closure_source_normalized_by_sqrt_h_b_terminal,False,False,"The closure-derived source grows with a negative h-power; even adding an extra h^2 stage scaling does not bound the dominant source metrics. The repair target is an independent bounded stage-local lower-pair TFE source formula, not another terminal closure source normalization.",A bounded stage-local policy should have observed h-power >= 0 for source and terminal closure metrics. The empirical flattening power is diagnostic only; it is not proposed as an accepted method.
cylindrical_sharp,max_terminal_z0_update_delta_norm,paper_tfe_lower_pair_terminal_source_bounded_policy_target_quantified_not_accepted,0.04,0.02,0.01,2.7227209694167365e+00,3.2366545986288870e+00,9.9558475764058494e+02,-4.2571755966736964e+00,-3.0171441677131337e+00,4.2571755966736964e+00,1.2400314289605627e+00,-3.7571755966736964e+00,-3.2571755966736964e+00,-2.2571755966736964e+00,False,4.2571755966736964e+00,True,independent_bounded_stage_local_lower_pair_tfe_source_formula,-1,per_step_terminal_velocity_closure_source_normalized_by_sqrt_h_b_terminal,False,False,"The closure-derived source grows with a negative h-power; even adding an extra h^2 stage scaling does not bound the dominant source metrics. The repair target is an independent bounded stage-local lower-pair TFE source formula, not another terminal closure source normalization.",A bounded stage-local policy should have observed h-power >= 0 for source and terminal closure metrics. The empirical flattening power is diagnostic only; it is not proposed as an accepted method.
cylindrical_sharp,max_terminal_vs_gauss_velocity_delta_norm,paper_tfe_lower_pair_terminal_source_bounded_policy_target_quantified_not_accepted,0.04,0.02,0.01,1.9293645324006965e-02,1.1937244530155619e-02,5.8763542097066392e-02,-8.0339780468585276e-01,-3.0171441677131337e+00,8.0339780468585276e-01,0.0000000000000000e+00,-3.0339780468585276e-01,1.9660219531414724e-01,1.1966021953141472e+00,True,8.0339780468585276e-01,False,independent_bounded_stage_local_lower_pair_tfe_source_formula,-1,per_step_terminal_velocity_closure_source_normalized_by_sqrt_h_b_terminal,False,False,"The closure-derived source grows with a negative h-power; even adding an extra h^2 stage scaling does not bound the dominant source metrics. The repair target is an independent bounded stage-local lower-pair TFE source formula, not another terminal closure source normalization.",A bounded stage-local policy should have observed h-power >= 0 for source and terminal closure metrics. The empirical flattening power is diagnostic only; it is not proposed as an accepted method.
cylindrical_sharp,max_raw_jacobian_condition,paper_tfe_lower_pair_terminal_source_bounded_policy_target_quantified_not_accepted,0.04,0.02,0.01,1.9094588719647920e+08,1.5486931835403235e+09,1.2514459580416653e+10,-3.0171441677131337e+00,-3.0171441677131337e+00,3.0171441677131337e+00,0.0000000000000000e+00,-2.5171441677131337e+00,-2.0171441677131337e+00,-1.0171441677131337e+00,False,3.0171441677131337e+00,False,independent_bounded_stage_local_lower_pair_tfe_source_formula,-1,per_step_terminal_velocity_closure_source_normalized_by_sqrt_h_b_terminal,False,False,"The closure-derived source grows with a negative h-power; even adding an extra h^2 stage scaling does not bound the dominant source metrics. The repair target is an independent bounded stage-local lower-pair TFE source formula, not another terminal closure source normalization.",A bounded stage-local policy should have observed h-power >= 0 for source and terminal closure metrics. The empirical flattening power is diagnostic only; it is not proposed as an accepted method.
cylindrical_smooth,max_normalized_source_norm,paper_tfe_lower_pair_terminal_source_bounded_policy_target_quantified_not_accepted,0.04,0.02,0.01,1.2065282139965266e-03,8.1767601745953003e-02,5.9550411633781073e+02,-9.4564451512050418e+00,-3.0042896249345903e+00,9.4564451512050418e+00,6.4521555262704515e+00,-8.9564451512050418e+00,-8.4564451512050418e+00,-7.4564451512050418e+00,False,9.4564451512050418e+00,True,independent_bounded_stage_local_lower_pair_tfe_source_formula,-1,per_step_terminal_velocity_closure_source_normalized_by_sqrt_h_b_terminal,False,False,"The closure-derived source grows with a negative h-power; even adding an extra h^2 stage scaling does not bound the dominant source metrics. The repair target is an independent bounded stage-local lower-pair TFE source formula, not another terminal closure source normalization.",A bounded stage-local policy should have observed h-power >= 0 for source and terminal closure metrics. The empirical flattening power is diagnostic only; it is not proposed as an accepted method.
cylindrical_smooth,max_terminal_source_row_norm,paper_tfe_lower_pair_terminal_source_bounded_policy_target_quantified_not_accepted,0.04,0.02,0.01,1.2717924058280235e-04,6.0945971953693797e-03,3.1385822727222838e+01,-8.9564451512050400e+00,-3.0042896249345903e+00,8.9564451512050400e+00,5.9521555262704497e+00,-8.4564451512050400e+00,-7.9564451512050400e+00,-6.9564451512050400e+00,False,8.9564451512050400e+00,True,independent_bounded_stage_local_lower_pair_tfe_source_formula,-1,per_step_terminal_velocity_closure_source_normalized_by_sqrt_h_b_terminal,False,False,"The closure-derived source grows with a negative h-power; even adding an extra h^2 stage scaling does not bound the dominant source metrics. The repair target is an independent bounded stage-local lower-pair TFE source formula, not another terminal closure source normalization.",A bounded stage-local policy should have observed h-power >= 0 for source and terminal closure metrics. The empirical flattening power is diagnostic only; it is not proposed as an accepted method.
cylindrical_smooth,max_source_lifted_norm,paper_tfe_lower_pair_terminal_source_bounded_policy_target_quantified_not_accepted,0.04,0.02,0.01,2.4130564279930533e-04,1.1563685135184871e-02,5.9550411633781074e+01,-8.9564451512050400e+00,-3.0042896249345903e+00,8.9564451512050400e+00,5.9521555262704497e+00,-8.4564451512050400e+00,-7.9564451512050400e+00,-6.9564451512050400e+00,False,8.9564451512050400e+00,True,independent_bounded_stage_local_lower_pair_tfe_source_formula,-1,per_step_terminal_velocity_closure_source_normalized_by_sqrt_h_b_terminal,False,False,"The closure-derived source grows with a negative h-power; even adding an extra h^2 stage scaling does not bound the dominant source metrics. The repair target is an independent bounded stage-local lower-pair TFE source formula, not another terminal closure source normalization.",A bounded stage-local policy should have observed h-power >= 0 for source and terminal closure metrics. The empirical flattening power is diagnostic only; it is not proposed as an accepted method.
cylindrical_smooth,max_terminal_endpoint_velocity_constraint_norm,paper_tfe_lower_pair_terminal_source_bounded_policy_target_quantified_not_accepted,0.04,0.02,0.01,4.0217598709379191e-05,1.3627933488585384e-03,4.9625360168974577e+00,-8.4564455514527062e+00,-3.0042896249345903e+00,8.4564455514527062e+00,5.4521559265181159e+00,-7.9564455514527062e+00,-7.4564455514527062e+00,-6.4564455514527062e+00,False,8.4564455514527062e+00,True,independent_bounded_stage_local_lower_pair_tfe_source_formula,-1,per_step_terminal_velocity_closure_source_normalized_by_sqrt_h_b_terminal,False,False,"The closure-derived source grows with a negative h-power; even adding an extra h^2 stage scaling does not bound the dominant source metrics. The repair target is an independent bounded stage-local lower-pair TFE source formula, not another terminal closure source normalization.",A bounded stage-local policy should have observed h-power >= 0 for source and terminal closure metrics. The empirical flattening power is diagnostic only; it is not proposed as an accepted method.
