case,h,source_sign,status,error_message,source_normalization_status,terminal_rows_replaced,stage_count,stage_local_lower_pair_width,stage_local_lifted_rows,terminal_row_norm,terminal_quadrature_weight,terminal_stage_scale,normalized_source_norm,source_lifted_norm,terminal_source_reconstruction_error_norm,terminal_source_reconstruction_relative_error,source_substituted_in_newton_residual,newton_converged,residual_norm,terminal_endpoint_constraint_norm,terminal_endpoint_velocity_constraint_norm,lower_pair_inserted_block_norm,terminal_lower_pair_inserted_row_norm,retained_lower_pair_inserted_row_norm,min_jacobian_rank,raw_jacobian_condition,scaled_jacobian_condition,condition_reduction_raw_to_scaled,raw_linear_residual_norm,scaled_linear_residual_norm,newton_iterations,initial_z0_residual_norm,initial_z0_jacobian_rank,initial_z0_jacobian_condition,terminal_z0_update_delta_norm,terminal_vs_gauss_position_delta_norm,terminal_vs_gauss_velocity_delta_norm,linear_solve_policy,source_insertion_formula,accepted_h_sweep_present,full_tfe_stage_replacement,blocking_gap,notes
cylindrical_smooth,0.04,-1,paper_tfe_lower_pair_terminal_source_insertion_quantified_not_full_tfe,,paper_tfe_lower_pair_terminal_source_normalization_quantified_not_full_tfe,8,3,8,24,7.3917617377584783e-09,2.7777777777777779e-01,1.0540925533894598e-01,7.0124409037803108e-08,1.4024881807560621e-08,0.0000000000000000e+00,0.0000000000000000e+00,True,True,3.9977852524353729e-13,6.6138796375004703e-10,2.3374793193812734e-09,8.2534276471928179e-16,4.9117162981473775e-16,6.6328056608014829e-16,132,1.2185687672320846e+06,1.6648501942260376e+02,7.3193898853979344e+03,3.5731781889236011e-23,6.9326629659384833e-24,2,4.4087858519822445e-15,20,1.6575151823470364e+01,4.0408061250337296e-01,3.1937596412815344e-03,2.9399078947384178e-03,iterative_equilibrated,paper_acceleration_lower_pair_rows += source_sign*sqrt(h*b_i)*terminal_lower_pair_source,False,False,"The normalized source is now inserted into the lower-pair Newton residual for a one-step sign/h sweep, but this is not yet an accepted trajectory h-sweep or a derived full-TFE stage replacement.",source_sign=-1 tests cancellation of the terminal lower-pair row implied by the projection-free closure; source_sign=+1 is retained as the sign-control contrast.
cylindrical_smooth,0.04,1,paper_tfe_lower_pair_terminal_source_insertion_quantified_not_full_tfe,,paper_tfe_lower_pair_terminal_source_normalization_quantified_not_full_tfe,8,3,8,24,7.3917617377584783e-09,2.7777777777777779e-01,1.0540925533894598e-01,7.0124409037803108e-08,1.4024881807560621e-08,0.0000000000000000e+00,0.0000000000000000e+00,True,True,6.7937800416009652e-13,6.3089850686611338e-10,2.8049771809100863e-09,6.3443502470452536e-16,5.1072956961895198e-16,3.7638159796763687e-16,132,1.2185687677250542e+06,1.6648501953371610e+02,7.3193898853979344e+03,1.0363809700902903e-22,1.9399967526937660e-23,2,4.4087858519822445e-15,20,1.6575151823470364e+01,4.0408062565201508e-01,3.1937596401845061e-03,2.9399078990879511e-03,iterative_equilibrated,paper_acceleration_lower_pair_rows += source_sign*sqrt(h*b_i)*terminal_lower_pair_source,False,False,"The normalized source is now inserted into the lower-pair Newton residual for a one-step sign/h sweep, but this is not yet an accepted trajectory h-sweep or a derived full-TFE stage replacement.",source_sign=-1 tests cancellation of the terminal lower-pair row implied by the projection-free closure; source_sign=+1 is retained as the sign-control contrast.
cylindrical_smooth,0.02,-1,paper_tfe_lower_pair_terminal_source_insertion_quantified_not_full_tfe,,paper_tfe_lower_pair_terminal_source_normalization_quantified_not_full_tfe,8,3,8,24,3.6658214290394907e-11,2.7777777777777779e-01,7.4535599249992993e-02,4.9182155452246342e-10,6.9554071267308636e-11,0.0000000000000000e+00,0.0000000000000000e+00,True,True,3.8270547600255686e-12,2.2496663441213049e-12,8.1970253107766027e-12,3.6796537420102115e-16,1.2157411931710670e-16,3.4730138226498245e-16,132,2.9999037567458381e+06,1.1056992854918558e+02,2.7131280594304921e+04,1.1399064676135219e-25,1.1577432674617984e-25,2,4.4087858519822445e-15,20,1.6575151823470364e+01,1.0838630010862224e-01,8.0381261297463253e-04,3.7632663796502343e-04,iterative_equilibrated,paper_acceleration_lower_pair_rows += source_sign*sqrt(h*b_i)*terminal_lower_pair_source,False,False,"The normalized source is now inserted into the lower-pair Newton residual for a one-step sign/h sweep, but this is not yet an accepted trajectory h-sweep or a derived full-TFE stage replacement.",source_sign=-1 tests cancellation of the terminal lower-pair row implied by the projection-free closure; source_sign=+1 is retained as the sign-control contrast.
cylindrical_smooth,0.02,1,paper_tfe_lower_pair_terminal_source_insertion_quantified_not_full_tfe,,paper_tfe_lower_pair_terminal_source_normalization_quantified_not_full_tfe,8,3,8,24,3.6658214290394907e-11,2.7777777777777779e-01,7.4535599249992993e-02,4.9182155452246342e-10,6.9554071267308636e-11,0.0000000000000000e+00,0.0000000000000000e+00,True,True,1.8476941225878886e-12,2.2093073570110824e-12,9.8364714250617312e-12,4.7118594084037363e-16,2.8113779015784177e-16,3.7812396616823086e-16,132,2.9999037567458381e+06,1.1056992854918558e+02,2.7131280594396165e+04,1.4914856849849941e-25,1.3958772376127487e-25,2,4.4087858519822445e-15,20,1.6575151823470364e+01,1.0838630027126864e-01,8.0381261297117761e-04,3.7632663802297420e-04,iterative_equilibrated,paper_acceleration_lower_pair_rows += source_sign*sqrt(h*b_i)*terminal_lower_pair_source,False,False,"The normalized source is now inserted into the lower-pair Newton residual for a one-step sign/h sweep, but this is not yet an accepted trajectory h-sweep or a derived full-TFE stage replacement.",source_sign=-1 tests cancellation of the terminal lower-pair row implied by the projection-free closure; source_sign=+1 is retained as the sign-control contrast.
cylindrical_smooth,0.01,-1,paper_tfe_lower_pair_terminal_source_insertion_quantified_not_full_tfe,,paper_tfe_lower_pair_terminal_source_normalization_quantified_not_full_tfe,8,3,8,24,3.2236300218835737e-13,2.7777777777777779e-01,5.2704627669472988e-02,6.1164079217103178e-12,6.1164079217103172e-13,0.0000000000000000e+00,0.0000000000000000e+00,True,True,9.7477789171242955e-12,1.2065941484149114e-14,5.3300349208353840e-17,5.1986177763590542e-13,0.0000000000000000e+00,5.1986177763590542e-13,132,1.2093662418474935e+07,1.3108304840373799e+02,9.2259545118498092e+04,0.0000000000000000e+00,0.0000000000000000e+00,1,4.4087858519822445e-15,20,1.6575151823470364e+01,4.4034490941760811e-02,2.0138320357231590e-04,7.3771806645944331e-05,iterative_equilibrated,paper_acceleration_lower_pair_rows += source_sign*sqrt(h*b_i)*terminal_lower_pair_source,False,False,"The normalized source is now inserted into the lower-pair Newton residual for a one-step sign/h sweep, but this is not yet an accepted trajectory h-sweep or a derived full-TFE stage replacement.",source_sign=-1 tests cancellation of the terminal lower-pair row implied by the projection-free closure; source_sign=+1 is retained as the sign-control contrast.
cylindrical_smooth,0.01,1,paper_tfe_lower_pair_terminal_source_insertion_quantified_not_full_tfe,,paper_tfe_lower_pair_terminal_source_normalization_quantified_not_full_tfe,8,3,8,24,3.2236300218835737e-13,2.7777777777777779e-01,5.2704627669472988e-02,6.1164079217103178e-12,6.1164079217103172e-13,0.0000000000000000e+00,0.0000000000000000e+00,True,True,9.7690698685607051e-12,1.2065941484149114e-14,5.3300349208353840e-17,8.2812350983083308e-13,6.4472600437671474e-13,5.1972774297219724e-13,132,1.2093662418474935e+07,1.3108304840373799e+02,9.2259545118498092e+04,0.0000000000000000e+00,0.0000000000000000e+00,1,4.4087858519822445e-15,20,1.6575151823470364e+01,4.4034490941760811e-02,2.0138320357231590e-04,7.3771806645944331e-05,iterative_equilibrated,paper_acceleration_lower_pair_rows += source_sign*sqrt(h*b_i)*terminal_lower_pair_source,False,False,"The normalized source is now inserted into the lower-pair Newton residual for a one-step sign/h sweep, but this is not yet an accepted trajectory h-sweep or a derived full-TFE stage replacement.",source_sign=-1 tests cancellation of the terminal lower-pair row implied by the projection-free closure; source_sign=+1 is retained as the sign-control contrast.
cylindrical_sharp,0.04,-1,paper_tfe_lower_pair_terminal_source_insertion_quantified_not_full_tfe,,paper_tfe_lower_pair_terminal_source_normalization_quantified_not_full_tfe,8,3,8,24,7.3324170209522157e-09,2.7777777777777779e-01,1.0540925533894598e-01,6.9561415621186719e-08,1.3912283124237343e-08,0.0000000000000000e+00,0.0000000000000000e+00,True,True,7.2157508354958526e-13,3.2327199781813890e-10,2.3187128757742992e-09,5.4040371337269363e-16,2.9989431546187938e-16,4.4955486092427824e-16,132,6.4293165934709844e+05,6.1335939117392591e+01,1.0482136071933926e+04,3.5439610038105025e-23,8.4838892946538538e-24,2,5.9415067247857465e-15,20,1.6511184154789674e+01,1.5744059688788170e-01,3.1344075150943514e-03,9.1250275012257943e-04,iterative_equilibrated,paper_acceleration_lower_pair_rows += source_sign*sqrt(h*b_i)*terminal_lower_pair_source,False,False,"The normalized source is now inserted into the lower-pair Newton residual for a one-step sign/h sweep, but this is not yet an accepted trajectory h-sweep or a derived full-TFE stage replacement.",source_sign=-1 tests cancellation of the terminal lower-pair row implied by the projection-free closure; source_sign=+1 is retained as the sign-control contrast.
cylindrical_sharp,0.04,1,paper_tfe_lower_pair_terminal_source_insertion_quantified_not_full_tfe,,paper_tfe_lower_pair_terminal_source_normalization_quantified_not_full_tfe,8,3,8,24,7.3324170209522157e-09,2.7777777777777779e-01,1.0540925533894598e-01,6.9561415621186719e-08,1.3912283124237343e-08,0.0000000000000000e+00,0.0000000000000000e+00,True,True,7.8188277021949381e-13,3.4551138493604177e-10,2.7824573966930505e-09,5.3035435168004253e-16,2.2498875021482222e-16,4.8026638506430003e-16,132,6.4293165927749418e+05,6.1335939055299349e+01,1.0482136110259455e+04,2.5057709654232263e-23,1.7378031928111038e-23,2,5.9415067247857465e-15,20,1.6511184154789674e+01,1.5744058393191412e-01,3.1344075174185096e-03,9.1250268405887989e-04,iterative_equilibrated,paper_acceleration_lower_pair_rows += source_sign*sqrt(h*b_i)*terminal_lower_pair_source,False,False,"The normalized source is now inserted into the lower-pair Newton residual for a one-step sign/h sweep, but this is not yet an accepted trajectory h-sweep or a derived full-TFE stage replacement.",source_sign=-1 tests cancellation of the terminal lower-pair row implied by the projection-free closure; source_sign=+1 is retained as the sign-control contrast.
cylindrical_sharp,0.02,-1,paper_tfe_lower_pair_terminal_source_insertion_quantified_not_full_tfe,,paper_tfe_lower_pair_terminal_source_normalization_quantified_not_full_tfe,8,3,8,24,5.7579773553644167e-11,2.7777777777777779e-01,7.4535599249992993e-02,7.7251372676995796e-10,1.0924993895174581e-10,0.0000000000000000e+00,0.0000000000000000e+00,True,True,3.4997742129865019e-12,6.6067244589664330e-13,1.2875224794714466e-11,3.4640041214476967e-16,2.9195970593705121e-16,1.8642096352936503e-16,132,2.5107474301594645e+06,2.4516813052015095e+01,1.0240920893156147e+05,3.5437843182439952e-25,1.2157173759765663e-25,2,5.9415067247857465e-15,20,1.6511184154789674e+01,2.4982505456323970e-02,7.8254180833932331e-04,8.0391092944081532e-05,iterative_equilibrated,paper_acceleration_lower_pair_rows += source_sign*sqrt(h*b_i)*terminal_lower_pair_source,False,False,"The normalized source is now inserted into the lower-pair Newton residual for a one-step sign/h sweep, but this is not yet an accepted trajectory h-sweep or a derived full-TFE stage replacement.",source_sign=-1 tests cancellation of the terminal lower-pair row implied by the projection-free closure; source_sign=+1 is retained as the sign-control contrast.
cylindrical_sharp,0.02,1,paper_tfe_lower_pair_terminal_source_insertion_quantified_not_full_tfe,,paper_tfe_lower_pair_terminal_source_normalization_quantified_not_full_tfe,8,3,8,24,5.7579773553644167e-11,2.7777777777777779e-01,7.4535599249992993e-02,7.7251372676995796e-10,1.0924993895174581e-10,0.0000000000000000e+00,0.0000000000000000e+00,True,True,1.3917501877615336e-12,7.2068532133285476e-13,1.5450284060629972e-11,2.5467092845875249e-16,8.3474397434278630e-17,2.4060196752110557e-16,132,2.5107474301594645e+06,2.4516813052015095e+01,1.0240920893450211e+05,4.0325851904436922e-25,2.3874243418904173e-25,2,5.9415067247857465e-15,20,1.6511184154789674e+01,2.4982505279097244e-02,7.8254180834509050e-04,8.0391092613961784e-05,iterative_equilibrated,paper_acceleration_lower_pair_rows += source_sign*sqrt(h*b_i)*terminal_lower_pair_source,False,False,"The normalized source is now inserted into the lower-pair Newton residual for a one-step sign/h sweep, but this is not yet an accepted trajectory h-sweep or a derived full-TFE stage replacement.",source_sign=-1 tests cancellation of the terminal lower-pair row implied by the projection-free closure; source_sign=+1 is retained as the sign-control contrast.
