case,metric,status,h_coarse,h_mid,h_fine,value_coarse,value_mid,value_fine,coarse_to_mid_ratio,mid_to_fine_ratio,coarse_to_fine_ratio,observed_power_h,blowup_detected,threshold,source_sign,source_policy,trajectory_reference_completed,accepted_h_sweep_present,full_tfe_stage_replacement,blocking_gap,notes
cylindrical_sharp,max_normalized_source_norm,paper_tfe_lower_pair_terminal_source_insertion_blowup_quantified_not_accepted,0.04,0.02,0.01,2.3983535384447053e-03,1.2119180592443096e-01,8.8938042056769734e+02,5.0531251536427760e+01,7.3386184303769651e+03,3.7082957383524306e+05,-9.2501983893027120e+00,True,mid_to_fine_ratio>10 or coarse_to_fine_ratio>100 or observed_power_h<-3,-1,per_step_terminal_velocity_closure_source_normalized_by_sqrt_h_b_terminal,False,False,False,The source-inserted trajectory is residual-clean but not accepted because the closure-derived source and terminal velocity grow under h refinement.,normalized source: The per-step source recovered from terminal closure should stay bounded under h refinement.
cylindrical_sharp,max_terminal_source_row_norm,paper_tfe_lower_pair_terminal_source_insertion_blowup_quantified_not_accepted,0.04,0.02,0.01,2.5280866052698254e-04,9.0331038787663121e-03,4.6874463922539789e+01,3.5730990623251216e+01,5.1891868566601306e+03,1.8541478691762156e+05,-8.7501983893027102e+00,True,mid_to_fine_ratio>10 or coarse_to_fine_ratio>100 or observed_power_h<-3,-1,per_step_terminal_velocity_closure_source_normalized_by_sqrt_h_b_terminal,False,False,False,The source-inserted trajectory is residual-clean but not accepted because the closure-derived source and terminal velocity grow under h refinement.,terminal source row: The raw terminal source row should not explode as h is halved.
cylindrical_sharp,max_source_lifted_norm,paper_tfe_lower_pair_terminal_source_insertion_blowup_quantified_not_accepted,0.04,0.02,0.01,4.7967070768894105e-04,1.7139109558681826e-02,8.8938042056769746e+01,3.5730990623251216e+01,5.1891868566601306e+03,1.8541478691762156e+05,-8.7501983893027102e+00,True,mid_to_fine_ratio>10 or coarse_to_fine_ratio>100 or observed_power_h<-3,-1,per_step_terminal_velocity_closure_source_normalized_by_sqrt_h_b_terminal,False,False,False,The source-inserted trajectory is residual-clean but not accepted because the closure-derived source and terminal velocity grow under h refinement.,stage-lifted source: The lifted stage-local lower-pair source should not explode as h is halved.
cylindrical_sharp,max_terminal_endpoint_velocity_constraint_norm,paper_tfe_lower_pair_terminal_source_insertion_blowup_quantified_not_accepted,0.04,0.02,0.01,7.9945056072760511e-05,2.0198631424204676e-03,7.4115080283076882e+00,2.5265641699996138e+01,3.6693119809227460e+03,9.2707521795497174e+04,-8.2501993878777249e+00,True,mid_to_fine_ratio>10 or coarse_to_fine_ratio>100 or observed_power_h<-3,-1,per_step_terminal_velocity_closure_source_normalized_by_sqrt_h_b_terminal,False,False,False,The source-inserted trajectory is residual-clean but not accepted because the closure-derived source and terminal velocity grow under h refinement.,raw terminal endpoint velocity: Accepted source insertion must close raw terminal endpoint velocity across the h-sweep.
cylindrical_sharp,max_terminal_z0_update_delta_norm,paper_tfe_lower_pair_terminal_source_insertion_blowup_quantified_not_accepted,0.04,0.02,0.01,2.7227209694167365e+00,3.2366545986288870e+00,9.9558475764058494e+02,1.1887573625740451e+00,3.0759684955643240e+02,3.6565801961478996e+02,-4.2571755966736964e+00,True,mid_to_fine_ratio>10 or coarse_to_fine_ratio>100 or observed_power_h<-3,-1,per_step_terminal_velocity_closure_source_normalized_by_sqrt_h_b_terminal,False,False,False,The source-inserted trajectory is residual-clean but not accepted because the closure-derived source and terminal velocity grow under h refinement.,terminal z0 update: A recurrent terminal-z policy should not require explosive acceleration updates.
cylindrical_sharp,max_terminal_vs_gauss_velocity_delta_norm,paper_tfe_lower_pair_terminal_source_insertion_blowup_quantified_not_accepted,0.04,0.02,0.01,1.9293645324006965e-02,1.1937244530155619e-02,5.8763542097066392e-02,6.1871379564037998e-01,4.9227057340259011e+00,3.0457459495198282e+00,-8.0339780468585276e-01,False,mid_to_fine_ratio>10 or coarse_to_fine_ratio>100 or observed_power_h<-3,-1,per_step_terminal_velocity_closure_source_normalized_by_sqrt_h_b_terminal,False,False,False,The source-inserted trajectory is residual-clean but not accepted because the closure-derived source and terminal velocity grow under h refinement.,terminal-vs-Gauss velocity delta: The raw terminal paper output should not diverge from the Gauss output as h is refined.
cylindrical_sharp,max_raw_jacobian_condition,paper_tfe_lower_pair_terminal_source_insertion_blowup_quantified_not_accepted,0.04,0.02,0.01,1.9094588719647920e+08,1.5486931835403235e+09,1.2514459580416653e+10,8.1106391254541741e+00,8.0806577528858945e+00,6.5539298929960950e+01,-3.0171441677131337e+00,True,mid_to_fine_ratio>10 or coarse_to_fine_ratio>100 or observed_power_h<-3,-1,per_step_terminal_velocity_closure_source_normalized_by_sqrt_h_b_terminal,False,False,False,The source-inserted trajectory is residual-clean but not accepted because the closure-derived source and terminal velocity grow under h refinement.,raw Jacobian condition: The source-inserted trajectory should not reintroduce severe conditioning growth.
cylindrical_smooth,max_normalized_source_norm,paper_tfe_lower_pair_terminal_source_insertion_blowup_quantified_not_accepted,0.04,0.02,0.01,1.2065282139965266e-03,8.1767601745953003e-02,5.9550411633781073e+02,6.7770981894492522e+01,7.2828859306404265e+03,4.9356833054508670e+05,-9.4564451512050418e+00,True,mid_to_fine_ratio>10 or coarse_to_fine_ratio>100 or observed_power_h<-3,-1,per_step_terminal_velocity_closure_source_normalized_by_sqrt_h_b_terminal,False,False,False,The source-inserted trajectory is residual-clean but not accepted because the closure-derived source and terminal velocity grow under h refinement.,normalized source: The per-step source recovered from terminal closure should stay bounded under h refinement.
cylindrical_smooth,max_terminal_source_row_norm,paper_tfe_lower_pair_terminal_source_insertion_blowup_quantified_not_accepted,0.04,0.02,0.01,1.2717924058280235e-04,6.0945971953693797e-03,3.1385822727222838e+01,4.7921320865266388e+01,5.1497780281639452e+03,2.4678416527254327e+05,-8.9564451512050400e+00,True,mid_to_fine_ratio>10 or coarse_to_fine_ratio>100 or observed_power_h<-3,-1,per_step_terminal_velocity_closure_source_normalized_by_sqrt_h_b_terminal,False,False,False,The source-inserted trajectory is residual-clean but not accepted because the closure-derived source and terminal velocity grow under h refinement.,terminal source row: The raw terminal source row should not explode as h is halved.
cylindrical_smooth,max_source_lifted_norm,paper_tfe_lower_pair_terminal_source_insertion_blowup_quantified_not_accepted,0.04,0.02,0.01,2.4130564279930533e-04,1.1563685135184871e-02,5.9550411633781074e+01,4.7921320865266395e+01,5.1497780281639461e+03,2.4678416527254335e+05,-8.9564451512050400e+00,True,mid_to_fine_ratio>10 or coarse_to_fine_ratio>100 or observed_power_h<-3,-1,per_step_terminal_velocity_closure_source_normalized_by_sqrt_h_b_terminal,False,False,False,The source-inserted trajectory is residual-clean but not accepted because the closure-derived source and terminal velocity grow under h refinement.,stage-lifted source: The lifted stage-local lower-pair source should not explode as h is halved.
cylindrical_smooth,max_terminal_endpoint_velocity_constraint_norm,paper_tfe_lower_pair_terminal_source_insertion_blowup_quantified_not_accepted,0.04,0.02,0.01,4.0217598709379191e-05,1.3627933488585384e-03,4.9625360168974577e+00,3.3885497707269124e+01,3.6414442593618664e+03,1.2339215110175485e+05,-8.4564455514527062e+00,True,mid_to_fine_ratio>10 or coarse_to_fine_ratio>100 or observed_power_h<-3,-1,per_step_terminal_velocity_closure_source_normalized_by_sqrt_h_b_terminal,False,False,False,The source-inserted trajectory is residual-clean but not accepted because the closure-derived source and terminal velocity grow under h refinement.,raw terminal endpoint velocity: Accepted source insertion must close raw terminal endpoint velocity across the h-sweep.
cylindrical_smooth,max_terminal_z0_update_delta_norm,paper_tfe_lower_pair_terminal_source_insertion_blowup_quantified_not_accepted,0.04,0.02,0.01,2.0362864377809355e+00,1.2628617721855910e+00,6.6613338139984978e+02,6.2017884554680225e-01,5.2747925075520800e+02,3.2713147278325715e+02,-4.1768633775999300e+00,True,mid_to_fine_ratio>10 or coarse_to_fine_ratio>100 or observed_power_h<-3,-1,per_step_terminal_velocity_closure_source_normalized_by_sqrt_h_b_terminal,False,False,False,The source-inserted trajectory is residual-clean but not accepted because the closure-derived source and terminal velocity grow under h refinement.,terminal z0 update: A recurrent terminal-z policy should not require explosive acceleration updates.
cylindrical_smooth,max_terminal_vs_gauss_velocity_delta_norm,paper_tfe_lower_pair_terminal_source_insertion_blowup_quantified_not_accepted,0.04,0.02,0.01,1.4077476958102094e-02,4.0556295211720385e-03,3.9676232963837627e-02,2.8809349383007710e-01,9.7830023074621391e+00,2.8184193149044741e+00,-7.4744313345512470e-01,False,mid_to_fine_ratio>10 or coarse_to_fine_ratio>100 or observed_power_h<-3,-1,per_step_terminal_velocity_closure_source_normalized_by_sqrt_h_b_terminal,False,False,False,The source-inserted trajectory is residual-clean but not accepted because the closure-derived source and terminal velocity grow under h refinement.,terminal-vs-Gauss velocity delta: The raw terminal paper output should not diverge from the Gauss output as h is refined.
cylindrical_smooth,max_raw_jacobian_condition,paper_tfe_lower_pair_terminal_source_insertion_blowup_quantified_not_accepted,0.04,0.02,0.01,1.9862396462757483e+08,1.5982691023078380e+09,1.2787752787100365e+10,8.0467082877166138e+00,8.0010010633599506e+00,6.4381721566567947e+01,-3.0042896249345903e+00,True,mid_to_fine_ratio>10 or coarse_to_fine_ratio>100 or observed_power_h<-3,-1,per_step_terminal_velocity_closure_source_normalized_by_sqrt_h_b_terminal,False,False,False,The source-inserted trajectory is residual-clean but not accepted because the closure-derived source and terminal velocity grow under h refinement.,raw Jacobian condition: The source-inserted trajectory should not reintroduce severe conditioning growth.
