case,h,candidate_basis,status,error_message,candidate_kind,fit_scope,training_sample_count,basis_row_count,compression_row_count,source_consistency_rows,velocity_stage_rows,target_row_count,stage_unknown_count,basis_rank,augmented_rank,independent_target_rank,basis_condition,target_jacobian_norm,projection_residual_norm,projection_relative_residual,max_row_relative_residual,min_row_relative_residual,fit_residual_norm,fit_relative_residual,coefficient_rank,coefficient_condition,coefficient_norm,max_abs_coefficient,coefficient_summary,final_stage_selector_distance_norm,final_stage_selector_relative_distance,nonfinal_stage_energy_fraction,stage0_energy_fraction,stage1_energy_fraction,stage2_energy_fraction,degenerates_to_final_stage_selector,basis_value_norm,compressed_value_norm,velocity_basis_value_norm,target_bridge_value_norm,terminal_velocity_norm,residual_norm,min_jacobian_rank,row_span_reproduces_terminal_bridge,velocity_compression_spans_target,endpoint_boundary_source_removed,target_terminal_boundary_row_used,terminal_row_replacement_used,projection_used,accepted_h_sweep_present,full_tfe_stage_replacement,blocking_gap,next_repair_target,notes
cylindrical_smooth,0.04,case_local_full_8x24_oracle,paper_tfe_lower_pair_velocity_compression_case_local_oracle_spans_not_full_tfe,,case_local_full_component_mixing_oracle,case_local_oracle,1,24,8,16,24,8,132,24,24,0,4.6789234052042637e+01,3.7127280938507345e-01,6.1799706021260720e-16,1.6645362778819563e-15,2.3339887357761154e-15,1.2272103270610735e-15,5.4703835921591980e-16,1.5001954343506529e-15,8,1.0000000000000013e+00,2.8284271247461903e+00,1.0000000000000004e+00,rank=8;fro=2.828427e+00;max_abs=1.000000e+00,4.4236630675510200e-15,1.5640010763749053e-15,1.0502739203945126e-15,8.4439592086531338e-16,6.2455651200422101e-16,1.0000000000000000e+00,True,4.9799322521722778e-16,7.7090681536150492e-18,2.7386093150082900e-08,7.7090710015628417e-18,7.8453137228429296e-17,1.1410763597929276e-12,132,True,True,True,True,False,False,False,False,"This is a fixed source-free compression of the all-stage lower-pair velocity rows, tested only in the local tangent space; nonlinear trajectory acceptance remains pending.",derive a nonlinear full component-mixing or value-level source-free velocity compression,Velocity rows and target rows are first residualized against the 16 source-consistency rows for coefficient fitting; span is then checked against the original source-consistency plus compressed velocity rows.
cylindrical_smooth,0.04,optimized_global_stage_scalar,paper_tfe_lower_pair_velocity_compression_fixed_candidate_spans_not_full_tfe,,fixed_scalar_stage_weight,all_case_h_fixed_fit,6,24,8,16,24,8,132,24,24,0,4.6789234052042616e+01,3.7127280938507345e-01,4.8484616924053351e-16,1.3059027135425504e-15,1.5956582252706324e-15,1.1215333461621257e-15,1.2705351404183793e-16,3.4843096187435496e-16,8,1.0000000000000000e+00,2.8284271247461894e+00,9.9999999999999978e-01,"-6.7390112095969846e-18,2.2204460492503131e-16,9.9999999999999978e-01",8.8838292385529135e-16,3.1409079487420439e-16,2.2214684523620033e-16,6.7390112095969861e-18,2.2204460492503136e-16,1.0000000000000000e+00,True,4.9799322523411601e-16,7.7090692445622709e-18,2.7386093150082900e-08,7.7090710015628417e-18,7.8453137228429296e-17,1.1410763597929276e-12,132,True,True,True,True,False,False,False,False,"This is a fixed source-free compression of the all-stage lower-pair velocity rows, tested only in the local tangent space; nonlinear trajectory acceptance remains pending.",insert the fixed compression as a nonlinear lower-pair closure row and run the trajectory h-sweep,Velocity rows and target rows are first residualized against the 16 source-consistency rows for coefficient fitting; span is then checked against the original source-consistency plus compressed velocity rows.
cylindrical_smooth,0.04,optimized_component_diagonal,paper_tfe_lower_pair_velocity_compression_fixed_candidate_spans_not_full_tfe,,fixed_component_diagonal_stage_weight,all_case_h_fixed_fit,6,24,8,16,24,8,132,24,24,0,4.6789234052042637e+01,3.7127280938507345e-01,8.6001612350957100e-16,2.3163994285872606e-15,4.9441791453970352e-15,9.6548262351582662e-16,7.4789482190625095e-16,2.0510232569548125e-15,8,1.0000000000000011e+00,2.8284271247461898e+00,1.0000000000000004e+00,2.302746e-17/1.110223e-16/1.000000e+00;1.726968e-19/2.220446e-16/1.000000e+00;-1.464868e-17/0.000000e+00/1.000000e+00;-2.375750e-17/2.220446e-16/1.000000e+00;-3.709234e-17/-3.330669e-16/1.000000e+00;4.811911e-15/-2.220446e-16/1.000000e+00;-1.176083e-16/1.110223e-16/1.000000e+00;2.524472e-17/-2.220446e-16/1.000000e+00,4.9562555881432121e-15,1.7523009678348927e-15,1.7140754655794070e-15,1.7018973573346003e-15,2.0396099332657778e-16,1.0000000000000000e+00,True,4.9799322557298808e-16,7.7090911351120220e-18,2.7386093150082900e-08,7.7090710015628417e-18,7.8453137228429296e-17,1.1410763597929276e-12,132,True,True,True,True,False,False,False,False,"This is a fixed source-free compression of the all-stage lower-pair velocity rows, tested only in the local tangent space; nonlinear trajectory acceptance remains pending.",insert the fixed compression as a nonlinear lower-pair closure row and run the trajectory h-sweep,Velocity rows and target rows are first residualized against the 16 source-consistency rows for coefficient fitting; span is then checked against the original source-consistency plus compressed velocity rows.
cylindrical_smooth,0.04,universal_full_8x24,paper_tfe_lower_pair_velocity_compression_fixed_candidate_spans_not_full_tfe,,fixed_full_component_mixing,all_case_h_fixed_fit,6,24,8,16,24,8,132,24,24,0,4.6789234052042637e+01,3.7127280938507345e-01,6.0758144978808153e-16,1.6364824851957192e-15,2.2264028870340435e-15,1.3293330249346069e-15,4.6935728593951785e-16,1.2871632228038227e-15,8,1.0000000000000018e+00,2.8284271247461903e+00,1.0000000000000007e+00,rank=8;fro=2.828427e+00;max_abs=1.000000e+00,4.3265749198239297e-15,1.5296752325595719e-15,1.1468793295197057e-15,1.0108864962362738e-15,5.4170165977844260e-16,1.0000000000000000e+00,True,4.9799322516249642e-16,7.7090646180614374e-18,2.7386093150082900e-08,7.7090710015628417e-18,7.8453137228429296e-17,1.1410763597929276e-12,132,True,True,True,True,False,False,False,False,"This is a fixed source-free compression of the all-stage lower-pair velocity rows, tested only in the local tangent space; nonlinear trajectory acceptance remains pending.",insert the fixed compression as a nonlinear lower-pair closure row and run the trajectory h-sweep,Velocity rows and target rows are first residualized against the 16 source-consistency rows for coefficient fitting; span is then checked against the original source-consistency plus compressed velocity rows.
cylindrical_smooth,0.02,case_local_full_8x24_oracle,paper_tfe_lower_pair_velocity_compression_case_local_oracle_spans_not_full_tfe,,case_local_full_component_mixing_oracle,case_local_oracle,1,24,8,16,24,8,132,24,24,0,4.6748658116422703e+01,2.6042001459760067e-01,3.1073122590166520e-16,1.1931925677133730e-15,1.5510567776642185e-15,1.0247263173523837e-15,2.9399105546034928e-16,1.1319766808376333e-15,8,1.0000000000000011e+00,2.8284271247461890e+00,1.0000000000000007e+00,rank=8;fro=2.828427e+00;max_abs=1.000000e+00,3.3845314440518712e-15,1.1966125676140881e-15,6.3356642074410006e-16,3.5518555746698866e-16,5.2464238225800483e-16,1.0000000000000000e+00,True,5.9056235535117232e-16,5.6547617604628886e-18,3.2156011462016375e-10,5.6547617986413359e-18,7.0466756796527945e-17,2.5293403096553380e-12,132,True,True,True,True,False,False,False,False,"This is a fixed source-free compression of the all-stage lower-pair velocity rows, tested only in the local tangent space; nonlinear trajectory acceptance remains pending.",derive a nonlinear full component-mixing or value-level source-free velocity compression,Velocity rows and target rows are first residualized against the 16 source-consistency rows for coefficient fitting; span is then checked against the original source-consistency plus compressed velocity rows.
cylindrical_smooth,0.02,optimized_global_stage_scalar,paper_tfe_lower_pair_velocity_compression_fixed_candidate_spans_not_full_tfe,,fixed_scalar_stage_weight,all_case_h_fixed_fit,6,24,8,16,24,8,132,24,24,0,4.6748658116422646e+01,2.6042001459760067e-01,2.7066618546997701e-16,1.0393447903311450e-15,1.9144801525020138e-15,6.5618445023105719e-16,9.3307693102136151e-17,3.5926988516362507e-16,8,1.0000000000000000e+00,2.8284271247461894e+00,9.9999999999999978e-01,"-6.7390112095969846e-18,2.2204460492503131e-16,9.9999999999999978e-01",8.8838292385529135e-16,3.1409079487420439e-16,2.2214684523620033e-16,6.7390112095969861e-18,2.2204460492503136e-16,1.0000000000000000e+00,True,5.9056235535133641e-16,5.6547617776002886e-18,3.2156011462016375e-10,5.6547617986413359e-18,7.0466756796527945e-17,2.5293403096553380e-12,132,True,True,True,True,False,False,False,False,"This is a fixed source-free compression of the all-stage lower-pair velocity rows, tested only in the local tangent space; nonlinear trajectory acceptance remains pending.",insert the fixed compression as a nonlinear lower-pair closure row and run the trajectory h-sweep,Velocity rows and target rows are first residualized against the 16 source-consistency rows for coefficient fitting; span is then checked against the original source-consistency plus compressed velocity rows.
cylindrical_smooth,0.02,optimized_component_diagonal,paper_tfe_lower_pair_velocity_compression_fixed_candidate_spans_not_full_tfe,,fixed_component_diagonal_stage_weight,all_case_h_fixed_fit,6,24,8,16,24,8,132,24,24,0,4.6748658116422625e+01,2.6042001459760067e-01,5.8182323932914713e-16,2.2341725163796516e-15,4.8989756747333695e-15,7.6797550534042349e-16,5.2857470328512197e-16,2.0352123885623690e-15,8,1.0000000000000011e+00,2.8284271247461898e+00,1.0000000000000004e+00,2.302746e-17/1.110223e-16/1.000000e+00;1.726968e-19/2.220446e-16/1.000000e+00;-1.464868e-17/0.000000e+00/1.000000e+00;-2.375750e-17/2.220446e-16/1.000000e+00;-3.709234e-17/-3.330669e-16/1.000000e+00;4.811911e-15/-2.220446e-16/1.000000e+00;-1.176083e-16/1.110223e-16/1.000000e+00;2.524472e-17/-2.220446e-16/1.000000e+00,4.9562555881432121e-15,1.7523009678348927e-15,1.7140754655794070e-15,1.7018973573346003e-15,2.0396099332657778e-16,1.0000000000000000e+00,True,5.9056235535563333e-16,5.6547622263494105e-18,3.2156011462016375e-10,5.6547617986413359e-18,7.0466756796527945e-17,2.5293403096553380e-12,132,True,True,True,True,False,False,False,False,"This is a fixed source-free compression of the all-stage lower-pair velocity rows, tested only in the local tangent space; nonlinear trajectory acceptance remains pending.",insert the fixed compression as a nonlinear lower-pair closure row and run the trajectory h-sweep,Velocity rows and target rows are first residualized against the 16 source-consistency rows for coefficient fitting; span is then checked against the original source-consistency plus compressed velocity rows.
cylindrical_smooth,0.02,universal_full_8x24,paper_tfe_lower_pair_velocity_compression_fixed_candidate_spans_not_full_tfe,,fixed_full_component_mixing,all_case_h_fixed_fit,6,24,8,16,24,8,132,24,24,0,4.6748658116422654e+01,2.6042001459760067e-01,3.9657032898329737e-16,1.5228104859608248e-15,2.1627018255144378e-15,1.1699676710635507e-15,3.3253876495678428e-16,1.2803999319509752e-15,8,1.0000000000000018e+00,2.8284271247461903e+00,1.0000000000000007e+00,rank=8;fro=2.828427e+00;max_abs=1.000000e+00,4.3265749198239297e-15,1.5296752325595719e-15,1.1468793295197057e-15,1.0108864962362738e-15,5.4170165977844260e-16,1.0000000000000000e+00,True,5.9056235535108939e-16,5.6547617518047581e-18,3.2156011462016375e-10,5.6547617986413359e-18,7.0466756796527945e-17,2.5293403096553380e-12,132,True,True,True,True,False,False,False,False,"This is a fixed source-free compression of the all-stage lower-pair velocity rows, tested only in the local tangent space; nonlinear trajectory acceptance remains pending.",insert the fixed compression as a nonlinear lower-pair closure row and run the trajectory h-sweep,Velocity rows and target rows are first residualized against the 16 source-consistency rows for coefficient fitting; span is then checked against the original source-consistency plus compressed velocity rows.
cylindrical_smooth,0.01,case_local_full_8x24_oracle,paper_tfe_lower_pair_velocity_compression_case_local_oracle_spans_not_full_tfe,,case_local_full_component_mixing_oracle,case_local_oracle,1,24,8,16,24,8,132,24,24,0,4.6761757232716960e+01,1.8390267947137043e-01,4.0478616400712430e-16,2.2010889953897630e-15,2.8841690571639226e-15,1.7316507594541287e-15,4.1416681095223608e-16,2.2522937229952704e-15,8,1.0000000000000027e+00,2.8284271247461898e+00,1.0000000000000011e+00,rank=8;fro=2.828427e+00;max_abs=1.000000e+00,5.2567391223411290e-15,1.8585379401680163e-15,1.2979904378089194e-15,7.4132781992616021e-16,1.0654633921664869e-15,1.0000000000000000e+00,True,4.4603923432269575e-16,1.6433996033546063e-18,6.0393358877373581e-12,1.6433996045342407e-18,3.8369566013953169e-17,7.6160200256132697e-12,132,True,True,True,True,False,False,False,False,"This is a fixed source-free compression of the all-stage lower-pair velocity rows, tested only in the local tangent space; nonlinear trajectory acceptance remains pending.",derive a nonlinear full component-mixing or value-level source-free velocity compression,Velocity rows and target rows are first residualized against the 16 source-consistency rows for coefficient fitting; span is then checked against the original source-consistency plus compressed velocity rows.
cylindrical_smooth,0.01,optimized_global_stage_scalar,paper_tfe_lower_pair_velocity_compression_fixed_candidate_spans_not_full_tfe,,fixed_scalar_stage_weight,all_case_h_fixed_fit,6,24,8,16,24,8,132,24,24,0,4.6761757232716974e+01,1.8390267947137043e-01,2.0744189268581777e-16,1.1279982068891599e-15,1.5314822327268888e-15,6.7809122177936947e-16,6.5760353961524059e-17,3.5761347489180834e-16,8,1.0000000000000000e+00,2.8284271247461894e+00,9.9999999999999978e-01,"-6.7390112095969846e-18,2.2204460492503131e-16,9.9999999999999978e-01",8.8838292385529135e-16,3.1409079487420439e-16,2.2214684523620033e-16,6.7390112095969861e-18,2.2204460492503136e-16,1.0000000000000000e+00,True,4.4603923432270137e-16,1.6433996049007290e-18,6.0393358877373581e-12,1.6433996045342407e-18,3.8369566013953169e-17,7.6160200256132697e-12,132,True,True,True,True,False,False,False,False,"This is a fixed source-free compression of the all-stage lower-pair velocity rows, tested only in the local tangent space; nonlinear trajectory acceptance remains pending.",insert the fixed compression as a nonlinear lower-pair closure row and run the trajectory h-sweep,Velocity rows and target rows are first residualized against the 16 source-consistency rows for coefficient fitting; span is then checked against the original source-consistency plus compressed velocity rows.
