case,h,candidate_basis,status,error_message,candidate_kind,fit_scope,active_stage_rows,training_sample_count,basis_row_count,compression_row_count,source_consistency_rows,velocity_stage_rows,active_velocity_rows,target_row_count,stage_unknown_count,basis_rank,augmented_rank,independent_target_rank,basis_condition,target_jacobian_norm,projection_residual_norm,projection_relative_residual,max_row_relative_residual,min_row_relative_residual,fit_residual_norm,fit_relative_residual,value_residual_norm,value_relative_residual,coefficient_rank,coefficient_condition,coefficient_norm,max_abs_coefficient,coefficient_summary,final_stage_selector_distance_norm,final_stage_selector_relative_distance,nonfinal_stage_energy_fraction,stage0_energy_fraction,stage1_energy_fraction,stage2_energy_fraction,degenerates_to_final_stage_selector,meaningful_nonfinal_energy,basis_value_norm,compressed_value_norm,velocity_basis_value_norm,target_bridge_value_norm,terminal_velocity_norm,residual_norm,min_jacobian_rank,row_span_reproduces_terminal_bridge,velocity_compression_spans_target,value_level_balance_ok,endpoint_boundary_source_removed,target_terminal_boundary_row_used,terminal_row_replacement_used,projection_used,base_projection_relative_residual,oracle_projection_relative_residual,analytic_saturation_law,gradient_cap,required_coefficient_gradient_fro_norm,max_required_row_gradient_norm,cap_to_required_gradient_ratio,min_applied_derivative_fraction,max_applied_derivative_fraction,applied_gradient_fro_norm,max_applied_row_gradient_norm,derivative_correction_norm,applied_derivative_correction_norm,bounded_saturation_formula_present,target_direction_oracle_used,bounded_analytic_formula_spans_target,accepted_h_sweep_present,full_tfe_stage_replacement,blocking_gap,next_repair_target,notes
cylindrical_smooth,0.04,case_local_bounded_formula_value_scalar_nonfinal,paper_tfe_lower_pair_velocity_compression_bounded_formula_saturation_gap_not_full_tfe,,case_local_bounded_formula_nonfinal_stage_scalar_value_fit,case_local_bounded_analytic_saturation,"0,1",1,24,8,16,24,16,8,132,24,32,8,3.3031160989282685e+06,3.7127280938507345e-01,6.8729655390163146e-05,1.8511901128444536e-04,1.8695278119622511e-04,1.7807212537804804e-04,3.6464473006524034e-01,9.9999999997802724e-01,6.7406137997733683e-18,8.7437433101950413e-01,8,1.0000000000000000e+00,6.9314022035938824e-09,2.1280610198306854e-09,rank=8;fro=6.931402e-09;max_abs=2.128061e-09,2.8284271247461903e+00,1.0000000000000000e+00,9.9999999999999989e-01,8.6837631619231503e-01,4.9590581109346193e-01,0.0000000000000000e+00,False,True,4.9794760420326249e-16,3.7408423261936443e-18,2.7386093150082900e-08,7.7090710015628417e-18,7.8453137228429296e-17,1.1410763597929276e-12,132,False,False,True,True,True,False,False,9.8205078084810948e-01,4.4711225787687983e-15,global_tanh_saturation,1.0000000000000000e+12,7.1247367994129296e+16,5.4863606549596488e+16,1.4035606200672549e-05,1.4035606200672549e-05,1.4035606200672549e-05,9.9999999999999988e+11,7.7004397627877551e+11,3.6464473006524034e-01,5.1180098343462551e-06,True,True,False,False,False,This bounded analytic saturation law is insufficient to reproduce the local derivative-aware tangent span.,derive a target-direction-free bounded coefficient-gradient formula and rerun the nonlinear h-sweep,"The saturation law is explicit and bounded, but the correction direction is still the local derivative-aware oracle direction. This tests magnitude boundedness separately from deriving the full nonlinear row formula."
cylindrical_smooth,0.04,case_local_bounded_formula_value_scalar_nonfinal,paper_tfe_lower_pair_velocity_compression_bounded_formula_saturation_gap_not_full_tfe,,case_local_bounded_formula_nonfinal_stage_scalar_value_fit,case_local_bounded_analytic_saturation,"0,1",1,24,8,16,24,16,8,132,24,32,8,3.3031331226862341e+04,3.7127280938507345e-01,6.8634262108614507e-07,1.8486207547030203e-06,1.8669301200477452e-06,1.7782554365621117e-06,3.6464473006524034e-01,9.9999999997802724e-01,6.7406137997733683e-18,8.7437433101950413e-01,8,1.0000000000000000e+00,6.9314022035938824e-09,2.1280610198306854e-09,rank=8;fro=6.931402e-09;max_abs=2.128061e-09,2.8284271247461903e+00,1.0000000000000000e+00,9.9999999999999989e-01,8.6837631619231503e-01,4.9590581109346193e-01,0.0000000000000000e+00,False,True,4.9794760420326249e-16,3.7408423261936443e-18,2.7386093150082900e-08,7.7090710015628417e-18,7.8453137228429296e-17,1.1410763597929276e-12,132,False,False,True,True,True,False,False,9.8205078084810948e-01,4.4711225787687983e-15,global_tanh_saturation,1.0000000000000000e+14,7.1247367994129296e+16,5.4863606549596488e+16,1.4035606200672548e-03,1.4035606200672548e-03,1.4035606200672548e-03,9.9999999999999984e+13,7.7004397627877547e+13,3.6464473006524034e-01,5.1180098343462548e-04,True,True,False,False,False,This bounded analytic saturation law is insufficient to reproduce the local derivative-aware tangent span.,derive a target-direction-free bounded coefficient-gradient formula and rerun the nonlinear h-sweep,"The saturation law is explicit and bounded, but the correction direction is still the local derivative-aware oracle direction. This tests magnitude boundedness separately from deriving the full nonlinear row formula."
cylindrical_smooth,0.04,case_local_bounded_formula_value_scalar_nonfinal,paper_tfe_lower_pair_velocity_compression_bounded_formula_saturation_gap_not_full_tfe,,case_local_bounded_formula_nonfinal_stage_scalar_value_fit,case_local_bounded_analytic_saturation,"0,1",1,24,8,16,24,16,8,132,24,32,8,3.3031375727996863e+02,3.7127280938507345e-01,5.9084045272956324e-09,1.5913916607794473e-08,1.6071533173537109e-08,1.5308174790219350e-08,3.6464473006524034e-01,9.9999999997802724e-01,6.7406137997733683e-18,8.7437433101950413e-01,8,1.0000000000000000e+00,6.9314022035938824e-09,2.1280610198306854e-09,rank=8;fro=6.931402e-09;max_abs=2.128061e-09,2.8284271247461903e+00,1.0000000000000000e+00,9.9999999999999989e-01,8.6837631619231503e-01,4.9590581109346193e-01,0.0000000000000000e+00,False,True,4.9794760420326249e-16,3.7408423261936443e-18,2.7386093150082900e-08,7.7090710015628417e-18,7.8453137228429296e-17,1.1410763597929276e-12,132,False,False,True,True,True,False,False,9.8205078084810948e-01,4.4711225787687983e-15,global_tanh_saturation,1.0000000000000000e+16,7.1247367994129296e+16,5.4863606549596488e+16,1.4035606200672548e-01,1.4035588012329578e-01,1.4035588012329578e-01,9.9999870412843520e+15,7.7004297840068300e+15,3.6464473006524034e-01,5.1180032020628416e-02,True,True,False,False,False,This bounded analytic saturation law is insufficient to reproduce the local derivative-aware tangent span.,derive a target-direction-free bounded coefficient-gradient formula and rerun the nonlinear h-sweep,"The saturation law is explicit and bounded, but the correction direction is still the local derivative-aware oracle direction. This tests magnitude boundedness separately from deriving the full nonlinear row formula."
cylindrical_smooth,0.04,case_local_bounded_formula_value_scalar_nonfinal,paper_tfe_lower_pair_velocity_compression_bounded_formula_saturation_spans_not_full_tfe,,case_local_bounded_formula_nonfinal_stage_scalar_value_fit,case_local_bounded_analytic_saturation,"0,1",1,24,8,16,24,16,8,132,24,24,0,4.6439898123853851e+01,3.7127280938507345e-01,1.6317429254706477e-12,4.3949971132366198e-12,4.4385262435754412e-12,4.2277091236786875e-12,3.6464473006524034e-01,9.9999999997802724e-01,6.7406137997733683e-18,8.7437433101950413e-01,8,1.0000000000000000e+00,6.9314022035938824e-09,2.1280610198306854e-09,rank=8;fro=6.931402e-09;max_abs=2.128061e-09,2.8284271247461903e+00,1.0000000000000000e+00,9.9999999999999989e-01,8.6837631619231503e-01,4.9590581109346193e-01,0.0000000000000000e+00,False,True,4.9794760420326249e-16,3.7408423261936443e-18,2.7386093150082900e-08,7.7090710015628417e-18,7.8453137228429296e-17,1.1410763597929276e-12,132,True,True,True,True,True,False,False,9.8205078084810948e-01,4.4711225787687983e-15,global_tanh_saturation,1.0000000000000000e+18,7.1247367994129296e+16,5.4863606549596488e+16,1.4035606200672548e+01,9.9831136616386007e-01,9.9831136616386007e-01,7.1127057277798496e+16,5.4770962007204168e+16,3.6464473006524034e-01,3.6402897863588207e-01,True,True,True,False,False,"This bounded analytic saturation law reproduces the local derivative-aware span, but it still uses the local target-direction oracle and has not been inserted into a nonlinear h-sweep.",derive a target-direction-free bounded coefficient-gradient formula and rerun the nonlinear h-sweep,"The saturation law is explicit and bounded, but the correction direction is still the local derivative-aware oracle direction. This tests magnitude boundedness separately from deriving the full nonlinear row formula."
cylindrical_smooth,0.04,case_local_bounded_formula_value_scalar_nonfinal,paper_tfe_lower_pair_velocity_compression_bounded_formula_saturation_spans_not_full_tfe,,case_local_bounded_formula_nonfinal_stage_scalar_value_fit,case_local_bounded_analytic_saturation,"0,1",1,24,8,16,24,16,8,132,24,24,0,4.6361485985192232e+01,3.7127280938507345e-01,1.6069271005881171e-15,4.3281572470917430e-15,8.8649946235997929e-15,7.5027878615771556e-16,3.6464473006524034e-01,9.9999999997802724e-01,6.7406137997733683e-18,8.7437433101950413e-01,8,1.0000000000000000e+00,6.9314022035938824e-09,2.1280610198306854e-09,rank=8;fro=6.931402e-09;max_abs=2.128061e-09,2.8284271247461903e+00,1.0000000000000000e+00,9.9999999999999989e-01,8.6837631619231503e-01,4.9590581109346193e-01,0.0000000000000000e+00,False,True,4.9794760420326249e-16,3.7408423261936443e-18,2.7386093150082900e-08,7.7090710015628417e-18,7.8453137228429296e-17,1.1410763597929276e-12,132,True,True,True,True,True,False,False,9.8205078084810948e-01,4.4711225787687983e-15,global_tanh_saturation,1.0000000000000000e+20,7.1247367994129296e+16,5.4863606549596488e+16,1.4035606200672548e+03,9.9999983079378607e-01,9.9999983079378607e-01,7.1247355938631904e+16,5.4863597266333344e+16,3.6464473006524034e-01,3.6464466836508613e-01,True,True,True,False,False,"This bounded analytic saturation law reproduces the local derivative-aware span, but it still uses the local target-direction oracle and has not been inserted into a nonlinear h-sweep.",derive a target-direction-free bounded coefficient-gradient formula and rerun the nonlinear h-sweep,"The saturation law is explicit and bounded, but the correction direction is still the local derivative-aware oracle direction. This tests magnitude boundedness separately from deriving the full nonlinear row formula."
cylindrical_smooth,0.04,case_local_bounded_formula_value_scalar_nonfinal,paper_tfe_lower_pair_velocity_compression_bounded_formula_saturation_spans_not_full_tfe,,case_local_bounded_formula_nonfinal_stage_scalar_value_fit,case_local_bounded_analytic_saturation,"0,1",1,24,8,16,24,16,8,132,24,24,0,4.6361478141325172e+01,3.7127280938507345e-01,1.6589154855785295e-15,4.4681846977324705e-15,8.6348427335497944e-15,7.3125834581325177e-16,3.6464473006524034e-01,9.9999999997802724e-01,6.7406137997733683e-18,8.7437433101950413e-01,8,1.0000000000000000e+00,6.9314022035938824e-09,2.1280610198306854e-09,rank=8;fro=6.931402e-09;max_abs=2.128061e-09,2.8284271247461903e+00,1.0000000000000000e+00,9.9999999999999989e-01,8.6837631619231503e-01,4.9590581109346193e-01,0.0000000000000000e+00,False,True,4.9794760420326249e-16,3.7408423261936443e-18,2.7386093150082900e-08,7.7090710015628417e-18,7.8453137228429296e-17,1.1410763597929276e-12,132,True,True,True,True,True,False,False,9.8205078084810948e-01,4.4711225787687983e-15,global_tanh_saturation,1.0000000000000000e+22,7.1247367994129296e+16,5.4863606549596488e+16,1.4035606200672549e+05,9.9999999998307942e-01,9.9999999998307942e-01,7.1247367992923752e+16,5.4863606548668168e+16,3.6464473006524034e-01,3.6464473005907028e-01,True,True,True,False,False,"This bounded analytic saturation law reproduces the local derivative-aware span, but it still uses the local target-direction oracle and has not been inserted into a nonlinear h-sweep.",derive a target-direction-free bounded coefficient-gradient formula and rerun the nonlinear h-sweep,"The saturation law is explicit and bounded, but the correction direction is still the local derivative-aware oracle direction. This tests magnitude boundedness separately from deriving the full nonlinear row formula."
cylindrical_smooth,0.04,case_local_bounded_formula_value_scalar_nonfinal,paper_tfe_lower_pair_velocity_compression_bounded_formula_saturation_gap_not_full_tfe,,case_local_bounded_formula_nonfinal_stage_scalar_value_fit,case_local_bounded_analytic_saturation,"0,1",1,24,8,16,24,16,8,132,24,26,2,2.1220714482588801e+06,3.7127280938507345e-01,1.9605927528766726e-05,5.2807334749989797e-05,1.4322197779728909e-04,4.3082820637776477e-16,3.6464473006524034e-01,9.9999999997802724e-01,6.7406137997733683e-18,8.7437433101950413e-01,8,1.0000000000000000e+00,6.9314022035938824e-09,2.1280610198306854e-09,rank=8;fro=6.931402e-09;max_abs=2.128061e-09,2.8284271247461903e+00,1.0000000000000000e+00,9.9999999999999989e-01,8.6837631619231503e-01,4.9590581109346193e-01,0.0000000000000000e+00,False,True,4.9794760420326249e-16,3.7408423261936443e-18,2.7386093150082900e-08,7.7090710015628417e-18,7.8453137228429296e-17,1.1410763597929276e-12,132,False,False,True,True,True,False,False,9.8205078084810948e-01,4.4711225787687983e-15,rowwise_tanh_saturation,1.0000000000000000e+12,7.1247367994129296e+16,5.4863606549596488e+16,1.4035606200672549e-05,1.8227019018445385e-05,9.9999999998738387e-01,1.4142137036099177e+12,1.0000000000000000e+12,3.6464473006524034e-01,3.3558999977600151e-01,True,True,False,False,False,This bounded analytic saturation law is insufficient to reproduce the local derivative-aware tangent span.,derive a target-direction-free bounded coefficient-gradient formula and rerun the nonlinear h-sweep,"The saturation law is explicit and bounded, but the correction direction is still the local derivative-aware oracle direction. This tests magnitude boundedness separately from deriving the full nonlinear row formula."
cylindrical_smooth,0.04,case_local_bounded_formula_value_scalar_nonfinal,paper_tfe_lower_pair_velocity_compression_bounded_formula_saturation_gap_not_full_tfe,,case_local_bounded_formula_nonfinal_stage_scalar_value_fit,case_local_bounded_analytic_saturation,"0,1",1,24,8,16,24,16,8,132,24,26,2,2.1220787173516488e+04,3.7127280938507345e-01,1.9567623794627138e-07,5.2704166047161728e-07,1.4296399322377050e-06,9.2355357523057077e-16,3.6464473006524034e-01,9.9999999997802724e-01,6.7406137997733683e-18,8.7437433101950413e-01,8,1.0000000000000000e+00,6.9314022035938824e-09,2.1280610198306854e-09,rank=8;fro=6.931402e-09;max_abs=2.128061e-09,2.8284271247461903e+00,1.0000000000000000e+00,9.9999999999999989e-01,8.6837631619231503e-01,4.9590581109346193e-01,0.0000000000000000e+00,False,True,4.9794760420326249e-16,3.7408423261936443e-18,2.7386093150082900e-08,7.7090710015628417e-18,7.8453137228429296e-17,1.1410763597929276e-12,132,False,False,True,True,True,False,False,9.8205078084810948e-01,4.4711225787687983e-15,rowwise_tanh_saturation,1.0000000000000000e+14,7.1247367994129296e+16,5.4863606549596488e+16,1.4035606200672548e-03,1.8227019018445384e-03,9.9999999999999867e-01,1.4142135623872184e+14,1.0000000000000000e+14,3.6464473006524034e-01,3.3559013145311584e-01,True,True,False,False,False,This bounded analytic saturation law is insufficient to reproduce the local derivative-aware tangent span.,derive a target-direction-free bounded coefficient-gradient formula and rerun the nonlinear h-sweep,"The saturation law is explicit and bounded, but the correction direction is still the local derivative-aware oracle direction. This tests magnitude boundedness separately from deriving the full nonlinear row formula."
cylindrical_smooth,0.04,case_local_bounded_formula_value_scalar_nonfinal,paper_tfe_lower_pair_velocity_compression_bounded_formula_saturation_gap_not_full_tfe,,case_local_bounded_formula_nonfinal_stage_scalar_value_fit,case_local_bounded_analytic_saturation,"0,1",1,24,8,16,24,16,8,132,24,26,2,2.1303016027517398e+02,3.7127280938507345e-01,1.5737959745558711e-09,4.2389206394147090e-09,1.1712431303897620e-08,1.0089856694359572e-15,3.6464473006524034e-01,9.9999999997802724e-01,6.7406137997733683e-18,8.7437433101950413e-01,8,1.0000000000000000e+00,6.9314022035938824e-09,2.1280610198306854e-09,rank=8;fro=6.931402e-09;max_abs=2.128061e-09,2.8284271247461903e+00,1.0000000000000000e+00,9.9999999999999989e-01,8.6837631619231503e-01,4.9590581109346193e-01,0.0000000000000000e+00,False,True,4.9794760420326249e-16,3.7408423261936443e-18,2.7386093150082900e-08,7.7090710015628417e-18,7.8453137228429296e-17,1.1410763597929276e-12,132,False,False,True,True,True,False,False,9.8205078084810948e-01,4.4711225787687983e-15,rowwise_tanh_saturation,1.0000000000000000e+16,7.1247367994129296e+16,5.4863606549596488e+16,1.4035606200672548e-01,1.8226393347666872e-01,1.0000000000000000e+00,1.4140299725364572e+16,9.9996567344457800e+15,3.6464473006524034e-01,3.3682459224970340e-01,True,True,False,False,False,This bounded analytic saturation law is insufficient to reproduce the local derivative-aware tangent span.,derive a target-direction-free bounded coefficient-gradient formula and rerun the nonlinear h-sweep,"The saturation law is explicit and bounded, but the correction direction is still the local derivative-aware oracle direction. This tests magnitude boundedness separately from deriving the full nonlinear row formula."
cylindrical_smooth,0.04,case_local_bounded_formula_value_scalar_nonfinal,paper_tfe_lower_pair_velocity_compression_bounded_formula_saturation_spans_not_full_tfe,,case_local_bounded_formula_nonfinal_stage_scalar_value_fit,case_local_bounded_analytic_saturation,"0,1",1,24,8,16,24,16,8,132,24,24,0,4.6390413648203108e+01,3.7127280938507345e-01,3.3483741338246856e-13,9.0186354863166089e-13,2.6187600934632368e-12,8.5456867391224901e-16,3.6464473006524034e-01,9.9999999997802724e-01,6.7406137997733683e-18,8.7437433101950413e-01,8,1.0000000000000000e+00,6.9314022035938824e-09,2.1280610198306854e-09,rank=8;fro=6.931402e-09;max_abs=2.128061e-09,2.8284271247461903e+00,1.0000000000000000e+00,9.9999999999999989e-01,8.6837631619231503e-01,4.9590581109346193e-01,0.0000000000000000e+00,False,True,4.9794760420326249e-16,3.7408423261936443e-18,2.7386093150082900e-08,7.7090710015628417e-18,7.8453137228429296e-17,1.1410763597929276e-12,132,True,True,True,True,True,False,False,9.8205078084810948e-01,4.4711225787687983e-15,rowwise_tanh_saturation,1.0000000000000000e+18,7.1247367994129296e+16,5.4863606549596488e+16,1.4035606200672548e+01,9.9899786811443114e-01,1.0000000000000000e+00,7.1185074897182136e+16,5.4808625980115832e+16,3.6464473006524034e-01,3.6459759915652457e-01,True,True,True,False,False,"This bounded analytic saturation law reproduces the local derivative-aware span, but it still uses the local target-direction oracle and has not been inserted into a nonlinear h-sweep.",derive a target-direction-free bounded coefficient-gradient formula and rerun the nonlinear h-sweep,"The saturation law is explicit and bounded, but the correction direction is still the local derivative-aware oracle direction. This tests magnitude boundedness separately from deriving the full nonlinear row formula."
