case,h,candidate_basis,status,error_message,candidate_kind,fit_scope,feature_family,feature_scope,active_stage_rows,training_sample_count,basis_row_count,compression_row_count,source_consistency_rows,velocity_stage_rows,active_velocity_rows,capacity_feature_rows,capacity_feature_rank,capacity_feature_condition,uses_final_stage_velocity_feature,target_row_count,stage_unknown_count,basis_rank,augmented_rank,independent_target_rank,basis_condition,target_jacobian_norm,oracle_correction_norm,capacity_projected_correction_norm,capacity_correction_residual_norm,capacity_correction_relative_residual,max_capacity_row_relative_residual,projection_residual_norm,projection_relative_residual,max_row_relative_residual,min_row_relative_residual,value_residual_norm,value_level_balance_ok,meaningful_nonfinal_energy,target_jacobian_used_for_capacity_fit,target_direction_oracle_used_for_formula,endpoint_boundary_source_removed,target_terminal_boundary_row_used,terminal_row_replacement_used,projection_used,accepted_h_sweep_present,full_tfe_stage_replacement,direction_capacity_spans_target,blocking_gap,next_repair_target,notes
cylindrical_smooth,0.04,case_local_direction_capacity_value_scalar_nonfinal,paper_tfe_lower_pair_velocity_compression_direction_capacity_gap_not_full_tfe,,case_local_direction_capacity_nonfinal_stage_scalar_value_fit,case_local_direction_capacity_oracle_fit,row_matched_active_velocity_rows,row_matched_active_nonfinal_velocity,"0,1",1,24,8,16,24,16,16,16,3.3755237726016696e+00,False,8,132,24,32,8,1.3206806260525389e+05,3.7127280938507345e-01,3.6464473006524034e-01,6.9319107040383210e-03,3.6457883616351511e-01,9.9981929287250781e-01,9.9999996490658472e-01,3.6457167106305227e-01,9.8195090469156621e-01,9.9958580208443115e-01,9.4619201295263156e-01,6.7406137997733683e-18,True,True,True,False,True,True,False,False,False,False,False,The tested source-derived feature space does not have enough linear capacity to reproduce the local oracle correction.,derive non-final nonlinear or second-differential source features for the coefficient-gradient law,"This is a capacity audit: the target Jacobian defines the oracle correction being projected, but the result is not an implemented target-free law. It distinguishes feature-space capacity from an actual formula for choosing coefficients."
cylindrical_smooth,0.04,case_local_direction_capacity_value_scalar_nonfinal,paper_tfe_lower_pair_velocity_compression_direction_capacity_gap_not_full_tfe,,case_local_direction_capacity_nonfinal_stage_scalar_value_fit,case_local_direction_capacity_oracle_fit,all_active_velocity_rows,all_active_nonfinal_velocity,"0,1",1,24,8,16,24,16,16,16,3.3755237726016696e+00,False,8,132,24,32,8,4.3910181127490826e+09,3.7127280938507345e-01,3.6464473006524034e-01,7.2990537847861942e-03,3.6457167056451162e-01,9.9979964196735915e-01,9.9999729191343045e-01,3.6457167056451162e-01,9.8195090334877821e-01,9.9958580208054659e-01,9.4619200564944972e-01,6.7406137997733683e-18,True,True,True,False,True,True,False,False,False,False,False,The tested source-derived feature space does not have enough linear capacity to reproduce the local oracle correction.,derive non-final nonlinear or second-differential source features for the coefficient-gradient law,"This is a capacity audit: the target Jacobian defines the oracle correction being projected, but the result is not an implemented target-free law. It distinguishes feature-space capacity from an actual formula for choosing coefficients."
cylindrical_smooth,0.04,case_local_direction_capacity_value_scalar_nonfinal,paper_tfe_lower_pair_velocity_compression_direction_capacity_gap_not_full_tfe,,case_local_direction_capacity_nonfinal_stage_scalar_value_fit,case_local_direction_capacity_oracle_fit,closure_plus_all_active_velocity_rows,closure_and_all_active_nonfinal_velocity,"0,1",1,24,8,16,24,16,24,16,3.3755237726016691e+00,False,8,132,24,32,8,4.3910181111250362e+09,3.7127280938507345e-01,3.6464473006524034e-01,7.2990537847861916e-03,3.6457167056451162e-01,9.9979964196735915e-01,9.9999729191343045e-01,3.6457167056451162e-01,9.8195090334877821e-01,9.9958580208054659e-01,9.4619200564944972e-01,6.7406137997733683e-18,True,True,True,False,True,True,False,False,False,False,False,The tested source-derived feature space does not have enough linear capacity to reproduce the local oracle correction.,derive non-final nonlinear or second-differential source features for the coefficient-gradient law,"This is a capacity audit: the target Jacobian defines the oracle correction being projected, but the result is not an implemented target-free law. It distinguishes feature-space capacity from an actual formula for choosing coefficients."
cylindrical_smooth,0.04,case_local_direction_capacity_value_scalar_nonfinal,paper_tfe_lower_pair_velocity_compression_direction_capacity_gap_not_full_tfe,,case_local_direction_capacity_nonfinal_stage_scalar_value_fit,case_local_direction_capacity_oracle_fit,source_plus_all_active_velocity_rows,source_consistency_and_active_nonfinal_velocity,"0,1",1,24,8,16,24,16,32,32,4.6794886614484028e+01,False,8,132,24,32,8,4.3910181107267971e+09,3.7127280938507345e-01,3.6464473006524034e-01,7.2990537847861985e-03,3.6457167056451162e-01,9.9979964196735915e-01,9.9999729191343045e-01,3.6457167056451162e-01,9.8195090334877821e-01,9.9958580208054670e-01,9.4619200564944972e-01,6.7406137997733683e-18,True,True,True,False,True,True,False,False,False,False,False,The tested source-derived feature space does not have enough linear capacity to reproduce the local oracle correction.,derive non-final nonlinear or second-differential source features for the coefficient-gradient law,"This is a capacity audit: the target Jacobian defines the oracle correction being projected, but the result is not an implemented target-free law. It distinguishes feature-space capacity from an actual formula for choosing coefficients."
cylindrical_smooth,0.04,case_local_direction_capacity_value_scalar_nonfinal,paper_tfe_lower_pair_velocity_compression_direction_capacity_spans_not_full_tfe,,case_local_direction_capacity_nonfinal_stage_scalar_value_fit,case_local_direction_capacity_oracle_fit,all_stage_velocity_rows,all_stage_velocity_upper_bound,"0,1",1,24,8,16,24,16,24,24,3.3789623288125625e+00,True,8,132,24,24,0,4.6361478140540733e+01,3.7127280938507345e-01,3.6464473006524034e-01,3.6464473006524017e-01,5.7974187882009560e-16,1.5898814133865892e-15,2.4530289886712132e-15,1.6905905729305919e-15,4.5534995566485454e-15,8.5083802394412620e-15,1.1888776475753979e-15,6.7406137997733683e-18,True,True,True,False,True,True,False,False,False,False,True,"The feature-space capacity fit can reproduce the local oracle correction, but it uses the target Jacobian for coefficient fitting and is not a target-free formula or h-sweep.",derive non-final nonlinear or second-differential source features for the coefficient-gradient law,"This is a capacity audit: the target Jacobian defines the oracle correction being projected, but the result is not an implemented target-free law. It distinguishes feature-space capacity from an actual formula for choosing coefficients."
cylindrical_smooth,0.04,case_local_direction_capacity_value_scalar_nonfinal,paper_tfe_lower_pair_velocity_compression_direction_capacity_spans_not_full_tfe,,case_local_direction_capacity_nonfinal_stage_scalar_value_fit,case_local_direction_capacity_oracle_fit,source_plus_all_stage_velocity_rows,source_consistency_and_all_stage_velocity_upper_bound,"0,1",1,24,8,16,24,16,40,40,4.6842039537344981e+01,True,8,132,24,24,0,4.6361478140540719e+01,3.7127280938507345e-01,3.6464473006524034e-01,3.6464473006524040e-01,3.9377046700213268e-16,1.0798742845719484e-15,1.3532091267604057e-15,1.6623754954501282e-15,4.4775040170689155e-15,8.9311659270901093e-15,7.5556629837458055e-16,6.7406137997733683e-18,True,True,True,False,True,True,False,False,False,False,True,"The feature-space capacity fit can reproduce the local oracle correction, but it uses the target Jacobian for coefficient fitting and is not a target-free formula or h-sweep.",derive non-final nonlinear or second-differential source features for the coefficient-gradient law,"This is a capacity audit: the target Jacobian defines the oracle correction being projected, but the result is not an implemented target-free law. It distinguishes feature-space capacity from an actual formula for choosing coefficients."
cylindrical_smooth,0.04,universal_direction_capacity_value_scalar_nonfinal,paper_tfe_lower_pair_velocity_compression_direction_capacity_gap_not_full_tfe,,universal_direction_capacity_nonfinal_stage_scalar_value_fit,all_case_h_direction_capacity_oracle_fit,row_matched_active_velocity_rows,row_matched_active_nonfinal_velocity,"0,1",6,24,8,16,24,16,16,16,3.3755237726016696e+00,False,8,132,24,32,8,1.3206806260525453e+05,3.7127280938507345e-01,3.6464473007478193e-01,6.9319112059632541e-03,3.6457883616351511e-01,9.9981929284634574e-01,9.9999996490600063e-01,3.6457167106305227e-01,9.8195090469156621e-01,9.9958580208443115e-01,9.4619201295263156e-01,7.6071816433064978e-18,True,True,True,False,True,True,False,False,False,False,False,The tested source-derived feature space does not have enough linear capacity to reproduce the local oracle correction.,derive non-final nonlinear or second-differential source features for the coefficient-gradient law,"This is a capacity audit: the target Jacobian defines the oracle correction being projected, but the result is not an implemented target-free law. It distinguishes feature-space capacity from an actual formula for choosing coefficients."
cylindrical_smooth,0.04,universal_direction_capacity_value_scalar_nonfinal,paper_tfe_lower_pair_velocity_compression_direction_capacity_gap_not_full_tfe,,universal_direction_capacity_nonfinal_stage_scalar_value_fit,all_case_h_direction_capacity_oracle_fit,all_active_velocity_rows,all_active_nonfinal_velocity,"0,1",6,24,8,16,24,16,16,16,3.3755237726016696e+00,False,8,132,24,32,8,4.3910181110154572e+09,3.7127280938507345e-01,3.6464473007478193e-01,7.2990542614642575e-03,3.6457167056451162e-01,9.9979964194119764e-01,9.9999729191284625e-01,3.6457167056451167e-01,9.8195090334877833e-01,9.9958580208054670e-01,9.4619200564944961e-01,7.6071816433064978e-18,True,True,True,False,True,True,False,False,False,False,False,The tested source-derived feature space does not have enough linear capacity to reproduce the local oracle correction.,derive non-final nonlinear or second-differential source features for the coefficient-gradient law,"This is a capacity audit: the target Jacobian defines the oracle correction being projected, but the result is not an implemented target-free law. It distinguishes feature-space capacity from an actual formula for choosing coefficients."
cylindrical_smooth,0.04,universal_direction_capacity_value_scalar_nonfinal,paper_tfe_lower_pair_velocity_compression_direction_capacity_gap_not_full_tfe,,universal_direction_capacity_nonfinal_stage_scalar_value_fit,all_case_h_direction_capacity_oracle_fit,closure_plus_all_active_velocity_rows,closure_and_all_active_nonfinal_velocity,"0,1",6,24,8,16,24,16,24,16,3.3755237726016678e+00,False,8,132,24,32,8,4.3910181105951376e+09,3.7127280938507345e-01,3.6464473007478193e-01,7.2990542614642558e-03,3.6457167056451162e-01,9.9979964194119764e-01,9.9999729191284625e-01,3.6457167056451162e-01,9.8195090334877821e-01,9.9958580208054659e-01,9.4619200564944972e-01,7.6071816433064978e-18,True,True,True,False,True,True,False,False,False,False,False,The tested source-derived feature space does not have enough linear capacity to reproduce the local oracle correction.,derive non-final nonlinear or second-differential source features for the coefficient-gradient law,"This is a capacity audit: the target Jacobian defines the oracle correction being projected, but the result is not an implemented target-free law. It distinguishes feature-space capacity from an actual formula for choosing coefficients."
cylindrical_smooth,0.04,universal_direction_capacity_value_scalar_nonfinal,paper_tfe_lower_pair_velocity_compression_direction_capacity_gap_not_full_tfe,,universal_direction_capacity_nonfinal_stage_scalar_value_fit,all_case_h_direction_capacity_oracle_fit,source_plus_all_active_velocity_rows,source_consistency_and_active_nonfinal_velocity,"0,1",6,24,8,16,24,16,32,32,4.6794886614484028e+01,False,8,132,24,32,8,4.3910181114245281e+09,3.7127280938507345e-01,3.6464473007478193e-01,7.2990542614642610e-03,3.6457167056451162e-01,9.9979964194119764e-01,9.9999729191284625e-01,3.6457167056451162e-01,9.8195090334877821e-01,9.9958580208054648e-01,9.4619200564944972e-01,7.6071816433064978e-18,True,True,True,False,True,True,False,False,False,False,False,The tested source-derived feature space does not have enough linear capacity to reproduce the local oracle correction.,derive non-final nonlinear or second-differential source features for the coefficient-gradient law,"This is a capacity audit: the target Jacobian defines the oracle correction being projected, but the result is not an implemented target-free law. It distinguishes feature-space capacity from an actual formula for choosing coefficients."
