case,h,candidate_basis,status,error_message,candidate_kind,fit_scope,feature_family,feature_scope,active_stage_rows,training_sample_count,basis_row_count,compression_row_count,source_consistency_rows,velocity_stage_rows,active_velocity_rows,history_feature_rows,history_feature_rank,history_feature_condition,history_step_count,history_direction_count,history_delta_norm,history_source_transport_used,history_velocity_transport_used,history_combined_transport_used,uses_final_stage_velocity_feature,target_row_count,stage_unknown_count,basis_rank,augmented_rank,independent_target_rank,basis_condition,target_jacobian_norm,oracle_correction_norm,history_projected_correction_norm,history_correction_residual_norm,history_correction_relative_residual,max_history_row_relative_residual,projection_residual_norm,projection_relative_residual,max_row_relative_residual,min_row_relative_residual,value_residual_norm,value_level_balance_ok,meaningful_nonfinal_energy,target_jacobian_used_for_capacity_fit,target_direction_oracle_used_for_formula,endpoint_boundary_source_removed,target_terminal_boundary_row_used,terminal_row_replacement_used,projection_used,accepted_h_sweep_present,full_tfe_stage_replacement,multi_step_history_capacity_spans_target,blocking_gap,next_repair_target,notes
cylindrical_smooth,0.04,case_local_multi_step_history_capacity_value_scalar_nonfinal,paper_tfe_lower_pair_velocity_compression_multi_step_history_capacity_gap_not_full_tfe,,case_local_multi_step_history_capacity_nonfinal_stage_scalar_value_fit,case_local_multi_step_history_capacity_oracle_fit,two_step_source_transport_delta_rows_perp,two-step transported source-row deltas residualized against local source rows,"0,1",1,24,8,16,24,16,32,32,3.2138156391372997e+05,2,32,6.9305235199943360e-01,True,False,False,False,8,132,24,30,6,1.0052635089896254e+03,3.7127280938507345e-01,3.6464473006524034e-01,2.3774387324050911e-01,2.7648441167804083e-01,7.5822955573380613e-01,9.9214882737296972e-01,2.7648441167804083e-01,7.4469340250359994e-01,9.9030204908338759e-01,4.2242290281152585e-13,6.7406137997733683e-18,True,True,True,False,True,True,False,False,False,False,False,The tested two-step history-transport non-final source features do not reproduce the local correction.,derive a revised weak-row formula or nonlinear recurrent history source law for the coefficient-gradient closure,"This capacity audit advances the terminal output twice and stacks transported source-row/non-final velocity-row deltas from both future states. It tests a multi-step trajectory-history feature space, not a target-free formula and not an accepted nonlinear h-sweep."
cylindrical_smooth,0.04,case_local_multi_step_history_capacity_value_scalar_nonfinal,paper_tfe_lower_pair_velocity_compression_multi_step_history_capacity_gap_not_full_tfe,,case_local_multi_step_history_capacity_nonfinal_stage_scalar_value_fit,case_local_multi_step_history_capacity_oracle_fit,active_plus_two_step_source_transport_delta_rows_perp,active non-final velocity plus two-step transported source-row deltas,"0,1",1,24,8,16,24,16,48,44,4.6415043123519179e+04,2,48,9.1122983731065754e-01,True,False,False,False,8,132,24,30,6,9.3322509853038957e+02,3.7127280938507345e-01,3.6464473006524034e-01,2.5719817117665178e-01,2.5848574410929609e-01,7.0887009408595913e-01,9.9214882736067667e-01,2.5848574410929609e-01,6.9621512153668685e-01,9.9030204907111741e-01,1.6199856050426333e-15,6.7406137997733683e-18,True,True,True,False,True,True,False,False,False,False,False,The tested two-step history-transport non-final source features do not reproduce the local correction.,derive a revised weak-row formula or nonlinear recurrent history source law for the coefficient-gradient closure,"This capacity audit advances the terminal output twice and stacks transported source-row/non-final velocity-row deltas from both future states. It tests a multi-step trajectory-history feature space, not a target-free formula and not an accepted nonlinear h-sweep."
cylindrical_smooth,0.04,case_local_multi_step_history_capacity_value_scalar_nonfinal,paper_tfe_lower_pair_velocity_compression_multi_step_history_capacity_gap_not_full_tfe,,case_local_multi_step_history_capacity_nonfinal_stage_scalar_value_fit,case_local_multi_step_history_capacity_oracle_fit,two_step_velocity_transport_delta_rows_perp,two-step transported non-final velocity-row deltas residualized against local source rows,"0,1",1,24,8,16,24,16,32,24,5.2312515272980243e+04,2,32,1.3647019615824618e-01,False,True,False,False,8,132,24,32,8,3.0370692844758660e+08,3.7127280938507345e-01,3.6464473006524034e-01,2.9351004027663771e-02,3.6346154917256385e-01,9.9675525026108347e-01,9.9993792365800915e-01,3.6346154917256385e-01,9.7896086108366742e-01,9.9952645825462516e-01,9.3044106278535188e-01,6.7406137997733683e-18,True,True,True,False,True,True,False,False,False,False,False,The tested two-step history-transport non-final source features do not reproduce the local correction.,derive a revised weak-row formula or nonlinear recurrent history source law for the coefficient-gradient closure,"This capacity audit advances the terminal output twice and stacks transported source-row/non-final velocity-row deltas from both future states. It tests a multi-step trajectory-history feature space, not a target-free formula and not an accepted nonlinear h-sweep."
cylindrical_smooth,0.04,case_local_multi_step_history_capacity_value_scalar_nonfinal,paper_tfe_lower_pair_velocity_compression_multi_step_history_capacity_gap_not_full_tfe,,case_local_multi_step_history_capacity_nonfinal_stage_scalar_value_fit,case_local_multi_step_history_capacity_oracle_fit,active_plus_two_step_velocity_transport_delta_rows_perp,active non-final velocity plus two-step transported velocity-row deltas,"0,1",1,24,8,16,24,16,48,32,2.0480486463077574e+04,2,48,6.0715926101207651e-01,False,True,False,False,8,132,24,32,8,3.0387292300416887e+08,3.7127280938507345e-01,3.6464473006524034e-01,2.9351004027663684e-02,3.6346154917256385e-01,9.9675525026108347e-01,9.9993792365800915e-01,3.6346154917256385e-01,9.7896086108366742e-01,9.9952645825462516e-01,9.3044106278535166e-01,6.7406137997733683e-18,True,True,True,False,True,True,False,False,False,False,False,The tested two-step history-transport non-final source features do not reproduce the local correction.,derive a revised weak-row formula or nonlinear recurrent history source law for the coefficient-gradient closure,"This capacity audit advances the terminal output twice and stacks transported source-row/non-final velocity-row deltas from both future states. It tests a multi-step trajectory-history feature space, not a target-free formula and not an accepted nonlinear h-sweep."
cylindrical_smooth,0.04,case_local_multi_step_history_capacity_value_scalar_nonfinal,paper_tfe_lower_pair_velocity_compression_multi_step_history_capacity_gap_not_full_tfe,,case_local_multi_step_history_capacity_nonfinal_stage_scalar_value_fit,case_local_multi_step_history_capacity_oracle_fit,two_step_source_velocity_transport_delta_rows_perp,two-step transported source-row and non-final velocity-row deltas,"0,1",1,24,8,16,24,16,64,45,1.7819005496278817e+06,2,64,7.0636086885629279e-01,True,True,True,False,8,132,24,29,5,8.6132443454015947e+02,3.7127280938507345e-01,3.6464473006524034e-01,2.5748286847747609e-01,2.5820215259552953e-01,7.0809237404674230e-01,9.9214876648145423e-01,2.5820215259552953e-01,6.9545128560096003e-01,9.9030198830521510e-01,6.4206088897548278e-15,6.7406137997733683e-18,True,True,True,False,True,True,False,False,False,False,False,The tested two-step history-transport non-final source features do not reproduce the local correction.,derive a revised weak-row formula or nonlinear recurrent history source law for the coefficient-gradient closure,"This capacity audit advances the terminal output twice and stacks transported source-row/non-final velocity-row deltas from both future states. It tests a multi-step trajectory-history feature space, not a target-free formula and not an accepted nonlinear h-sweep."
cylindrical_smooth,0.04,case_local_multi_step_history_capacity_value_scalar_nonfinal,paper_tfe_lower_pair_velocity_compression_multi_step_history_capacity_gap_not_full_tfe,,case_local_multi_step_history_capacity_nonfinal_stage_scalar_value_fit,case_local_multi_step_history_capacity_oracle_fit,active_plus_two_step_source_velocity_transport_delta_rows_perp,active non-final velocity plus two-step source/velocity transport deltas,"0,1",1,24,8,16,24,16,80,53,9.5789955030819727e+05,2,80,9.2139238701254611e-01,True,True,True,False,8,132,24,29,5,8.6132443454017277e+02,3.7127280938507345e-01,3.6464473006524034e-01,2.5748286847746987e-01,2.5820215259552953e-01,7.0809237404674230e-01,9.9214876648145423e-01,2.5820215259552953e-01,6.9545128560096003e-01,9.9030198830521510e-01,2.7692950926613839e-15,6.7406137997733683e-18,True,True,True,False,True,True,False,False,False,False,False,The tested two-step history-transport non-final source features do not reproduce the local correction.,derive a revised weak-row formula or nonlinear recurrent history source law for the coefficient-gradient closure,"This capacity audit advances the terminal output twice and stacks transported source-row/non-final velocity-row deltas from both future states. It tests a multi-step trajectory-history feature space, not a target-free formula and not an accepted nonlinear h-sweep."
cylindrical_smooth,0.04,universal_multi_step_history_capacity_value_scalar_nonfinal,paper_tfe_lower_pair_velocity_compression_multi_step_history_capacity_gap_not_full_tfe,,universal_multi_step_history_capacity_nonfinal_stage_scalar_value_fit,all_case_h_multi_step_history_capacity_oracle_fit,two_step_source_transport_delta_rows_perp,two-step transported source-row deltas residualized against local source rows,"0,1",6,24,8,16,24,16,32,32,3.2138156391372997e+05,2,32,6.9305235199943360e-01,True,False,False,False,8,132,24,30,6,1.0052635089886511e+03,3.7127280938507345e-01,3.6464473007478193e-01,2.3774387313847731e-01,2.7648441177835759e-01,7.5822955598907382e-01,9.9214882737030541e-01,2.7648441177835753e-01,7.4469340277379659e-01,9.9030204908338715e-01,3.4387192143372557e-13,7.6071816433064978e-18,True,True,True,False,True,True,False,False,False,False,False,The tested two-step history-transport non-final source features do not reproduce the local correction.,derive a revised weak-row formula or nonlinear recurrent history source law for the coefficient-gradient closure,"This capacity audit advances the terminal output twice and stacks transported source-row/non-final velocity-row deltas from both future states. It tests a multi-step trajectory-history feature space, not a target-free formula and not an accepted nonlinear h-sweep."
cylindrical_smooth,0.04,universal_multi_step_history_capacity_value_scalar_nonfinal,paper_tfe_lower_pair_velocity_compression_multi_step_history_capacity_gap_not_full_tfe,,universal_multi_step_history_capacity_nonfinal_stage_scalar_value_fit,all_case_h_multi_step_history_capacity_oracle_fit,active_plus_two_step_source_transport_delta_rows_perp,active non-final velocity plus two-step transported source-row deltas,"0,1",6,24,8,16,24,16,48,44,4.6415043123519179e+04,2,48,9.1122983731065754e-01,True,False,False,False,8,132,24,30,6,9.3322509853072052e+02,3.7127280938507345e-01,3.6464473007478193e-01,2.5719817119017879e-01,2.5848574410929609e-01,7.0887009406741031e-01,9.9214882735801280e-01,2.5848574410929609e-01,6.9621512153668685e-01,9.9030204907111741e-01,2.2403780631977860e-15,7.6071816433064978e-18,True,True,True,False,True,True,False,False,False,False,False,The tested two-step history-transport non-final source features do not reproduce the local correction.,derive a revised weak-row formula or nonlinear recurrent history source law for the coefficient-gradient closure,"This capacity audit advances the terminal output twice and stacks transported source-row/non-final velocity-row deltas from both future states. It tests a multi-step trajectory-history feature space, not a target-free formula and not an accepted nonlinear h-sweep."
cylindrical_smooth,0.04,universal_multi_step_history_capacity_value_scalar_nonfinal,paper_tfe_lower_pair_velocity_compression_multi_step_history_capacity_gap_not_full_tfe,,universal_multi_step_history_capacity_nonfinal_stage_scalar_value_fit,all_case_h_multi_step_history_capacity_oracle_fit,two_step_velocity_transport_delta_rows_perp,two-step transported non-final velocity-row deltas residualized against local source rows,"0,1",6,24,8,16,24,16,32,24,5.2312515272980243e+04,2,32,1.3647019615824618e-01,False,True,False,False,8,132,24,32,8,3.0386813552717626e+08,3.7127280938507345e-01,3.6464473007478193e-01,2.9351004146204888e-02,3.6346154917256385e-01,9.9675525023500156e-01,9.9993792365742518e-01,3.6346154917256385e-01,9.7896086108366742e-01,9.9952645825462516e-01,9.3044106278535166e-01,7.6071816433064978e-18,True,True,True,False,True,True,False,False,False,False,False,The tested two-step history-transport non-final source features do not reproduce the local correction.,derive a revised weak-row formula or nonlinear recurrent history source law for the coefficient-gradient closure,"This capacity audit advances the terminal output twice and stacks transported source-row/non-final velocity-row deltas from both future states. It tests a multi-step trajectory-history feature space, not a target-free formula and not an accepted nonlinear h-sweep."
cylindrical_smooth,0.04,universal_multi_step_history_capacity_value_scalar_nonfinal,paper_tfe_lower_pair_velocity_compression_multi_step_history_capacity_gap_not_full_tfe,,universal_multi_step_history_capacity_nonfinal_stage_scalar_value_fit,all_case_h_multi_step_history_capacity_oracle_fit,active_plus_two_step_velocity_transport_delta_rows_perp,active non-final velocity plus two-step transported velocity-row deltas,"0,1",6,24,8,16,24,16,48,32,2.0480486463077574e+04,2,48,6.0715926101207651e-01,False,True,False,False,8,132,24,32,8,3.0387292301700670e+08,3.7127280938507345e-01,3.6464473007478193e-01,2.9351004146204750e-02,3.6346154917256385e-01,9.9675525023500156e-01,9.9993792365742518e-01,3.6346154917256385e-01,9.7896086108366742e-01,9.9952645825462516e-01,9.3044106278535166e-01,7.6071816433064978e-18,True,True,True,False,True,True,False,False,False,False,False,The tested two-step history-transport non-final source features do not reproduce the local correction.,derive a revised weak-row formula or nonlinear recurrent history source law for the coefficient-gradient closure,"This capacity audit advances the terminal output twice and stacks transported source-row/non-final velocity-row deltas from both future states. It tests a multi-step trajectory-history feature space, not a target-free formula and not an accepted nonlinear h-sweep."
