case,h,candidate_basis,status,error_message,candidate_kind,fit_scope,feature_family,feature_scope,active_stage_rows,training_sample_count,basis_row_count,compression_row_count,source_consistency_rows,velocity_stage_rows,active_velocity_rows,history_feature_rows,history_feature_rank,history_feature_condition,history_step_count,history_direction_count,history_delta_norm,history_source_transport_used,history_velocity_transport_used,history_combined_transport_used,uses_final_stage_velocity_feature,target_row_count,stage_unknown_count,basis_rank,augmented_rank,independent_target_rank,basis_condition,target_jacobian_norm,oracle_correction_norm,history_projected_correction_norm,history_correction_residual_norm,history_correction_relative_residual,max_history_row_relative_residual,projection_residual_norm,projection_relative_residual,max_row_relative_residual,min_row_relative_residual,value_residual_norm,value_level_balance_ok,meaningful_nonfinal_energy,target_jacobian_used_for_capacity_fit,target_direction_oracle_used_for_formula,endpoint_boundary_source_removed,target_terminal_boundary_row_used,terminal_row_replacement_used,projection_used,accepted_h_sweep_present,full_tfe_stage_replacement,recurrent_history_capacity_spans_target,blocking_gap,next_repair_target,notes
cylindrical_smooth,0.04,case_local_recurrent_history_capacity_value_scalar_nonfinal,paper_tfe_lower_pair_velocity_compression_recurrent_history_capacity_gap_not_full_tfe,,case_local_recurrent_history_capacity_nonfinal_stage_scalar_value_fit,case_local_recurrent_history_capacity_oracle_fit,recurrent_source_curvature_rows_perp,two-step recurrent source-row curvature residualized against local source rows,"0,1",1,24,8,16,24,16,16,16,1.4697053538233322e+02,2,16,1.4991555530509570e-01,True,False,False,False,8,132,24,32,8,3.4285691413747736e+03,3.7127280938507345e-01,3.6464473006524034e-01,1.7448397965405421e-01,3.2018919408442814e-01,8.7808534632364377e-01,9.9506635979574465e-01,3.2018919408442814e-01,8.6240948970851550e-01,9.9332379288328965e-01,4.7061647643761106e-01,6.7406137997733683e-18,True,True,True,False,True,True,False,False,False,False,False,The tested recurrent curvature/bilinear history features do not reproduce the local correction.,derive a revised weak-row formula or richer nonlinear recurrent history source law for the coefficient-gradient closure,"This capacity audit tests two-step recurrent curvature and pairwise source/velocity bilinear history features. The feature library is target-free, but the capacity projection still uses the target Jacobian for evaluation, so it is not an accepted full-TFE stage replacement."
cylindrical_smooth,0.04,case_local_recurrent_history_capacity_value_scalar_nonfinal,paper_tfe_lower_pair_velocity_compression_recurrent_history_capacity_gap_not_full_tfe,,case_local_recurrent_history_capacity_nonfinal_stage_scalar_value_fit,case_local_recurrent_history_capacity_oracle_fit,active_plus_recurrent_source_curvature_rows_perp,active non-final velocity plus recurrent source-row curvature,"0,1",1,24,8,16,24,16,32,32,4.8625612267906990e+03,2,32,6.1032198675428362e-01,True,False,False,False,8,132,24,30,6,3.4175090873343797e+03,3.7127280938507345e-01,3.6464473006524034e-01,1.9834080152799829e-01,3.0598481271720535e-01,8.3913131738517144e-01,9.9401417915309920e-01,3.0598481271720535e-01,8.2415088038361228e-01,9.9216392871188530e-01,9.6526172789926317e-15,6.7406137997733683e-18,True,True,True,False,True,True,False,False,False,False,False,The tested recurrent curvature/bilinear history features do not reproduce the local correction.,derive a revised weak-row formula or richer nonlinear recurrent history source law for the coefficient-gradient closure,"This capacity audit tests two-step recurrent curvature and pairwise source/velocity bilinear history features. The feature library is target-free, but the capacity projection still uses the target Jacobian for evaluation, so it is not an accepted full-TFE stage replacement."
cylindrical_smooth,0.04,case_local_recurrent_history_capacity_value_scalar_nonfinal,paper_tfe_lower_pair_velocity_compression_recurrent_history_capacity_gap_not_full_tfe,,case_local_recurrent_history_capacity_nonfinal_stage_scalar_value_fit,case_local_recurrent_history_capacity_oracle_fit,recurrent_velocity_curvature_rows_perp,two-step recurrent non-final velocity-row curvature residualized against local source rows,"0,1",1,24,8,16,24,16,16,16,4.6473124126240549e+01,2,16,7.7968051118156995e-03,False,True,False,False,8,132,24,32,8,3.0533959876232678e+08,3.7127280938507345e-01,3.6464473006524034e-01,2.6573779114190687e-02,3.6367514821326763e-01,9.9734102326996676e-01,9.9993885527531778e-01,3.6367514784894489e-01,9.7953617570672002e-01,9.9952738948856501e-01,9.3353584222478603e-01,6.7406137997733683e-18,True,True,True,False,True,True,False,False,False,False,False,The tested recurrent curvature/bilinear history features do not reproduce the local correction.,derive a revised weak-row formula or richer nonlinear recurrent history source law for the coefficient-gradient closure,"This capacity audit tests two-step recurrent curvature and pairwise source/velocity bilinear history features. The feature library is target-free, but the capacity projection still uses the target Jacobian for evaluation, so it is not an accepted full-TFE stage replacement."
cylindrical_smooth,0.04,case_local_recurrent_history_capacity_value_scalar_nonfinal,paper_tfe_lower_pair_velocity_compression_recurrent_history_capacity_gap_not_full_tfe,,case_local_recurrent_history_capacity_nonfinal_stage_scalar_value_fit,case_local_recurrent_history_capacity_oracle_fit,active_plus_recurrent_velocity_curvature_rows_perp,active non-final velocity plus recurrent velocity-row curvature,"0,1",1,24,8,16,24,16,32,28,4.9330762948206957e+03,2,32,5.9167477888043563e-01,False,True,False,False,8,132,24,32,8,3.0406486356006414e+08,3.7127280938507345e-01,3.6464473006524034e-01,2.9039233460299026e-02,3.6348659134057504e-01,9.9682392578535794e-01,9.9993793423082589e-01,3.6348659134057504e-01,9.7902831059081741e-01,9.9952646882309126e-01,9.3081554829184654e-01,6.7406137997733683e-18,True,True,True,False,True,True,False,False,False,False,False,The tested recurrent curvature/bilinear history features do not reproduce the local correction.,derive a revised weak-row formula or richer nonlinear recurrent history source law for the coefficient-gradient closure,"This capacity audit tests two-step recurrent curvature and pairwise source/velocity bilinear history features. The feature library is target-free, but the capacity projection still uses the target Jacobian for evaluation, so it is not an accepted full-TFE stage replacement."
cylindrical_smooth,0.04,case_local_recurrent_history_capacity_value_scalar_nonfinal,paper_tfe_lower_pair_velocity_compression_recurrent_history_capacity_gap_not_full_tfe,,case_local_recurrent_history_capacity_nonfinal_stage_scalar_value_fit,case_local_recurrent_history_capacity_oracle_fit,recurrent_source_velocity_bilinear_rows_perp,target-free pairwise bilinear products of recurrent source/velocity curvature rows,"0,1",1,24,8,16,24,16,256,56,4.3793717104596126e+03,2,256,2.4992895739614469e+00,True,True,True,False,8,132,24,28,4,8.6132133764552759e+02,3.7127280938507345e-01,3.6464473006524034e-01,2.5748614039921586e-01,2.5819888974716110e-01,7.0808342602665753e-01,9.9214876648145423e-01,2.5819888974716110e-01,6.9544249732375274e-01,9.9030198830521510e-01,5.9997929822750187e-15,6.7406137997733683e-18,True,True,True,False,True,True,False,False,False,False,False,The tested recurrent curvature/bilinear history features do not reproduce the local correction.,derive a revised weak-row formula or richer nonlinear recurrent history source law for the coefficient-gradient closure,"This capacity audit tests two-step recurrent curvature and pairwise source/velocity bilinear history features. The feature library is target-free, but the capacity projection still uses the target Jacobian for evaluation, so it is not an accepted full-TFE stage replacement."
cylindrical_smooth,0.04,case_local_recurrent_history_capacity_value_scalar_nonfinal,paper_tfe_lower_pair_velocity_compression_recurrent_history_capacity_gap_not_full_tfe,,case_local_recurrent_history_capacity_nonfinal_stage_scalar_value_fit,case_local_recurrent_history_capacity_oracle_fit,active_plus_recurrent_source_velocity_bilinear_rows_perp,active non-final velocity plus bilinear recurrent source/velocity curvature rows,"0,1",1,24,8,16,24,16,272,64,4.3403999237881799e+03,2,272,2.5683587421358509e+00,True,True,True,False,8,132,24,28,4,8.6132133764593436e+02,3.7127280938507345e-01,3.6464473006524034e-01,2.5748614039921547e-01,2.5819888974716110e-01,7.0808342602665753e-01,9.9214876648145423e-01,2.5819888974716110e-01,6.9544249732375274e-01,9.9030198830521510e-01,8.7683226292343198e-15,6.7406137997733683e-18,True,True,True,False,True,True,False,False,False,False,False,The tested recurrent curvature/bilinear history features do not reproduce the local correction.,derive a revised weak-row formula or richer nonlinear recurrent history source law for the coefficient-gradient closure,"This capacity audit tests two-step recurrent curvature and pairwise source/velocity bilinear history features. The feature library is target-free, but the capacity projection still uses the target Jacobian for evaluation, so it is not an accepted full-TFE stage replacement."
cylindrical_smooth,0.04,universal_recurrent_history_capacity_value_scalar_nonfinal,paper_tfe_lower_pair_velocity_compression_recurrent_history_capacity_gap_not_full_tfe,,universal_recurrent_history_capacity_nonfinal_stage_scalar_value_fit,all_case_h_recurrent_history_capacity_oracle_fit,recurrent_source_curvature_rows_perp,two-step recurrent source-row curvature residualized against local source rows,"0,1",6,24,8,16,24,16,16,16,1.4697053538233322e+02,2,16,1.4991555530509570e-01,True,False,False,False,8,132,24,32,8,3.4285691413750210e+03,3.7127280938507345e-01,3.6464473007478193e-01,1.7448397936277493e-01,3.2018919425402431e-01,8.7808534676576677e-01,9.9506635980784908e-01,3.2018919425402431e-01,8.6240949016531210e-01,9.9332379290088257e-01,4.7061647911883725e-01,7.6071816433064978e-18,True,True,True,False,True,True,False,False,False,False,False,The tested recurrent curvature/bilinear history features do not reproduce the local correction.,derive a revised weak-row formula or richer nonlinear recurrent history source law for the coefficient-gradient closure,"This capacity audit tests two-step recurrent curvature and pairwise source/velocity bilinear history features. The feature library is target-free, but the capacity projection still uses the target Jacobian for evaluation, so it is not an accepted full-TFE stage replacement."
cylindrical_smooth,0.04,universal_recurrent_history_capacity_value_scalar_nonfinal,paper_tfe_lower_pair_velocity_compression_recurrent_history_capacity_gap_not_full_tfe,,universal_recurrent_history_capacity_nonfinal_stage_scalar_value_fit,all_case_h_recurrent_history_capacity_oracle_fit,active_plus_recurrent_source_curvature_rows_perp,active non-final velocity plus recurrent source-row curvature,"0,1",6,24,8,16,24,16,32,32,4.8625612267906990e+03,2,32,6.1032198675428362e-01,True,False,False,False,8,132,24,30,6,3.4175090873342792e+03,3.7127280938507345e-01,3.6464473007478193e-01,1.9834080154554032e-01,3.0598481271720535e-01,8.3913131736321400e-01,9.9401417915043033e-01,3.0598481271720535e-01,8.2415088038361228e-01,9.9216392871188530e-01,1.0373313301033271e-14,7.6071816433064978e-18,True,True,True,False,True,True,False,False,False,False,False,The tested recurrent curvature/bilinear history features do not reproduce the local correction.,derive a revised weak-row formula or richer nonlinear recurrent history source law for the coefficient-gradient closure,"This capacity audit tests two-step recurrent curvature and pairwise source/velocity bilinear history features. The feature library is target-free, but the capacity projection still uses the target Jacobian for evaluation, so it is not an accepted full-TFE stage replacement."
cylindrical_smooth,0.04,universal_recurrent_history_capacity_value_scalar_nonfinal,paper_tfe_lower_pair_velocity_compression_recurrent_history_capacity_gap_not_full_tfe,,universal_recurrent_history_capacity_nonfinal_stage_scalar_value_fit,all_case_h_recurrent_history_capacity_oracle_fit,recurrent_velocity_curvature_rows_perp,two-step recurrent non-final velocity-row curvature residualized against local source rows,"0,1",6,24,8,16,24,16,16,16,4.6473124126240549e+01,2,16,7.7968051118156995e-03,False,True,False,False,8,132,24,32,8,3.0550406221105075e+08,3.7127280938507345e-01,3.6464473007478193e-01,2.6573779156507146e-02,3.6367514821974262e-01,9.9734102326162655e-01,9.9993885527473370e-01,3.6367514820919811e-01,9.7953617667703952e-01,9.9952738948858100e-01,9.3353584771534859e-01,7.6071816433064978e-18,True,True,True,False,True,True,False,False,False,False,False,The tested recurrent curvature/bilinear history features do not reproduce the local correction.,derive a revised weak-row formula or richer nonlinear recurrent history source law for the coefficient-gradient closure,"This capacity audit tests two-step recurrent curvature and pairwise source/velocity bilinear history features. The feature library is target-free, but the capacity projection still uses the target Jacobian for evaluation, so it is not an accepted full-TFE stage replacement."
cylindrical_smooth,0.04,universal_recurrent_history_capacity_value_scalar_nonfinal,paper_tfe_lower_pair_velocity_compression_recurrent_history_capacity_gap_not_full_tfe,,universal_recurrent_history_capacity_nonfinal_stage_scalar_value_fit,all_case_h_recurrent_history_capacity_oracle_fit,active_plus_recurrent_velocity_curvature_rows_perp,active non-final velocity plus recurrent velocity-row curvature,"0,1",6,24,8,16,24,16,32,28,4.9330762948206957e+03,2,32,5.9167477888043563e-01,False,True,False,False,8,132,24,32,8,3.0406486356406850e+08,3.7127280938507345e-01,3.6464473007478193e-01,2.9039233580112709e-02,3.6348659134057504e-01,9.9682392575927425e-01,9.9993793423024180e-01,3.6348659134057504e-01,9.7902831059081741e-01,9.9952646882309126e-01,9.3081554829184643e-01,7.6071816433064978e-18,True,True,True,False,True,True,False,False,False,False,False,The tested recurrent curvature/bilinear history features do not reproduce the local correction.,derive a revised weak-row formula or richer nonlinear recurrent history source law for the coefficient-gradient closure,"This capacity audit tests two-step recurrent curvature and pairwise source/velocity bilinear history features. The feature library is target-free, but the capacity projection still uses the target Jacobian for evaluation, so it is not an accepted full-TFE stage replacement."
