case,h,candidate_basis,status,error_message,candidate_kind,fit_scope,active_stage_rows,training_sample_count,basis_row_count,compression_row_count,source_consistency_rows,velocity_stage_rows,active_velocity_rows,target_row_count,stage_unknown_count,basis_rank,augmented_rank,independent_target_rank,basis_condition,target_jacobian_norm,projection_residual_norm,projection_relative_residual,max_row_relative_residual,min_row_relative_residual,fit_residual_norm,fit_relative_residual,value_residual_norm,value_relative_residual,coefficient_rank,coefficient_condition,coefficient_norm,max_abs_coefficient,coefficient_summary,final_stage_selector_distance_norm,final_stage_selector_relative_distance,nonfinal_stage_energy_fraction,stage0_energy_fraction,stage1_energy_fraction,stage2_energy_fraction,degenerates_to_final_stage_selector,meaningful_nonfinal_energy,basis_value_norm,compressed_value_norm,velocity_basis_value_norm,target_bridge_value_norm,terminal_velocity_norm,residual_norm,min_jacobian_rank,row_span_reproduces_terminal_bridge,velocity_compression_spans_target,value_level_balance_ok,endpoint_boundary_source_removed,target_terminal_boundary_row_used,terminal_row_replacement_used,projection_used,base_projection_relative_residual,oracle_projection_relative_residual,target_free_direction_law,gradient_cap,target_jacobian_used_for_formula,target_direction_oracle_used,bounded_target_free_formula_present,raw_target_free_correction_norm,applied_target_free_correction_norm,raw_coefficient_gradient_fro_norm,max_raw_row_gradient_norm,cap_to_raw_gradient_ratio,min_applied_derivative_fraction,max_applied_derivative_fraction,applied_gradient_fro_norm,max_applied_row_gradient_norm,target_free_formula_spans_target,accepted_h_sweep_present,full_tfe_stage_replacement,blocking_gap,next_repair_target,notes
cylindrical_smooth,0.04,case_local_target_free_formula_value_scalar_nonfinal,paper_tfe_lower_pair_velocity_compression_target_free_formula_gap_not_full_tfe,,case_local_target_free_formula_nonfinal_stage_scalar_value_fit,case_local_target_free_bounded_formula,"0,1",1,24,8,16,24,16,8,132,16,24,8,1.4383507687468872e+27,3.7127280938507345e-01,3.6464473007325260e-01,9.8214768454819323e-01,9.9958850905325358e-01,9.4690101645608782e-01,3.6464473006524034e-01,9.9999999997802724e-01,6.7406137997733683e-18,8.7437433101950413e-01,8,1.0000000000000000e+00,6.9314022035938824e-09,2.1280610198306854e-09,rank=8;fro=6.931402e-09;max_abs=2.128061e-09,2.8284271247461903e+00,1.0000000000000000e+00,9.9999999999999989e-01,8.6837631619231503e-01,4.9590581109346193e-01,0.0000000000000000e+00,False,True,4.9794760420326249e-16,3.7408423261936443e-18,2.7386093150082900e-08,7.7090710015628417e-18,7.8453137228429296e-17,1.1410763597929276e-12,132,False,False,True,True,True,False,False,9.8205078084810948e-01,4.4711225787687983e-15,negative_closure_perp,1.0000000000000000e+12,False,False,True,9.6477315000649269e-10,9.6477315000649269e-10,1.9444607756329444e+08,1.4976751172236955e+08,5.1428139488927900e+03,1.0000000000000000e+00,1.0000000000000000e+00,1.9444607756329444e+08,1.4976751172236955e+08,False,False,False,This bounded target-free direction law does not reproduce the local derivative-aware span.,derive a stronger target-direction-free coefficient-gradient direction law,"The correction direction is computed from the current closure and active non-final velocity rows only. The target Jacobian is used only for evaluation metrics, not for constructing the formula."
cylindrical_smooth,0.04,case_local_target_free_formula_value_scalar_nonfinal,paper_tfe_lower_pair_velocity_compression_target_free_formula_gap_not_full_tfe,,case_local_target_free_formula_nonfinal_stage_scalar_value_fit,case_local_target_free_bounded_formula,"0,1",1,24,8,16,24,16,8,132,16,24,8,1.4383507687468872e+27,3.7127280938507345e-01,3.6464473007325260e-01,9.8214768454819323e-01,9.9958850905325358e-01,9.4690101645608782e-01,3.6464473006524034e-01,9.9999999997802724e-01,6.7406137997733683e-18,8.7437433101950413e-01,8,1.0000000000000000e+00,6.9314022035938824e-09,2.1280610198306854e-09,rank=8;fro=6.931402e-09;max_abs=2.128061e-09,2.8284271247461903e+00,1.0000000000000000e+00,9.9999999999999989e-01,8.6837631619231503e-01,4.9590581109346193e-01,0.0000000000000000e+00,False,True,4.9794760420326249e-16,3.7408423261936443e-18,2.7386093150082900e-08,7.7090710015628417e-18,7.8453137228429296e-17,1.1410763597929276e-12,132,False,False,True,True,True,False,False,9.8205078084810948e-01,4.4711225787687983e-15,negative_closure_perp,1.0000000000000000e+14,False,False,True,9.6477315000649269e-10,9.6477315000649269e-10,1.9444607756329444e+08,1.4976751172236955e+08,5.1428139488927898e+05,1.0000000000000000e+00,1.0000000000000000e+00,1.9444607756329444e+08,1.4976751172236955e+08,False,False,False,This bounded target-free direction law does not reproduce the local derivative-aware span.,derive a stronger target-direction-free coefficient-gradient direction law,"The correction direction is computed from the current closure and active non-final velocity rows only. The target Jacobian is used only for evaluation metrics, not for constructing the formula."
cylindrical_smooth,0.04,case_local_target_free_formula_value_scalar_nonfinal,paper_tfe_lower_pair_velocity_compression_target_free_formula_gap_not_full_tfe,,case_local_target_free_formula_nonfinal_stage_scalar_value_fit,case_local_target_free_bounded_formula,"0,1",1,24,8,16,24,16,8,132,16,24,8,1.4383507687468872e+27,3.7127280938507345e-01,3.6464473007325260e-01,9.8214768454819323e-01,9.9958850905325358e-01,9.4690101645608782e-01,3.6464473006524034e-01,9.9999999997802724e-01,6.7406137997733683e-18,8.7437433101950413e-01,8,1.0000000000000000e+00,6.9314022035938824e-09,2.1280610198306854e-09,rank=8;fro=6.931402e-09;max_abs=2.128061e-09,2.8284271247461903e+00,1.0000000000000000e+00,9.9999999999999989e-01,8.6837631619231503e-01,4.9590581109346193e-01,0.0000000000000000e+00,False,True,4.9794760420326249e-16,3.7408423261936443e-18,2.7386093150082900e-08,7.7090710015628417e-18,7.8453137228429296e-17,1.1410763597929276e-12,132,False,False,True,True,True,False,False,9.8205078084810948e-01,4.4711225787687983e-15,negative_closure_perp,1.0000000000000000e+16,False,False,True,9.6477315000649269e-10,9.6477315000649269e-10,1.9444607756329444e+08,1.4976751172236955e+08,5.1428139488927901e+07,1.0000000000000000e+00,1.0000000000000000e+00,1.9444607756329444e+08,1.4976751172236955e+08,False,False,False,This bounded target-free direction law does not reproduce the local derivative-aware span.,derive a stronger target-direction-free coefficient-gradient direction law,"The correction direction is computed from the current closure and active non-final velocity rows only. The target Jacobian is used only for evaluation metrics, not for constructing the formula."
cylindrical_smooth,0.04,case_local_target_free_formula_value_scalar_nonfinal,paper_tfe_lower_pair_velocity_compression_target_free_formula_gap_not_full_tfe,,case_local_target_free_formula_nonfinal_stage_scalar_value_fit,case_local_target_free_bounded_formula,"0,1",1,24,8,16,24,16,8,132,16,24,8,1.4383507687468872e+27,3.7127280938507345e-01,3.6464473007325260e-01,9.8214768454819323e-01,9.9958850905325358e-01,9.4690101645608782e-01,3.6464473006524034e-01,9.9999999997802724e-01,6.7406137997733683e-18,8.7437433101950413e-01,8,1.0000000000000000e+00,6.9314022035938824e-09,2.1280610198306854e-09,rank=8;fro=6.931402e-09;max_abs=2.128061e-09,2.8284271247461903e+00,1.0000000000000000e+00,9.9999999999999989e-01,8.6837631619231503e-01,4.9590581109346193e-01,0.0000000000000000e+00,False,True,4.9794760420326249e-16,3.7408423261936443e-18,2.7386093150082900e-08,7.7090710015628417e-18,7.8453137228429296e-17,1.1410763597929276e-12,132,False,False,True,True,True,False,False,9.8205078084810948e-01,4.4711225787687983e-15,negative_closure_perp,1.0000000000000000e+18,False,False,True,9.6477315000649269e-10,9.6477315000649269e-10,1.9444607756329444e+08,1.4976751172236955e+08,5.1428139488927898e+09,1.0000000000000000e+00,1.0000000000000000e+00,1.9444607756329444e+08,1.4976751172236955e+08,False,False,False,This bounded target-free direction law does not reproduce the local derivative-aware span.,derive a stronger target-direction-free coefficient-gradient direction law,"The correction direction is computed from the current closure and active non-final velocity rows only. The target Jacobian is used only for evaluation metrics, not for constructing the formula."
cylindrical_smooth,0.04,case_local_target_free_formula_value_scalar_nonfinal,paper_tfe_lower_pair_velocity_compression_target_free_formula_gap_not_full_tfe,,case_local_target_free_formula_nonfinal_stage_scalar_value_fit,case_local_target_free_bounded_formula,"0,1",1,24,8,16,24,16,8,132,16,24,8,1.4383507687468872e+27,3.7127280938507345e-01,3.6464473007325260e-01,9.8214768454819323e-01,9.9958850905325358e-01,9.4690101645608782e-01,3.6464473006524034e-01,9.9999999997802724e-01,6.7406137997733683e-18,8.7437433101950413e-01,8,1.0000000000000000e+00,6.9314022035938824e-09,2.1280610198306854e-09,rank=8;fro=6.931402e-09;max_abs=2.128061e-09,2.8284271247461903e+00,1.0000000000000000e+00,9.9999999999999989e-01,8.6837631619231503e-01,4.9590581109346193e-01,0.0000000000000000e+00,False,True,4.9794760420326249e-16,3.7408423261936443e-18,2.7386093150082900e-08,7.7090710015628417e-18,7.8453137228429296e-17,1.1410763597929276e-12,132,False,False,True,True,True,False,False,9.8205078084810948e-01,4.4711225787687983e-15,negative_closure_perp,1.0000000000000000e+20,False,False,True,9.6477315000649269e-10,9.6477315000649269e-10,1.9444607756329444e+08,1.4976751172236955e+08,5.1428139488927899e+11,1.0000000000000000e+00,1.0000000000000000e+00,1.9444607756329444e+08,1.4976751172236955e+08,False,False,False,This bounded target-free direction law does not reproduce the local derivative-aware span.,derive a stronger target-direction-free coefficient-gradient direction law,"The correction direction is computed from the current closure and active non-final velocity rows only. The target Jacobian is used only for evaluation metrics, not for constructing the formula."
cylindrical_smooth,0.04,case_local_target_free_formula_value_scalar_nonfinal,paper_tfe_lower_pair_velocity_compression_target_free_formula_gap_not_full_tfe,,case_local_target_free_formula_nonfinal_stage_scalar_value_fit,case_local_target_free_bounded_formula,"0,1",1,24,8,16,24,16,8,132,16,24,8,1.4383507687468872e+27,3.7127280938507345e-01,3.6464473007325260e-01,9.8214768454819323e-01,9.9958850905325358e-01,9.4690101645608782e-01,3.6464473006524034e-01,9.9999999997802724e-01,6.7406137997733683e-18,8.7437433101950413e-01,8,1.0000000000000000e+00,6.9314022035938824e-09,2.1280610198306854e-09,rank=8;fro=6.931402e-09;max_abs=2.128061e-09,2.8284271247461903e+00,1.0000000000000000e+00,9.9999999999999989e-01,8.6837631619231503e-01,4.9590581109346193e-01,0.0000000000000000e+00,False,True,4.9794760420326249e-16,3.7408423261936443e-18,2.7386093150082900e-08,7.7090710015628417e-18,7.8453137228429296e-17,1.1410763597929276e-12,132,False,False,True,True,True,False,False,9.8205078084810948e-01,4.4711225787687983e-15,negative_closure_perp,1.0000000000000000e+22,False,False,True,9.6477315000649269e-10,9.6477315000649269e-10,1.9444607756329444e+08,1.4976751172236955e+08,5.1428139488927898e+13,1.0000000000000000e+00,1.0000000000000000e+00,1.9444607756329444e+08,1.4976751172236955e+08,False,False,False,This bounded target-free direction law does not reproduce the local derivative-aware span.,derive a stronger target-direction-free coefficient-gradient direction law,"The correction direction is computed from the current closure and active non-final velocity rows only. The target Jacobian is used only for evaluation metrics, not for constructing the formula."
cylindrical_smooth,0.04,case_local_target_free_formula_value_scalar_nonfinal,paper_tfe_lower_pair_velocity_compression_target_free_formula_gap_not_full_tfe,,case_local_target_free_formula_nonfinal_stage_scalar_value_fit,case_local_target_free_bounded_formula,"0,1",1,24,8,16,24,16,8,132,24,32,8,8.8793683880433598e+09,3.7127280938507345e-01,3.6460875236428270e-01,9.8205078084810948e-01,9.9958718411321035e-01,9.4655019063660306e-01,3.6464473006524034e-01,9.9999999997802724e-01,6.7406137997733683e-18,8.7437433101950413e-01,8,1.0000000000000000e+00,6.9314022035938824e-09,2.1280610198306854e-09,rank=8;fro=6.931402e-09;max_abs=2.128061e-09,2.8284271247461903e+00,1.0000000000000000e+00,9.9999999999999989e-01,8.6837631619231503e-01,4.9590581109346193e-01,0.0000000000000000e+00,False,True,4.9794760420326249e-16,3.7408423261936443e-18,2.7386093150082900e-08,7.7090710015628417e-18,7.8453137228429296e-17,1.1410763597929276e-12,132,False,False,True,True,True,False,False,9.8205078084810948e-01,4.4711225787687983e-15,closure_perp,1.0000000000000000e+12,False,False,True,9.6477315000649269e-10,9.6477315000649269e-10,1.9444607756329444e+08,1.4976751172236955e+08,5.1428139488927900e+03,1.0000000000000000e+00,1.0000000000000000e+00,1.9444607756329444e+08,1.4976751172236955e+08,False,False,False,This bounded target-free direction law does not reproduce the local derivative-aware span.,derive a stronger target-direction-free coefficient-gradient direction law,"The correction direction is computed from the current closure and active non-final velocity rows only. The target Jacobian is used only for evaluation metrics, not for constructing the formula."
cylindrical_smooth,0.04,case_local_target_free_formula_value_scalar_nonfinal,paper_tfe_lower_pair_velocity_compression_target_free_formula_gap_not_full_tfe,,case_local_target_free_formula_nonfinal_stage_scalar_value_fit,case_local_target_free_bounded_formula,"0,1",1,24,8,16,24,16,8,132,24,32,8,8.8793683880433598e+09,3.7127280938507345e-01,3.6460875236428270e-01,9.8205078084810948e-01,9.9958718411321035e-01,9.4655019063660306e-01,3.6464473006524034e-01,9.9999999997802724e-01,6.7406137997733683e-18,8.7437433101950413e-01,8,1.0000000000000000e+00,6.9314022035938824e-09,2.1280610198306854e-09,rank=8;fro=6.931402e-09;max_abs=2.128061e-09,2.8284271247461903e+00,1.0000000000000000e+00,9.9999999999999989e-01,8.6837631619231503e-01,4.9590581109346193e-01,0.0000000000000000e+00,False,True,4.9794760420326249e-16,3.7408423261936443e-18,2.7386093150082900e-08,7.7090710015628417e-18,7.8453137228429296e-17,1.1410763597929276e-12,132,False,False,True,True,True,False,False,9.8205078084810948e-01,4.4711225787687983e-15,closure_perp,1.0000000000000000e+14,False,False,True,9.6477315000649269e-10,9.6477315000649269e-10,1.9444607756329444e+08,1.4976751172236955e+08,5.1428139488927898e+05,1.0000000000000000e+00,1.0000000000000000e+00,1.9444607756329444e+08,1.4976751172236955e+08,False,False,False,This bounded target-free direction law does not reproduce the local derivative-aware span.,derive a stronger target-direction-free coefficient-gradient direction law,"The correction direction is computed from the current closure and active non-final velocity rows only. The target Jacobian is used only for evaluation metrics, not for constructing the formula."
cylindrical_smooth,0.04,case_local_target_free_formula_value_scalar_nonfinal,paper_tfe_lower_pair_velocity_compression_target_free_formula_gap_not_full_tfe,,case_local_target_free_formula_nonfinal_stage_scalar_value_fit,case_local_target_free_bounded_formula,"0,1",1,24,8,16,24,16,8,132,24,32,8,8.8793683880433598e+09,3.7127280938507345e-01,3.6460875236428270e-01,9.8205078084810948e-01,9.9958718411321035e-01,9.4655019063660306e-01,3.6464473006524034e-01,9.9999999997802724e-01,6.7406137997733683e-18,8.7437433101950413e-01,8,1.0000000000000000e+00,6.9314022035938824e-09,2.1280610198306854e-09,rank=8;fro=6.931402e-09;max_abs=2.128061e-09,2.8284271247461903e+00,1.0000000000000000e+00,9.9999999999999989e-01,8.6837631619231503e-01,4.9590581109346193e-01,0.0000000000000000e+00,False,True,4.9794760420326249e-16,3.7408423261936443e-18,2.7386093150082900e-08,7.7090710015628417e-18,7.8453137228429296e-17,1.1410763597929276e-12,132,False,False,True,True,True,False,False,9.8205078084810948e-01,4.4711225787687983e-15,closure_perp,1.0000000000000000e+16,False,False,True,9.6477315000649269e-10,9.6477315000649269e-10,1.9444607756329444e+08,1.4976751172236955e+08,5.1428139488927901e+07,1.0000000000000000e+00,1.0000000000000000e+00,1.9444607756329444e+08,1.4976751172236955e+08,False,False,False,This bounded target-free direction law does not reproduce the local derivative-aware span.,derive a stronger target-direction-free coefficient-gradient direction law,"The correction direction is computed from the current closure and active non-final velocity rows only. The target Jacobian is used only for evaluation metrics, not for constructing the formula."
cylindrical_smooth,0.04,case_local_target_free_formula_value_scalar_nonfinal,paper_tfe_lower_pair_velocity_compression_target_free_formula_gap_not_full_tfe,,case_local_target_free_formula_nonfinal_stage_scalar_value_fit,case_local_target_free_bounded_formula,"0,1",1,24,8,16,24,16,8,132,24,32,8,8.8793683880433598e+09,3.7127280938507345e-01,3.6460875236428270e-01,9.8205078084810948e-01,9.9958718411321035e-01,9.4655019063660306e-01,3.6464473006524034e-01,9.9999999997802724e-01,6.7406137997733683e-18,8.7437433101950413e-01,8,1.0000000000000000e+00,6.9314022035938824e-09,2.1280610198306854e-09,rank=8;fro=6.931402e-09;max_abs=2.128061e-09,2.8284271247461903e+00,1.0000000000000000e+00,9.9999999999999989e-01,8.6837631619231503e-01,4.9590581109346193e-01,0.0000000000000000e+00,False,True,4.9794760420326249e-16,3.7408423261936443e-18,2.7386093150082900e-08,7.7090710015628417e-18,7.8453137228429296e-17,1.1410763597929276e-12,132,False,False,True,True,True,False,False,9.8205078084810948e-01,4.4711225787687983e-15,closure_perp,1.0000000000000000e+18,False,False,True,9.6477315000649269e-10,9.6477315000649269e-10,1.9444607756329444e+08,1.4976751172236955e+08,5.1428139488927898e+09,1.0000000000000000e+00,1.0000000000000000e+00,1.9444607756329444e+08,1.4976751172236955e+08,False,False,False,This bounded target-free direction law does not reproduce the local derivative-aware span.,derive a stronger target-direction-free coefficient-gradient direction law,"The correction direction is computed from the current closure and active non-final velocity rows only. The target Jacobian is used only for evaluation metrics, not for constructing the formula."
