case,h,candidate_basis,status,error_message,candidate_kind,fit_scope,active_stage_rows,training_sample_count,basis_row_count,compression_row_count,source_consistency_rows,velocity_stage_rows,active_velocity_rows,target_row_count,stage_unknown_count,basis_rank,augmented_rank,independent_target_rank,basis_condition,target_jacobian_norm,projection_residual_norm,projection_relative_residual,max_row_relative_residual,min_row_relative_residual,fit_residual_norm,fit_relative_residual,value_residual_norm,value_relative_residual,coefficient_rank,coefficient_condition,coefficient_norm,max_abs_coefficient,coefficient_summary,final_stage_selector_distance_norm,final_stage_selector_relative_distance,nonfinal_stage_energy_fraction,stage0_energy_fraction,stage1_energy_fraction,stage2_energy_fraction,degenerates_to_final_stage_selector,meaningful_nonfinal_energy,basis_value_norm,compressed_value_norm,velocity_basis_value_norm,target_bridge_value_norm,terminal_velocity_norm,residual_norm,min_jacobian_rank,row_span_reproduces_terminal_bridge,velocity_compression_spans_target,value_level_balance_ok,endpoint_boundary_source_removed,target_terminal_boundary_row_used,terminal_row_replacement_used,projection_used,accepted_h_sweep_present,full_tfe_stage_replacement,blocking_gap,next_repair_target,notes
cylindrical_smooth,0.04,case_local_value_scalar_all_stage,paper_tfe_lower_pair_velocity_compression_value_level_tangent_spans_not_full_tfe,,case_local_all_stage_scalar_value_fit,case_local_value_level_source_free_fit,"0,1,2",1,24,8,16,24,24,8,132,24,24,0,4.6789234052042616e+01,3.7127280938507345e-01,4.0145658400566025e-16,1.0812981017128055e-15,1.2387899880171365e-15,8.7471242270968783e-16,7.4647991768496142e-17,2.0471430302448163e-16,4.2539776363284487e-33,5.5181456176315535e-16,8,1.0000000000000000e+00,2.8284271247461907e+00,1.0000000000000002e+00,rank=8;fro=2.828427e+00;max_abs=1.000000e+00,6.2803698347351007e-16,2.2204460492503131e-16,3.1118744528859861e-25,3.1118744528859861e-25,0.0000000000000000e+00,1.0000000000000000e+00,True,False,4.9799322526131485e-16,7.7090710015628417e-18,2.7386093150082900e-08,7.7090710015628417e-18,7.8453137228429296e-17,1.1410763597929276e-12,132,True,True,True,True,True,False,False,False,False,"The value-level source-free fit balances the row values and spans the local tangent, but it is still a fitted diagnostic rather than a derived nonlinear TFE row.",derive this value-level source-free formula analytically and run a trajectory h-sweep,"This probe fits the compression against row values first and then audits whether the induced Jacobian rows span the terminal bridge. It is a derivative-closure diagnostic, not an accepted h-sweep."
cylindrical_smooth,0.04,universal_value_scalar_all_stage,paper_tfe_lower_pair_velocity_compression_value_level_tangent_spans_not_full_tfe,,universal_all_stage_scalar_value_fit,all_case_h_value_level_source_free_fit,"0,1,2",6,24,8,16,24,24,8,132,24,24,0,4.6789234052042644e+01,3.7127280938507345e-01,4.4272142126754827e-16,1.1924423498742413e-15,1.5461273264072902e-15,8.4112053528321758e-16,3.1063493454848018e-26,8.5188378969875007e-26,1.3660872390021835e-33,1.7720517021120183e-16,8,1.0000000000000000e+00,2.8284271247461903e+00,1.0000000000000000e+00,rank=8;fro=2.828427e+00;max_abs=1.000000e+00,3.3762221327248899e-25,1.1936747824209386e-25,1.1936747824209386e-25,1.1778258497978398e-25,1.9387045606711583e-26,1.0000000000000000e+00,True,False,4.9799322526131485e-16,7.7090710015628417e-18,2.7386093150082900e-08,7.7090710015628417e-18,7.8453137228429296e-17,1.1410763597929276e-12,132,True,True,True,True,True,False,False,False,False,"The value-level source-free fit balances the row values and spans the local tangent, but it is still a fitted diagnostic rather than a derived nonlinear TFE row.",derive this value-level source-free formula analytically and run a trajectory h-sweep,"This probe fits the compression against row values first and then audits whether the induced Jacobian rows span the terminal bridge. It is a derivative-closure diagnostic, not an accepted h-sweep."
cylindrical_smooth,0.04,case_local_value_scalar_nonfinal,paper_tfe_lower_pair_velocity_compression_value_level_value_only_not_full_tfe,,case_local_nonfinal_stage_scalar_value_fit,case_local_value_level_source_free_fit,"0,1",1,24,8,16,24,16,8,132,24,32,8,1.7758736776086731e+10,3.7127280938507345e-01,3.6460875236428270e-01,9.8205078084810948e-01,9.9958718411321035e-01,9.4655019063660306e-01,3.6464473006524034e-01,9.9999999997802724e-01,6.7406137997733683e-18,8.7437433101950413e-01,8,1.0000000000000000e+00,6.9314022035938824e-09,2.1280610198306854e-09,rank=8;fro=6.931402e-09;max_abs=2.128061e-09,2.8284271247461903e+00,1.0000000000000000e+00,9.9999999999999989e-01,8.6837631619231503e-01,4.9590581109346193e-01,0.0000000000000000e+00,False,True,4.9794760420326249e-16,3.7408423261936443e-18,2.7386093150082900e-08,7.7090710015628417e-18,7.8453137228429296e-17,1.1410763597929276e-12,132,False,False,True,True,True,False,False,False,False,The value-level source-free fit balances row values but does not span the terminal-bridge tangent.,derive a derivative-aware nonlinear value-level source-free compression,"This probe fits the compression against row values first and then audits whether the induced Jacobian rows span the terminal bridge. It is a derivative-closure diagnostic, not an accepted h-sweep."
cylindrical_smooth,0.04,universal_value_scalar_nonfinal,paper_tfe_lower_pair_velocity_compression_value_level_value_only_not_full_tfe,,universal_nonfinal_stage_scalar_value_fit,all_case_h_value_level_source_free_fit,"0,1",6,24,8,16,24,16,8,132,16,24,8,1.0453597925352519e+11,3.7127280938507345e-01,3.6459919038065075e-01,9.8202502624559018e-01,9.9958683001931836e-01,9.4645733690016631e-01,3.6464473007478193e-01,1.0000000000041940e+00,7.6071816433064978e-18,9.8678318590713610e-01,8,1.0000000000000000e+00,1.1432606374566444e-09,3.2352835765686957e-10,rank=8;fro=1.143261e-09;max_abs=3.235284e-10,2.8284271247461903e+00,1.0000000000000000e+00,1.0000000000000000e+00,8.0040924391222112e-01,5.9945395341082419e-01,0.0000000000000000e+00,False,True,4.9793461947214964e-16,1.0308435453341609e-18,2.7386093150082900e-08,7.7090710015628417e-18,7.8453137228429296e-17,1.1410763597929276e-12,132,False,False,True,True,True,False,False,False,False,The value-level source-free fit balances row values but does not span the terminal-bridge tangent.,derive a derivative-aware nonlinear value-level source-free compression,"This probe fits the compression against row values first and then audits whether the induced Jacobian rows span the terminal bridge. It is a derivative-closure diagnostic, not an accepted h-sweep."
cylindrical_smooth,0.04,case_local_value_component_all_stage,paper_tfe_lower_pair_velocity_compression_value_level_value_only_not_full_tfe,,case_local_all_stage_component_diagonal_value_fit,case_local_value_level_source_free_fit,"0,1,2",1,24,8,16,24,24,8,132,21,29,8,2.2700759498215083e+12,3.7127280938507345e-01,3.6391716999104623e-01,9.8018804714999164e-01,9.9950057235225243e-01,9.4266749683577999e-01,3.6421399559824874e-01,9.9881875579302259e-01,1.7373446707898491e-33,2.2536368784742564e-16,6,3.5909000948406553e+08,1.7217589547255838e-01,1.6681103168856098e-01,rank=6;fro=1.721759e-01;max_abs=1.668110e-01,2.8231817973729965e+00,9.9814549672243558e-01,9.8529449637915667e-01,9.6980630103081333e-01,1.7401431859472677e-01,1.7086472838167710e-01,False,True,4.9799322526131485e-16,7.7090710015628417e-18,2.7386093150082900e-08,7.7090710015628417e-18,7.8453137228429296e-17,1.1410763597929276e-12,132,False,False,True,True,True,False,False,False,False,The value-level source-free fit balances row values but does not span the terminal-bridge tangent.,derive a derivative-aware nonlinear value-level source-free compression,"This probe fits the compression against row values first and then audits whether the induced Jacobian rows span the terminal bridge. It is a derivative-closure diagnostic, not an accepted h-sweep."
cylindrical_smooth,0.04,universal_value_component_all_stage,paper_tfe_lower_pair_velocity_compression_value_level_tangent_spans_not_full_tfe,,universal_all_stage_component_diagonal_value_fit,all_case_h_value_level_source_free_fit,"0,1,2",6,24,8,16,24,24,8,132,24,24,0,4.6789234052042630e+01,3.7127280938507345e-01,8.7356962155621892e-16,2.3529049245569118e-15,7.3021997848467088e-15,8.9855357157783336e-16,7.5901596214903883e-16,2.0815218198726250e-15,1.8736483765168257e-32,2.4304463872974909e-15,8,1.0000000000000009e+00,2.8284271247461903e+00,1.0000000000000004e+00,rank=8;fro=2.828427e+00;max_abs=1.000000e+00,6.0401172532799059e-15,2.1355039344780425e-15,2.1181174056946724e-15,1.0049982578047335e-15,1.8645106183972724e-15,1.0000000000000000e+00,True,False,4.9799322526131485e-16,7.7090710015628309e-18,2.7386093150082900e-08,7.7090710015628417e-18,7.8453137228429296e-17,1.1410763597929276e-12,132,True,True,True,True,True,False,False,False,False,"The value-level source-free fit balances the row values and spans the local tangent, but it is still a fitted diagnostic rather than a derived nonlinear TFE row.",derive this value-level source-free formula analytically and run a trajectory h-sweep,"This probe fits the compression against row values first and then audits whether the induced Jacobian rows span the terminal bridge. It is a derivative-closure diagnostic, not an accepted h-sweep."
cylindrical_smooth,0.04,case_local_value_component_nonfinal,paper_tfe_lower_pair_velocity_compression_value_level_value_only_not_full_tfe,,case_local_nonfinal_component_diagonal_value_fit,case_local_value_level_source_free_fit,"0,1",1,24,8,16,24,16,8,132,21,29,8,2.2717587134007744e+12,3.7127280938507345e-01,3.6462844473087264e-01,9.8210382100104332e-01,9.9958787264001903e-01,9.4684085458913114e-01,3.6505364663439654e-01,1.0011214108621884e+00,1.0969092796788381e-33,1.4228812777265437e-16,6,3.6449131705056280e+08,1.7474619986034923e-01,1.7186700044990721e-01,rank=6;fro=1.747462e-01;max_abs=1.718670e-01,2.8338200779805396e+00,1.0019066969013151e+00,1.0000000000000000e+00,9.8444729932693398e-01,1.7568014927107184e-01,0.0000000000000000e+00,False,True,4.9799322526131485e-16,7.7090710015628417e-18,2.7386093150082900e-08,7.7090710015628417e-18,7.8453137228429296e-17,1.1410763597929276e-12,132,False,False,True,True,True,False,False,False,False,The value-level source-free fit balances row values but does not span the terminal-bridge tangent.,derive a derivative-aware nonlinear value-level source-free compression,"This probe fits the compression against row values first and then audits whether the induced Jacobian rows span the terminal bridge. It is a derivative-closure diagnostic, not an accepted h-sweep."
cylindrical_smooth,0.04,universal_value_component_nonfinal,paper_tfe_lower_pair_velocity_compression_value_level_value_only_not_full_tfe,,universal_nonfinal_component_diagonal_value_fit,all_case_h_value_level_source_free_fit,"0,1",6,24,8,16,24,16,8,132,22,30,8,8.9078120245727020e+10,3.7127280938507345e-01,3.6460603514368645e-01,9.8204346218504668e-01,9.9958792723516932e-01,9.4647486490815247e-01,3.6499396871481160e-01,1.0009577504150104e+00,2.6003532570117728e-19,3.3731084542931430e-02,8,5.1760023273602521e+08,1.6219075510265546e-01,9.9289078893220237e-02,rank=8;fro=1.621908e-01;max_abs=9.928908e-02,2.8330735678836105e+00,1.0016427657254339e+00,1.0000000000000000e+00,8.5653393329897720e-01,5.1609071015411934e-01,0.0000000000000000e+00,False,True,4.9799371744516308e-16,7.7407999840729781e-18,2.7386093150082900e-08,7.7090710015628417e-18,7.8453137228429296e-17,1.1410763597929276e-12,132,False,False,True,True,True,False,False,False,False,The value-level source-free fit balances row values but does not span the terminal-bridge tangent.,derive a derivative-aware nonlinear value-level source-free compression,"This probe fits the compression against row values first and then audits whether the induced Jacobian rows span the terminal bridge. It is a derivative-closure diagnostic, not an accepted h-sweep."
cylindrical_smooth,0.04,case_local_value_full_all_stage,paper_tfe_lower_pair_velocity_compression_value_level_value_only_not_full_tfe,,case_local_all_stage_full_component_value_fit,case_local_value_level_source_free_fit,"0,1,2",1,24,8,16,24,24,8,132,16,24,8,1.1128535212827506e+29,3.7127280938507345e-01,3.6461684146938289e-01,9.8207256834478507e-01,9.9958843056152991e-01,9.4651718970033660e-01,3.6464473007330461e-01,1.0000000000001426e+00,1.8913227921974338e-33,2.4533731649559463e-16,1,1.0000000000000000e+00,2.8149582926323710e-10,1.3524641904616002e-10,rank=1;fro=2.814958e-10;max_abs=1.352464e-10,2.8284271247461903e+00,1.0000000000000000e+00,1.0000000000000000e+00,5.3035866684290311e-01,8.4777336859836450e-01,2.8149582926323710e-10,False,True,4.9799322526131485e-16,7.7090710015628432e-18,2.7386093150082900e-08,7.7090710015628417e-18,7.8453137228429296e-17,1.1410763597929276e-12,132,False,False,True,True,True,False,False,False,False,The value-level source-free fit balances row values but does not span the terminal-bridge tangent.,derive a derivative-aware nonlinear value-level source-free compression,"This probe fits the compression against row values first and then audits whether the induced Jacobian rows span the terminal bridge. It is a derivative-closure diagnostic, not an accepted h-sweep."
cylindrical_smooth,0.04,universal_value_full_all_stage,paper_tfe_lower_pair_velocity_compression_value_level_value_only_not_full_tfe,,universal_all_stage_full_component_value_fit,all_case_h_value_level_source_free_fit,"0,1,2",6,24,8,16,24,24,8,132,20,28,8,3.9747951265869196e+21,3.7127280938507345e-01,3.6459592362074755e-01,9.8201622743290951e-01,9.9958810808890375e-01,9.4625475890207467e-01,3.6464472125547565e-01,9.9999997581816980e-01,7.2156542965350566e-29,9.3599530930150261e-12,5,3.5701435026135319e+05,3.0358073492063213e-04,1.2382848578222449e-04,rank=5;fro=3.035807e-04;max_abs=1.238285e-04,2.8284271084542265e+00,9.9999999423992092e-01,9.9999995418269927e-01,8.0421959174788871e-01,5.9433219382283153e-01,3.0271207350439426e-04,False,True,4.9799322526131416e-16,7.7090710015187040e-18,2.7386093150082900e-08,7.7090710015628417e-18,7.8453137228429296e-17,1.1410763597929276e-12,132,False,False,True,True,True,False,False,False,False,The value-level source-free fit balances row values but does not span the terminal-bridge tangent.,derive a derivative-aware nonlinear value-level source-free compression,"This probe fits the compression against row values first and then audits whether the induced Jacobian rows span the terminal bridge. It is a derivative-closure diagnostic, not an accepted h-sweep."
