case,h,reference_h,t_final,block,status,error_message,rows,independent_of_residual_black_box,quadrature_weighted,h_sweep_present,max_independent_block_residual_norm,max_reference_block_residual_norm,max_block_equivalence_norm,equivalence_tolerance,diagonal_equivalent_to_gauss6,full_tfe_stage_replacement,notes
cylindrical_smooth,0.04,0.005,0.08,translational_position_weak_defect,implemented_equivalent_not_full_tfe,,18,True,True,True,1.9524322428545644e-17,1.9524322428545644e-17,0.0000000000000000e+00,1.0e-10,True,False,This row family is assembled by the independent stage-functional prototype and compared against the matching quadrature-weighted Gauss6 stage block. Equivalence keeps this as an implementation audit rather than a completed full-TFE replacement.
cylindrical_smooth,0.04,0.005,0.08,rotational_lie_position_weak_defect,implemented_equivalent_not_full_tfe,,18,True,True,True,6.9428499420975097e-17,6.9428499420975097e-17,0.0000000000000000e+00,1.0e-10,True,False,This row family is assembled by the independent stage-functional prototype and compared against the matching quadrature-weighted Gauss6 stage block. Equivalence keeps this as an implementation audit rather than a completed full-TFE replacement.
cylindrical_smooth,0.04,0.005,0.08,translational_velocity_weak_defect,implemented_equivalent_not_full_tfe,,18,True,True,True,2.2331773045634096e-16,2.2331773045634096e-16,0.0000000000000000e+00,1.0e-10,True,False,This row family is assembled by the independent stage-functional prototype and compared against the matching quadrature-weighted Gauss6 stage block. Equivalence keeps this as an implementation audit rather than a completed full-TFE replacement.
cylindrical_smooth,0.04,0.005,0.08,angular_velocity_weak_defect,implemented_equivalent_not_full_tfe,,18,True,True,True,8.0048510315237634e-16,8.0048510315237634e-16,0.0000000000000000e+00,1.0e-10,True,False,This row family is assembled by the independent stage-functional prototype and compared against the matching quadrature-weighted Gauss6 stage block. Equivalence keeps this as an implementation audit rather than a completed full-TFE replacement.
cylindrical_smooth,0.04,0.005,0.08,newton_euler_weak_balance,implemented_equivalent_not_full_tfe,,36,True,True,True,6.7665272577741150e-15,6.7667685531143230e-15,1.7554167342883509e-17,1.0e-10,True,False,This row family is assembled by the independent stage-functional prototype and compared against the matching quadrature-weighted Gauss6 stage block. Equivalence keeps this as an implementation audit rather than a completed full-TFE replacement.
cylindrical_smooth,0.04,0.005,0.08,lower_pair_index3_weak_constraints,implemented_equivalent_not_full_tfe,,24,True,True,True,9.4067066495177640e-17,9.4067066495177640e-17,0.0000000000000000e+00,1.0e-10,True,False,This row family is assembled by the independent stage-functional prototype and compared against the matching quadrature-weighted Gauss6 stage block. Equivalence keeps this as an implementation audit rather than a completed full-TFE replacement.
cylindrical_smooth,0.02,0.005,0.08,translational_position_weak_defect,implemented_equivalent_not_full_tfe,,18,True,True,True,1.9148607307815637e-17,1.9148607307815637e-17,0.0000000000000000e+00,1.0e-10,True,False,This row family is assembled by the independent stage-functional prototype and compared against the matching quadrature-weighted Gauss6 stage block. Equivalence keeps this as an implementation audit rather than a completed full-TFE replacement.
cylindrical_smooth,0.02,0.005,0.08,rotational_lie_position_weak_defect,implemented_equivalent_not_full_tfe,,18,True,True,True,4.3254754647595059e-17,4.3254754647595059e-17,0.0000000000000000e+00,1.0e-10,True,False,This row family is assembled by the independent stage-functional prototype and compared against the matching quadrature-weighted Gauss6 stage block. Equivalence keeps this as an implementation audit rather than a completed full-TFE replacement.
cylindrical_smooth,0.02,0.005,0.08,translational_velocity_weak_defect,implemented_equivalent_not_full_tfe,,18,True,True,True,2.3955752711669046e-16,2.3955752711669046e-16,0.0000000000000000e+00,1.0e-10,True,False,This row family is assembled by the independent stage-functional prototype and compared against the matching quadrature-weighted Gauss6 stage block. Equivalence keeps this as an implementation audit rather than a completed full-TFE replacement.
cylindrical_smooth,0.02,0.005,0.08,angular_velocity_weak_defect,implemented_equivalent_not_full_tfe,,18,True,True,True,5.7211920974904970e-16,5.7211920974904970e-16,0.0000000000000000e+00,1.0e-10,True,False,This row family is assembled by the independent stage-functional prototype and compared against the matching quadrature-weighted Gauss6 stage block. Equivalence keeps this as an implementation audit rather than a completed full-TFE replacement.
cylindrical_smooth,0.02,0.005,0.08,newton_euler_weak_balance,implemented_equivalent_not_full_tfe,,36,True,True,True,7.5866674587070774e-16,7.5886078076240313e-16,1.2062947687412801e-17,1.0e-10,True,False,This row family is assembled by the independent stage-functional prototype and compared against the matching quadrature-weighted Gauss6 stage block. Equivalence keeps this as an implementation audit rather than a completed full-TFE replacement.
cylindrical_smooth,0.02,0.005,0.08,lower_pair_index3_weak_constraints,implemented_equivalent_not_full_tfe,,24,True,True,True,1.0744053318235425e-16,1.0744053318235425e-16,0.0000000000000000e+00,1.0e-10,True,False,This row family is assembled by the independent stage-functional prototype and compared against the matching quadrature-weighted Gauss6 stage block. Equivalence keeps this as an implementation audit rather than a completed full-TFE replacement.
cylindrical_smooth,0.01,0.005,0.08,translational_position_weak_defect,implemented_equivalent_not_full_tfe,,18,True,True,True,1.1026430726558425e-17,1.1026430726558425e-17,0.0000000000000000e+00,1.0e-10,True,False,This row family is assembled by the independent stage-functional prototype and compared against the matching quadrature-weighted Gauss6 stage block. Equivalence keeps this as an implementation audit rather than a completed full-TFE replacement.
cylindrical_smooth,0.01,0.005,0.08,rotational_lie_position_weak_defect,implemented_equivalent_not_full_tfe,,18,True,True,True,3.4411850267443224e-17,3.4411850267443224e-17,0.0000000000000000e+00,1.0e-10,True,False,This row family is assembled by the independent stage-functional prototype and compared against the matching quadrature-weighted Gauss6 stage block. Equivalence keeps this as an implementation audit rather than a completed full-TFE replacement.
cylindrical_smooth,0.01,0.005,0.08,translational_velocity_weak_defect,implemented_equivalent_not_full_tfe,,18,True,True,True,1.6901776286511388e-16,1.6901776286511388e-16,0.0000000000000000e+00,1.0e-10,True,False,This row family is assembled by the independent stage-functional prototype and compared against the matching quadrature-weighted Gauss6 stage block. Equivalence keeps this as an implementation audit rather than a completed full-TFE replacement.
