case,h,block,t_final,status,error_message,newton_iterations,runtime_sec,rows,max_block_activation_residual_norm,max_block_activation_stage_residual_norm,max_activated_probe_block_norm,max_full_probe_norm,max_weighted_stage_residual_norm,max_unweighted_stage_residual_norm,max_endpoint_position_constraint_norm,max_endpoint_velocity_constraint_norm,max_endpoint_position_correction_norm,max_endpoint_velocity_correction_norm,max_weighted_endpoint_node_residual_norm,block_probe_observed_order,h_sweep_present,block_isolated,stage_equations_are_tfe_weighted,non_equivalent_to_gauss6,solved_as_residual,full_tfe_stage_replacement,notes
cylindrical_smooth,0.04,translational_position_weak_defect,0.04,stage_probe_block_activation_solved_not_full_tfe,,6,1.34873618e+01,18,1.2420245461092145e-15,1.2365886178883695e-15,9.7875305687899812e-14,2.2599992859716528e-11,9.7883408025674280e-14,8.4769133870677014e-13,2.9268538698102909e-16,8.5439617462037557e-17,6.2404292074934946e-13,4.1248841130211673e-11,6.8473603579371603e-17,6.7390273165325034e+00,True,True,True,True,True,False,Only this weak/TFE row family receives the endpoint-boundary non-equivalent probe inside the square Newton residual; all other stage rows remain the quadrature-weighted Gauss6-equivalent rows. This isolates block solvability for the future derived weak stage residual and intentionally does not claim full-TFE replacement.
cylindrical_smooth,0.04,rotational_lie_position_weak_defect,0.04,stage_probe_block_activation_solved_not_full_tfe,,6,4.67215622e-01,18,1.0330107008783845e-15,1.0266137766598608e-15,7.7117290153587166e-14,2.2605423040351658e-11,7.7127987699404632e-14,6.6795166855884166e-13,3.1588587760209156e-16,1.4372702111138663e-16,6.2855923780958291e-13,4.1259022430568536e-11,9.9170755900747702e-17,5.1620278679724247e+00,True,True,True,True,True,False,Only this weak/TFE row family receives the endpoint-boundary non-equivalent probe inside the square Newton residual; all other stage rows remain the quadrature-weighted Gauss6-equivalent rows. This isolates block solvability for the future derived weak stage residual and intentionally does not claim full-TFE replacement.
cylindrical_smooth,0.04,translational_velocity_weak_defect,0.04,stage_probe_block_activation_solved_not_full_tfe,,6,5.24637957e-01,18,1.3858423018498359e-15,1.3707402744283648e-15,8.1226052688366053e-12,2.2341523034870633e-11,8.1225606659396913e-12,7.0343417332974732e-11,3.7043549443712589e-16,4.3674661960328454e-17,6.3023958481331132e-13,4.0748589890556614e-11,1.6683979004085398e-16,7.5414614059376595e+00,True,True,True,True,True,False,Only this weak/TFE row family receives the endpoint-boundary non-equivalent probe inside the square Newton residual; all other stage rows remain the quadrature-weighted Gauss6-equivalent rows. This isolates block solvability for the future derived weak stage residual and intentionally does not claim full-TFE replacement.
cylindrical_smooth,0.04,angular_velocity_weak_defect,0.04,stage_probe_block_activation_solved_not_full_tfe,,6,4.27813668e-01,18,1.6961077471339588e-15,1.6924906316692688e-15,6.0721507223211887e-13,2.2598312811354098e-11,6.0713768934367194e-13,5.2585687711854647e-12,4.4206902925296847e-16,1.1784651975808732e-16,6.3017856086189211e-13,4.1246441774092924e-11,4.6446962875131877e-17,7.7352154620186777e+00,True,True,True,True,True,False,Only this weak/TFE row family receives the endpoint-boundary non-equivalent probe inside the square Newton residual; all other stage rows remain the quadrature-weighted Gauss6-equivalent rows. This isolates block solvability for the future derived weak stage residual and intentionally does not claim full-TFE replacement.
cylindrical_smooth,0.04,newton_euler_weak_balance,0.04,stage_probe_block_activation_solved_not_full_tfe,,6,4.16215398e-01,36,1.0687412931207332e-15,1.0628426358470710e-15,2.1034358629282180e-11,2.2600299291605932e-11,2.1034399341164586e-11,1.8216344517524513e-10,4.8947441766237749e-16,1.8666702336585356e-16,6.3023284593650610e-13,4.1249362098194151e-11,5.3065157811032147e-17,7.5422747105820243e+00,True,True,True,True,True,False,Only this weak/TFE row family receives the endpoint-boundary non-equivalent probe inside the square Newton residual; all other stage rows remain the quadrature-weighted Gauss6-equivalent rows. This isolates block solvability for the future derived weak stage residual and intentionally does not claim full-TFE replacement.
cylindrical_smooth,0.04,lower_pair_index3_weak_constraints,0.04,stage_probe_block_activation_solved_not_full_tfe,,6,6.36398593e-01,24,9.1905862922618744e-16,9.1241160964421059e-16,5.0309179820341274e-13,2.2600609837502089e-11,5.0307573658013222e-13,4.3567944038435466e-12,4.1009194615580687e-16,9.4765768257128428e-17,6.3036380091063167e-13,4.1250148551575498e-11,6.9724859383143080e-17,6.7901807866201844e+00,True,True,True,True,True,False,Only this weak/TFE row family receives the endpoint-boundary non-equivalent probe inside the square Newton residual; all other stage rows remain the quadrature-weighted Gauss6-equivalent rows. This isolates block solvability for the future derived weak stage residual and intentionally does not claim full-TFE replacement.
cylindrical_smooth,0.02,translational_position_weak_defect,0.02,stage_probe_block_activation_solved_not_full_tfe,,6,5.05315752e-01,18,9.1122863751485432e-16,9.0843475847488159e-16,1.3909623273428986e-16,1.1943372911565540e-13,9.1893833209979095e-16,1.1930020330658841e-14,4.3412959268907797e-16,4.7321462152609803e-17,2.0205322704438125e-15,3.0892187214908121e-13,5.1338433479269357e-17,6.7390273165325034e+00,True,True,True,True,True,False,Only this weak/TFE row family receives the endpoint-boundary non-equivalent probe inside the square Newton residual; all other stage rows remain the quadrature-weighted Gauss6-equivalent rows. This isolates block solvability for the future derived weak stage residual and intentionally does not claim full-TFE replacement.
cylindrical_smooth,0.02,rotational_lie_position_weak_defect,0.02,stage_probe_block_activation_solved_not_full_tfe,,6,6.14938624e-01,18,1.1177842975886905e-15,1.1166071454163158e-15,2.4520898049574206e-16,1.1942223772460300e-13,1.1424493750632607e-15,1.4835949886440308e-14,7.6644093130759722e-16,5.5595730164915968e-17,1.9975294571419984e-15,3.0888723951085267e-13,2.8341641780024471e-17,5.1620278679724247e+00,True,True,True,True,True,False,Only this weak/TFE row family receives the endpoint-boundary non-equivalent probe inside the square Newton residual; all other stage rows remain the quadrature-weighted Gauss6-equivalent rows. This isolates block solvability for the future derived weak stage residual and intentionally does not claim full-TFE replacement.
cylindrical_smooth,0.02,translational_velocity_weak_defect,0.02,stage_probe_block_activation_solved_not_full_tfe,,6,4.76275056e-01,18,7.2574319008626160e-16,7.2158861598888646e-16,4.3281597282313921e-14,1.1860185952861485e-13,4.3178649019949310e-14,5.2888374738599961e-13,4.8311982809978670e-16,6.8698734133134019e-17,1.9700088014064625e-15,3.0650533107736977e-13,5.8835372496554027e-17,7.5414614059376595e+00,True,True,True,True,True,False,Only this weak/TFE row family receives the endpoint-boundary non-equivalent probe inside the square Newton residual; all other stage rows remain the quadrature-weighted Gauss6-equivalent rows. This isolates block solvability for the future derived weak stage residual and intentionally does not claim full-TFE replacement.
cylindrical_smooth,0.02,angular_velocity_weak_defect,0.02,stage_probe_block_activation_solved_not_full_tfe,,6,6.24188587e-01,18,9.0247417342346689e-16,9.0038511778164140e-16,2.3989253049262657e-15,1.1941364204850172e-13,2.3985308284720969e-15,2.9697320277660054e-14,4.2132363060555852e-16,6.1531442078639547e-17,2.0143059042117569e-15,3.0886240505471097e-13,4.4640487546592622e-17,7.7352154620186777e+00,True,True,True,True,True,False,Only this weak/TFE row family receives the endpoint-boundary non-equivalent probe inside the square Newton residual; all other stage rows remain the quadrature-weighted Gauss6-equivalent rows. This isolates block solvability for the future derived weak stage residual and intentionally does not claim full-TFE replacement.
