case,h,reference_h,t_final,block,status,error_message,source_dim,lifted_rows,quadrature_weight_l2_norm,source_norm,lifted_probe_norm,expected_lifted_probe_norm,lift_reconstruction_error_norm,lift_norm_ratio,source_observed_order,lifted_probe_observed_order,reconstruction_error_observed_order,h_sweep_present,source_is_endpoint_boundary_only,stage_equations_are_tfe_weighted,non_equivalent_to_gauss6,solved_as_residual,full_tfe_stage_replacement,notes
cylindrical_smooth,0.04,0.005,0.08,translational_position_weak_defect,stage_probe_boundary_source_lift_verified_not_full_tfe,,6,18,2.0000000000000001e-01,2.4260053499381208e-12,4.8520106998762416e-13,4.8520106998762416e-13,0.0000000000000000e+00,1.0000000000000000e+00,6.7775075452015470e+00,7.2775075452015470e+00,-1.9547064187426254e-13,True,True,True,True,False,False,"This audit reconstructs the evaluated non-equivalent probe from endpoint boundary source blocks lifted into Gauss stages by sqrt(h*b_i). It verifies the algebraic source of the probe while preserving the caveat that the source is still endpoint-boundary heuristic data, not a derived full-TFE weak stage residual."
cylindrical_smooth,0.04,0.005,0.08,rotational_lie_position_weak_defect,stage_probe_boundary_source_lift_verified_not_full_tfe,,6,18,2.0000000000000001e-01,3.0297284732025815e-12,6.0594569464051627e-13,6.0594569464051637e-13,0.0000000000000000e+00,9.9999999999999989e-01,6.0787764824242458e+00,6.5787764824242441e+00,-1.9547064187426254e-13,True,True,True,True,False,False,"This audit reconstructs the evaluated non-equivalent probe from endpoint boundary source blocks lifted into Gauss stages by sqrt(h*b_i). It verifies the algebraic source of the probe while preserving the caveat that the source is still endpoint-boundary heuristic data, not a derived full-TFE weak stage residual."
cylindrical_smooth,0.04,0.005,0.08,translational_velocity_weak_defect,stage_probe_boundary_source_lift_verified_not_full_tfe,,6,18,2.0000000000000001e-01,6.9168014036452295e-11,1.3833602807290459e-11,1.3833602807290459e-11,0.0000000000000000e+00,1.0000000000000000e+00,6.8792067098140599e+00,7.3792067098140706e+00,-1.9547064187426254e-13,True,True,True,True,False,False,"This audit reconstructs the evaluated non-equivalent probe from endpoint boundary source blocks lifted into Gauss stages by sqrt(h*b_i). It verifies the algebraic source of the probe while preserving the caveat that the source is still endpoint-boundary heuristic data, not a derived full-TFE weak stage residual."
cylindrical_smooth,0.04,0.005,0.08,angular_velocity_weak_defect,stage_probe_boundary_source_lift_verified_not_full_tfe,,6,18,2.0000000000000001e-01,3.8244641740572449e-11,7.6489283481144911e-12,7.6489283481144895e-12,0.0000000000000000e+00,1.0000000000000002e+00,6.8545908825983100e+00,7.3545908825983171e+00,-1.9547064187426254e-13,True,True,True,True,False,False,"This audit reconstructs the evaluated non-equivalent probe from endpoint boundary source blocks lifted into Gauss stages by sqrt(h*b_i). It verifies the algebraic source of the probe while preserving the caveat that the source is still endpoint-boundary heuristic data, not a derived full-TFE weak stage residual."
cylindrical_smooth,0.04,0.005,0.08,newton_euler_weak_balance,stage_probe_boundary_source_lift_verified_not_full_tfe,,12,36,2.0000000000000001e-01,1.7968048482086888e-10,3.5936096964173770e-11,3.5936096964173777e-11,0.0000000000000000e+00,1.0000000000000000e+00,6.8844202716479233e+00,7.3844202716479233e+00,-1.9547064187426254e-13,True,True,True,True,False,False,"This audit reconstructs the evaluated non-equivalent probe from endpoint boundary source blocks lifted into Gauss stages by sqrt(h*b_i). It verifies the algebraic source of the probe while preserving the caveat that the source is still endpoint-boundary heuristic data, not a derived full-TFE weak stage residual."
cylindrical_smooth,0.04,0.005,0.08,lower_pair_index3_weak_constraints,stage_probe_boundary_source_lift_verified_not_full_tfe,,8,24,2.0000000000000001e-01,8.7496564929361079e-12,1.7499312985872217e-12,1.7499312985872217e-12,0.0000000000000000e+00,1.0000000000000000e+00,6.6789912791462269e+00,7.1789912791462305e+00,-1.9547064187426254e-13,True,True,True,True,False,False,"This audit reconstructs the evaluated non-equivalent probe from endpoint boundary source blocks lifted into Gauss stages by sqrt(h*b_i). It verifies the algebraic source of the probe while preserving the caveat that the source is still endpoint-boundary heuristic data, not a derived full-TFE weak stage residual."
cylindrical_smooth,0.02,0.005,0.08,translational_position_weak_defect,stage_probe_boundary_source_lift_verified_not_full_tfe,,6,18,1.4142135623730950e-01,2.3483019101945716e-14,3.3210004099438091e-15,3.3210004099438091e-15,0.0000000000000000e+00,1.0000000000000002e+00,6.7775075452015470e+00,7.2775075452015470e+00,-1.9547064187426254e-13,True,True,True,True,False,False,"This audit reconstructs the evaluated non-equivalent probe from endpoint boundary source blocks lifted into Gauss stages by sqrt(h*b_i). It verifies the algebraic source of the probe while preserving the caveat that the source is still endpoint-boundary heuristic data, not a derived full-TFE weak stage residual."
cylindrical_smooth,0.02,0.005,0.08,rotational_lie_position_weak_defect,stage_probe_boundary_source_lift_verified_not_full_tfe,,6,18,1.4142135623730950e-01,3.1022954958115621e-14,4.3873083646656762e-15,4.3873083646656762e-15,0.0000000000000000e+00,1.0000000000000000e+00,6.0787764824242458e+00,6.5787764824242441e+00,-1.9547064187426254e-13,True,True,True,True,False,False,"This audit reconstructs the evaluated non-equivalent probe from endpoint boundary source blocks lifted into Gauss stages by sqrt(h*b_i). It verifies the algebraic source of the probe while preserving the caveat that the source is still endpoint-boundary heuristic data, not a derived full-TFE weak stage residual."
cylindrical_smooth,0.02,0.005,0.08,translational_velocity_weak_defect,stage_probe_boundary_source_lift_verified_not_full_tfe,,6,18,1.4142135623730950e-01,5.9962141047612475e-13,8.4799273098462022e-14,8.4799273098462022e-14,0.0000000000000000e+00,1.0000000000000002e+00,6.8792067098140599e+00,7.3792067098140706e+00,-1.9547064187426254e-13,True,True,True,True,False,False,"This audit reconstructs the evaluated non-equivalent probe from endpoint boundary source blocks lifted into Gauss stages by sqrt(h*b_i). It verifies the algebraic source of the probe while preserving the caveat that the source is still endpoint-boundary heuristic data, not a derived full-TFE weak stage residual."
cylindrical_smooth,0.02,0.005,0.08,angular_velocity_weak_defect,stage_probe_boundary_source_lift_verified_not_full_tfe,,6,18,1.4142135623730950e-01,3.1419845740067829e-13,4.4434371973274442e-14,4.4434371973274442e-14,0.0000000000000000e+00,1.0000000000000002e+00,6.8545908825983100e+00,7.3545908825983171e+00,-1.9547064187426254e-13,True,True,True,True,False,False,"This audit reconstructs the evaluated non-equivalent probe from endpoint boundary source blocks lifted into Gauss stages by sqrt(h*b_i). It verifies the algebraic source of the probe while preserving the caveat that the source is still endpoint-boundary heuristic data, not a derived full-TFE weak stage residual."
cylindrical_smooth,0.02,0.005,0.08,newton_euler_weak_balance,stage_probe_boundary_source_lift_verified_not_full_tfe,,12,36,1.4142135623730950e-01,1.5471313080088712e-12,2.1879740785581723e-13,2.1879740785581718e-13,0.0000000000000000e+00,1.0000000000000002e+00,6.8844202716479233e+00,7.3844202716479233e+00,-1.9547064187426254e-13,True,True,True,True,False,False,"This audit reconstructs the evaluated non-equivalent probe from endpoint boundary source blocks lifted into Gauss stages by sqrt(h*b_i). It verifies the algebraic source of the probe while preserving the caveat that the source is still endpoint-boundary heuristic data, not a derived full-TFE weak stage residual."
