case,block,status,error_message,row_count,h_values,rows,coarsest_h,finest_h,max_probe_block_norm,max_reference_block_residual_norm,max_non_equivalent_gap_norm,coarsest_non_equivalent_gap_norm,finest_non_equivalent_gap_norm,probe_block_observed_order,reference_block_residual_observed_order,non_equivalent_gap_observed_order,dominant_at_coarsest_h,dominant_at_finest_h,non_equivalent_to_gauss6,solved_as_residual,full_tfe_stage_replacement,notes
cylindrical_smooth,translational_position_weak_defect,probe_order_quantified_not_full_tfe,,3,"0.04,0.02,0.01",18,0.04,0.01,4.8520106998762416e-13,1.9524322428545644e-17,4.8520106998762416e-13,4.8520106998762416e-13,2.0156987215905896e-17,7.2775075452015470e+00,4.1215330910593978e-01,7.2775075452015470e+00,False,False,True,False,False,"Blockwise h-order audit for the non-equivalent endpoint-boundary probe. This quantifies which weak/TFE row families dominate the missing stage term, but it remains an evaluated probe-order diagnostic rather than a derived full-TFE stage residual."
cylindrical_smooth,rotational_lie_position_weak_defect,probe_order_quantified_not_full_tfe,,3,"0.04,0.02,0.01",18,0.04,0.01,6.0594569464051627e-13,6.9428499420975097e-17,6.0594569464051627e-13,6.0594569464051627e-13,6.6315583019662126e-17,6.5787764824242441e+00,5.0631126246109370e-01,6.5787764824242441e+00,False,False,True,False,False,"Blockwise h-order audit for the non-equivalent endpoint-boundary probe. This quantifies which weak/TFE row families dominate the missing stage term, but it remains an evaluated probe-order diagnostic rather than a derived full-TFE stage residual."
cylindrical_smooth,translational_velocity_weak_defect,probe_order_quantified_not_full_tfe,,3,"0.04,0.02,0.01",18,0.04,0.01,1.3833602807290459e-11,2.3955752711669046e-16,1.3833602807290459e-11,1.3833602807290459e-11,4.9912597811200581e-16,7.3792067098140706e+00,2.0096146269566861e-01,7.3792067098140706e+00,False,False,True,False,False,"Blockwise h-order audit for the non-equivalent endpoint-boundary probe. This quantifies which weak/TFE row families dominate the missing stage term, but it remains an evaluated probe-order diagnostic rather than a derived full-TFE stage residual."
cylindrical_smooth,angular_velocity_weak_defect,probe_order_quantified_not_full_tfe,,3,"0.04,0.02,0.01",18,0.04,0.01,7.6489283481144911e-12,8.0048510315237634e-16,7.6489283481144911e-12,7.6489283481144911e-12,2.8555887982228039e-16,7.3545908825983171e+00,4.1077943649996101e-01,7.3545908825983171e+00,False,False,True,False,False,"Blockwise h-order audit for the non-equivalent endpoint-boundary probe. This quantifies which weak/TFE row families dominate the missing stage term, but it remains an evaluated probe-order diagnostic rather than a derived full-TFE stage residual."
cylindrical_smooth,newton_euler_weak_balance,probe_order_quantified_not_full_tfe,,3,"0.04,0.02,0.01",36,0.04,0.01,3.5936096964173770e-11,6.7667685531143230e-15,3.5936096964173770e-11,3.5936096964173770e-11,1.2872618596325894e-15,7.3844202716479233e+00,1.5653604582849749e+00,7.3844202716479233e+00,True,True,True,False,False,"Blockwise h-order audit for the non-equivalent endpoint-boundary probe. This quantifies which weak/TFE row families dominate the missing stage term, but it remains an evaluated probe-order diagnostic rather than a derived full-TFE stage residual."
cylindrical_smooth,lower_pair_index3_weak_constraints,probe_order_quantified_not_full_tfe,,3,"0.04,0.02,0.01",24,0.04,0.01,1.7499312985872217e-12,1.0744053318235425e-16,1.7499312985872217e-12,1.7499312985872217e-12,8.3336944176184345e-17,7.1789912791462305e+00,2.1237874827593275e-01,7.1789912791462305e+00,False,False,True,False,False,"Blockwise h-order audit for the non-equivalent endpoint-boundary probe. This quantifies which weak/TFE row families dominate the missing stage term, but it remains an evaluated probe-order diagnostic rather than a derived full-TFE stage residual."
cylindrical_sharp,translational_position_weak_defect,probe_order_quantified_not_full_tfe,,3,"0.04,0.02,0.01",18,0.04,0.01,4.1974522269976301e-13,2.4747963420603054e-17,4.1974522269976301e-13,4.1974522269976301e-13,6.5934127076962963e-17,6.3181004483590453e+00,5.3097525170510884e-01,6.3181004483590453e+00,False,False,True,False,False,"Blockwise h-order audit for the non-equivalent endpoint-boundary probe. This quantifies which weak/TFE row families dominate the missing stage term, but it remains an evaluated probe-order diagnostic rather than a derived full-TFE stage residual."
cylindrical_sharp,rotational_lie_position_weak_defect,probe_order_quantified_not_full_tfe,,3,"0.04,0.02,0.01",18,0.04,0.01,8.1541080120157065e-14,7.4989959776493981e-17,8.1541080120157065e-14,8.1541080120157065e-14,2.9381149208033326e-16,4.0582462154393673e+00,6.4394856470133333e-01,4.0582462154393673e+00,False,False,True,False,False,"Blockwise h-order audit for the non-equivalent endpoint-boundary probe. This quantifies which weak/TFE row families dominate the missing stage term, but it remains an evaluated probe-order diagnostic rather than a derived full-TFE stage residual."
cylindrical_sharp,translational_velocity_weak_defect,probe_order_quantified_not_full_tfe,,3,"0.04,0.02,0.01",18,0.04,0.01,3.0191207276398363e-11,2.5005973895089212e-16,3.0191207276398363e-11,3.0191207276398363e-11,2.9522801710674033e-14,4.9990415465999813e+00,3.4887320132974348e-01,4.9990415465999813e+00,False,False,True,False,False,"Blockwise h-order audit for the non-equivalent endpoint-boundary probe. This quantifies which weak/TFE row families dominate the missing stage term, but it remains an evaluated probe-order diagnostic rather than a derived full-TFE stage residual."
cylindrical_sharp,angular_velocity_weak_defect,probe_order_quantified_not_full_tfe,,3,"0.04,0.02,0.01",18,0.04,0.01,8.0999399515149981e-12,8.2783337193943649e-16,8.0999399515149981e-12,8.0999399515149981e-12,3.5428234811509571e-14,3.9184339082755280e+00,5.1549843338056500e-01,3.9184339082755280e+00,False,False,True,False,False,"Blockwise h-order audit for the non-equivalent endpoint-boundary probe. This quantifies which weak/TFE row families dominate the missing stage term, but it remains an evaluated probe-order diagnostic rather than a derived full-TFE stage residual."
cylindrical_sharp,newton_euler_weak_balance,probe_order_quantified_not_full_tfe,,3,"0.04,0.02,0.01",36,0.04,0.01,7.7435400575642756e-11,3.0172484950310621e-13,7.7435400575642756e-11,7.7435400575642756e-11,7.7211798816625664e-14,4.9849781120410297e+00,-8.1438288369578704e-01,4.9849781120410297e+00,True,True,True,False,False,"Blockwise h-order audit for the non-equivalent endpoint-boundary probe. This quantifies which weak/TFE row families dominate the missing stage term, but it remains an evaluated probe-order diagnostic rather than a derived full-TFE stage residual."
cylindrical_sharp,lower_pair_index3_weak_constraints,probe_order_quantified_not_full_tfe,,3,"0.04,0.02,0.01",24,0.04,0.01,1.6012539037230039e-12,9.9105101574122304e-17,1.6012539037230039e-12,1.6012539037230039e-12,9.8801905661008976e-16,5.3311877994751766e+00,6.0767479540406866e-01,5.3311877994751766e+00,False,False,True,False,False,"Blockwise h-order audit for the non-equivalent endpoint-boundary probe. This quantifies which weak/TFE row families dominate the missing stage term, but it remains an evaluated probe-order diagnostic rather than a derived full-TFE stage residual."
