case,stribeck_velocity,h,reference_h,t_final,status,error_message,steps,runtime_sec,position_error,velocity_error,max_endpoint_constraint_norm,max_endpoint_velocity_constraint_norm,total_newton_iterations,position_observed_order,velocity_observed_order,notes
stribeck_0p5,0.5,0.04,0.005,0.08,ok,,2,5.44508330e-02,1.7613133751888106e-07,1.0072724671727036e-05,5.8831828785734368e-12,1.3066153671703034e-16,12,7.1608280034173823e+00,7.0661825396518498e+00,"Projected dense Gauss6 h-sweep used to diagnose how Brown-McPhee stribeck_velocity controls the smooth-to-sharp order transition; this is diagnostic evidence, not a new accepted endpoint treatment."
stribeck_0p5,0.5,0.02,0.005,0.08,ok,,4,1.07506818e-01,1.8381850962989087e-09,2.9538772381634196e-08,9.1963610668061146e-14,1.1828725941780504e-16,24,7.1608280034173823e+00,7.0661825396518498e+00,"Projected dense Gauss6 h-sweep used to diagnose how Brown-McPhee stribeck_velocity controls the smooth-to-sharp order transition; this is diagnostic evidence, not a new accepted endpoint treatment."
stribeck_0p5,0.5,0.01,0.005,0.08,ok,,8,1.92711458e-01,8.6017850832544146e-12,5.6089447817955302e-10,1.4662811475967605e-15,2.9910846414046370e-14,48,7.1608280034173823e+00,7.0661825396518498e+00,"Projected dense Gauss6 h-sweep used to diagnose how Brown-McPhee stribeck_velocity controls the smooth-to-sharp order transition; this is diagnostic evidence, not a new accepted endpoint treatment."
stribeck_0p2,0.2,0.04,0.005,0.08,ok,,2,5.52105550e-02,6.9681856753974104e-06,1.2828627255836655e-04,7.3859714051015030e-12,1.3828616468270580e-16,13,6.4935198292008494e+00,5.6574345083042141e+00,"Projected dense Gauss6 h-sweep used to diagnose how Brown-McPhee stribeck_velocity controls the smooth-to-sharp order transition; this is diagnostic evidence, not a new accepted endpoint treatment."
stribeck_0p2,0.2,0.02,0.005,0.08,ok,,4,1.06503283e-01,1.0142617411420930e-07,1.3413749366863782e-05,1.3671540134257484e-13,2.4265047471813977e-16,24,6.4935198292008494e+00,5.6574345083042141e+00,"Projected dense Gauss6 h-sweep used to diagnose how Brown-McPhee stribeck_velocity controls the smooth-to-sharp order transition; this is diagnostic evidence, not a new accepted endpoint treatment."
stribeck_0p2,0.2,0.01,0.005,0.08,ok,,8,2.34640195e-01,8.5828440677467706e-10,5.0357622236592666e-08,2.1989671032261323e-15,6.0272427370245962e-14,48,6.4935198292008494e+00,5.6574345083042141e+00,"Projected dense Gauss6 h-sweep used to diagnose how Brown-McPhee stribeck_velocity controls the smooth-to-sharp order transition; this is diagnostic evidence, not a new accepted endpoint treatment."
stribeck_0p1,0.1,0.04,0.005,0.08,ok,,2,5.23161350e-02,6.6797084766549246e-06,9.3058668555507859e-04,4.9377236040422399e-12,7.6593958322009820e-17,13,3.3922932150361427e+00,4.5107074100799656e+00,"Projected dense Gauss6 h-sweep used to diagnose how Brown-McPhee stribeck_velocity controls the smooth-to-sharp order transition; this is diagnostic evidence, not a new accepted endpoint treatment."
stribeck_0p1,0.1,0.02,0.005,0.08,ok,,4,1.04185202e-01,2.5029103154067338e-06,5.9570879136592308e-05,1.4854882168707090e-13,4.7865638056842431e-16,24,3.3922932150361427e+00,4.5107074100799656e+00,"Projected dense Gauss6 h-sweep used to diagnose how Brown-McPhee stribeck_velocity controls the smooth-to-sharp order transition; this is diagnostic evidence, not a new accepted endpoint treatment."
stribeck_0p1,0.1,0.01,0.005,0.08,ok,,8,1.91798118e-01,6.0588958232511160e-08,1.7907723095949514e-06,2.7109767072372430e-15,4.8733902396141658e-14,48,3.3922932150361427e+00,4.5107074100799656e+00,"Projected dense Gauss6 h-sweep used to diagnose how Brown-McPhee stribeck_velocity controls the smooth-to-sharp order transition; this is diagnostic evidence, not a new accepted endpoint treatment."
stribeck_0p05,0.05,0.04,0.005,0.08,ok,,2,5.37300470e-02,9.4524728520435603e-06,2.3564816366845156e-03,2.6715482925265279e-12,2.1776111066408072e-16,13,1.8935250288226582e+00,2.6833716361599960e+00,"Projected dense Gauss6 h-sweep used to diagnose how Brown-McPhee stribeck_velocity controls the smooth-to-sharp order transition; this is diagnostic evidence, not a new accepted endpoint treatment."
stribeck_0p05,0.05,0.02,0.005,0.08,ok,,4,1.07456533e-01,1.5446339340662933e-06,5.5985060007124798e-04,9.3781198224608634e-14,1.8690986808578665e-16,25,1.8935250288226582e+00,2.6833716361599960e+00,"Projected dense Gauss6 h-sweep used to diagnose how Brown-McPhee stribeck_velocity controls the smooth-to-sharp order transition; this is diagnostic evidence, not a new accepted endpoint treatment."
stribeck_0p05,0.05,0.01,0.005,0.08,ok,,8,1.97912547e-01,6.8474642936791559e-07,5.7110157226116770e-05,3.1220459372221449e-15,1.7905702219492236e-14,48,1.8935250288226582e+00,2.6833716361599960e+00,"Projected dense Gauss6 h-sweep used to diagnose how Brown-McPhee stribeck_velocity controls the smooth-to-sharp order transition; this is diagnostic evidence, not a new accepted endpoint treatment."
