case,solver,repeat,h,steps,status,error_message,runtime_sec,total_jacobian_eval_sec,total_linear_solve_sec,avg_jacobian_eval_sec,avg_linear_solve_sec,total_newton_iterations,position_error_vs_dense,velocity_error_vs_dense,max_endpoint_velocity_constraint_norm
cylindrical_smooth,dense_jacfwd_csr,1,0.02,4,ok,,1.08253232e-01,1.7597123864106834e-02,5.2971338154748082e-03,8.7985619320534174e-04,2.6485669077374040e-04,24,0.0000000000000000e+00,0.0000000000000000e+00,1.1828725941780504e-16
cylindrical_smooth,generated_block_jvp_pruned,1,0.02,4,ok,,1.24994452e-01,3.8154150010086596e-02,5.4643040057271719e-03,1.9077075005043298e-03,2.7321520028635862e-04,24,2.7755575615628914e-17,5.0515910130503314e-17,9.7808033421303751e-17
cylindrical_smooth,row_vjp_pruned,1,0.02,4,ok,,1.34772558e-01,4.0219779242761433e-02,5.3412010893225670e-03,2.0109889621380715e-03,2.6706005446612834e-04,24,0.0000000000000000e+00,7.2444179189602378e-17,1.1456028440726698e-16
cylindrical_smooth,dense_jacfwd_csr,2,0.02,4,ok,,1.06979562e-01,1.7508331686258316e-02,5.0722103333100677e-03,8.7541658431291582e-04,2.5361051666550338e-04,24,0.0000000000000000e+00,0.0000000000000000e+00,1.1828725941780504e-16
cylindrical_smooth,generated_block_jvp_pruned,2,0.02,4,ok,,1.37742504e-01,4.2129103443585336e-02,5.4046252043917775e-03,2.1064551721792666e-03,2.7023126021958889e-04,24,2.7755575615628914e-17,5.0515910130503314e-17,9.7808033421303751e-17
cylindrical_smooth,row_vjp_pruned,2,0.02,4,ok,,1.32078370e-01,3.8458142313174903e-02,5.3567499853670597e-03,1.9229071156587451e-03,2.6783749926835300e-04,24,0.0000000000000000e+00,7.2444179189602378e-17,1.1456028440726698e-16
cylindrical_smooth,dense_jacfwd_csr,3,0.02,4,ok,,1.02527294e-01,1.7318529193289578e-02,4.9957929877564311e-03,8.6592645966447894e-04,2.4978964938782156e-04,24,0.0000000000000000e+00,0.0000000000000000e+00,1.1828725941780504e-16
cylindrical_smooth,generated_block_jvp_pruned,3,0.02,4,ok,,1.26169445e-01,3.8927621091715991e-02,5.4516275413334370e-03,1.9463810545857995e-03,2.7258137706667187e-04,24,2.7755575615628914e-17,5.0515910130503314e-17,9.7808033421303751e-17
cylindrical_smooth,row_vjp_pruned,3,0.02,4,ok,,1.30919380e-01,3.8487824727781117e-02,5.5841821013018489e-03,1.9243912363890558e-03,2.7920910506509247e-04,24,0.0000000000000000e+00,7.2444179189602378e-17,1.1456028440726698e-16
cylindrical_smooth,dense_jacfwd_csr,4,0.02,4,ok,,1.02572465e-01,1.7482568742707372e-02,4.9719011876732111e-03,8.7412843713536854e-04,2.4859505938366053e-04,24,0.0000000000000000e+00,0.0000000000000000e+00,1.1828725941780504e-16
cylindrical_smooth,generated_block_jvp_pruned,4,0.02,4,ok,,1.30228314e-01,3.8460514042526484e-02,5.4977521067485213e-03,1.9230257021263242e-03,2.7488760533742604e-04,24,2.7755575615628914e-17,5.0515910130503314e-17,9.7808033421303751e-17
cylindrical_smooth,row_vjp_pruned,4,0.02,4,ok,,1.24918032e-01,3.7519095116294920e-02,5.0038943300023675e-03,1.8759547558147461e-03,2.5019471650011837e-04,24,0.0000000000000000e+00,7.2444179189602378e-17,1.1456028440726698e-16
cylindrical_smooth,dense_jacfwd_csr,5,0.02,4,ok,,1.08866644e-01,1.7766184057109058e-02,5.0744558684527874e-03,8.8830920285545292e-04,2.5372279342263939e-04,24,0.0000000000000000e+00,0.0000000000000000e+00,1.1828725941780504e-16
cylindrical_smooth,generated_block_jvp_pruned,5,0.02,4,ok,,1.26343331e-01,3.8356457138434052e-02,5.1473563071340322e-03,1.9178228569217027e-03,2.5736781535670163e-04,24,2.7755575615628914e-17,5.0515910130503314e-17,9.7808033421303751e-17
cylindrical_smooth,row_vjp_pruned,5,0.02,4,ok,,1.25642027e-01,3.7444320041686296e-02,5.1793659804388881e-03,1.8722160020843148e-03,2.5896829902194440e-04,24,0.0000000000000000e+00,7.2444179189602378e-17,1.1456028440726698e-16
cylindrical_sharp,dense_jacfwd_csr,1,0.02,4,ok,,1.09926248e-01,1.8296848749741912e-02,5.4912163177505136e-03,8.7127851189247195e-04,2.6148649132145304e-04,25,0.0000000000000000e+00,0.0000000000000000e+00,1.8690986808578665e-16
cylindrical_sharp,generated_block_jvp_pruned,1,0.02,4,ok,,1.33301834e-01,4.2612162767909467e-02,5.4384914692491293e-03,2.0291506079956889e-03,2.5897578424995853e-04,25,0.0000000000000000e+00,4.1633363423443370e-17,1.8521888806168426e-16
cylindrical_sharp,row_vjp_pruned,1,0.02,4,ok,,1.32436390e-01,4.1495219105854630e-02,5.5422320729121566e-03,1.9759628145645061e-03,2.6391581299581697e-04,25,0.0000000000000000e+00,3.3993498887762956e-17,1.7789302415700962e-16
cylindrical_sharp,dense_jacfwd_csr,2,0.02,4,ok,,1.08310797e-01,1.8141495878808200e-02,5.4759893100708723e-03,8.6388075613372381e-04,2.6076139571766060e-04,25,0.0000000000000000e+00,0.0000000000000000e+00,1.8690986808578665e-16
cylindrical_sharp,generated_block_jvp_pruned,2,0.02,4,ok,,1.31600026e-01,4.2291591060347855e-02,5.5441991426050663e-03,2.0138852885879929e-03,2.6400948298119361e-04,25,0.0000000000000000e+00,4.1633363423443370e-17,1.8521888806168426e-16
cylindrical_sharp,row_vjp_pruned,2,0.02,4,ok,,1.31418472e-01,3.9376539178192616e-02,5.9099909849464893e-03,1.8750732941996483e-03,2.8142814214030903e-04,25,0.0000000000000000e+00,3.3993498887762956e-17,1.7789302415700962e-16
cylindrical_sharp,dense_jacfwd_csr,3,0.02,4,ok,,1.07062644e-01,1.8146624090149999e-02,5.4360229987651110e-03,8.6412495667380948e-04,2.5885823803643387e-04,25,0.0000000000000000e+00,0.0000000000000000e+00,1.8690986808578665e-16
cylindrical_sharp,generated_block_jvp_pruned,3,0.02,4,ok,,1.30622141e-01,4.1044882265850902e-02,5.6313379900529981e-03,1.9545182031357571e-03,2.6815895190728564e-04,25,0.0000000000000000e+00,4.1633363423443370e-17,1.8521888806168426e-16
cylindrical_sharp,row_vjp_pruned,3,0.02,4,ok,,1.34719909e-01,4.2378665995784104e-02,5.5666929110884666e-03,2.0180317140849574e-03,2.6508061481373649e-04,25,0.0000000000000000e+00,3.3993498887762956e-17,1.7789302415700962e-16
cylindrical_sharp,dense_jacfwd_csr,4,0.02,4,ok,,1.12451476e-01,1.7966968123801053e-02,5.4738221224397421e-03,8.5556991065719303e-04,2.6065819630665440e-04,25,0.0000000000000000e+00,0.0000000000000000e+00,1.8690986808578665e-16
cylindrical_sharp,generated_block_jvp_pruned,4,0.02,4,ok,,1.32339401e-01,4.2252459097653627e-02,5.6486258981749415e-03,2.0120218617930299e-03,2.6898218562737818e-04,25,0.0000000000000000e+00,4.1633363423443370e-17,1.8521888806168426e-16
cylindrical_sharp,row_vjp_pruned,4,0.02,4,ok,,1.32168352e-01,4.0712561807595193e-02,5.5323350243270397e-03,1.9386934194092949e-03,2.6344452496795425e-04,25,0.0000000000000000e+00,3.3993498887762956e-17,1.7789302415700962e-16
cylindrical_sharp,dense_jacfwd_csr,5,0.02,4,ok,,1.09842786e-01,1.8576723989099264e-02,5.4150773212313652e-03,8.8460590424282212e-04,2.5786082482054119e-04,25,0.0000000000000000e+00,0.0000000000000000e+00,1.8690986808578665e-16
cylindrical_sharp,generated_block_jvp_pruned,5,0.02,4,ok,,1.30335601e-01,4.0499899885617197e-02,5.6265837047249079e-03,1.9285666612198665e-03,2.6793255736785274e-04,25,0.0000000000000000e+00,4.1633363423443370e-17,1.8521888806168426e-16
cylindrical_sharp,row_vjp_pruned,5,0.02,4,ok,,1.29228683e-01,3.9593400782905519e-02,5.4520240519195795e-03,1.8854000372812152e-03,2.5962019294855141e-04,25,0.0000000000000000e+00,3.3993498887762956e-17,1.7789302415700962e-16
