example,method,policy,source_suite,row_count,ok_count,t_end,reference_h,finest_h,pos_order,vel_order,acc_order,finest_pos_error,finest_vel_error,finest_acc_error,runtime_sec_sum,finest_runtime_ratio_vs_rA,accepted_dynamic_order,external_superiority_claim_allowed,source_file
single_pendulum,Gauss6/FullVA-public-horizon-single-coarse,ra2021_single_pendulum_coarse_same_window_work_precision_summary,ra2021_taves_kissel_negrut,3,3,3.0,0.0125,2.5000000000000001e-02,6.0536844057777284e+00,2.9512084019522611e+00,1.6776718859354993e+00,6.0049155547547005e-14,8.1802564919008774e-11,1.4951524176052299e-10,2.3209331150865182e+00,3.2825731371952624e+00,,,v048_cross_paper_same_test_benchmarks/results/single_pendulum_coarse_same_window_work_precision_summary.csv
single_pendulum,rA-public-dynamics-coarse,ra2021_single_pendulum_coarse_same_window_work_precision_summary,ra2021_taves_kissel_negrut,3,3,3.0,0.0125,2.5000000000000001e-02,1.2935249923518318e-05,1.2112827155787522e+00,2.0703764779305294e+00,1.2877732213922854e-09,1.6978660358093418e+01,3.0037796163210369e+03,2.4976220494136214e-01,1.0000000000000000e+00,,,v048_cross_paper_same_test_benchmarks/results/single_pendulum_coarse_same_window_work_precision_summary.csv
single_pendulum,reps-public-dynamics-coarse,ra2021_single_pendulum_coarse_same_window_work_precision_summary,ra2021_taves_kissel_negrut,3,3,3.0,0.0125,2.5000000000000001e-02,1.1318371986421942e-05,1.2112827155787473e+00,2.0703764779305960e+00,1.2877714450354460e-09,1.6978660358093588e+01,3.0037796163207445e+03,3.4379957499913871e-01,1.4032469695961844e+00,,,v048_cross_paper_same_test_benchmarks/results/single_pendulum_coarse_same_window_work_precision_summary.csv
single_pendulum,rp-public-dynamics-coarse,ra2021_single_pendulum_coarse_same_window_work_precision_summary,ra2021_taves_kissel_negrut,3,3,3.0,0.0125,2.5000000000000001e-02,2.8547475125053592e-05,1.0479039687095881e+00,2.0463396589486225e+00,1.6551238157802572e-09,1.5474440030363905e+01,2.9558202357044829e+03,5.3883876116015017e-01,2.2198034590482747e+00,,,v048_cross_paper_same_test_benchmarks/results/single_pendulum_coarse_same_window_work_precision_summary.csv
double_pendulum,Gauss6/FullVA-public-horizon-double-coarse,ra2021_double_pendulum_coarse_same_window_work_precision_summary,ra2021_taves_kissel_negrut,3,3,3.0,0.0125,2.5000000000000001e-02,7.9506178035038175e+00,7.0415706965875318e+00,nan,7.0071579649777505e-09,8.7218197997174229e-08,nan,8.5970481702126563e+01,2.6182351296510865e+02,,,v048_cross_paper_same_test_benchmarks/results/double_pendulum_coarse_same_window_work_precision_summary.csv
double_pendulum,rA-public-dynamics-coarse,ra2021_double_pendulum_coarse_same_window_work_precision_summary,ra2021_taves_kissel_negrut,3,3,3.0,0.0125,2.5000000000000001e-02,7.0341010223067568e-01,7.5368360366084941e-01,6.2878332081223864e-01,3.6213496365153608e-01,9.4415872773997211e-01,3.4529287046516437e+00,4.3920335499569774e-01,1.0000000000000000e+00,,,v048_cross_paper_same_test_benchmarks/results/double_pendulum_coarse_same_window_work_precision_summary.csv
double_pendulum,reps-public-dynamics-coarse,ra2021_double_pendulum_coarse_same_window_work_precision_summary,ra2021_taves_kissel_negrut,3,3,3.0,0.0125,2.5000000000000001e-02,7.0341010223068279e-01,7.5368360366086162e-01,6.2878332081147559e-01,3.6213496365152675e-01,9.4415872773993215e-01,3.4529287046578556e+00,5.9522495593409985e-01,1.5185181987474514e+00,,,v048_cross_paper_same_test_benchmarks/results/double_pendulum_coarse_same_window_work_precision_summary.csv
four_link,Gauss6/FullVA-local-true-dynamic-newton,closed_loop_true_dynamic_strict_common_reference_summary,local_true_dynamic_newton,3,3,1.0000000000000001e-01,1.2500000000000001e-02,2.5000000000000001e-02,5.9548979111188078e+00,6.0848187309877098e+00,9.9466887815859806e-01,2.2888357875672227e-12,1.0927703186780491e-11,8.8043932382672896e-01,2.4778123860014603e+00,6.8524516884745893e+01,true,false,v048_cross_paper_same_test_benchmarks/results/closed_loop_true_dynamic_strict_common_reference_summary.csv
four_link,rA-public-dynamics,closed_loop_true_dynamic_strict_common_reference_summary,ra2021_taves_kissel_negrut,3,3,1.0000000000000001e-01,1.2500000000000001e-02,2.5000000000000001e-02,1.2745492529773102e+01,3.2298044389314925e-02,-1.0437389978219225e-01,9.4118504101459166e-09,1.5621484128555303e+00,1.2959485681342217e+01,1.6871375299524516e-01,1.0000000000000000e+00,false,false,v048_cross_paper_same_test_benchmarks/results/closed_loop_true_dynamic_strict_common_reference_summary.csv
four_link,reps-public-dynamics,closed_loop_true_dynamic_strict_common_reference_summary,ra2021_taves_kissel_negrut,3,3,1.0000000000000001e-01,1.2500000000000001e-02,2.5000000000000001e-02,1.2293793673936442e+01,1.9481803853809745e-01,8.9114006069334040e-01,1.7604545821114925e-08,1.2470259919663840e+00,4.5533356777006277e+00,1.2135473801754415e-01,3.9781518971748335e+00,false,false,v048_cross_paper_same_test_benchmarks/results/closed_loop_true_dynamic_strict_common_reference_summary.csv
