method,h,steps,orientation_error_rad,omega_l2_error,max_energy_relative_error,max_body_momentum_norm_relative_error,max_spatial_momentum_vector_error,total_newton_iterations,runtime_sec
rkmk4,0.4,25,1.5709186269715660e-02,1.5047948711923161e-02,3.5062670750679011e-03,1.0444214852340366e-03,7.1691483027098643e-03,0,5.32818603e-03
rkmk4,0.2,50,7.5687422180365405e-04,9.3313920837018573e-04,1.2070205657129871e-04,3.8018570375570818e-05,4.1508218520152718e-04,0,1.65711259e-02
rkmk4,0.1,100,3.9475770146707438e-05,5.7615386812205886e-05,4.2605268824383260e-06,1.4679951850622745e-06,2.5160112497413016e-05,0,2.78374850e-02
rkmk4,0.05,200,2.2323708472933413e-06,3.5737485700499593e-06,1.6268471014768690e-07,6.2997853907886708e-08,1.5556740180712020e-06,0,4.93741210e-02
lie_midpoint,0.4,25,2.3466650848455095e-01,3.6765770741093989e-01,1.3431809749718338e-15,6.6359832129066793e-16,1.4310263484071262e-01,100,1.53199890e-02
lie_midpoint,0.2,50,6.2773202695730723e-02,9.5682961697559410e-02,1.5196413755587584e-12,9.5226359105210851e-13,3.7189577986204286e-02,190,2.81130230e-02
lie_midpoint,0.1,100,1.5947003501913016e-02,2.4149105477862483e-02,7.0517001186021272e-15,2.8755927255928946e-15,9.4123782868043068e-03,300,4.81839400e-02
lie_midpoint,0.05,200,4.0024990456216892e-03,6.0513758204288112e-03,2.0147714624577505e-15,1.3271966425813359e-15,2.3595085745052894e-03,600,1.45973995e-01
lie_midpoint_yoshida4,0.4,25,6.7094678917793471e-02,7.9812580932377808e-02,4.0933440212266632e-13,1.5616680494373720e-13,5.7580743635428588e-02,300,6.82072590e-02
lie_midpoint_yoshida4,0.2,50,5.3993739030991300e-03,6.1047013013684481e-03,1.0073857312288753e-15,6.6359832129066793e-16,5.1329956387724373e-03,600,1.34462912e-01
lie_midpoint_yoshida4,0.1,100,3.6226420111401531e-04,4.0376672619404301e-04,2.3707144208252867e-12,9.4474281007748089e-13,3.5610352277716669e-04,900,1.38704184e-01
lie_midpoint_yoshida4,0.05,200,2.3060911575686744e-05,2.5607600186417246e-05,4.7011334124014181e-15,2.2119944043022264e-15,2.2860965998219446e-05,1800,3.09193037e-01
