method,h,steps,orientation_error_rad,omega_l2_error,max_energy_relative_error,max_endpoint_constraint_norm,max_endpoint_velocity_constraint_norm,max_stage_constraint_norm,max_stage_force_residual_norm,max_stage_torque_residual_norm,max_lambda_norm,total_newton_iterations,runtime_sec
reduced_rkmk4,0.2,10,1.1524797737581126e-02,2.6376608077207767e-02,5.9593838404654832e-03,0.0000000000000000e+00,0.0000000000000000e+00,0.0000000000000000e+00,0.0000000000000000e+00,0.0000000000000000e+00,0.0000000000000000e+00,0,4.53888200e-03
reduced_rkmk4,0.1,20,6.4272900113497740e-04,1.7913899549382270e-03,2.0229390249839837e-04,0.0000000000000000e+00,0.0000000000000000e+00,0.0000000000000000e+00,0.0000000000000000e+00,0.0000000000000000e+00,0.0000000000000000e+00,0,8.35131295e-03
reduced_rkmk4,0.05,40,3.6822594790888479e-05,1.1700450040823649e-04,6.5048683339794483e-06,0.0000000000000000e+00,0.0000000000000000e+00,0.0000000000000000e+00,0.0000000000000000e+00,0.0000000000000000e+00,0.0000000000000000e+00,0,1.39871710e-02
absolute_gauss_lie4,0.2,10,3.8745671140447961e-02,7.3676698190036118e+00,6.0945684182473361e+00,4.0160149858653384e-02,1.0173392907237130e+01,2.0794465396201514e-15,4.0507168289818833e-14,1.3747662183736472e-12,4.8778883143455107e+02,54,1.14293568e+00
absolute_gauss_lie4,0.1,20,1.0033119181941641e-02,7.4409263929752054e+00,5.9663080708207223e+00,9.6761634486880917e-03,1.0026165608469348e+01,2.2377260456559048e-16,5.6843418860808015e-14,6.1768068162118310e-13,1.0208958896203634e+03,99,2.01769778e+00
absolute_gauss_lie4,0.05,40,2.5302619524857919e-03,7.4522115356293419e+00,5.9372034179536746e+00,2.3967609036728925e-03,9.9870641089853063e+00,2.2388016169968658e-16,1.2710574864626038e-13,4.0390551356758397e-12,2.0940258058188233e+03,191,3.80074394e+00
absolute_gauss_lie4_projected,0.2,10,1.0843768732785554e-01,3.3328497723941858e-01,5.1981590133027986e-02,0.0000000000000000e+00,0.0000000000000000e+00,2.8393899591636596e-14,9.5923269327613525e-14,9.1574478487474215e-12,5.8075161806849415e+01,43,1.02993565e+00
absolute_gauss_lie4_projected,0.1,20,5.8148793523369449e-02,1.6638014735465737e-01,2.9804166440040886e-02,0.0000000000000000e+00,0.0000000000000000e+00,2.3055512673781017e-16,7.3777640556099254e-15,3.3839115274482810e-15,5.6584969742448351e+01,80,1.76356176e+00
absolute_gauss_lie4_projected,0.05,40,3.0386294805575257e-02,8.4011536040423607e-02,1.6121681546810842e-02,0.0000000000000000e+00,0.0000000000000000e+00,2.3055512673781017e-16,7.1054273576010019e-15,6.0016418407717630e-15,5.7038357880861554e+01,160,3.40684791e+00
absolute_gauss_lie4_vc_projected,0.2,10,2.1723108087746756e-02,4.5470478160274677e-02,1.1018459724984520e-02,0.0000000000000000e+00,0.0000000000000000e+00,2.4658763189623647e-15,2.1316282072803006e-14,4.7333440654822281e-12,5.8140758847720761e+01,40,9.36893948e-01
absolute_gauss_lie4_vc_projected,0.1,20,4.9482951700603522e-03,1.1956985249244044e-02,2.1557212324323440e-03,0.0000000000000000e+00,0.0000000000000000e+00,2.5172027167143304e-16,7.1054273576010019e-15,4.9861264026464574e-15,5.7609496080417308e+01,80,1.71938635e+00
absolute_gauss_lie4_vc_projected,0.05,40,1.1745643487571604e-03,3.0644594100420826e-03,4.1735859183959924e-04,0.0000000000000000e+00,0.0000000000000000e+00,2.3263411494723067e-16,7.1054273576010019e-15,5.8025097436229965e-15,5.7411943101139890e+01,160,3.53040246e+00
absolute_gauss_lie4_acc_projected,0.2,10,1.5425082754796113e-03,4.8774881572985354e-03,3.4579760123652093e-05,0.0000000000000000e+00,0.0000000000000000e+00,7.2484045750001980e-16,1.3083685124343200e-14,6.8244873669989639e-13,5.6588796322462940e+01,40,8.33241074e-01
absolute_gauss_lie4_acc_projected,0.1,20,9.9682255825621970e-05,3.1318400568962514e-04,2.4321820692806219e-06,0.0000000000000000e+00,0.0000000000000000e+00,1.2719202621569003e-16,7.1054273576010019e-15,6.2063392620765848e-15,5.7211290820475512e+01,80,1.66411960e+00
absolute_gauss_lie4_acc_projected,0.05,40,6.2790298708130463e-06,1.9708004582376408e-05,1.4869748183468884e-07,0.0000000000000000e+00,0.0000000000000000e+00,2.4825341532472731e-16,7.1054273576010019e-15,5.6217375079606149e-15,5.7314689424812180e+01,160,3.02458652e+00
