case,method,h,steps,orientation_error_rad,omega_l2_error,max_energy_relative_change_from_initial,final_energy_change,final_energy_relative_change,max_step_energy_increase,max_friction_power,min_friction_power,max_endpoint_constraint_norm,max_endpoint_velocity_constraint_norm,max_stage_constraint_norm,max_stage_force_residual_norm,max_stage_torque_residual_norm,max_lambda_norm,total_newton_iterations,runtime_sec
smooth_eps_0p50,reduced_rkmk4,0.2,10,8.7473805925368259e-03,2.2713325392562319e-02,3.3629926991116381e-02,-7.2867436526827234e-01,-3.3629926991116381e-02,0.0000000000000000e+00,-5.9396891702970404e-02,-5.4221254370544558e-01,0.0000000000000000e+00,0.0000000000000000e+00,0.0000000000000000e+00,0.0000000000000000e+00,0.0000000000000000e+00,0.0000000000000000e+00,0,3.37821600e-03
smooth_eps_0p50,reduced_rkmk4,0.1,20,4.8098790258788810e-04,1.5819179289639526e-03,2.9025545751864258e-02,-6.2890921924665122e-01,-2.9025545751864258e-02,0.0000000000000000e+00,-5.9396891702970404e-02,-5.7836977167857473e-01,0.0000000000000000e+00,0.0000000000000000e+00,0.0000000000000000e+00,0.0000000000000000e+00,0.0000000000000000e+00,0.0000000000000000e+00,0,1.02910550e-02
smooth_eps_0p50,reduced_rkmk4,0.05,40,2.7457972994158546e-05,1.0220655427901036e-04,2.8875664174727669e-02,-6.2566166943441814e-01,-2.8875664174727669e-02,0.0000000000000000e+00,-5.2270848826869144e-02,-5.7841358914434138e-01,0.0000000000000000e+00,0.0000000000000000e+00,0.0000000000000000e+00,0.0000000000000000e+00,0.0000000000000000e+00,0.0000000000000000e+00,0,1.86468120e-02
smooth_eps_0p50,absolute_gauss_lie4_endpoint,0.2,10,1.1385294481359495e-03,4.2906250015032005e-03,2.8834521430388636e-02,-6.2477021156344037e-01,-2.8834521430388636e-02,0.0000000000000000e+00,-5.9396891702970404e-02,-5.4314779650264677e-01,2.2887833992611188e-15,9.5725471555842944e-14,4.1540741810552243e-16,8.1402896778041619e-15,3.8401771399108984e-13,5.6068379199991917e+01,40,1.19575138e+00
smooth_eps_0p50,absolute_gauss_lie4_endpoint,0.1,20,7.0954162948526470e-05,2.5926808998862045e-04,2.8869514036739728e-02,-6.2552841169954831e-01,-2.8869514036739728e-02,0.0000000000000000e+00,-5.9396891702970404e-02,-5.7841361472194608e-01,2.3055512673781017e-16,2.7194799110210365e-16,1.2719202621569003e-16,7.1054273576010019e-15,5.7058470144142132e-15,5.6938573169768219e+01,80,2.43999926e+00
smooth_eps_0p50,absolute_gauss_lie4_endpoint,0.05,40,4.5760434056765673e-06,1.6543702460526709e-05,2.8870948400200130e-02,-6.2555949068120498e-01,-2.8870948400200130e-02,0.0000000000000000e+00,-5.2271088031894210e-02,-5.7841493473397521e-01,1.2719202621569003e-16,4.0083750524433855e-16,1.5944364291470360e-16,7.1054273576010019e-15,5.5511324703334376e-15,5.7038870403003585e+01,160,4.79985236e+00
sharp_eps_0p05,reduced_rkmk4,0.2,10,7.3155607221699736e-03,2.0020611358557774e-02,3.4899208543290247e-02,-7.5617644487794067e-01,-3.4899208543290247e-02,0.0000000000000000e+00,-8.6529925815518521e-02,-5.4671332752230029e-01,0.0000000000000000e+00,0.0000000000000000e+00,0.0000000000000000e+00,0.0000000000000000e+00,0.0000000000000000e+00,0.0000000000000000e+00,0,3.93053802e-03
sharp_eps_0p05,reduced_rkmk4,0.1,20,4.8669480577535396e-04,3.6949714390949510e-03,3.0315343130079945e-02,-6.5685582424951861e-01,-3.0315343130079945e-02,0.0000000000000000e+00,-8.6529925815518521e-02,-5.8337481865815544e-01,0.0000000000000000e+00,0.0000000000000000e+00,0.0000000000000000e+00,0.0000000000000000e+00,0.0000000000000000e+00,0.0000000000000000e+00,0,8.70345702e-03
sharp_eps_0p05,reduced_rkmk4,0.05,40,1.5486763066621610e-04,3.6664786096642093e-04,3.0159203482113421e-02,-6.5347267807423037e-01,-3.0159203482113421e-02,0.0000000000000000e+00,-7.1603404693747721e-02,-5.8343867683245498e-01,0.0000000000000000e+00,0.0000000000000000e+00,0.0000000000000000e+00,0.0000000000000000e+00,0.0000000000000000e+00,0.0000000000000000e+00,0,2.19874630e-02
sharp_eps_0p05,absolute_gauss_lie4_endpoint,0.2,10,2.5761934413177819e-03,7.1433640340721480e-03,3.0114923261091341e-02,-6.5251323912107040e-01,-3.0114923261091341e-02,0.0000000000000000e+00,-8.6529925815518521e-02,-5.4785025190056358e-01,2.2887833992611188e-15,8.8738152054765564e-14,4.0626616427409522e-16,1.1374233532693354e-14,3.8751466756401258e-13,5.6082604968028839e+01,40,1.43741865e+00
sharp_eps_0p05,absolute_gauss_lie4_endpoint,0.1,20,1.2767477321814165e-04,1.9076221369479429e-03,3.0150034543357223e-02,-6.5327401066022972e-01,-3.0150034543357223e-02,0.0000000000000000e+00,-8.6529925815518521e-02,-5.8344924914321195e-01,1.2719202621569003e-16,5.1371251749364736e-16,2.2377260456559048e-16,7.1054273576010019e-15,6.3069469073705272e-15,5.6940485444025434e+01,80,2.94131728e+00
sharp_eps_0p05,absolute_gauss_lie4_endpoint,0.05,40,8.4802334800350345e-05,4.0833849221698408e-04,3.0157139383879490e-02,-6.5342795435327616e-01,-3.0157139383879490e-02,0.0000000000000000e+00,-7.1629908981033122e-02,-5.8343343520926816e-01,2.2247786310271853e-16,5.0876810486276012e-16,2.3055512673781017e-16,7.1054273576010019e-15,5.7209486516588035e-15,5.7039741248408994e+01,160,5.02304014e+00
