case,method,h,steps,orientation_error_rad,omega_l2_error,max_endpoint_constraint_norm,max_endpoint_velocity_constraint_norm,max_stage_constraint_norm,max_stage_force_residual_norm,max_stage_torque_residual_norm,max_quaternion_unit_error,final_energy_relative_change,max_step_energy_increase,total_newton_iterations,runtime_sec
smooth_eps_0p50,quaternion_gauss_lie4_endpoint_jax,0.2,10,1.1385294471778341e-03,4.2906250011315776e-03,2.2569225766329164e-15,9.5901293646309108e-14,4.8710837515742581e-16,7.1054273576010019e-15,3.8057739673268933e-13,1.1102230246251565e-16,-2.8834521430388636e-02,0.0000000000000000e+00,40,1.09770735e+00
smooth_eps_0p50,quaternion_gauss_lie4_endpoint_jax,0.1,20,7.0954162059899339e-05,2.5926808964040176e-04,2.6184557666721351e-16,1.0532500405730103e-15,2.5438405243138006e-16,7.1054273576010019e-15,6.1267093295750263e-15,1.1102230246251565e-16,-2.8869514036739402e-02,0.0000000000000000e+00,80,7.68432170e-02
smooth_eps_0p50,quaternion_gauss_lie4_endpoint_jax,0.05,40,4.5760424786660017e-06,1.6543702101358823e-05,2.0206364052201326e-16,8.6711190182627340e-16,3.1524274001217121e-16,7.1054273576010019e-15,9.0124666246580991e-15,1.1102230246251565e-16,-2.8870948400199967e-02,0.0000000000000000e+00,160,1.38962621e-01
smooth_eps_0p50,quaternion_gauss_lie4_endpoint_jax,0.025,80,2.8684026512951838e-07,1.0357037714609294e-06,2.7894008272968645e-16,2.0189677380521921e-15,3.4331750988916778e-16,7.1054273576010019e-15,4.4577023115609986e-13,2.2204460492503131e-16,-2.8871024754881465e-02,0.0000000000000000e+00,240,2.71452586e-01
smooth_eps_0p50,quaternion_gauss_lie6_endpoint_jax,0.2,10,6.0699791490268806e-06,2.6755455842350090e-05,9.1045057420173363e-16,6.4047288285561979e-14,3.4219371797089426e-16,7.1054273576010019e-15,3.7335380531144722e-13,1.1102230246251565e-16,-2.8872347876434626e-02,0.0000000000000000e+00,40,1.18688998e+00
smooth_eps_0p50,quaternion_gauss_lie6_endpoint_jax,0.1,20,3.2760141385751518e-07,9.3097751096558009e-07,2.2377260456559048e-16,7.5298989078712221e-16,2.3055512673781017e-16,7.1054273576010019e-15,8.0218055258688965e-15,1.1102230246251565e-16,-2.8871053425976984e-02,0.0000000000000000e+00,80,1.00767550e-01
smooth_eps_0p50,quaternion_gauss_lie6_endpoint_jax,0.05,40,2.2938285849093877e-09,4.4267635885289145e-09,1.7554167342883506e-16,5.9932122824760636e-16,3.6082248300317588e-16,7.1054273576010019e-15,7.8504254942906272e-15,1.1102230246251565e-16,-2.8871029862559891e-02,0.0000000000000000e+00,160,2.11380017e-01
smooth_eps_0p50,quaternion_gauss_lie6_endpoint_jax,0.025,80,3.0663895801533212e-11,9.0006873053788123e-11,2.8441001681421824e-16,2.1619526780282180e-15,2.6184557666721351e-16,7.1054273576010019e-15,8.5343014605721525e-13,2.2204460492503131e-16,-2.8871030060723585e-02,0.0000000000000000e+00,240,3.11828598e-01
sharp_eps_0p05,quaternion_gauss_lie4_endpoint_jax,0.2,10,2.5761934398730629e-03,7.1433640335881107e-03,2.2073972817097756e-15,8.8543022575500479e-14,4.4754520913118096e-16,7.1054273576010019e-15,3.8875235750204265e-13,1.1102230246251565e-16,-3.0114923261091341e-02,0.0000000000000000e+00,40,4.02296390e-02
sharp_eps_0p05,quaternion_gauss_lie4_endpoint_jax,0.1,20,1.2767477333253260e-04,1.9076221373950687e-03,2.5476231888929306e-16,5.5788016545937291e-16,2.4980018054066022e-16,7.1054273576010019e-15,6.0276266651872467e-15,1.1102230246251565e-16,-3.0150034543357716e-02,0.0000000000000000e+00,80,8.02796990e-02
sharp_eps_0p05,quaternion_gauss_lie4_endpoint_jax,0.05,40,8.4802336285860058e-05,4.0833849190053707e-04,3.1524274001217121e-16,9.9340148152900379e-16,2.5438405243138006e-16,7.1054273576010019e-15,8.1466397046008224e-15,1.1102230246251565e-16,-3.0157139383880309e-02,0.0000000000000000e+00,160,1.56071776e-01
sharp_eps_0p05,quaternion_gauss_lie4_endpoint_jax,0.025,80,5.8051340715049334e-06,2.3526366009458745e-05,2.4980018054066022e-16,5.5192434938480504e-15,2.9893669801409083e-16,7.1054273576010019e-15,7.6147689244244942e-13,2.2204460492503131e-16,-3.0156706876401349e-02,0.0000000000000000e+00,240,2.59820029e-01
sharp_eps_0p05,quaternion_gauss_lie6_endpoint_jax,0.2,10,3.2473925823696881e-04,2.2074965033720469e-03,1.1379786002407855e-15,5.9977538343891241e-14,2.7894008272968645e-16,7.1054273576010019e-15,1.2786886635875140e-12,0.0000000000000000e+00,-3.0164681519651182e-02,0.0000000000000000e+00,40,6.11785760e-02
sharp_eps_0p05,quaternion_gauss_lie6_endpoint_jax,0.1,20,3.3293592662421748e-04,7.0439708745834845e-04,3.0404709722440588e-16,4.7428748402675471e-16,3.2487068343022356e-16,7.1054273576010019e-15,7.4362931707412494e-15,1.1102230246251565e-16,-3.0160666806293521e-02,0.0000000000000000e+00,80,1.04185538e-01
sharp_eps_0p05,quaternion_gauss_lie6_endpoint_jax,0.05,40,9.4899753021551520e-06,1.7639540855576351e-05,2.8977671675840951e-16,8.0251540384162828e-16,2.8977671675840951e-16,7.1054273576010019e-15,1.0039972846890030e-14,2.2204460492503131e-16,-3.0156859685346538e-02,0.0000000000000000e+00,160,1.79316346e-01
sharp_eps_0p05,quaternion_gauss_lie6_endpoint_jax,0.025,80,2.1278712493138678e-06,8.3968814255366800e-06,2.3055512673781017e-16,4.9764593808134904e-15,3.2957919968262575e-16,7.1054273576010019e-15,1.3051303213746476e-12,1.1102230246251565e-16,-3.0156231078065466e-02,0.0000000000000000e+00,240,2.84743659e-01
