eps,method,h,steps,orientation_error_rad,omega_l2_error,max_endpoint_constraint_norm,max_endpoint_velocity_constraint_norm,max_quaternion_unit_error,final_energy_relative_change,max_step_energy_increase,total_newton_iterations,runtime_sec
1,quaternion_gauss_lie4_endpoint_jax,0.1,10,4.0216495773831760e-05,1.3649763792351435e-04,1.9229626863835638e-16,4.0029660424867210e-16,0.0000000000000000e+00,-1.3871579301523041e-02,0.0000000000000000e+00,40,1.58365233e+00
1,quaternion_gauss_lie4_endpoint_jax,0.05,20,2.5349713080883286e-06,8.5797190383780859e-06,2.0206364052201326e-16,6.0809419444881176e-16,1.1102230246251565e-16,-1.3872340593449191e-02,0.0000000000000000e+00,80,7.78410320e-02
1,quaternion_gauss_lie4_endpoint_jax,0.025,40,1.5877538684303793e-07,5.3699324916744526e-07,3.1031676915590914e-16,2.1525618761904003e-15,2.2204460492503131e-16,-1.3872389736287022e-02,0.0000000000000000e+00,120,1.43492732e-01
1,quaternion_gauss_lie6_endpoint_jax,0.1,10,5.6505899184318791e-08,1.4181066597053538e-07,2.1677797545656835e-16,4.6111025347562034e-16,1.1102230246251565e-16,-1.3872392738083919e-02,0.0000000000000000e+00,40,1.24521566e+00
1,quaternion_gauss_lie6_endpoint_jax,0.05,20,8.8223592494690647e-10,2.2678637840597523e-09,2.1677797545656835e-16,4.9728201743007063e-16,1.1102230246251565e-16,-1.3872393058799575e-02,0.0000000000000000e+00,80,1.03993546e-01
1,quaternion_gauss_lie6_endpoint_jax,0.025,40,1.3534708834329957e-11,3.5321365042379061e-11,2.2420252351056811e-16,2.2771838694454676e-15,1.1102230246251565e-16,-1.3872393065397549e-02,0.0000000000000000e+00,120,1.86330209e-01
0.5,quaternion_gauss_lie4_endpoint_jax,0.1,10,3.8167752910830438e-05,1.3752309409810964e-04,2.6184557666721351e-16,4.5775667985222375e-16,1.1102230246251565e-16,-1.5294743043161205e-02,0.0000000000000000e+00,40,4.27351870e-02
0.5,quaternion_gauss_lie4_endpoint_jax,0.05,20,2.4272059067086501e-06,8.5704062357634740e-06,1.8619006149354548e-16,5.6610488670036757e-16,1.1102230246251565e-16,-1.5295256353295310e-02,0.0000000000000000e+00,80,7.78879380e-02
0.5,quaternion_gauss_lie4_endpoint_jax,0.025,40,1.5212145927094910e-07,5.3465225618348117e-07,2.7894008272968645e-16,2.0189677380521921e-15,1.1102230246251565e-16,-1.5295274733325013e-02,0.0000000000000000e+00,120,1.32952947e-01
0.5,quaternion_gauss_lie6_endpoint_jax,0.1,10,1.1346171083577091e-07,3.6296699922588473e-07,1.2719202621569003e-16,5.4389598220420729e-16,0.0000000000000000e+00,-1.5295298822731989e-02,0.0000000000000000e+00,40,5.22270280e-02
0.5,quaternion_gauss_lie6_endpoint_jax,0.05,20,1.1389591474646502e-09,1.6639465510070272e-09,1.5944364291470360e-16,5.9932122824760636e-16,1.1102230246251565e-16,-1.5295275883317812e-02,0.0000000000000000e+00,80,1.08389361e-01
0.5,quaternion_gauss_lie6_endpoint_jax,0.025,40,1.5787429809612915e-11,2.0655087112129968e-11,2.7894008272968645e-16,2.1619526780282180e-15,2.2204460492503131e-16,-1.5295276291062617e-02,0.0000000000000000e+00,120,1.90264896e-01
0.2,quaternion_gauss_lie4_endpoint_jax,0.1,10,3.3114769260706060e-05,1.1439381125224125e-04,1.5700924586837752e-16,4.9960036108132044e-16,1.1102230246251565e-16,-1.5781722178627545e-02,0.0000000000000000e+00,40,4.36894240e-02
