eps,run_type,label,method,tolerance,h,accepted_steps,rejected_steps,orientation_error_rad,omega_l2_error,runtime_sec,total_newton_iterations,min_h,max_h,mean_h,max_embedded_error_norm,max_endpoint_constraint_norm,max_endpoint_velocity_constraint_norm,max_quaternion_unit_error,final_energy_relative_change,max_step_energy_increase
0.05,fixed,gauss4_fixed_h0025,quaternion_gauss_lie4_endpoint_jax,,0.025,40,0,2.2349439759432249e-06,3.2155184266049040e-05,2.45278573e-01,120,2.5000000000000001e-02,2.5000000000000001e-02,2.5000000000000001e-02,,2.0955000055363631e-16,5.5192434938480504e-15,1.1102230246251565e-16,-1.5855392406380769e-02,0.0000000000000000e+00
0.05,fixed,gauss6_fixed_h0025,quaternion_gauss_lie6_endpoint_jax,,0.025,40,0,7.5658651801587180e-07,4.6536808348640259e-06,1.92623543e-01,120,2.5000000000000001e-02,2.5000000000000001e-02,2.5000000000000001e-02,,2.2887833992611187e-16,4.9764593808134904e-15,1.1102230246251565e-16,-1.5855160558322368e-02,0.0000000000000000e+00
0.05,fixed,gauss6_fixed_h00125,quaternion_gauss_lie6_endpoint_jax,,0.0125,80,0,3.1892423861405274e-08,1.3458525697421565e-07,5.52259509e-01,240,1.2500000000000001e-02,1.2500000000000001e-02,1.2500000000000001e-02,,2.8977671675840951e-16,5.4672143489065705e-16,1.1102230246251565e-16,-1.5855232041666549e-02,0.0000000000000000e+00
0.05,adaptive,adaptive_gauss64_tol1e-04,adaptive_gauss64_endpoint_jax,1.0e-04,,14,4,1.8690266210719270e-06,2.4385829157860215e-05,2.96119377e-01,138,1.7091331466033921e-02,1.0000000000000001e-01,7.1428571428571425e-02,3.6314284112495104e-01,1.8619006149354548e-16,6.9419482965409114e-15,0.0000000000000000e+00,-1.5855369737155602e-02,0.0000000000000000e+00
0.05,adaptive,adaptive_gauss64_tol1e-05,adaptive_gauss64_endpoint_jax,1.0e-05,,21,7,1.3357194657075993e-07,5.4359315404661775e-07,3.11676149e-01,200,4.0816430402557113e-03,8.7699035822705718e-02,4.7619047619047616e-02,9.8657962459297188e-01,2.5438405243138006e-16,1.3216492839634131e-14,0.0000000000000000e+00,-1.5855218013704247e-02,0.0000000000000000e+00
0.05,adaptive,adaptive_gauss64_tol1e-06,adaptive_gauss64_endpoint_jax,1.0e-06,,32,8,8.7134208225429036e-09,7.4345577121049462e-08,4.72448470e-01,276,5.3912924134638107e-03,5.5182621671328487e-02,3.1250000000000000e-02,5.3043798115282037e-01,2.4980018054066022e-16,7.1534578088060922e-16,1.1102230246251565e-16,-1.5855228267722371e-02,0.0000000000000000e+00
0.025,fixed,gauss4_fixed_h0025,quaternion_gauss_lie4_endpoint_jax,,0.025,40,0,2.6575767635156048e-05,1.1361087398639976e-04,1.78138222e-01,120,2.5000000000000001e-02,2.5000000000000001e-02,2.5000000000000001e-02,,2.5438405243138006e-16,1.4741790738600931e-14,1.1102230246251565e-16,-1.5859785676969627e-02,0.0000000000000000e+00
0.025,fixed,gauss6_fixed_h0025,quaternion_gauss_lie6_endpoint_jax,,0.025,40,0,6.2862396713908799e-06,3.1639077583597736e-05,2.13765562e-01,121,2.5000000000000001e-02,2.5000000000000001e-02,2.5000000000000001e-02,,3.8157607864707012e-16,4.1068170524120429e-15,1.1102230246251565e-16,-1.5859306278405996e-02,0.0000000000000000e+00
0.025,fixed,gauss6_fixed_h00125,quaternion_gauss_lie6_endpoint_jax,,0.0125,80,0,1.7621981712768174e-07,1.1202747415254633e-06,6.59185203e-01,240,1.2500000000000001e-02,1.2500000000000001e-02,1.2500000000000001e-02,,3.0404709722440588e-16,6.7759995479775304e-16,1.1102230246251565e-16,-1.5859581213493269e-02,0.0000000000000000e+00
0.025,adaptive,adaptive_gauss64_tol1e-04,adaptive_gauss64_endpoint_jax,1.0e-04,,16,7,4.3039499461416266e-06,3.9177522437885272e-05,2.36462206e-01,169,1.2594581156658680e-02,1.0000000000000001e-01,6.2500000000000014e-02,4.9717566821845888e-01,2.4980018054066022e-16,3.0658920672552759e-14,0.0000000000000000e+00,-1.5859723625740285e-02,0.0000000000000000e+00
0.025,adaptive,adaptive_gauss64_tol1e-05,adaptive_gauss64_endpoint_jax,1.0e-05,,23,7,2.2156308724422044e-07,2.1495029294681067e-06,3.67958868e-01,206,9.0370688913794916e-03,8.7159157493438028e-02,4.3478260869565216e-02,8.7910914111947658e-01,2.6184557666721351e-16,1.6527089196981405e-14,1.1102230246251565e-16,-1.5859581587577092e-02,0.0000000000000000e+00
0.025,adaptive,adaptive_gauss64_tol1e-06,adaptive_gauss64_endpoint_jax,1.0e-06,,36,10,3.5382224843787101e-08,3.4885508516581181e-07,5.46777168e-01,312,6.1720358402572728e-04,5.6186505402418561e-02,2.7777777777777776e-02,5.4076944659005977e-01,2.9893669801409083e-16,1.4016428281379431e-14,1.1102230246251565e-16,-1.5859576711363930e-02,0.0000000000000000e+00
