case,method,h,steps,orientation_error_rad,omega_l2_error,runtime_sec,total_newton_iterations,max_endpoint_constraint_norm,max_endpoint_velocity_constraint_norm,max_quaternion_unit_error,final_energy_relative_change,max_step_energy_increase
frictionless,reduced_lie_bdf2_fd,0.1,10,3.9319320887145737e-02,2.3380599060324081e-01,4.87221150e-02,27,0.0000000000000000e+00,0.0000000000000000e+00,0.0000000000000000e+00,-1.4648838696330498e-02,0.0000000000000000e+00
frictionless,reduced_lie_bdf2_fd,0.05,20,1.1262157934631558e-02,6.9138100701401750e-02,1.31687944e-01,57,0.0000000000000000e+00,0.0000000000000000e+00,0.0000000000000000e+00,-2.5883882582231461e-03,1.1499893199626854e-03
frictionless,reduced_lie_bdf2_fd,0.025,40,2.9725605078736463e-03,1.8395871418625202e-02,1.82479908e-01,117,0.0000000000000000e+00,0.0000000000000000e+00,0.0000000000000000e+00,-3.6279950225242636e-04,4.1458833855045896e-04
frictionless,reduced_lie_trapezoidal_fd,0.1,10,1.2006860606794730e-02,7.5693753321732005e-02,3.52602140e-02,30,0.0000000000000000e+00,0.0000000000000000e+00,0.0000000000000000e+00,3.2944400694685109e-05,9.8109937060577579e-03
frictionless,reduced_lie_trapezoidal_fd,0.05,20,3.0690566093241663e-03,1.9149910115924484e-02,1.05095082e-01,60,0.0000000000000000e+00,0.0000000000000000e+00,0.0000000000000000e+00,7.8197058401428537e-06,1.3295887479323198e-03
frictionless,reduced_lie_trapezoidal_fd,0.025,40,7.7145331797164702e-04,4.8013660757853576e-03,1.83410291e-01,120,0.0000000000000000e+00,0.0000000000000000e+00,0.0000000000000000e+00,2.1739656075373752e-06,1.7027942147862518e-04
frictionless,quaternion_gauss_lie6_endpoint_jax,0.1,10,6.5631713706295663e-08,1.6456255891619073e-07,5.39086700e-02,40,1.5700924586837752e-16,5.0876810486276012e-16,1.1102230246251565e-16,-1.6001189295847965e-09,1.3529639630860402e-07
frictionless,quaternion_gauss_lie6_endpoint_jax,0.05,20,1.0303789703139019e-09,2.5854338016747750e-09,1.18092856e-01,80,2.1677797545656835e-16,6.0044490637300822e-16,1.1102230246251565e-16,-2.4430376804957165e-11,1.2164171891981823e-09
frictionless,quaternion_gauss_lie6_endpoint_jax,0.025,40,1.5935572072988002e-11,4.0265780252083060e-11,2.45231841e-01,120,2.4980018054066022e-16,2.8465707535595205e-15,1.1102230246251565e-16,-3.7220182518609611e-13,9.7486463346285746e-12
smooth_friction,reduced_lie_bdf2_fd,0.1,10,3.4185737650373624e-02,2.2682016437462180e-01,5.61007780e-02,27,0.0000000000000000e+00,0.0000000000000000e+00,0.0000000000000000e+00,-2.8478950051040286e-02,0.0000000000000000e+00
smooth_friction,reduced_lie_bdf2_fd,0.05,20,9.6133138113074588e-03,6.6757344565097701e-02,7.92898110e-02,57,0.0000000000000000e+00,0.0000000000000000e+00,0.0000000000000000e+00,-1.7480996270849761e-02,0.0000000000000000e+00
smooth_friction,reduced_lie_bdf2_fd,0.025,40,2.5261780756074448e-03,1.7740139957199339e-02,1.55163097e-01,117,0.0000000000000000e+00,0.0000000000000000e+00,0.0000000000000000e+00,-1.5566077734486330e-02,0.0000000000000000e+00
smooth_friction,reduced_lie_trapezoidal_fd,0.1,10,1.0210059542179109e-02,7.3045652512810214e-02,4.48685450e-02,30,3.3766115072321297e-16,8.8861199474166826e-17,2.2204460492503131e-16,-1.4991578677698687e-02,0.0000000000000000e+00
smooth_friction,reduced_lie_trapezoidal_fd,0.05,20,2.6097497333005515e-03,1.8460787281838191e-02,8.43113450e-02,60,0.0000000000000000e+00,0.0000000000000000e+00,0.0000000000000000e+00,-1.5215550059224309e-02,0.0000000000000000e+00
smooth_friction,reduced_lie_trapezoidal_fd,0.025,40,6.5601062900721540e-04,4.6274369446934367e-03,1.44416833e-01,120,0.0000000000000000e+00,0.0000000000000000e+00,0.0000000000000000e+00,-1.5274893800588983e-02,0.0000000000000000e+00
smooth_friction,quaternion_gauss_lie6_endpoint_jax,0.1,10,1.1346171083577091e-07,3.6296699922588473e-07,4.88974140e-02,40,1.2719202621569003e-16,5.4389598220420729e-16,0.0000000000000000e+00,-1.5295298822731989e-02,0.0000000000000000e+00
smooth_friction,quaternion_gauss_lie6_endpoint_jax,0.05,20,1.1389591474646502e-09,1.6639465510070272e-09,9.33232880e-02,80,1.5944364291470360e-16,5.9932122824760636e-16,1.1102230246251565e-16,-1.5295275883317812e-02,0.0000000000000000e+00
smooth_friction,quaternion_gauss_lie6_endpoint_jax,0.025,40,1.5787429809612915e-11,2.0655087112129968e-11,1.74298547e-01,120,2.7894008272968645e-16,2.1619526780282180e-15,2.2204460492503131e-16,-1.5295276291062617e-02,0.0000000000000000e+00
sharp_friction,reduced_lie_bdf2_fd,0.1,10,3.3661928509654153e-02,2.2674408939555771e-01,5.04059980e-02,28,0.0000000000000000e+00,0.0000000000000000e+00,0.0000000000000000e+00,-2.9121001261821419e-02,0.0000000000000000e+00
sharp_friction,reduced_lie_bdf2_fd,0.05,20,9.4420858998466393e-03,6.6730563563471734e-02,7.73735030e-02,57,0.0000000000000000e+00,0.0000000000000000e+00,0.0000000000000000e+00,-1.7980773281182503e-02,0.0000000000000000e+00
sharp_friction,reduced_lie_bdf2_fd,0.025,40,2.4212696672434569e-03,1.7526134181303981e-02,1.90034724e-01,117,0.0000000000000000e+00,0.0000000000000000e+00,0.0000000000000000e+00,-1.6107437270468462e-02,0.0000000000000000e+00
sharp_friction,reduced_lie_trapezoidal_fd,0.1,10,9.8336273173109511e-03,7.2334103887164727e-02,5.54961660e-02,31,0.0000000000000000e+00,0.0000000000000000e+00,0.0000000000000000e+00,-1.5463682518958586e-02,0.0000000000000000e+00
sharp_friction,reduced_lie_trapezoidal_fd,0.05,20,2.5133904856739831e-03,1.9325814375291600e-02,8.44693200e-02,60,0.0000000000000000e+00,0.0000000000000000e+00,0.0000000000000000e+00,-1.5750314678290946e-02,0.0000000000000000e+00
sharp_friction,reduced_lie_trapezoidal_fd,0.025,40,6.4809373131050041e-04,4.7728274571174891e-03,1.75651155e-01,120,0.0000000000000000e+00,0.0000000000000000e+00,0.0000000000000000e+00,-1.5827790700701758e-02,0.0000000000000000e+00
sharp_friction,quaternion_gauss_lie6_endpoint_jax,0.1,10,1.6358161593783569e-04,5.1701560872453455e-04,4.97238080e-02,40,3.0404709722440588e-16,2.7755575615628914e-16,1.1102230246251565e-16,-1.5855107235976787e-02,0.0000000000000000e+00
sharp_friction,quaternion_gauss_lie6_endpoint_jax,0.05,20,8.6655674264777400e-06,9.6702103311631951e-05,1.11725402e-01,80,2.2204460492503131e-16,3.3306690738754696e-16,2.2204460492503131e-16,-1.5855045390951519e-02,0.0000000000000000e+00
sharp_friction,quaternion_gauss_lie6_endpoint_jax,0.025,40,7.5658651801587180e-07,4.6536808348640259e-06,1.86945071e-01,120,2.2887833992611187e-16,4.9764593808134904e-15,1.1102230246251565e-16,-1.5855160558322368e-02,0.0000000000000000e+00
