case,run_type,label,method,tolerance,h,accepted_steps,rejected_steps,orientation_error_rad,omega_l2_error,runtime_sec,total_newton_iterations,min_h,max_h,mean_h,max_embedded_error_norm,max_lambda_norm,max_stage_friction_power,max_endpoint_constraint_norm,max_endpoint_velocity_constraint_norm,final_energy_relative_change,max_step_energy_increase
brown_mcphee_smooth,fixed,gauss4_fixed_h005,lambda_gauss4_endpoint_jax,,0.05,20,0,2.6424213633219174e-06,2.7521546483026545e-05,1.79883639e-01,80,5.0000000000000003e-02,5.0000000000000003e-02,5.0000000000000003e-02,,5.7125179862388663e+01,-3.7052337331706577e-02,2.0206364052201326e-16,4.1910000110727263e-16,-1.1425388853955528e-02,0.0000000000000000e+00
brown_mcphee_smooth,fixed,gauss4_fixed_h0025,lambda_gauss4_endpoint_jax,,0.025,40,0,2.1086150873351186e-07,8.8731302275047371e-07,2.92960501e-01,120,2.5000000000000001e-02,2.5000000000000001e-02,2.5000000000000001e-02,,5.7147010594871496e+01,-3.5522477280302667e-02,2.4980018054066022e-16,2.1276056357529605e-15,-1.1425174293749108e-02,0.0000000000000000e+00
brown_mcphee_smooth,fixed,gauss4_fixed_h00125,lambda_gauss4_endpoint_jax,,0.0125,80,0,1.0542211397066390e-08,3.7012754192243163e-08,5.84326968e-01,240,1.2500000000000001e-02,1.2500000000000001e-02,1.2500000000000001e-02,,5.7151001948208979e+01,-3.5574364562670012e-02,3.1888728582940721e-16,6.3048548002434241e-16,-1.1425157168568673e-02,0.0000000000000000e+00
brown_mcphee_smooth,fixed,gauss6_fixed_h005,lambda_gauss6_endpoint_jax,,0.05,20,0,3.9246160155765663e-07,1.7600821922673887e-06,2.26633407e-01,80,5.0000000000000003e-02,5.0000000000000003e-02,5.0000000000000003e-02,,5.7146172472452733e+01,-3.5876264462617692e-02,1.5944364291470360e-16,3.1432500083045447e-16,-1.1425163577537480e-02,0.0000000000000000e+00
brown_mcphee_smooth,fixed,gauss6_fixed_h0025,lambda_gauss6_endpoint_jax,,0.025,40,0,5.1613775015330224e-09,2.9840589799902916e-08,4.41042769e-01,120,2.5000000000000001e-02,2.5000000000000001e-02,2.5000000000000001e-02,,5.7150879879841057e+01,-3.5563322957423121e-02,3.1031676915590914e-16,2.2005868140774567e-15,-1.1425155769570886e-02,0.0000000000000000e+00
brown_mcphee_smooth,fixed,gauss6_fixed_h00125,lambda_gauss6_endpoint_jax,,0.0125,80,0,1.0877502933210865e-11,1.6927316242883577e-10,9.28925258e-01,240,1.2500000000000001e-02,1.2500000000000001e-02,1.2500000000000001e-02,,5.7151302630224372e+01,-3.5563734342497856e-02,2.2377260456559048e-16,5.0876810486276012e-16,-1.1425156656038726e-02,0.0000000000000000e+00
brown_mcphee_smooth,adaptive,adaptive_bm_lambda_gauss64_tol1e-04,adaptive_brown_mcphee_lambda_gauss64_endpoint_jax,1.0e-04,,11,0,5.9348369825029640e-06,9.9158952746760261e-06,2.31895738e-01,86,1.4379627143019880e-02,1.0000000000000001e-01,9.0909090909090912e-02,9.6429309027422561e-01,5.7144240305641254e+01,-4.1367502123638433e-02,1.7772239894833365e-16,3.3306690738754696e-16,-1.1425326491988163e-02,0.0000000000000000e+00
brown_mcphee_smooth,adaptive,adaptive_bm_lambda_gauss64_tol1e-05,adaptive_brown_mcphee_lambda_gauss64_endpoint_jax,1.0e-05,,15,3,7.0162265495464959e-08,5.0563654338965588e-07,3.65750648e-01,142,2.9025714795093971e-02,8.4066602967460408e-02,6.6666666666666666e-02,6.0765465688268649e-01,5.7119765832257187e+01,-3.6251977501853098e-02,2.0770370905276122e-16,9.4889367793249320e-15,-1.1425133338963818e-02,0.0000000000000000e+00
brown_mcphee_smooth,adaptive,adaptive_bm_lambda_gauss64_tol1e-06,adaptive_brown_mcphee_lambda_gauss64_endpoint_jax,1.0e-06,,24,4,2.6110587304743995e-09,2.0115915372099958e-08,5.19122923e-01,211,2.2093220680022306e-02,5.3112377516962676e-02,4.1666666666666664e-02,5.8809966170741357e-01,5.7135142759504184e+01,-3.5749440119319222e-02,2.2887833992611187e-16,4.8333816705972830e-15,-1.1425155800289013e-02,0.0000000000000000e+00
brown_mcphee_smooth,adaptive,adaptive_bm_lambda_gauss64_tol3e-07,adaptive_brown_mcphee_lambda_gauss64_endpoint_jax,3.0e-07,,30,6,1.9615134317035462e-09,8.3763294377001601e-09,6.40635926e-01,248,1.6987528138194069e-02,4.1640040757882829e-02,3.3333333333333340e-02,6.2099129161749134e-01,5.7149134980368395e+01,-3.5678931311575006e-02,5.5646987355862973e-15,1.7737841161527479e-13,-1.1425156275793734e-02,0.0000000000000000e+00
