case,method,h,status,error_message,steps,orientation_error_rad,omega_l2_error,runtime_sec,total_newton_iterations,max_endpoint_constraint_norm,max_endpoint_velocity_constraint_norm,max_stage_constraint_norm,max_stage_velocity_constraint_norm,max_lambda_norm,max_stage_friction_power,final_energy_relative_change,max_step_energy_increase,max_quaternion_unit_error
absolute_revolute_smooth,abs_revolute_gauss4,0.05,ok,,20,2.3550153730701531e-01,2.2351907621660714e+00,6.87623920e-02,98,8.5659523027106831e-04,3.1314778734042474e+00,2.4825341532472731e-16,5.9169382794498529e-02,6.2911417146456279e+02,-4.2740767250496393e-02,2.7585483121734378e-01,1.0148754459467799e+00,1.1102230246251565e-16
absolute_revolute_smooth,abs_revolute_gauss4,0.025,ok,,40,4.0966998408386518e-01,1.7926149441809891e+00,1.42099026e-01,199,1.8195094711207134e-04,2.4792032618068767e+00,2.7755575615628914e-16,2.5208605448843589e-02,1.0410149953521600e+03,-4.4957168740625145e-03,-1.0461143233474247e-01,2.8999158542985271e-01,1.1102230246251565e-16
absolute_revolute_smooth,abs_revolute_gauss4,0.0125,ok,,80,6.3061462139855240e-01,1.2079272732924724e+00,2.97675647e-01,405,3.6471331730788709e-05,1.7429477216795202e+00,3.5108334685767012e-16,1.0106229819741144e-02,1.5275551688655651e+03,-4.4528074703923835e-04,-4.4345428351394522e-01,6.7158017201450093e-02,1.1102230246251565e-16
absolute_revolute_smooth,abs_revolute_gauss6,0.05,ok,,20,4.4473913704728373e-06,4.1553391808243509e-02,8.08468340e-02,80,8.0206029414678691e-06,4.3996622017237606e-02,3.5108334685767012e-16,9.3838638627645856e-04,6.9642629037599491e+01,-6.7747198491320928e-04,-1.0034200990568311e-01,0.0000000000000000e+00,1.1102230246251565e-16
absolute_revolute_smooth,abs_revolute_gauss6,0.025,ok,,40,8.9453218476150182e-07,1.0235309938207857e-02,1.54256616e-01,158,5.1967861166062545e-07,1.1382557892076737e-02,2.4825341532472731e-16,1.2161017589534284e-04,6.8094327298625018e+01,-5.9920497552537250e-04,-1.0043752389698846e-01,0.0000000000000000e+00,1.1102230246251565e-16
absolute_revolute_smooth,abs_revolute_gauss6,0.0125,ok,,80,1.1114653780582653e-07,1.9004317685258204e-03,2.89533702e-01,299,3.0646368391768660e-08,2.6628009216352988e-03,3.3766115072321297e-16,1.4319985007426003e-05,6.7050264629112306e+01,-3.3243650589147688e-07,-1.0044293743609709e-01,0.0000000000000000e+00,1.1102230246251565e-16
absolute_revolute_sharp,abs_revolute_gauss4,0.05,ok,,20,2.1953900512653593e-01,2.2786449352889244e+00,7.19463310e-02,98,8.6519726439728212e-04,3.1988905434360833e+00,3.5108334685767012e-16,5.9790942633027984e-02,6.3660470918822568e+02,-5.5991420195941125e-02,3.1974573238985299e-01,1.0465439529157123e+00,1.1102230246251565e-16
absolute_revolute_sharp,abs_revolute_gauss4,0.025,failed,"absolute revolute DAE solve failed, residual=5.033e+01",,,,1.35153995e-01,,,,,,,,,,
absolute_revolute_sharp,abs_revolute_gauss4,0.0125,failed,"absolute revolute DAE solve failed, residual=5.861e+01",,,,3.23918436e-01,,,,,,,,,,
absolute_revolute_sharp,abs_revolute_gauss6,0.05,ok,,20,2.2275884705445252e-05,4.5290279988396111e-02,8.71949820e-02,80,8.0539533470266381e-06,4.4400730903767206e-02,2.7755575615628914e-16,9.4355948185901413e-04,6.9753282129888191e+01,-4.5723984560465713e-03,-9.4390524254973546e-02,0.0000000000000000e+00,1.1102230246251565e-16
absolute_revolute_sharp,abs_revolute_gauss6,0.025,ok,,40,8.2995225834005528e-07,1.0409367434497198e-02,1.58182421e-01,159,5.1941757966698824e-07,1.1422546676954233e-02,2.4825341532472731e-16,1.2166816036261395e-04,6.8208643756307424e+01,-5.2217246611263833e-03,-9.4497315402328821e-02,0.0000000000000000e+00,1.1102230246251565e-16
absolute_revolute_sharp,abs_revolute_gauss6,0.0125,ok,,80,4.4727969183566736e-07,1.7430464431771389e-03,2.99207753e-01,298,2.7129313894673288e-08,2.3250473587230146e-03,3.5108334685767012e-16,1.2635083880960625e-05,6.7048127640456656e+01,-2.9397545081991760e-05,-9.4502499342542068e-02,0.0000000000000000e+00,1.1102230246251565e-16
