case,mode,n_stages,dimension,newton_iterations,residual_norm,jacobian_eval_sec,dense_nnz,density,condition_number,dense_solve_sec,csr_conversion_sec,sparse_solve_sec,sparse_solve_residual_norm,dense_sparse_solution_diff
double_revolute_smooth,raw,2,92,4,1.9399106487683175e-12,7.9088698839768767e-04,354,4.1824196597353494e-02,5.3189544236829773e+07,5.0268512131879108e-05,2.1768329897895455e-03,1.6128873685374855e-04,2.9754765153912969e-10,3.4429346343209541e-06
double_revolute_smooth,pivot_va,2,92,4,2.9157708437238046e-12,8.1096700159832835e-04,420,4.9621928166351609e-02,4.9644081336657971e+07,6.0393750027287750e-05,4.5412697363644838e-04,1.3995324989082291e-04,1.8098511708672038e-10,1.9985157839744959e-06
double_revolute_smooth,full_va,2,92,4,2.9157975288630517e-12,1.0368410148657858e-03,380,4.4896030245746690e-02,2.1455432983223186e+03,8.7343563063768673e-05,3.7954695289954543e-04,6.9136649835854774e-05,6.4034875979813553e-14,1.1490475979004672e-13
double_revolute_smooth,raw,3,138,4,3.4875143017575258e-12,1.2855390086770058e-03,639,3.3553875236294897e-02,2.2308115317911568e+08,2.8094355267530774e-01,9.5377798425033689e-04,3.0252534997998737e-04,8.5866544166581028e-10,8.4789233354394758e-05
double_revolute_smooth,pivot_va,3,138,4,3.8205918874761473e-12,2.0765779772773385e-03,702,3.6862003780718335e-02,2.0854243138828784e+08,2.2759565919986927e-01,9.0011203428730369e-04,8.2624143760767765e-04,1.2567875276758999e-09,3.2113594823471452e-05
double_revolute_smooth,full_va,3,138,4,3.8204958417175905e-12,8.2647800445556641e-03,582,3.0560806553245116e-02,2.1471816664452958e+03,2.4187267847519250e-01,6.4008997287601233e-04,1.1925394937861711e-04,3.0804576211626473e-14,9.4393634947653460e-14
double_revolute_sharp,raw,2,92,4,1.7159216890888712e-12,3.8441159995272756e-03,354,4.1824196597353494e-02,5.2933210346001312e+07,8.2976349949603895e-05,3.8859801134094596e-04,1.3059949997114019e-04,1.2397300667954420e-10,8.0469740069196967e-06
double_revolute_sharp,pivot_va,2,92,4,1.9512529576941225e-12,1.2308930163271725e-03,420,4.9621928166351609e-02,4.9387488892490581e+07,6.3606087496737016e-05,3.1662901164963841e-04,1.2203877486172132e-04,8.0466241097560514e-11,7.1890666916284829e-07
double_revolute_sharp,full_va,2,92,4,1.9513620333313484e-12,7.9558201832696795e-04,380,4.4896030245746690e-02,2.1284889918441513e+03,5.1895362412324174e-05,3.1543103978037834e-04,8.5632462287321687e-05,8.9137005499513947e-14,1.4179454054508624e-13
double_revolute_sharp,raw,3,138,4,2.3197827458350947e-12,6.4078349969349802e-03,639,3.3553875236294897e-02,2.2204455286722818e+08,2.5717978482498438e-01,1.4669609954580665e-03,7.9678934998810296e-04,9.2298777252330177e-10,9.8774812232047571e-05
double_revolute_sharp,pivot_va,3,138,4,2.1958222981112926e-12,2.2705039591528475e-03,702,3.6862003780718335e-02,2.0748006052931568e+08,3.1754179380004643e-01,9.6289900830015540e-04,5.2265483755036262e-04,7.1877206158443299e-10,1.1862476863749334e-05
double_revolute_sharp,full_va,3,138,4,2.1944955485432976e-12,1.6152770025655627e-02,582,3.0560806553245116e-02,2.1323381764128430e+03,3.1255065038712926e-01,1.5776424959767610e-02,5.6683378716115840e-04,3.4468529161312131e-14,1.2660818228788719e-13
