case,method,solver,h,status,error_message,steps,orientation_error_rad,omega_l2_error,runtime_sec,total_newton_iterations,total_residual_eval_sec,total_jacobian_eval_sec,total_linear_solve_sec,avg_linear_solve_sec,avg_jacobian_density,max_linear_residual_norm,max_endpoint_constraint_norm,max_endpoint_velocity_constraint_norm,max_stage_pivot_acceleration_constraint_norm,max_stage_axis_acceleration_constraint_norm,max_quaternion_unit_error
double_revolute_smooth,double_revolute_gauss4_fullva,dense,0.02,ok,,5,1.9355691389231126e-08,4.7242061700020869e-07,6.83787300e-02,20,1.1601769947446883e-02,1.3895367970690131e-02,3.4960260381922126e-03,2.3306840254614750e-04,4.4580970384373031e-02,1.1571969175043644e-14,2.7224787493523673e-10,8.9279161650256692e-09,3.8999408977420700e-13,9.2300310453675725e-28,0.0000000000000000e+00
double_revolute_smooth,double_revolute_gauss4_fullva,sparse_csr,0.02,ok,,5,1.9355691389231126e-08,4.7242061694651559e-07,9.44073940e-02,20,1.2474642950110137e-02,1.7325894092209637e-02,1.4252259803470224e-02,9.5015065356468162e-04,4.4580970384373031e-02,1.6377509134106725e-14,2.7224787493523673e-10,8.9279160615698591e-09,3.8960244340947959e-13,0.0000000000000000e+00,0.0000000000000000e+00
double_revolute_smooth,double_revolute_gauss6_pivotva,dense,0.02,ok,,5,7.9799302075808504e-10,1.6214500647777118e-08,3.01821195e+00,20,2.4597615993116051e-02,5.4664116061758250e-02,2.8544718648772687e+00,1.9029812432515125e-01,3.6704473850031505e-02,1.4479391148431353e-14,3.1600231747462869e-14,5.7898525496792541e-13,8.2871006764575876e-13,4.7614489490500149e-17,1.1102230246251565e-16
double_revolute_smooth,double_revolute_gauss6_pivotva,sparse_csr,0.02,ok,,5,7.9799302075808504e-10,1.6214500675410721e-08,1.34610311e-01,20,1.4252699678763747e-02,2.1032719931099564e-02,3.1606385949999094e-02,2.1070923966666063e-03,3.6651963873135893e-02,2.6690539788141302e-14,3.1600231747462869e-14,5.7898909211076291e-13,8.2957966100440413e-13,1.7266239000074610e-23,1.1102230246251565e-16
double_revolute_smooth,double_revolute_gauss6_fullva,dense,0.02,ok,,5,7.9799302075808504e-10,1.6214500675410721e-08,3.40788489e+00,20,4.1780930769164115e-02,5.9085106069687754e-02,3.2076268381206319e+00,2.1384178920804212e-01,3.0350766645662674e-02,1.2726735369893847e-14,3.1600231747462869e-14,5.7899749463878651e-13,8.2791938596832810e-13,1.0295208077702601e-27,1.1102230246251565e-16
double_revolute_smooth,double_revolute_gauss6_fullva,sparse_csr,0.02,ok,,5,7.9799302075808504e-10,1.6214500744065679e-08,1.08690434e-01,20,1.1253614153247327e-02,2.7978537953458726e-02,1.5819559979718179e-02,1.0546373319812118e-03,3.0350766645662674e-02,2.9391388662751093e-14,3.1600231747462869e-14,5.7897102649854814e-13,8.2871006764575876e-13,0.0000000000000000e+00,1.1102230246251565e-16
double_revolute_sharp,double_revolute_gauss4_fullva,dense,0.02,ok,,5,8.8896225271522868e-05,1.3206595715680664e-03,7.01067050e-02,21,1.1972999956924468e-02,1.3989728933665901e-02,4.0044870111159980e-03,2.5028043819474988e-04,4.4600661625708880e-02,1.4079665944736979e-14,2.9463928875145035e-10,9.0069732338628078e-09,7.5789535580526325e-14,1.1526460506596326e-27,0.0000000000000000e+00
double_revolute_sharp,double_revolute_gauss4_fullva,sparse_csr,0.02,ok,,5,8.8896225271522868e-05,1.3206595715681347e-03,7.67075720e-02,21,1.0737848933786154e-02,1.4016643923241645e-02,1.0934322956018150e-02,6.8339518475113437e-04,4.4600661625708880e-02,2.4755056113545373e-14,2.9463928875145035e-10,9.0069730452343740e-09,7.6613835582538954e-14,0.0000000000000000e+00,0.0000000000000000e+00
double_revolute_sharp,double_revolute_gauss6_pivotva,dense,0.02,ok,,5,3.4858614030578300e-05,4.8665083167326995e-04,3.17881325e+00,21,4.7899312980007380e-02,7.8749467036686838e-02,2.9210527870454825e+00,1.8256579919034266e-01,3.6711037597143462e-02,1.2242502583948153e-14,3.1354367043783689e-14,1.0651230873367196e-11,1.1905779314697777e-13,2.2433928381752321e-17,0.0000000000000000e+00
double_revolute_sharp,double_revolute_gauss6_pivotva,sparse_csr,0.02,ok,,5,3.4858614030578300e-05,4.8665083167326995e-04,1.40894393e-01,21,2.3321041022427380e-02,2.3315199825447053e-02,1.7140070791356266e-02,1.0712544244597666e-03,3.6665091367359792e-02,1.8748654901332955e-14,3.1354367043783689e-14,1.0651230873367196e-11,1.1932372135637592e-13,4.0160982435660937e-24,0.0000000000000000e+00
double_revolute_sharp,double_revolute_gauss6_fullva,dense,0.02,ok,,5,3.4858614030578300e-05,4.8665083167326995e-04,2.83848553e+00,21,2.9412322095595300e-02,3.4496887004934251e-02,2.6616133481147699e+00,1.6635083425717312e-01,3.0363894139886577e-02,1.3060712896313941e-14,3.1354367043783689e-14,1.0651147992045601e-11,1.1863734358581348e-13,1.1776594574371110e-27,0.0000000000000000e+00
double_revolute_sharp,double_revolute_gauss6_fullva,sparse_csr,0.02,ok,,5,3.4858614030578300e-05,4.8665083167321411e-04,1.28896737e-01,21,1.8520448065828532e-02,3.2972892979159951e-02,1.4894262014422566e-02,9.3089137590141036e-04,3.0363894139886577e-02,2.1118336938439714e-14,3.1354367043783689e-14,1.0651218193562002e-11,1.1933513528566256e-13,0.0000000000000000e+00,0.0000000000000000e+00
