case,method,solver,h,status,error_message,steps,orientation_error_rad,omega_l2_error,runtime_sec,total_newton_iterations,total_linear_solves,total_jacobian_evaluations,total_residual_eval_sec,total_jacobian_eval_sec,total_linear_solve_sec,avg_linear_solve_sec,avg_jacobian_density,max_linear_residual_norm,max_endpoint_constraint_norm,max_endpoint_velocity_constraint_norm,max_stage_pivot_acceleration_constraint_norm,max_stage_axis_acceleration_constraint_norm,max_quaternion_unit_error
double_revolute_smooth,double_revolute_gauss6_pivotva,fresh_csr,0.02,ok,,5,7.9799302075808504e-10,1.6214500675410721e-08,8.04626590e-02,20,15,15,1.1110268998891115e-02,1.6786917985882610e-02,6.1243128729984164e-03,4.0828752486656109e-04,3.6651963873135893e-02,2.6690539788141302e-14,3.1600231747462869e-14,5.7898909211076291e-13,8.2957966100440413e-13,1.7266239000074610e-23,1.1102230246251565e-16
double_revolute_smooth,double_revolute_gauss6_pivotva,lagged2_csr,0.02,ok,,5,7.9799289473653049e-10,1.6214472544565099e-08,8.42685570e-02,25,20,10,1.4149953029118478e-02,1.3446928001940250e-02,7.5886520207859576e-03,3.7943260103929789e-04,3.6546943919344675e-02,2.6718586504557941e-14,3.1906757528762594e-14,5.7787009134982498e-13,1.5325212360444747e-13,9.6338653915840884e-26,1.1102230246251565e-16
double_revolute_smooth,double_revolute_gauss6_pivotva,step_lagged_csr,0.02,ok,,5,7.9798548217596041e-10,1.6214335236437491e-08,9.69891520e-02,45,40,5,2.5220996059942991e-02,6.4722230308689177e-03,1.4137282967567444e-02,3.5343207418918609e-04,3.6231884057971016e-02,2.1154080335978375e-14,3.1973953284811354e-14,5.7883469758779558e-13,2.4593484926197361e-13,1.6762681061769877e-24,0.0000000000000000e+00
double_revolute_smooth,double_revolute_gauss6_fullva,fresh_csr,0.02,ok,,5,7.9799302075808504e-10,1.6214500744065679e-08,8.34954620e-02,20,15,15,1.1577466095332056e-02,1.7444365075789392e-02,4.4899879721924663e-03,2.9933253147949775e-04,3.0350766645662674e-02,2.9391388662751093e-14,3.1600231747462869e-14,5.7897102649854814e-13,8.2871006764575876e-13,0.0000000000000000e+00,1.1102230246251565e-16
double_revolute_smooth,double_revolute_gauss6_fullva,lagged2_csr,0.02,ok,,5,7.9799289473653049e-10,1.6214472544565099e-08,8.72285160e-02,25,20,10,1.4568924962077290e-02,1.2720665079541504e-02,6.1999988975003362e-03,3.0999994487501681e-04,3.0245746691871456e-02,2.6719041443331787e-14,3.1906757528762594e-14,5.7787009134982498e-13,1.5325212360444747e-13,0.0000000000000000e+00,1.1102230246251565e-16
double_revolute_smooth,double_revolute_gauss6_fullva,step_lagged_csr,0.02,ok,,5,7.9798548217596041e-10,1.6214335236437491e-08,8.96954480e-02,45,40,5,2.3028364172205329e-02,6.4596520387567580e-03,1.1586068954784423e-02,2.8965172386961056e-04,2.9930686830497794e-02,2.1153753573655308e-14,3.1973953284811354e-14,5.7883469758779558e-13,2.4593484926197361e-13,0.0000000000000000e+00,0.0000000000000000e+00
double_revolute_sharp,double_revolute_gauss6_pivotva,fresh_csr,0.02,ok,,5,3.4858614030578300e-05,4.8665083167326995e-04,8.75835540e-02,21,16,16,1.1241537053138018e-02,1.8296676047611982e-02,6.4185092342086136e-03,4.0115682713803835e-04,3.6665091367359792e-02,1.8748654901332955e-14,3.1354367043783689e-14,1.0651230873367196e-11,1.1932372135637592e-13,4.0160982435660937e-24,0.0000000000000000e+00
double_revolute_sharp,double_revolute_gauss6_pivotva,lagged2_csr,0.02,ok,,5,3.4858614030641963e-05,4.8665083167687465e-04,8.26546830e-02,26,21,11,1.2663661793339998e-02,1.3451187871396542e-02,7.9422889393754303e-03,3.7820423520835381e-04,3.6561946769886278e-02,2.7645002276101990e-14,3.1182892020881592e-14,1.0650496328202906e-11,5.1484310923822415e-14,9.6504271949857288e-26,0.0000000000000000e+00
double_revolute_sharp,double_revolute_gauss6_pivotva,step_lagged_csr,0.02,ok,,5,3.4858614031172924e-05,4.8665083167237310e-04,9.66473600e-02,46,41,5,2.1883844223339111e-02,6.3454009941779077e-03,1.6220046323724091e-02,3.9561088594449004e-04,3.6231884057971016e-02,1.9282725038662880e-14,3.1367005682427173e-14,1.0650463969517750e-11,2.8312210922457126e-14,4.3658317192831753e-26,0.0000000000000000e+00
double_revolute_sharp,double_revolute_gauss6_fullva,fresh_csr,0.02,ok,,5,3.4858614030578300e-05,4.8665083167321411e-04,8.79280080e-02,21,16,16,1.1816231068223715e-02,1.9548548094462603e-02,4.8214900889433920e-03,3.0134313055896200e-04,3.0363894139886577e-02,2.1118336938439714e-14,3.1354367043783689e-14,1.0651218193562002e-11,1.1933513528566256e-13,0.0000000000000000e+00,0.0000000000000000e+00
double_revolute_sharp,double_revolute_gauss6_fullva,lagged2_csr,0.02,ok,,5,3.4858614030641963e-05,4.8665083167687465e-04,9.27537890e-02,26,21,11,1.6504650062415749e-02,1.5353406022768468e-02,7.2843050002120435e-03,3.4687166667676399e-04,3.0260749542413052e-02,2.7645135320060688e-14,3.1182892020881592e-14,1.0650496328202906e-11,5.1438682756505596e-14,0.0000000000000000e+00,0.0000000000000000e+00
double_revolute_sharp,double_revolute_gauss6_fullva,step_lagged_csr,0.02,ok,,5,3.4858614031172924e-05,4.8665083167237310e-04,1.07141022e-01,46,41,5,2.7166509942617267e-02,6.8138839560560882e-03,1.1988058860879391e-02,2.9239167953364368e-04,2.9930686830497794e-02,1.9282518672635758e-14,3.1367005682427173e-14,1.0650463969517750e-11,2.8312210922457126e-14,0.0000000000000000e+00,0.0000000000000000e+00
