model,mapping_scope,method,h,mode,t_final,status,error_message,steps,runtime_sec,body_count,constraint_count,generalized_dim,dp1_count,dp2_count,cd_count,d_count,min_rank,max_rank,expected_row_rank,row_rank_defect,max_nullity,min_singular_value,max_singular_value,max_condition_number,max_position_constraint_norm,max_velocity_constraint_norm,max_acceleration_constraint_norm,max_so3_fro,avg_iterations,max_iterations,notes
single_pendulum,four_example_lower_pair_constraint_jacobian_rank_audit,v047_constraint_jacobian_svd_audit_on_asme_json_graphs,0.02,dynamics,0.2,ok,,10,1.03160650e-02,1,6,6,3,0,3,0,6,6,6,0,0,3.0407819194271751e-01,2.4142135623730949e+00,7.9394498729060006e+00,3.2810828402801461e-09,2.2840730968578526e-02,1.1118835282068893e+00,1.0619029877206130e-10,3.9090909090909092e+00,5.0000000000000000e+00,"Method-side regularity audit for the four ASME JSON lower-pair graphs. For each model and h, the run samples Phi_q along the v046 dynamics trajectory, records SVD rank/conditioning, and checks the full-row-rank assumption needed before a local square FullVA closed-loop Newton system can be accepted. This is proof support, not a replacement for four-link/slider-crank FullVA time stepping."
single_pendulum,four_example_lower_pair_constraint_jacobian_rank_audit,v047_constraint_jacobian_svd_audit_on_asme_json_graphs,0.01,dynamics,0.2,ok,,20,1.81298520e-02,1,6,6,3,0,3,0,6,6,6,0,0,3.0407819194271751e-01,2.4142135623730949e+00,7.9394498729060006e+00,3.2810828402801461e-09,1.1444679301195249e-02,1.1110116584205678e+00,1.0619022026846924e-10,3.3333333333333335e+00,4.0000000000000000e+00,"Method-side regularity audit for the four ASME JSON lower-pair graphs. For each model and h, the run samples Phi_q along the v046 dynamics trajectory, records SVD rank/conditioning, and checks the full-row-rank assumption needed before a local square FullVA closed-loop Newton system can be accepted. This is proof support, not a replacement for four-link/slider-crank FullVA time stepping."
single_pendulum,four_example_lower_pair_constraint_jacobian_rank_audit,v047_constraint_jacobian_svd_audit_on_asme_json_graphs,0.005,dynamics,0.2,ok,,40,3.35561919e-02,1,6,6,3,0,3,0,6,6,6,0,0,3.0407819194271751e-01,2.4142135623730949e+00,7.9394498729060006e+00,3.2810828402801461e-09,5.7289757335547281e-03,1.1107944826674268e+00,1.0619006325816580e-10,2.7317073170731709e+00,3.0000000000000000e+00,"Method-side regularity audit for the four ASME JSON lower-pair graphs. For each model and h, the run samples Phi_q along the v046 dynamics trajectory, records SVD rank/conditioning, and checks the full-row-rank assumption needed before a local square FullVA closed-loop Newton system can be accepted. This is proof support, not a replacement for four-link/slider-crank FullVA time stepping."
double_pendulum,four_example_lower_pair_constraint_jacobian_rank_audit,v047_constraint_jacobian_svd_audit_on_asme_json_graphs,0.02,dynamics,0.2,ok,,10,1.66191030e-02,2,10,12,4,0,6,0,10,10,10,0,2,2.0288153596624053e-01,3.1769378882741117e+00,1.5659078452574185e+01,2.0082898689110137e-13,9.8138844367382204e-03,1.9244171272123770e-01,4.7114495447305225e-16,3.2727272727272729e+00,4.0000000000000000e+00,"Method-side regularity audit for the four ASME JSON lower-pair graphs. For each model and h, the run samples Phi_q along the v046 dynamics trajectory, records SVD rank/conditioning, and checks the full-row-rank assumption needed before a local square FullVA closed-loop Newton system can be accepted. This is proof support, not a replacement for four-link/slider-crank FullVA time stepping."
double_pendulum,four_example_lower_pair_constraint_jacobian_rank_audit,v047_constraint_jacobian_svd_audit_on_asme_json_graphs,0.01,dynamics,0.2,ok,,20,2.81930370e-02,2,10,12,4,0,6,0,10,10,10,0,2,2.0288153596624053e-01,3.1769378882741117e+00,1.5659078452574185e+01,5.1404871054343359e-13,4.9081294056688828e-03,9.7580079317833607e-02,1.1109425843038101e-15,2.7142857142857144e+00,3.0000000000000000e+00,"Method-side regularity audit for the four ASME JSON lower-pair graphs. For each model and h, the run samples Phi_q along the v046 dynamics trajectory, records SVD rank/conditioning, and checks the full-row-rank assumption needed before a local square FullVA closed-loop Newton system can be accepted. This is proof support, not a replacement for four-link/slider-crank FullVA time stepping."
double_pendulum,four_example_lower_pair_constraint_jacobian_rank_audit,v047_constraint_jacobian_svd_audit_on_asme_json_graphs,0.005,dynamics,0.2,ok,,40,5.52196039e-02,2,10,12,4,0,6,0,10,10,10,0,2,2.0288153596624053e-01,3.1769378882741117e+00,1.5659078452574185e+01,1.3838108890456022e-12,2.4543604540069241e-03,4.9133540582902445e-02,7.4519841631947404e-16,2.3170731707317072e+00,3.0000000000000000e+00,"Method-side regularity audit for the four ASME JSON lower-pair graphs. For each model and h, the run samples Phi_q along the v046 dynamics trajectory, records SVD rank/conditioning, and checks the full-row-rank assumption needed before a local square FullVA closed-loop Newton system can be accepted. This is proof support, not a replacement for four-link/slider-crank FullVA time stepping."
four_link,four_example_lower_pair_constraint_jacobian_rank_audit,v047_constraint_jacobian_svd_audit_on_asme_json_graphs,0.02,dynamics,0.2,ok,,10,4.25209170e-02,3,18,18,6,0,12,0,18,18,18,0,0,7.8905969233651910e-02,9.2593891431106368e+00,1.1734713144061706e+02,1.3960723369716503e-02,7.2855249201598840e+00,3.6006593899743871e+02,2.6478425458277136e-09,6.6363636363636367e+00,8.0000000000000000e+00,"Method-side regularity audit for the four ASME JSON lower-pair graphs. For each model and h, the run samples Phi_q along the v046 dynamics trajectory, records SVD rank/conditioning, and checks the full-row-rank assumption needed before a local square FullVA closed-loop Newton system can be accepted. This is proof support, not a replacement for four-link/slider-crank FullVA time stepping."
four_link,four_example_lower_pair_constraint_jacobian_rank_audit,v047_constraint_jacobian_svd_audit_on_asme_json_graphs,0.01,dynamics,0.2,ok,,20,7.17154751e-02,3,18,18,6,0,12,0,18,18,18,0,0,7.8905969233651910e-02,9.2593891431106368e+00,1.1734713144061706e+02,1.3960723369716503e-02,7.2855249201598840e+00,7.3574017352914791e+02,2.6478428786116690e-09,5.0000000000000000e+00,7.0000000000000000e+00,"Method-side regularity audit for the four ASME JSON lower-pair graphs. For each model and h, the run samples Phi_q along the v046 dynamics trajectory, records SVD rank/conditioning, and checks the full-row-rank assumption needed before a local square FullVA closed-loop Newton system can be accepted. This is proof support, not a replacement for four-link/slider-crank FullVA time stepping."
four_link,four_example_lower_pair_constraint_jacobian_rank_audit,v047_constraint_jacobian_svd_audit_on_asme_json_graphs,0.005,dynamics,0.2,ok,,40,1.19264003e-01,3,18,18,6,0,12,0,18,18,18,0,0,7.8905969233651910e-02,9.2593891431106368e+00,1.1734713144061706e+02,1.3960723369716503e-02,7.2855249201598840e+00,1.5542511171145300e+03,2.6478435638791259e-09,4.0000000000000000e+00,6.0000000000000000e+00,"Method-side regularity audit for the four ASME JSON lower-pair graphs. For each model and h, the run samples Phi_q along the v046 dynamics trajectory, records SVD rank/conditioning, and checks the full-row-rank assumption needed before a local square FullVA closed-loop Newton system can be accepted. This is proof support, not a replacement for four-link/slider-crank FullVA time stepping."
slider_crank,four_example_lower_pair_constraint_jacobian_rank_audit,v047_constraint_jacobian_svd_audit_on_asme_json_graphs,0.02,dynamics,0.2,ok,,10,4.57023269e-02,3,18,18,7,4,6,1,18,18,18,0,0,7.2533600355400768e-02,3.1632521651587142e+00,4.3610852758712980e+01,1.2059301331624360e-06,3.3285861962291712e-02,1.6874661462312652e+00,2.1531077653584147e-06,5.7272727272727275e+00,7.0000000000000000e+00,"Method-side regularity audit for the four ASME JSON lower-pair graphs. For each model and h, the run samples Phi_q along the v046 dynamics trajectory, records SVD rank/conditioning, and checks the full-row-rank assumption needed before a local square FullVA closed-loop Newton system can be accepted. This is proof support, not a replacement for four-link/slider-crank FullVA time stepping."
