case,endpoint_mode,h,reference_h,steps,runtime_sec,position_error,velocity_error,max_endpoint_constraint_norm,max_endpoint_velocity_constraint_norm,total_newton_iterations
cylindrical_smooth,projected_velocity,0.04,0.005,2,5.37681010e-02,1.7613133751888106e-07,1.0072724671727036e-05,5.8831828785734368e-12,1.3066153671703034e-16,12
cylindrical_smooth,projected_velocity,0.02,0.005,4,1.08025401e-01,1.8381850962989087e-09,2.9538772381634196e-08,9.1963610668061146e-14,1.1828725941780504e-16,24
cylindrical_smooth,projected_velocity,0.01,0.005,8,1.98907542e-01,8.6017850832544146e-12,5.6089447817955302e-10,1.4662811475967605e-15,2.9910846414046370e-14,48
cylindrical_smooth,raw_endpoint,0.04,0.005,2,5.23222780e-02,1.7613046711014375e-07,1.0072725865386108e-05,5.8831099014948708e-12,1.3542911678017292e-10,12
cylindrical_smooth,raw_endpoint,0.02,0.005,4,1.03584553e-01,1.8382071812058077e-09,2.9538846828107397e-08,9.1716945420257746e-14,1.9344652092244088e-12,24
cylindrical_smooth,raw_endpoint,0.01,0.005,8,1.99702848e-01,8.6017850832544146e-12,5.6089447817955302e-10,1.4662811475967605e-15,2.9910846414046370e-14,48
cylindrical_sharp,projected_velocity,0.04,0.005,2,5.96194990e-02,9.4524728520435603e-06,2.3564816366845156e-03,2.6715482925265279e-12,2.1776111066408072e-16,13
cylindrical_sharp,projected_velocity,0.02,0.005,4,1.16298407e-01,1.5446339340662933e-06,5.5985060007124798e-04,9.3781198224608634e-14,1.8690986808578665e-16,25
cylindrical_sharp,projected_velocity,0.01,0.005,8,1.93943573e-01,6.8474642936791559e-07,5.7110157226116770e-05,3.1220459372221449e-15,1.7905702219492236e-14,48
cylindrical_sharp,raw_endpoint,0.04,0.005,2,5.72593079e-02,9.4524736938551220e-06,2.3564816360380882e-03,2.6714313014833933e-12,1.8345325192803044e-10,13
cylindrical_sharp,raw_endpoint,0.02,0.005,4,1.08509482e-01,1.5446339511939526e-06,5.5985060054758950e-04,9.3732768807535100e-14,1.6650064620693865e-11,25
cylindrical_sharp,raw_endpoint,0.01,0.005,8,2.08115143e-01,6.8474642936791559e-07,5.7110157213852194e-05,3.1220459372221449e-15,5.9432201475486929e-13,48
