case,h,variant,status,error_message,residual_norm,newton_iterations,linear_solve_policy,raw_linear_residual_norm,scaled_linear_residual_norm,min_jacobian_rank,raw_condition,scaled_condition,condition_reduction_raw_to_scaled,min_singular_value,max_singular_value,dominant_left_row_family,dominant_left_row_family_fraction,dominant_right_variable_family,dominant_right_variable_family_fraction,left_fraction_translational_position_weak_defect,left_fraction_rotational_lie_position_weak_defect,left_fraction_translational_velocity_weak_defect,left_fraction_angular_velocity_weak_defect,left_fraction_newton_euler_weak_balance,left_fraction_lower_pair_index3_weak_constraints,right_fraction_lie_position_u,right_fraction_translation_position_r,right_fraction_translation_velocity_v,right_fraction_angular_velocity_w,right_fraction_translation_acceleration_a,right_fraction_angular_acceleration_alpha,right_fraction_lower_pair_lambda,gauss_output_delta_position_norm,gauss_output_delta_velocity_norm,gauss_output_delta_position_order,gauss_output_delta_velocity_order,max_paper_kinematic_row_norm,max_active_newton_euler_row_norm,max_active_lower_pair_row_norm,max_gauss_stage_residual_norm,max_gauss_stage_jacobian_condition,initial_z0_residual_norm,initial_z0_jacobian_rank,initial_z0_jacobian_condition,row_families_substituted,stage_rows_substituted,substituted_families,retained_gauss_family,accepted_h_sweep_present,full_tfe_stage_replacement,blocking_gap,notes
cylindrical_smooth,0.04,kinematic_plus_newton_euler_weak_balance,paper_tfe_family_ablation_diagnostic_not_accepted,,7.6698162744886342e-13,4,iterative_equilibrated,9.7037552586653465e-15,8.8005442446927343e-17,132,6.6627558445210638e+09,6.3004196494943963e+03,1.0575098509598079e+06,2.0318591946989546e-06,1.3537781724724322e+04,lower_pair_index3_weak_constraints,9.9999998114482469e-01,lower_pair_lambda,8.8326957518922322e-01,1.3442611198234451e-08,4.2483549488605462e-10,4.3054643802715003e-09,1.9484843031751755e-11,6.6277920611858904e-10,9.9999998114482469e-01,1.5878886742078959e-12,5.4977134542060967e-12,9.8731798901926067e-07,2.8513457762118166e-07,9.0566091389433140e-02,2.6163060961691513e-02,8.8326957518922322e-01,8.1142110483009687e-08,8.5518935410338747e-07,7.7619505731043716e+00,6.1395179229097332e+00,7.6697536085911628e-13,3.0471731574225914e-15,5.7220178608411190e-16,1.0292829673060734e-14,3.9459822279305290e+03,4.4087858519822445e-15,20,1.6575151823470364e+01,5,108,"translational_position_weak_defect,rotational_lie_position_weak_defect,translational_velocity_weak_defect,angular_velocity_weak_defect,newton_euler_weak_balance",lower_pair_index3_weak_constraints,False,False,This solves a five-family paper residual with one of the two dynamic/algebraic families held at the Gauss row. It localizes the full all-row blocker but cannot claim full TFE replacement.,Family ablation uses the consistent initial z0 solve and an equilibrated Newton linear system. The two variants separate the Newton-Euler weak-balance rows from the lower-pair index-3 constraint rows.
cylindrical_smooth,0.02,kinematic_plus_newton_euler_weak_balance,paper_tfe_family_ablation_diagnostic_not_accepted,,2.1654145193112717e-12,4,iterative_equilibrated,1.3182050135948764e-14,5.8909668529317311e-17,132,7.6087499510274918e+10,1.7021462392022691e+04,4.4700918028015159e+06,5.0324248162835302e-07,3.8290462074446841e+04,lower_pair_index3_weak_constraints,9.9999999885998081e-01,lower_pair_lambda,8.4820527923041189e-01,5.1870677786338761e-10,9.4792716934877868e-12,5.2043683772546239e-10,5.6125699915406244e-12,8.5783675664933693e-11,9.9999999885998081e-01,2.4989671618203450e-13,3.2562474920184219e-13,2.3419449464401459e-07,1.7977560229477042e-07,8.5882125891597827e-02,6.5912180907317944e-02,8.4820527923041189e-01,3.4693102995035282e-10,9.3768936964338070e-09,7.7619505731043716e+00,6.1395179229097332e+00,2.1654144073642976e-12,5.8091264305729899e-16,3.8387978960763826e-16,9.2385067329145848e-15,3.9337344665173896e+03,4.4087858519822445e-15,20,1.6575151823470364e+01,5,108,"translational_position_weak_defect,rotational_lie_position_weak_defect,translational_velocity_weak_defect,angular_velocity_weak_defect,newton_euler_weak_balance",lower_pair_index3_weak_constraints,False,False,This solves a five-family paper residual with one of the two dynamic/algebraic families held at the Gauss row. It localizes the full all-row blocker but cannot claim full TFE replacement.,Family ablation uses the consistent initial z0 solve and an equilibrated Newton linear system. The two variants separate the Newton-Euler weak-balance rows from the lower-pair index-3 constraint rows.
cylindrical_smooth,0.01,kinematic_plus_newton_euler_weak_balance,paper_tfe_family_ablation_diagnostic_not_accepted,,7.2855436148939679e-12,4,iterative_equilibrated,1.3764911116484607e-14,3.2753357562645603e-17,132,8.6125326061817432e+11,4.8843232394586048e+04,1.7633011133670151e+07,1.2574891562906620e-07,1.0830166360473297e+05,lower_pair_index3_weak_constraints,9.9999999986169208e-01,lower_pair_lambda,8.4270509573403052e-01,6.0768204297717435e-11,1.3133567422751306e-12,6.4725256489449380e-11,7.5564068789524248e-13,1.0745569132045074e-11,9.9999999986169208e-01,1.7042212147242461e-14,2.0229810370646567e-14,5.8209969676772446e-08,4.9043318832779705e-08,8.5373314115176582e-02,7.1921482897467248e-02,8.4270509573403052e-01,1.7222111818433079e-12,1.7206961162072437e-10,7.7619505731043716e+00,6.1395179229097332e+00,7.2855435799676446e-12,3.2558499383091282e-16,6.3475103759464637e-16,1.2213250127267018e-14,3.9282979445796850e+03,4.4087858519822445e-15,20,1.6575151823470364e+01,5,108,"translational_position_weak_defect,rotational_lie_position_weak_defect,translational_velocity_weak_defect,angular_velocity_weak_defect,newton_euler_weak_balance",lower_pair_index3_weak_constraints,False,False,This solves a five-family paper residual with one of the two dynamic/algebraic families held at the Gauss row. It localizes the full all-row blocker but cannot claim full TFE replacement.,Family ablation uses the consistent initial z0 solve and an equilibrated Newton linear system. The two variants separate the Newton-Euler weak-balance rows from the lower-pair index-3 constraint rows.
cylindrical_smooth,0.04,kinematic_plus_lower_pair_index3_weak_constraints,paper_tfe_family_ablation_diagnostic_not_accepted,,6.2798850727388085e-13,4,iterative_equilibrated,1.5337329841306081e-14,7.0577622753571402e-17,132,6.1222239037486519e+10,1.3299364418556450e+04,4.6033958549224976e+06,2.2112523828926713e-07,1.3537782195766678e+04,lower_pair_index3_weak_constraints,9.9999999978459175e-01,lower_pair_lambda,8.8347243391283248e-01,1.5908369059723519e-10,5.0265602949593812e-12,5.0981724206741588e-11,2.2869983167211094e-13,8.7339147871820237e-14,9.9999999978459175e-01,1.6168155713711252e-12,5.6384950635923900e-12,9.1694770979136808e-07,2.6224244204736816e-07,9.0596470424632633e-02,2.5929916465127489e-02,8.8347243391283248e-01,8.1142110454058194e-08,8.5518934819401257e-07,7.7619505728469944e+00,6.1395175461582454e+00,6.2723067216052749e-13,3.0842282594831128e-14,5.2663749775177802e-17,1.0292829673060734e-14,3.9459822279305290e+03,4.4087858519822445e-15,20,1.6575151823470364e+01,5,96,"translational_position_weak_defect,rotational_lie_position_weak_defect,translational_velocity_weak_defect,angular_velocity_weak_defect,lower_pair_index3_weak_constraints",newton_euler_weak_balance,False,False,This solves a five-family paper residual with one of the two dynamic/algebraic families held at the Gauss row. It localizes the full all-row blocker but cannot claim full TFE replacement.,Family ablation uses the consistent initial z0 solve and an equilibrated Newton linear system. The two variants separate the Newton-Euler weak-balance rows from the lower-pair index-3 constraint rows.
cylindrical_smooth,0.02,kinematic_plus_lower_pair_index3_weak_constraints,paper_tfe_family_ablation_diagnostic_not_accepted,,2.1656112810623062e-12,4,iterative_equilibrated,1.9977559326021578e-14,6.3530894996965972e-17,132,9.8876632316467749e+11,4.1557232063056901e+04,2.3792882106882673e+07,3.8725492075823368e-08,3.8290462412554727e+04,lower_pair_index3_weak_constraints,9.9999999999375866e-01,lower_pair_lambda,8.4804991388405093e-01,3.0694398340944908e-12,5.6097363847874583e-14,3.0800098805796239e-12,3.3297361683323505e-14,2.8237257126710627e-15,9.9999999999375866e-01,2.5619803730735879e-13,3.3306234185017271e-13,2.1743522708373971e-07,1.6737941833285180e-07,8.5864016263307627e-02,6.6085685037406472e-02,8.4804991388405093e-01,3.4693102995035282e-10,9.3768936633286112e-09,7.7619505728469944e+00,6.1395175461582454e+00,2.1656003313317915e-12,6.8865609609265552e-15,2.9632549926317776e-17,9.2385067329145848e-15,3.9337344665173896e+03,4.4087858519822445e-15,20,1.6575151823470364e+01,5,96,"translational_position_weak_defect,rotational_lie_position_weak_defect,translational_velocity_weak_defect,angular_velocity_weak_defect,lower_pair_index3_weak_constraints",newton_euler_weak_balance,False,False,This solves a five-family paper residual with one of the two dynamic/algebraic families held at the Gauss row. It localizes the full all-row blocker but cannot claim full TFE replacement.,Family ablation uses the consistent initial z0 solve and an equilibrated Newton linear system. The two variants separate the Newton-Euler weak-balance rows from the lower-pair index-3 constraint rows.
cylindrical_smooth,0.01,kinematic_plus_lower_pair_index3_weak_constraints,paper_tfe_family_ablation_diagnostic_not_accepted,,7.2860832989280635e-12,4,iterative_equilibrated,4.1252247875879950e-14,5.2167758755089646e-17,132,1.5828712746144514e+13,1.3578051527357963e+05,1.1657573042974368e+08,6.8421017856687124e-09,1.0830166374523248e+05,lower_pair_index3_weak_constraints,9.9999999999962219e-01,lower_pair_lambda,8.4317219349518358e-01,1.8002019061072574e-13,3.8914467981414851e-15,1.9165726930801080e-13,2.2219251702614055e-15,8.8399899730836343e-17,9.9999999999962219e-01,1.7292929973381647e-14,2.0698707185117545e-14,5.4095522814009571e-08,4.5211391740933014e-08,8.5433504589676593e-02,7.1394202608187268e-02,8.4317219349518358e-01,1.7222111818433079e-12,1.7206970030171562e-10,7.7619505728469944e+00,6.1395175461582454e+00,7.2860789595701967e-12,7.9518753459703220e-15,3.8799093074691665e-17,1.2213250127267018e-14,3.9282979445796850e+03,4.4087858519822445e-15,20,1.6575151823470364e+01,5,96,"translational_position_weak_defect,rotational_lie_position_weak_defect,translational_velocity_weak_defect,angular_velocity_weak_defect,lower_pair_index3_weak_constraints",newton_euler_weak_balance,False,False,This solves a five-family paper residual with one of the two dynamic/algebraic families held at the Gauss row. It localizes the full all-row blocker but cannot claim full TFE replacement.,Family ablation uses the consistent initial z0 solve and an equilibrated Newton linear system. The two variants separate the Newton-Euler weak-balance rows from the lower-pair index-3 constraint rows.
cylindrical_sharp,0.04,kinematic_plus_newton_euler_weak_balance,paper_tfe_family_ablation_diagnostic_not_accepted,,5.3547158345847686e-13,4,iterative_equilibrated,1.5597323877340977e-14,1.0309892701948666e-16,132,6.6475114447336407e+09,6.7610828092200418e+03,9.8320219294880924e+05,2.0365187540291802e-06,1.3537781724823670e+04,lower_pair_index3_weak_constraints,9.9999999698546049e-01,lower_pair_lambda,5.5178031568144803e-01,4.2769297302175242e-11,2.5035278914530407e-12,2.3351535750373080e-09,1.9066533480297563e-10,4.4344761056426395e-10,9.9999999698546049e-01,2.4195993451715340e-11,2.9931648307435069e-12,5.3818430174922129e-07,4.3518359985751006e-06,4.9341936889195699e-02,3.9887285738186673e-01,5.5178031568144803e-01,5.7606985643323316e-08,1.4599347681030887e-06,7.7493491296851591e+00,6.3780597158846879e+00,5.3546233702990560e-13,3.0661886647801895e-15,7.0767299817259432e-16,9.6660699085072201e-15,3.9461596011332708e+03,5.9415067247857465e-15,20,1.6511184154789674e+01,5,108,"translational_position_weak_defect,rotational_lie_position_weak_defect,translational_velocity_weak_defect,angular_velocity_weak_defect,newton_euler_weak_balance",lower_pair_index3_weak_constraints,False,False,This solves a five-family paper residual with one of the two dynamic/algebraic families held at the Gauss row. It localizes the full all-row blocker but cannot claim full TFE replacement.,Family ablation uses the consistent initial z0 solve and an equilibrated Newton linear system. The two variants separate the Newton-Euler weak-balance rows from the lower-pair index-3 constraint rows.
cylindrical_sharp,0.02,kinematic_plus_newton_euler_weak_balance,paper_tfe_family_ablation_diagnostic_not_accepted,,1.3113042043347714e-12,4,iterative_equilibrated,1.7625963441252873e-14,6.0826742816425657e-17,132,7.5225321637137833e+10,1.7018045149565907e+04,4.4203268340169294e+06,5.0901028075524045e-07,3.8290462086422791e+04,lower_pair_index3_weak_constraints,9.9999999962743524e-01,lower_pair_lambda,5.5336573203902928e-01,8.5686840070579312e-13,2.2289255999791132e-14,2.9239061313583647e-10,2.3760096958751923e-11,5.5535006880712332e-11,9.9999999962743524e-01,1.5057351734702874e-12,1.8757843045912259e-13,1.3495187473949634e-07,1.0833469983806169e-06,4.9476085594159155e-02,3.9715696406624496e-01,5.5336573203902928e-01,1.7069641842073648e-10,4.5895874198413688e-09,7.7493491296851591e+00,6.3780597158846879e+00,1.3113040637056630e-12,4.1178239038116134e-16,4.4637464690745526e-16,8.6917091749524912e-15,3.9341258416195028e+03,5.9415067247857465e-15,20,1.6511184154789674e+01,5,108,"translational_position_weak_defect,rotational_lie_position_weak_defect,translational_velocity_weak_defect,angular_velocity_weak_defect,newton_euler_weak_balance",lower_pair_index3_weak_constraints,False,False,This solves a five-family paper residual with one of the two dynamic/algebraic families held at the Gauss row. It localizes the full all-row blocker but cannot claim full TFE replacement.,Family ablation uses the consistent initial z0 solve and an equilibrated Newton linear system. The two variants separate the Newton-Euler weak-balance rows from the lower-pair index-3 constraint rows.
cylindrical_sharp,0.01,kinematic_plus_newton_euler_weak_balance,paper_tfe_family_ablation_diagnostic_not_accepted,,2.5168171878328907e-12,4,iterative_equilibrated,2.2794285571639411e-14,3.3035581239839820e-17,132,8.5106885306501562e+11,4.9099577182819157e+04,1.7333527127863336e+07,1.2725370364260664e-07,1.0830166360738863e+05,lower_pair_index3_weak_constraints,9.9999999995338618e-01,lower_pair_lambda,5.5351243510267123e-01,1.4382912811072130e-13,3.8328215086067197e-15,3.6553118234290872e-11,2.9697271821587636e-12,6.9436196277949339e-12,9.9999999995338618e-01,9.4070475502486025e-14,1.1727020495669723e-14,3.3749501823909223e-08,2.7073024432784402e-07,4.9490413068348768e-02,3.9699684734912810e-01,5.5351243510267123e-01,1.2442340466670292e-12,2.1103713099803142e-10,7.7493491296851591e+00,6.3780597158846879e+00,2.5168170605172474e-12,3.8745839643096975e-16,7.0052578178951512e-16,7.0002044764857111e-15,3.9288179237538216e+03,5.9415067247857465e-15,20,1.6511184154789674e+01,5,108,"translational_position_weak_defect,rotational_lie_position_weak_defect,translational_velocity_weak_defect,angular_velocity_weak_defect,newton_euler_weak_balance",lower_pair_index3_weak_constraints,False,False,This solves a five-family paper residual with one of the two dynamic/algebraic families held at the Gauss row. It localizes the full all-row blocker but cannot claim full TFE replacement.,Family ablation uses the consistent initial z0 solve and an equilibrated Newton linear system. The two variants separate the Newton-Euler weak-balance rows from the lower-pair index-3 constraint rows.
cylindrical_sharp,0.04,kinematic_plus_lower_pair_index3_weak_constraints,paper_tfe_family_ablation_diagnostic_not_accepted,,5.2538001220412343e-13,4,iterative_equilibrated,1.1419901490280871e-14,4.8707419920177861e-17,132,6.1085942524559944e+10,1.4808678856749701e+04,4.1250096052098102e+06,2.2161861495766146e-07,1.3537781975676289e+04,lower_pair_index3_weak_constraints,9.9999999996949573e-01,lower_pair_lambda,5.5196020786760513e-01,5.0932463305224131e-13,2.9767960357583773e-14,2.7651302369728678e-11,2.2556214077517729e-12,5.8369410821909810e-14,9.9999999996949573e-01,2.4709471497313463e-11,3.0622245128822758e-12,5.0006888839347941e-07,4.0393427895430351e-06,4.9366113107383564e-02,3.9866913958556155e-01,5.5196020786760513e-01,5.7606985645090088e-08,1.4599347681006713e-06,7.7493491297072801e+00,6.3780599497626547e+00,5.2475440994497942e-13,2.5631229363150530e-14,8.0921165436209060e-17,9.6660699085072201e-15,3.9461596011332708e+03,5.9415067247857465e-15,20,1.6511184154789674e+01,5,96,"translational_position_weak_defect,rotational_lie_position_weak_defect,translational_velocity_weak_defect,angular_velocity_weak_defect,lower_pair_index3_weak_constraints",newton_euler_weak_balance,False,False,This solves a five-family paper residual with one of the two dynamic/algebraic families held at the Gauss row. It localizes the full all-row blocker but cannot claim full TFE replacement.,Family ablation uses the consistent initial z0 solve and an equilibrated Newton linear system. The two variants separate the Newton-Euler weak-balance rows from the lower-pair index-3 constraint rows.
