series,case,predictor_law,status,reference_completed,error_message,h_values,reference_h,t_final,steps,source_free_converged_steps,position_errors,velocity_errors,terminal_velocity_values,position_order,velocity_order,terminal_velocity_observed_power_h,max_terminal_velocity,max_residual_norm,min_jacobian_rank,all_steps_converged,residual_clean,terminal_velocity_closed,smooth_order_ok,accepted_h_sweep_present,full_tfe_stage_replacement,conclusion
output_pose_prefilter_two_h,cylindrical_smooth,stage02_convex_pose_velocity_0p00_z,paper_tfe_lower_pair_endpoint_pose_velocity_predictor_reference_output_audit_not_full_tfe,True,,0.04;0.02,0.01,0.04,1;2,1;2,4.4083570920902606e-08;4.5809619173140331e-10,3.0319545674270718e-07;1.3322265874882034e-08,5.9390895337353101e-17;7.2895460629309402e-17,6.5884467122588664e+00,4.5083367509361629e+00,-2.9558719546318729e-01,7.2895460629309402e-17,2.5292301332803423e-12,132,True,True,True,False,False,False,terminal_closed_order_limited
output_pose_prefilter_two_h,cylindrical_smooth,paper_endpoint_pose_stage02_convex_0p00_z,paper_tfe_lower_pair_endpoint_pose_velocity_predictor_reference_output_audit_not_full_tfe,True,,0.04;0.02,0.01,0.04,1;2,1;2,4.4083570731304994e-08;4.5809592979027866e-10,3.0319545678744566e-07;1.3322265927942294e-08,7.8453137228429296e-17;7.0466756796527945e-17,6.5884475309927026e+00,4.5083367454030361e+00,1.5488832349839554e-01,7.8453137228429296e-17,2.5293403096553380e-12,132,True,True,True,False,False,False,terminal_closed_order_limited
output_pose_prefilter_two_h,cylindrical_smooth,gauss_endpoint_pose_stage02_convex_0p00_z,paper_tfe_lower_pair_endpoint_pose_velocity_predictor_reference_output_audit_not_full_tfe,True,,0.04;0.02,0.01,0.04,1;2,1;2,5.6992468212136843e-06;1.0730734877272830e-06,3.1070993265900726e-04;6.2152570011634001e-05,3.6567753152507375e-04;9.1814439527356133e-05,2.4090223936739874e+00,2.3216824086025962e+00,1.9937790180894286e+00,3.6567753152507375e-04,1.7743714018175806e-12,132,True,True,False,False,False,False,diagnostic_rejected
output_pose_prefilter_two_h,cylindrical_smooth,paper_endpoint_pose_paper_m3_y2_z,paper_tfe_lower_pair_endpoint_pose_velocity_predictor_reference_output_audit_not_full_tfe,True,,0.04;0.02,0.01,0.04,1;2,1;2,4.4006547093575140e-08;4.8263856554599928e-09,9.5204981269688059e-07;1.6504209374574165e-07,2.7693586467324798e-05;7.3095946552008858e-06,3.1887030725625172e+00,2.5282030308383865e+00,1.9216885919290752e+00,2.7693586467324798e-05,4.1743187780464582e-12,132,True,True,False,False,False,False,diagnostic_rejected
output_pose_prefilter_two_h,cylindrical_smooth,paper_endpoint_pose_lagrange_z,paper_tfe_lower_pair_endpoint_pose_velocity_predictor_reference_output_audit_not_full_tfe,True,,0.04;0.02,0.01,0.04,1;2,1;2,2.1440420620739824e-06;4.4106078228998791e-07,1.0981168791975467e-04;3.4460904637147763e-05,1.5326674773800440e-04;6.7428518201999234e-05,2.2812838176073149e+00,1.6719991377184789e+00,1.1846139297584779e+00,1.5326674773800440e-04,2.3169414847571213e-12,132,True,True,False,False,False,False,diagnostic_rejected
output_pose_prefilter_two_h,cylindrical_smooth,gauss_endpoint_pose_lagrange_z,paper_tfe_lower_pair_endpoint_pose_velocity_predictor_reference_output_audit_not_full_tfe,True,,0.04;0.02,0.01,0.04,1;2,1;2,3.6581800007205208e-06;6.5570064217635811e-07,2.0747576974603220e-04;2.7866914728439601e-05,2.2013927656731912e-04;2.4790588983905753e-05,2.4800168517185135e+00,2.8963176706584708e+00,3.1505521163491839e+00,2.2013927656731912e-04,2.1461694551663682e-12,132,True,True,False,False,False,False,diagnostic_rejected
short_three_h_order_check,cylindrical_smooth,stage02_convex_pose_velocity_0p00_z,paper_tfe_lower_pair_endpoint_pose_velocity_predictor_reference_output_audit_not_full_tfe,True,,0.04;0.02;0.01,0.005,0.04,1;2;4,1;2;4,4.4068136816018411e-08;4.4111247914530315e-10;1.4139380605105439e-10,3.0373702219220076e-07;2.4484152002377150e-08;1.2437776336537195e-08,5.9390895337353101e-17;7.2895460629309402e-17;8.1239920629584568e-17,4.1419365843906570e+00,2.3050111418014727e+00,-2.2597352412241656e-01,8.1239920629584568e-17,9.7632425186269746e-12,132,True,True,True,False,False,False,terminal_closed_order_limited
short_three_h_order_check,cylindrical_smooth,paper_endpoint_pose_stage02_convex_0p00_z,paper_tfe_lower_pair_endpoint_pose_velocity_predictor_reference_output_audit_not_full_tfe,True,,0.04;0.02;0.01,0.005,0.04,1;2;4,1;2;4,4.4068136081024252e-08;4.4111170781734546e-10;1.4139364389928437e-10,3.0373702218380174e-07;2.4484151969050503e-08;1.2437776223472267e-08,7.8453137228429296e-17;7.0466756796527945e-17;1.0375170279196168e-16,4.1419373996083149e+00,2.3050111483388958e+00,-2.0161598483219254e-01,1.0375170279196168e-16,8.4251651641329973e-12,132,True,True,True,False,False,False,terminal_closed_order_limited
short_three_h_order_check,cylindrical_smooth,stage02_convex_pose_velocity_extrapolate_0p01_0p02_z,paper_tfe_lower_pair_endpoint_pose_velocity_predictor_reference_output_audit_not_full_tfe,True,,0.04;0.02;0.01,0.005,0.04,1;2;4,1;2;4,4.3567450474370770e-08;5.3294426116920922e-10;1.5780436885581624e-10,3.5089488028374233e-07;3.5936746505115754e-08;1.3249670483559619e-08,1.2539647551809164e-07;4.3599680596187320e-08;1.2444431076734705e-08,4.0544848665307827e+00,2.3635052562972385e+00,1.6664623090971169e+00,1.2539647551809164e-07,8.3879244580444480e-12,132,True,True,False,False,False,False,diagnostic_rejected
short_three_h_reference_floor_check,cylindrical_smooth,stage02_convex_pose_velocity_0p00_z,paper_tfe_lower_pair_endpoint_pose_velocity_predictor_reference_output_audit_not_full_tfe,True,,0.04;0.02;0.01,0.0025,0.04,1;2;4,1;2;4,4.4049394582591815e-08;4.5976490931167579e-10;2.7110548818730475e-10,3.0453656218339377e-07;3.1894039860129741e-08;2.0217181645994726e-08,5.9390895337353101e-17;7.2895460629309402e-17;8.1239920629584568e-17,3.6720620307838785e+00,1.9564808235938289e+00,-2.2597352412241656e-01,8.1239920629584568e-17,9.7632425186269746e-12,132,True,True,True,False,False,False,terminal_closed_order_limited
