case,h,reference_h,alpha,steps,status,error_message,reference_completed,trajectory_completed,position_error_vs_source_free_mean_blend_reference,velocity_error_vs_source_free_mean_blend_reference,max_residual_norm,max_source_consistency_row_norm,max_blend_mean_closure_row_norm,max_source_free_lower_pair_row_norm,max_raw_terminal_endpoint_constraint_norm,max_raw_terminal_endpoint_velocity_constraint_norm,max_terminal_vs_gauss_position_delta_norm,max_terminal_vs_gauss_velocity_delta_norm,min_jacobian_rank,max_raw_jacobian_condition,max_scaled_jacobian_condition,max_condition_reduction_raw_to_scaled,max_raw_linear_residual_norm,max_scaled_linear_residual_norm,initial_z0_residual_norm,initial_z0_jacobian_rank,initial_z0_jacobian_condition,initial_z0_norm,max_terminal_z0_update_delta_norm,max_terminal_z0_norm,total_newton_iterations,max_newton_iterations,position_observed_order,velocity_observed_order,terminal_velocity_observed_power_h,residual_observed_power_h,row_families_substituted,stage_rows_substituted,source_consistency_rows,blend_mean_closure_rows,source_free_lower_pair_rows,lower_pair_row_formula,linear_solve_policy,output_policy,start_z0_policy,selection_source,external_endpoint_source_removed,endpoint_boundary_source_removed,terminal_row_replacement_used,projection_used,trajectory_h_sweep_present,one_step_h_sweep_present,accepted_h_sweep_present,full_tfe_stage_replacement,blocking_gap,notes,alpha_max_terminal_velocity_norm,alpha_max_residual_norm,alpha_min_position_order,alpha_min_velocity_order,case_best_alpha_by_terminal_velocity,global_best_alpha_by_trajectory_terminal_velocity,trajectory_alpha_sweep_present
cylindrical_smooth,0.04,0.005,-1,2,paper_tfe_lower_pair_source_free_mean_blend_trajectory_alpha_sweep_partial_not_full_tfe,,True,True,8.7585311587360998e-08,1.2005668594511490e-05,2.4411199362197695e-12,1.6720434054454128e-15,1.1858271588884265e-15,2.0498573610012213e-15,1.6055006749393522e-07,4.0974408397951060e-06,3.1937596410148593e-03,1.4077486336124724e-02,132,3.4638976517818407e+06,4.3268400483587055e+02,8.1507768522142487e+03,2.4102267474510363e-14,3.8184080565964612e-15,4.4087858519822445e-15,20,1.6575151823470364e+01,1.9456826690375223e+01,2.0360758735077571e+00,1.9456826690375223e+01,13,5,5.2655873945336529e+00,6.6773792724934404e+00,9.4783807545631005e-01,-9.0197493098081061e-01,6,132,16,8,24,centered_acceleration_source_consistency_plus_blended_mean_acceleration_velocity_closure,iterative_equilibrated,raw_terminal_lobatto_node_no_projection,consistent_initial_acceleration_then_recurrent_terminal_z,trajectory_alpha_sweep,True,True,False,False,True,False,False,False,This trajectory alpha sweep tests whether a source-free blended mean closure can simultaneously preserve order and close terminal velocity. It remains diagnostic until one alpha passes terminal velocity and full-TFE gates.,"Lower-pair rows are 16 centered acceleration source-consistency equations plus (1-alpha)*mean_acceleration + alpha*mean_velocity closure rows. No endpoint source, terminal-row replacement, or projection is used.",8.3749640627809929e-06,8.9862059712103617e-12,2.5547866639312344e+00,1.9176202212343181e+00,1,0.75,True
cylindrical_smooth,0.02,0.005,-1,4,paper_tfe_lower_pair_source_free_mean_blend_trajectory_alpha_sweep_partial_not_full_tfe,,True,True,4.1600883407382512e-09,2.3724339137911453e-08,2.7502741525053848e-12,8.0665915423637705e-16,7.0829093983460638e-16,1.0090786064248466e-15,8.1853237165854912e-08,2.0784429254165374e-06,8.0381261297503618e-04,4.0560695596832484e-03,132,1.4022363424757341e+07,5.5621378244389200e+02,3.0768174935841729e+04,2.7330971247371032e-14,3.8184080565964612e-15,4.4087858519822445e-15,20,1.6575151823470364e+01,1.9456826690375223e+01,1.2441483370975484e+00,1.9456826690375223e+01,21,5,5.2655873945336529e+00,6.6773792724934404e+00,9.4783807545631005e-01,-9.0197493098081061e-01,6,132,16,8,24,centered_acceleration_source_consistency_plus_blended_mean_acceleration_velocity_closure,iterative_equilibrated,raw_terminal_lobatto_node_no_projection,consistent_initial_acceleration_then_recurrent_terminal_z,trajectory_alpha_sweep,True,True,False,False,True,False,False,False,This trajectory alpha sweep tests whether a source-free blended mean closure can simultaneously preserve order and close terminal velocity. It remains diagnostic until one alpha passes terminal velocity and full-TFE gates.,"Lower-pair rows are 16 centered acceleration source-consistency equations plus (1-alpha)*mean_acceleration + alpha*mean_velocity closure rows. No endpoint source, terminal-row replacement, or projection is used.",8.3749640627809929e-06,8.9862059712103617e-12,2.5547866639312344e+00,1.9176202212343181e+00,1,0.75,True
cylindrical_smooth,0.01,0.005,-1,8,paper_tfe_lower_pair_source_free_mean_blend_trajectory_alpha_sweep_partial_not_full_tfe,,True,True,5.9187742843830666e-11,1.1460496793738646e-09,8.5237781292122113e-12,6.1754823979818036e-16,4.8585694173463899e-16,6.6582400286212651e-16,4.7152165075011922e-08,1.1011774475046114e-06,2.0138320357221171e-04,1.0125503565015322e-03,132,5.6301089868882604e+07,7.1348289746582054e+02,1.0123465702116073e+05,6.7696792972892652e-14,3.8184080565964612e-15,4.4087858519822445e-15,20,1.6575151823470364e+01,1.9456826690375223e+01,6.2840079003544924e-01,1.9456826690375223e+01,37,5,5.2655873945336529e+00,6.6773792724934404e+00,9.4783807545631005e-01,-9.0197493098081061e-01,6,132,16,8,24,centered_acceleration_source_consistency_plus_blended_mean_acceleration_velocity_closure,iterative_equilibrated,raw_terminal_lobatto_node_no_projection,consistent_initial_acceleration_then_recurrent_terminal_z,trajectory_alpha_sweep,True,True,False,False,True,False,False,False,This trajectory alpha sweep tests whether a source-free blended mean closure can simultaneously preserve order and close terminal velocity. It remains diagnostic until one alpha passes terminal velocity and full-TFE gates.,"Lower-pair rows are 16 centered acceleration source-consistency equations plus (1-alpha)*mean_acceleration + alpha*mean_velocity closure rows. No endpoint source, terminal-row replacement, or projection is used.",8.3749640627809929e-06,8.9862059712103617e-12,2.5547866639312344e+00,1.9176202212343181e+00,1,0.75,True
cylindrical_sharp,0.04,0.005,-1,2,paper_tfe_lower_pair_source_free_mean_blend_trajectory_alpha_sweep_partial_not_full_tfe,,True,True,2.2901352358622416e-05,7.7481026730304647e-04,7.3882708919733133e-13,7.2916656735211353e-16,1.5918522816098821e-15,1.7006286882224179e-15,3.8355638271537373e-07,8.2141039499919007e-06,3.1717443424384255e-03,1.9293742305059411e-02,132,1.7648284976224773e+07,2.2548178456698197e+03,1.5194632461206944e+04,2.4786026072766338e-14,4.4061678072136439e-15,5.9415067247857465e-15,20,1.6511184154789674e+01,1.9347419632600847e+01,2.7223406156225827e+00,1.9370353461377729e+01,14,5,2.5547866639312344e+00,1.9176202212343181e+00,3.0028196380290306e-01,-1.8022017304890037e+00,6,132,16,8,24,centered_acceleration_source_consistency_plus_blended_mean_acceleration_velocity_closure,iterative_equilibrated,raw_terminal_lobatto_node_no_projection,consistent_initial_acceleration_then_recurrent_terminal_z,trajectory_alpha_sweep,True,True,False,False,True,False,False,False,This trajectory alpha sweep tests whether a source-free blended mean closure can simultaneously preserve order and close terminal velocity. It remains diagnostic until one alpha passes terminal velocity and full-TFE gates.,"Lower-pair rows are 16 centered acceleration source-consistency equations plus (1-alpha)*mean_acceleration + alpha*mean_velocity closure rows. No endpoint source, terminal-row replacement, or projection is used.",8.3749640627809929e-06,8.9862059712103617e-12,2.5547866639312344e+00,1.9176202212343181e+00,0.75,0.75,True
cylindrical_sharp,0.02,0.005,-1,4,paper_tfe_lower_pair_source_free_mean_blend_trajectory_alpha_sweep_partial_not_full_tfe,,True,True,1.8938308774168891e-06,1.0613492096029787e-03,2.6804498396030823e-12,5.3836037069383548e-16,9.5599268300299831e-16,1.0654120222009538e-15,2.8555888607810867e-07,8.3749640627809929e-06,7.9263562227249338e-04,1.1938906505659090e-02,132,1.1534907998864755e+08,4.6343796650107543e+03,1.0051869809821479e+05,5.1668531418786775e-14,4.4061678072136439e-15,5.9415067247857465e-15,20,1.6511184154789674e+01,1.9347419632600847e+01,3.2156214872302864e+00,1.9449720084706097e+01,22,5,2.5547866639312344e+00,1.9176202212343181e+00,3.0028196380290306e-01,-1.8022017304890037e+00,6,132,16,8,24,centered_acceleration_source_consistency_plus_blended_mean_acceleration_velocity_closure,iterative_equilibrated,raw_terminal_lobatto_node_no_projection,consistent_initial_acceleration_then_recurrent_terminal_z,trajectory_alpha_sweep,True,True,False,False,True,False,False,False,This trajectory alpha sweep tests whether a source-free blended mean closure can simultaneously preserve order and close terminal velocity. It remains diagnostic until one alpha passes terminal velocity and full-TFE gates.,"Lower-pair rows are 16 centered acceleration source-consistency equations plus (1-alpha)*mean_acceleration + alpha*mean_velocity closure rows. No endpoint source, terminal-row replacement, or projection is used.",8.3749640627809929e-06,8.9862059712103617e-12,2.5547866639312344e+00,1.9176202212343181e+00,0.75,0.75,True
cylindrical_sharp,0.01,0.005,-1,8,paper_tfe_lower_pair_source_free_mean_blend_trajectory_alpha_sweep_partial_not_full_tfe,,True,True,6.6332488758679799e-07,5.4284138929871362e-05,8.9862059712103617e-12,4.8502608131696929e-16,4.5432233524458339e-16,5.9115321108763119e-16,1.6666748619430900e-07,5.4171696676167981e-06,2.0235752223858011e-04,6.1299018492889578e-03,132,4.3706524948478013e+08,5.4468246566455209e+03,3.2895955268611520e+05,8.3565368609212114e-14,4.4061678072136439e-15,5.9415067247857465e-15,20,1.6511184154789674e+01,1.9347419632600847e+01,3.4305769941763917e+00,1.9500560663530702e+01,38,5,2.5547866639312344e+00,1.9176202212343181e+00,3.0028196380290306e-01,-1.8022017304890037e+00,6,132,16,8,24,centered_acceleration_source_consistency_plus_blended_mean_acceleration_velocity_closure,iterative_equilibrated,raw_terminal_lobatto_node_no_projection,consistent_initial_acceleration_then_recurrent_terminal_z,trajectory_alpha_sweep,True,True,False,False,True,False,False,False,This trajectory alpha sweep tests whether a source-free blended mean closure can simultaneously preserve order and close terminal velocity. It remains diagnostic until one alpha passes terminal velocity and full-TFE gates.,"Lower-pair rows are 16 centered acceleration source-consistency equations plus (1-alpha)*mean_acceleration + alpha*mean_velocity closure rows. No endpoint source, terminal-row replacement, or projection is used.",8.3749640627809929e-06,8.9862059712103617e-12,2.5547866639312344e+00,1.9176202212343181e+00,0.75,0.75,True
cylindrical_smooth,0.04,0.005,0,2,paper_tfe_lower_pair_source_free_mean_blend_trajectory_alpha_sweep_partial_not_full_tfe,,True,True,8.7583492421545622e-08,1.2005571966325881e-05,2.3790173569198119e-12,1.2336857299717106e-15,7.5915281185288971e-16,1.4485487468773640e-15,1.5912781004351253e-07,4.0207867687937859e-06,3.1937596407329545e-03,1.4077486209118957e-02,132,3.4473200925958897e+06,4.4400904649226885e+02,7.9468912842977379e+03,2.3170090617809128e-14,3.8184080565964612e-15,4.4087858519822445e-15,20,1.6575151823470364e+01,1.9456826690375223e+01,2.0360762327557294e+00,1.9456826690375223e+01,13,5,5.3168287326007357e+00,6.7822295377613671e+00,9.4716838639826184e-01,-9.9519147954307496e-01,6,132,16,8,24,centered_acceleration_source_consistency_plus_blended_mean_acceleration_velocity_closure,iterative_equilibrated,raw_terminal_lobatto_node_no_projection,consistent_initial_acceleration_then_recurrent_terminal_z,trajectory_alpha_sweep,True,True,False,False,True,False,False,False,This trajectory alpha sweep tests whether a source-free blended mean closure can simultaneously preserve order and close terminal velocity. It remains diagnostic until one alpha passes terminal velocity and full-TFE gates.,"Lower-pair rows are 16 centered acceleration source-consistency equations plus (1-alpha)*mean_acceleration + alpha*mean_velocity closure rows. No endpoint source, terminal-row replacement, or projection is used.",8.2335150265865238e-06,9.4528460314046262e-12,2.5547841757444809e+00,1.9176232928232309e+00,1,0.75,True
cylindrical_smooth,0.02,0.005,0,4,paper_tfe_lower_pair_source_free_mean_blend_trajectory_alpha_sweep_partial_not_full_tfe,,True,True,4.1576584356784358e-09,2.3614926646604040e-08,2.1663178304107305e-12,8.3780784348320477e-16,6.1954332298707585e-16,8.8314261981521911e-16,8.0584012674603780e-08,2.0465116557613063e-06,8.0381261297307930e-04,4.0560695581648067e-03,132,1.3973878737134904e+07,5.6853212698792811e+02,2.9129507602383277e+04,3.4348031777561534e-14,3.8184080565964612e-15,4.4087858519822445e-15,20,1.6575151823470364e+01,1.9456826690375223e+01,1.2441482306655054e+00,1.9456826690375223e+01,21,5,5.3168287326007357e+00,6.7822295377613671e+00,9.4716838639826184e-01,-9.9519147954307496e-01,6,132,16,8,24,centered_acceleration_source_consistency_plus_blended_mean_acceleration_velocity_closure,iterative_equilibrated,raw_terminal_lobatto_node_no_projection,consistent_initial_acceleration_then_recurrent_terminal_z,trajectory_alpha_sweep,True,True,False,False,True,False,False,False,This trajectory alpha sweep tests whether a source-free blended mean closure can simultaneously preserve order and close terminal velocity. It remains diagnostic until one alpha passes terminal velocity and full-TFE gates.,"Lower-pair rows are 16 centered acceleration source-consistency equations plus (1-alpha)*mean_acceleration + alpha*mean_velocity closure rows. No endpoint source, terminal-row replacement, or projection is used.",8.2335150265865238e-06,9.4528460314046262e-12,2.5547841757444809e+00,1.9176232928232309e+00,1,0.75,True
cylindrical_smooth,0.01,0.005,0,8,paper_tfe_lower_pair_source_free_mean_blend_trajectory_alpha_sweep_partial_not_full_tfe,,True,True,5.5128020474045870e-11,9.9100032917262563e-10,9.4528460314046262e-12,7.5226195523301754e-16,3.2427886541382827e-16,7.8791431123886171e-16,4.6553484201536874e-08,1.0815805072671240e-06,2.0138320357235582e-04,1.0125503592907053e-03,132,5.6254301270142920e+07,7.3112224185377113e+02,9.6281410675582083e+04,8.0672613104229883e-14,3.8184080565964612e-15,4.4087858519822445e-15,20,1.6575151823470364e+01,1.9456826690375223e+01,6.2840070979270846e-01,1.9456826690375223e+01,37,5,5.3168287326007357e+00,6.7822295377613671e+00,9.4716838639826184e-01,-9.9519147954307496e-01,6,132,16,8,24,centered_acceleration_source_consistency_plus_blended_mean_acceleration_velocity_closure,iterative_equilibrated,raw_terminal_lobatto_node_no_projection,consistent_initial_acceleration_then_recurrent_terminal_z,trajectory_alpha_sweep,True,True,False,False,True,False,False,False,This trajectory alpha sweep tests whether a source-free blended mean closure can simultaneously preserve order and close terminal velocity. It remains diagnostic until one alpha passes terminal velocity and full-TFE gates.,"Lower-pair rows are 16 centered acceleration source-consistency equations plus (1-alpha)*mean_acceleration + alpha*mean_velocity closure rows. No endpoint source, terminal-row replacement, or projection is used.",8.2335150265865238e-06,9.4528460314046262e-12,2.5547841757444809e+00,1.9176232928232309e+00,1,0.75,True
cylindrical_sharp,0.04,0.005,0,2,paper_tfe_lower_pair_source_free_mean_blend_trajectory_alpha_sweep_partial_not_full_tfe,,True,True,2.2901380248606307e-05,7.7481247357925062e-04,1.1852405566443735e-12,9.9477237828271978e-16,4.7549825407395170e-16,1.0076671836096985e-15,3.7956818021356868e-07,7.9936999591854712e-06,3.1717443644077819e-03,1.9293740361915061e-02,132,1.7602616000598464e+07,2.3511294948526188e+03,1.4001828895836614e+04,2.9888935206981484e-14,4.4061678072136439e-15,5.9415067247857465e-15,20,1.6511184154789674e+01,1.9347419632600847e+01,2.7223413237175556e+00,1.9370353467002587e+01,14,5,2.5547841757444809e+00,1.9176232928232309e+00,2.9166504101207436e-01,-1.2906576468043747e+00,6,132,16,8,24,centered_acceleration_source_consistency_plus_blended_mean_acceleration_velocity_closure,iterative_equilibrated,raw_terminal_lobatto_node_no_projection,consistent_initial_acceleration_then_recurrent_terminal_z,trajectory_alpha_sweep,True,True,False,False,True,False,False,False,This trajectory alpha sweep tests whether a source-free blended mean closure can simultaneously preserve order and close terminal velocity. It remains diagnostic until one alpha passes terminal velocity and full-TFE gates.,"Lower-pair rows are 16 centered acceleration source-consistency equations plus (1-alpha)*mean_acceleration + alpha*mean_velocity closure rows. No endpoint source, terminal-row replacement, or projection is used.",8.2335150265865238e-06,9.4528460314046262e-12,2.5547841757444809e+00,1.9176232928232309e+00,0.75,0.75,True
