case,h,reference_h,alpha,steps,status,error_message,reference_completed,trajectory_completed,position_error_vs_source_free_mean_blend_reference,velocity_error_vs_source_free_mean_blend_reference,max_residual_norm,max_source_consistency_row_norm,max_blend_mean_closure_row_norm,max_source_free_lower_pair_row_norm,max_raw_terminal_endpoint_constraint_norm,max_raw_terminal_endpoint_velocity_constraint_norm,max_terminal_vs_gauss_position_delta_norm,max_terminal_vs_gauss_velocity_delta_norm,min_jacobian_rank,max_raw_jacobian_condition,max_scaled_jacobian_condition,max_condition_reduction_raw_to_scaled,max_raw_linear_residual_norm,max_scaled_linear_residual_norm,initial_z0_residual_norm,initial_z0_jacobian_rank,initial_z0_jacobian_condition,initial_z0_norm,max_terminal_z0_update_delta_norm,max_terminal_z0_norm,total_newton_iterations,max_newton_iterations,position_observed_order,velocity_observed_order,terminal_velocity_observed_power_h,residual_observed_power_h,row_families_substituted,stage_rows_substituted,source_consistency_rows,blend_mean_closure_rows,source_free_lower_pair_rows,lower_pair_row_formula,linear_solve_policy,output_policy,start_z0_policy,selection_source,external_endpoint_source_removed,endpoint_boundary_source_removed,terminal_row_replacement_used,projection_used,trajectory_h_sweep_present,one_step_h_sweep_present,accepted_h_sweep_present,full_tfe_stage_replacement,blocking_gap,notes,beta,beta_values,base_alpha,terminal_extrapolation_weights,terminal_extrapolation_blend_present,max_terminal_velocity_vs_component_blend_ratio,max_terminal_velocity_vs_scalar_alpha_ratio,max_terminal_velocity_vs_terminal_extrapolation_ratio,case_best_beta_by_terminal_velocity,global_best_beta_by_terminal_velocity,beta_count
cylindrical_smooth,0.04,0.005,0.75,2,paper_tfe_lower_pair_source_free_terminal_extrapolation_blend_trajectory_sweep_not_full_tfe,,True,True,8.7573862305324331e-08,1.2005057094060681e-05,2.6765831922637098e-12,1.1925365694810233e-15,1.8512497633824588e-16,1.2068200886684824e-15,1.5126156163448466e-07,3.5968356152716055e-06,3.1937596391727972e-03,1.4077485503924876e-02,132,3.4245572687639790e+06,3.8095132307410415e+02,1.7567344816177680e+04,2.8683144056206831e-14,3.8184080565964612e-15,4.4087858519822445e-15,20,1.6575151823470364e+01,1.9456826690375223e+01,2.0360782192799727e+00,1.9456826690375223e+01,13,5,5.1101296718588793e+00,6.3801927204654332e+00,9.3166491836787924e-01,-8.5679213380789532e-01,6,132,16,8,24,centered_acceleration_source_consistency_plus_beta_blend_of_mean_blend_and_terminal_velocity_extrapolation,iterative_equilibrated,raw_terminal_lobatto_node_no_projection,consistent_initial_acceleration_then_recurrent_terminal_z,beta_sweep_between_best_scalar_mean_blend_and_terminal_extrapolation,True,True,False,False,True,False,False,False,"The beta sweep is source-free and projection-free, but terminal velocity remains above the full-TFE acceptance tolerance and the rows are still a diagnostic basis family.",beta=0 is the trajectory-best scalar mean-blend row; beta=1 is terminal-velocity extrapolation. Intermediate rows test whether the smooth terminal improvement can be kept without worsening the sharp coarse row.,0,0;0.25;0.5;0.75;1,0.75,1.8783610896543049e-01;-6.6666666666666652e-01;1.4788305577012359e+00,True,4.8226311167621233e-01,4.8297000469548568e-01,3.0420343246612708e-01,1,0.5,5
cylindrical_smooth,0.02,0.005,0.75,4,paper_tfe_lower_pair_source_free_terminal_extrapolation_blend_trajectory_sweep_not_full_tfe,,True,True,4.1466638309410169e-09,2.3583076708320835e-08,3.8655856722096102e-12,7.5612891188673245e-16,2.1550862865473447e-16,7.6012961514487880e-16,7.3521214610242421e-08,1.8671210429577334e-06,8.0381261295980465e-04,4.0560695613461890e-03,132,1.3904486942007584e+07,4.9410476901793578e+02,7.7450115832681695e+04,3.9340356967026098e-14,3.8184080565964612e-15,4.4087858519822445e-15,20,1.6575151823470364e+01,1.9456826690375223e+01,1.2441475485096374e+00,1.9456826690375223e+01,21,5,5.1101296718588793e+00,6.3801927204654332e+00,9.3166491836787924e-01,-8.5679213380789532e-01,6,132,16,8,24,centered_acceleration_source_consistency_plus_beta_blend_of_mean_blend_and_terminal_velocity_extrapolation,iterative_equilibrated,raw_terminal_lobatto_node_no_projection,consistent_initial_acceleration_then_recurrent_terminal_z,beta_sweep_between_best_scalar_mean_blend_and_terminal_extrapolation,True,True,False,False,True,False,False,False,"The beta sweep is source-free and projection-free, but terminal velocity remains above the full-TFE acceptance tolerance and the rows are still a diagnostic basis family.",beta=0 is the trajectory-best scalar mean-blend row; beta=1 is terminal-velocity extrapolation. Intermediate rows test whether the smooth terminal improvement can be kept without worsening the sharp coarse row.,0,0;0.25;0.5;0.75;1,0.75,1.8783610896543049e-01;-6.6666666666666652e-01;1.4788305577012359e+00,True,4.8226311167621233e-01,4.8297000469548568e-01,3.0420343246612708e-01,1,0.5,5
cylindrical_smooth,0.01,0.005,0.75,8,paper_tfe_lower_pair_source_free_terminal_extrapolation_blend_trajectory_sweep_not_full_tfe,,True,True,7.3412477047850495e-11,1.7302364461770561e-09,8.7785141015577373e-12,5.5209204490740932e-16,3.5402010550761910e-17,5.5306986231994532e-16,4.3181261227380947e-08,9.8855859679984611e-07,2.0138320357231742e-04,1.0125503775136992e-03,132,5.6227309073422201e+07,6.3690574590303856e+02,2.4875806381938208e+05,5.6385814913823985e-14,3.8184080565964612e-15,4.4087858519822445e-15,20,1.6575151823470364e+01,1.9456826690375223e+01,6.2840022620456049e-01,1.9456826690375223e+01,37,5,5.1101296718588793e+00,6.3801927204654332e+00,9.3166491836787924e-01,-8.5679213380789532e-01,6,132,16,8,24,centered_acceleration_source_consistency_plus_beta_blend_of_mean_blend_and_terminal_velocity_extrapolation,iterative_equilibrated,raw_terminal_lobatto_node_no_projection,consistent_initial_acceleration_then_recurrent_terminal_z,beta_sweep_between_best_scalar_mean_blend_and_terminal_extrapolation,True,True,False,False,True,False,False,False,"The beta sweep is source-free and projection-free, but terminal velocity remains above the full-TFE acceptance tolerance and the rows are still a diagnostic basis family.",beta=0 is the trajectory-best scalar mean-blend row; beta=1 is terminal-velocity extrapolation. Intermediate rows test whether the smooth terminal improvement can be kept without worsening the sharp coarse row.,0,0;0.25;0.5;0.75;1,0.75,1.8783610896543049e-01;-6.6666666666666652e-01;1.4788305577012359e+00,True,4.8226311167621233e-01,4.8297000469548568e-01,3.0420343246612708e-01,1,0.5,5
cylindrical_smooth,0.04,0.005,0.75,2,paper_tfe_lower_pair_source_free_terminal_extrapolation_blend_trajectory_sweep_not_full_tfe,,True,True,8.7602744674919007e-08,1.2005508768995928e-05,2.3840480326644889e-12,1.0226773430130238e-15,1.0665799927503966e-16,1.0282241373949224e-15,1.4961219989952965e-07,3.4990264567399351e-06,3.1937596411177509e-03,1.4077485288776033e-02,132,3.3286460414829040e+06,3.7011898014801130e+02,1.8468127988670545e+04,2.9454959993749243e-14,3.8184080565964612e-15,4.4087858519822445e-15,20,1.6575151823470364e+01,1.9456826690375223e+01,2.0360787076719258e+00,1.9456826690375223e+01,13,5,5.0135313464586870e+00,6.2588131836732250e+00,9.2513735620087256e-01,-1.0260578117647903e+00,6,132,16,8,24,centered_acceleration_source_consistency_plus_beta_blend_of_mean_blend_and_terminal_velocity_extrapolation,iterative_equilibrated,raw_terminal_lobatto_node_no_projection,consistent_initial_acceleration_then_recurrent_terminal_z,beta_sweep_between_best_scalar_mean_blend_and_terminal_extrapolation,True,True,False,False,True,False,False,False,"The beta sweep is source-free and projection-free, but terminal velocity remains above the full-TFE acceptance tolerance and the rows are still a diagnostic basis family.",beta=0 is the trajectory-best scalar mean-blend row; beta=1 is terminal-velocity extrapolation. Intermediate rows test whether the smooth terminal improvement can be kept without worsening the sharp coarse row.,0.25,0;0.25;0.5;0.75;1,0.75,1.8783610896543049e-01;-6.6666666666666652e-01;1.4788305577012359e+00,True,4.6914887622334933e-01,4.6983654662063418e-01,2.9593119405032975e-01,1,0.5,5
cylindrical_smooth,0.02,0.005,0.75,4,paper_tfe_lower_pair_source_free_terminal_extrapolation_blend_trajectory_sweep_not_full_tfe,,True,True,4.1435306630259653e-09,2.3678362121920203e-08,3.3516153519415209e-12,8.7114915440557193e-16,1.2740981308373978e-16,8.7697635291171131e-16,7.1946297688690706e-08,1.8265878003969235e-06,8.0381261297536697e-04,4.0560695665955082e-03,132,1.3602074281091115e+07,4.8754148716619142e+02,5.9430133469187378e+04,3.4406641784897177e-14,3.8184080565964612e-15,4.4087858519822445e-15,20,1.6575151823470364e+01,1.9456826690375223e+01,1.2441473640800782e+00,1.9456826690375223e+01,21,5,5.0135313464586870e+00,6.2588131836732250e+00,9.2513735620087256e-01,-1.0260578117647903e+00,6,132,16,8,24,centered_acceleration_source_consistency_plus_beta_blend_of_mean_blend_and_terminal_velocity_extrapolation,iterative_equilibrated,raw_terminal_lobatto_node_no_projection,consistent_initial_acceleration_then_recurrent_terminal_z,beta_sweep_between_best_scalar_mean_blend_and_terminal_extrapolation,True,True,False,False,True,False,False,False,"The beta sweep is source-free and projection-free, but terminal velocity remains above the full-TFE acceptance tolerance and the rows are still a diagnostic basis family.",beta=0 is the trajectory-best scalar mean-blend row; beta=1 is terminal-velocity extrapolation. Intermediate rows test whether the smooth terminal improvement can be kept without worsening the sharp coarse row.,0.25,0;0.25;0.5;0.75;1,0.75,1.8783610896543049e-01;-6.6666666666666652e-01;1.4788305577012359e+00,True,4.6914887622334933e-01,4.6983654662063418e-01,2.9593119405032975e-01,1,0.5,5
cylindrical_smooth,0.01,0.005,0.75,8,paper_tfe_lower_pair_source_free_terminal_extrapolation_blend_trajectory_sweep_not_full_tfe,,True,True,8.3959737918697339e-11,2.0473851936311924e-09,9.8869732324412320e-12,5.7786610553273579e-16,7.9471805892058131e-17,5.8330524072334194e-16,4.2423322313604392e-08,9.7041843367565585e-07,2.0138320357224204e-04,1.0125503825139171e-03,132,5.6579523729680136e+07,6.3216128409912301e+02,1.9576751673242458e+05,6.0146248401534273e-14,3.8184080565964612e-15,4.4087858519822445e-15,20,1.6575151823470364e+01,1.9456826690375223e+01,6.2840010756856901e-01,1.9456826690375223e+01,37,5,5.0135313464586870e+00,6.2588131836732250e+00,9.2513735620087256e-01,-1.0260578117647903e+00,6,132,16,8,24,centered_acceleration_source_consistency_plus_beta_blend_of_mean_blend_and_terminal_velocity_extrapolation,iterative_equilibrated,raw_terminal_lobatto_node_no_projection,consistent_initial_acceleration_then_recurrent_terminal_z,beta_sweep_between_best_scalar_mean_blend_and_terminal_extrapolation,True,True,False,False,True,False,False,False,"The beta sweep is source-free and projection-free, but terminal velocity remains above the full-TFE acceptance tolerance and the rows are still a diagnostic basis family.",beta=0 is the trajectory-best scalar mean-blend row; beta=1 is terminal-velocity extrapolation. Intermediate rows test whether the smooth terminal improvement can be kept without worsening the sharp coarse row.,0.25,0;0.25;0.5;0.75;1,0.75,1.8783610896543049e-01;-6.6666666666666652e-01;1.4788305577012359e+00,True,4.6914887622334933e-01,4.6983654662063418e-01,2.9593119405032975e-01,1,0.5,5
cylindrical_smooth,0.04,0.005,0.75,2,paper_tfe_lower_pair_source_free_terminal_extrapolation_blend_trajectory_sweep_not_full_tfe,,True,True,8.7655903488241907e-08,1.2006317186200214e-05,2.3943578896728616e-12,1.2535541219652993e-15,1.0972607083685142e-16,1.2583472284379563e-15,1.4653708782696640e-07,3.3166909296349452e-06,3.1937596447360926e-03,1.4077484890817898e-02,132,4.1005458470198163e+06,3.6821680230216657e+02,1.5983073919498673e+04,2.5966893344681305e-14,3.8184080565964612e-15,4.4087858519822445e-15,20,1.6575151823470364e+01,1.9456826690375223e+01,2.0360796186079941e+00,1.9456826690375223e+01,13,5,4.8430769656515782e+00,6.0695847229439561e+00,9.1289065905508582e-01,-1.0277393237869941e+00,6,132,16,8,24,centered_acceleration_source_consistency_plus_beta_blend_of_mean_blend_and_terminal_velocity_extrapolation,iterative_equilibrated,raw_terminal_lobatto_node_no_projection,consistent_initial_acceleration_then_recurrent_terminal_z,beta_sweep_between_best_scalar_mean_blend_and_terminal_extrapolation,True,True,False,False,True,False,False,False,"The beta sweep is source-free and projection-free, but terminal velocity remains above the full-TFE acceptance tolerance and the rows are still a diagnostic basis family.",beta=0 is the trajectory-best scalar mean-blend row; beta=1 is terminal-velocity extrapolation. Intermediate rows test whether the smooth terminal improvement can be kept without worsening the sharp coarse row.,0.5,0;0.25;0.5;0.75;1,0.75,1.8783610896543049e-01;-6.6666666666666652e-01;1.4788305577012359e+00,True,4.4470135955135520e-01,4.4535319519691308e-01,2.8051011309507179e-01,1,0.5,5
cylindrical_smooth,0.02,0.005,0.75,4,paper_tfe_lower_pair_source_free_terminal_extrapolation_blend_trajectory_sweep_not_full_tfe,,True,True,4.1383278261997447e-09,2.3972272091579001e-08,3.5477390961693588e-12,6.7050655112888742e-16,4.9546016659894044e-17,6.7233462120704285e-16,6.8974482141004034e-08,1.7497082977952490e-06,8.0381261300561089e-04,4.0560695795022498e-03,132,1.7580179868114404e+07,4.8815788078577776e+02,5.0104064149148275e+04,3.4657436465752177e-14,3.8184080565964612e-15,4.4087858519822445e-15,20,1.6575151823470364e+01,1.9456826690375223e+01,1.2441469944849348e+00,1.9456826690375223e+01,21,5,4.8430769656515782e+00,6.0695847229439561e+00,9.1289065905508582e-01,-1.0277393237869941e+00,6,132,16,8,24,centered_acceleration_source_consistency_plus_beta_blend_of_mean_blend_and_terminal_velocity_extrapolation,iterative_equilibrated,raw_terminal_lobatto_node_no_projection,consistent_initial_acceleration_then_recurrent_terminal_z,beta_sweep_between_best_scalar_mean_blend_and_terminal_extrapolation,True,True,False,False,True,False,False,False,"The beta sweep is source-free and projection-free, but terminal velocity remains above the full-TFE acceptance tolerance and the rows are still a diagnostic basis family.",beta=0 is the trajectory-best scalar mean-blend row; beta=1 is terminal-velocity extrapolation. Intermediate rows test whether the smooth terminal improvement can be kept without worsening the sharp coarse row.,0.5,0;0.25;0.5;0.75;1,0.75,1.8783610896543049e-01;-6.6666666666666652e-01;1.4788305577012359e+00,True,4.4470135955135520e-01,4.4535319519691308e-01,2.8051011309507179e-01,1,0.5,5
cylindrical_smooth,0.01,0.005,0.75,8,paper_tfe_lower_pair_source_free_terminal_extrapolation_blend_trajectory_sweep_not_full_tfe,,True,True,1.0640408330561682e-10,2.6616790532435278e-09,9.9529035200555523e-12,7.3582439139841224e-16,4.9123684545999794e-17,7.3586330929895163e-16,4.0973798560566009e-08,9.3559967183693818e-07,2.0138320357255765e-04,1.0125503926855751e-03,132,7.2804181666670635e+07,6.3539783060643163e+02,1.5792836676614612e+05,8.5858392307550890e-14,3.8184080565964612e-15,4.4087858519822445e-15,20,1.6575151823470364e+01,1.9456826690375223e+01,6.2839987354438309e-01,1.9456826690375223e+01,37,5,4.8430769656515782e+00,6.0695847229439561e+00,9.1289065905508582e-01,-1.0277393237869941e+00,6,132,16,8,24,centered_acceleration_source_consistency_plus_beta_blend_of_mean_blend_and_terminal_velocity_extrapolation,iterative_equilibrated,raw_terminal_lobatto_node_no_projection,consistent_initial_acceleration_then_recurrent_terminal_z,beta_sweep_between_best_scalar_mean_blend_and_terminal_extrapolation,True,True,False,False,True,False,False,False,"The beta sweep is source-free and projection-free, but terminal velocity remains above the full-TFE acceptance tolerance and the rows are still a diagnostic basis family.",beta=0 is the trajectory-best scalar mean-blend row; beta=1 is terminal-velocity extrapolation. Intermediate rows test whether the smooth terminal improvement can be kept without worsening the sharp coarse row.,0.5,0;0.25;0.5;0.75;1,0.75,1.8783610896543049e-01;-6.6666666666666652e-01;1.4788305577012359e+00,True,4.4470135955135520e-01,4.4535319519691308e-01,2.8051011309507179e-01,1,0.5,5
cylindrical_smooth,0.04,0.005,0.75,2,paper_tfe_lower_pair_source_free_terminal_extrapolation_blend_trajectory_sweep_not_full_tfe,,True,True,8.7785830655797334e-08,1.2008157002102104e-05,2.3772183029403828e-12,1.2512540385132041e-15,4.8554911055272272e-17,1.2519302667809907e-15,1.3878049790099507e-07,2.8569007224125906e-06,3.1937596538177972e-03,1.4077483905145979e-02,132,8.2575857402207181e+06,6.1343070370623514e+02,1.5144085784921152e+04,1.7140026096996247e-14,3.8184080565964612e-15,4.4087858519822445e-15,20,1.6575151823470364e+01,1.9456826690375223e+01,2.0360819184209391e+00,1.9456826690375223e+01,13,5,4.5007163983082696e+00,5.7372404488282447e+00,8.8154554589631418e-01,-1.0134833442948241e+00,6,132,16,8,24,centered_acceleration_source_consistency_plus_beta_blend_of_mean_blend_and_terminal_velocity_extrapolation,iterative_equilibrated,raw_terminal_lobatto_node_no_projection,consistent_initial_acceleration_then_recurrent_terminal_z,beta_sweep_between_best_scalar_mean_blend_and_terminal_extrapolation,True,True,False,False,True,False,False,False,"The beta sweep is source-free and projection-free, but terminal velocity remains above the full-TFE acceptance tolerance and the rows are still a diagnostic basis family.",beta=0 is the trajectory-best scalar mean-blend row; beta=1 is terminal-velocity extrapolation. Intermediate rows test whether the smooth terminal improvement can be kept without worsening the sharp coarse row.,0.75,0;0.25;0.5;0.75;1,0.75,1.8783610896543049e-01;-6.6666666666666652e-01;1.4788305577012359e+00,True,3.8305276624010398e-01,3.8361423843217635e-01,2.4162322077853479e-01,1,0.5,5
