case,h,candidate_basis,status,error_message,candidate_kind,basis_row_count,closure_row_count,source_consistency_rows,velocity_stage_rows,target_row_count,stage_unknown_count,basis_rank,augmented_rank,independent_target_rank,basis_condition,target_jacobian_norm,projection_residual_norm,projection_relative_residual,max_row_relative_residual,min_row_relative_residual,basis_value_norm,closure_value_norm,velocity_basis_value_norm,target_bridge_value_norm,terminal_velocity_norm,residual_norm,min_jacobian_rank,stage_weight_vector,row_span_reproduces_terminal_bridge,stage_velocity_basis_spans_target,endpoint_boundary_source_removed,target_terminal_boundary_row_used,terminal_row_replacement_used,projection_used,accepted_h_sweep_present,full_tfe_stage_replacement,blocking_gap,next_repair_target,notes
cylindrical_smooth,0.04,uniform_velocity_closure,paper_tfe_lower_pair_velocity_basis_span_candidate_not_enough_not_full_tfe,,weighted_8row_velocity_closure,24,8,16,24,8,132,24,32,8,3.6643698932277509e+01,3.7127280938507345e-01,3.0900930460928960e-01,8.3229715938824400e-01,8.4939093845227442e-01,7.9377482288812973e-01,8.8413487578386703e-09,8.8413487578386554e-09,2.7386093150082900e-08,7.7090710015628417e-18,7.8453137228429296e-17,1.1410763597929276e-12,132,"1.0000000000000000e+00,1.0000000000000000e+00,1.0000000000000000e+00",False,False,True,True,False,False,False,False,The candidate stage-velocity row family is only a local tangent-space basis test; it is not yet a nonlinear source-free closure row in a solved trajectory method.,derive a different stage-local velocity weighting or nonlinear closure formula,"The target is the terminal-boundary bridge tangent from the centered bridge audit. The candidate basis uses source-consistency rows plus stage-local lower-pair velocity rows, so a successful upper bound identifies the velocity row space that must be compressed before a full-TFE stage replacement can be claimed."
cylindrical_smooth,0.04,sqrt_b_mean_velocity_closure,paper_tfe_lower_pair_velocity_basis_span_candidate_not_enough_not_full_tfe,,weighted_8row_velocity_closure,24,8,16,24,8,132,24,32,8,4.0725085175231577e+01,3.7127280938507345e-01,3.2115837666746910e-01,8.6501992214133006e-01,8.8311439957056415e-01,8.2524302484022238e-01,7.8813711984580779e-09,7.8813711984580613e-09,2.7386093150082900e-08,7.7090710015628417e-18,7.8453137228429296e-17,1.1410763597929276e-12,132,"5.2704627669472992e-01,6.6666666666666663e-01,5.2704627669472992e-01",False,False,True,True,False,False,False,False,The candidate stage-velocity row family is only a local tangent-space basis test; it is not yet a nonlinear source-free closure row in a solved trajectory method.,derive a different stage-local velocity weighting or nonlinear closure formula,"The target is the terminal-boundary bridge tangent from the centered bridge audit. The candidate basis uses source-consistency rows plus stage-local lower-pair velocity rows, so a successful upper bound identifies the velocity row space that must be compressed before a full-TFE stage replacement can be claimed."
cylindrical_smooth,0.04,quadrature_b_velocity_closure,paper_tfe_lower_pair_velocity_basis_span_candidate_not_enough_not_full_tfe,,weighted_8row_velocity_closure,24,8,16,24,8,132,24,32,8,6.6877778313471680e+01,3.7127280938507345e-01,3.3229875836758371e-01,8.9502584075025282e-01,9.1384083619345036e-01,8.5450260902788044e-01,6.3097279152236918e-09,6.3097279152236719e-09,2.7386093150082900e-08,7.7090710015628417e-18,7.8453137228429296e-17,1.1410763597929276e-12,132,"2.7777777777777779e-01,4.4444444444444442e-01,2.7777777777777779e-01",False,False,True,True,False,False,False,False,The candidate stage-velocity row family is only a local tangent-space basis test; it is not yet a nonlinear source-free closure row in a solved trajectory method.,derive a different stage-local velocity weighting or nonlinear closure formula,"The target is the terminal-boundary bridge tangent from the centered bridge audit. The candidate basis uses source-consistency rows plus stage-local lower-pair velocity rows, so a successful upper bound identifies the velocity row space that must be compressed before a full-TFE stage replacement can be claimed."
cylindrical_smooth,0.04,gauss_c_velocity_closure,paper_tfe_lower_pair_velocity_basis_span_candidate_not_enough_not_full_tfe,,weighted_8row_velocity_closure,24,8,16,24,8,132,24,32,8,4.1785897401049716e+01,3.7127280938507345e-01,2.1332310102755961e-01,5.7457237814123641e-01,5.8611644567355015e-01,5.4644135511590952e-01,9.9790297490357704e-09,9.9790297490357588e-09,2.7386093150082900e-08,7.7090710015628417e-18,7.8453137228429296e-17,1.1410763597929276e-12,132,"1.1270166537925830e-01,5.0000000000000000e-01,8.8729833462074170e-01",False,False,True,True,False,False,False,False,The candidate stage-velocity row family is only a local tangent-space basis test; it is not yet a nonlinear source-free closure row in a solved trajectory method.,derive a different stage-local velocity weighting or nonlinear closure formula,"The target is the terminal-boundary bridge tangent from the centered bridge audit. The candidate basis uses source-consistency rows plus stage-local lower-pair velocity rows, so a successful upper bound identifies the velocity row space that must be compressed before a full-TFE stage replacement can be claimed."
cylindrical_smooth,0.04,centered_linear_velocity_closure,paper_tfe_lower_pair_velocity_basis_span_candidate_not_enough_not_full_tfe,,weighted_8row_velocity_closure,24,8,16,24,8,132,24,32,8,8.5314149138668725e+01,3.7127280938507345e-01,2.5910686995691162e-01,6.9788808500698318e-01,7.0680723355211283e-01,6.7257850555652809e-01,5.6252960129045966e-09,5.6252960129045750e-09,2.7386093150082900e-08,7.7090710015628417e-18,7.8453137228429296e-17,1.1410763597929276e-12,132,"-3.8729833462074170e-01,0.0000000000000000e+00,3.8729833462074170e-01",False,False,True,True,False,False,False,False,The candidate stage-velocity row family is only a local tangent-space basis test; it is not yet a nonlinear source-free closure row in a solved trajectory method.,derive a different stage-local velocity weighting or nonlinear closure formula,"The target is the terminal-boundary bridge tangent from the centered bridge audit. The candidate basis uses source-consistency rows plus stage-local lower-pair velocity rows, so a successful upper bound identifies the velocity row space that must be compressed before a full-TFE stage replacement can be claimed."
cylindrical_smooth,0.04,centered_quadratic_velocity_closure,paper_tfe_lower_pair_velocity_basis_span_candidate_not_enough_not_full_tfe,,weighted_8row_velocity_closure,24,8,16,24,8,132,24,32,8,2.1876206409456134e+02,3.7127280938507345e-01,2.5863114205475085e-01,6.9660674177328752e-01,7.0677793735274697e-01,6.6875236330635068e-01,2.1786677783874750e-09,2.1786677783874183e-09,2.7386093150082900e-08,7.7090710015628417e-18,7.8453137228429296e-17,1.1410763597929276e-12,132,"1.5000000000000002e-01,0.0000000000000000e+00,1.5000000000000002e-01",False,False,True,True,False,False,False,False,The candidate stage-velocity row family is only a local tangent-space basis test; it is not yet a nonlinear source-free closure row in a solved trajectory method.,derive a different stage-local velocity weighting or nonlinear closure formula,"The target is the terminal-boundary bridge tangent from the centered bridge audit. The candidate basis uses source-consistency rows plus stage-local lower-pair velocity rows, so a successful upper bound identifies the velocity row space that must be compressed before a full-TFE stage replacement can be claimed."
cylindrical_smooth,0.04,endpoint_lagrange_velocity_closure,paper_tfe_lower_pair_velocity_basis_span_candidate_not_enough_not_full_tfe,,weighted_8row_velocity_closure,24,8,16,24,8,132,24,32,8,3.6940353145656744e+01,3.7127280938507345e-01,1.5588292509369070e-01,4.1986087091019214e-01,4.2399258662814171e-01,4.0719518468052707e-01,1.4956134605141525e-08,1.4956134605141518e-08,2.7386093150082900e-08,7.7090710015628417e-18,7.8453137228429296e-17,1.1410763597929276e-12,132,"1.8783610896543049e-01,-5.2704627669472981e-01,1.4788305577012359e+00",False,False,True,True,False,False,False,False,The candidate stage-velocity row family is only a local tangent-space basis test; it is not yet a nonlinear source-free closure row in a solved trajectory method.,derive a different stage-local velocity weighting or nonlinear closure formula,"The target is the terminal-boundary bridge tangent from the centered bridge audit. The candidate basis uses source-consistency rows plus stage-local lower-pair velocity rows, so a successful upper bound identifies the velocity row space that must be compressed before a full-TFE stage replacement can be claimed."
cylindrical_smooth,0.04,all_stage_velocity_rows,paper_tfe_lower_pair_velocity_basis_span_upper_bound_spans_not_full_tfe,,all_stage_velocity_upper_bound,40,24,16,24,8,132,40,40,0,4.7016191564520675e+01,3.7127280938507345e-01,7.8302221040952239e-16,2.1090211580708413e-15,3.5262165816140494e-15,1.4354571914492804e-15,2.7386093150082900e-08,2.7386093150082900e-08,2.7386093150082900e-08,7.7090710015628417e-18,7.8453137228429296e-17,1.1410763597929276e-12,132,all_stage_blocks,True,True,True,True,False,False,False,False,The candidate stage-velocity row family is only a local tangent-space basis test; it is not yet a nonlinear source-free closure row in a solved trajectory method.,derive an eight-row source-free compression of the stage-velocity basis,"The target is the terminal-boundary bridge tangent from the centered bridge audit. The candidate basis uses source-consistency rows plus stage-local lower-pair velocity rows, so a successful upper bound identifies the velocity row space that must be compressed before a full-TFE stage replacement can be claimed."
cylindrical_smooth,0.02,uniform_velocity_closure,paper_tfe_lower_pair_velocity_basis_span_candidate_not_enough_not_full_tfe,,weighted_8row_velocity_closure,24,8,16,24,8,132,24,32,8,3.6246182712046739e+01,2.6042001459760067e-01,2.2068950903258244e-01,8.4743681999093057e-01,8.4977589873401160e-01,8.4188692185323810e-01,7.1010058630447158e-11,7.1010058627991660e-11,3.2156011462016375e-10,5.6547617986413359e-18,7.0466756796527945e-17,2.5293403096553380e-12,132,"1.0000000000000000e+00,1.0000000000000000e+00,1.0000000000000000e+00",False,False,True,True,False,False,False,False,The candidate stage-velocity row family is only a local tangent-space basis test; it is not yet a nonlinear source-free closure row in a solved trajectory method.,derive a different stage-local velocity weighting or nonlinear closure formula,"The target is the terminal-boundary bridge tangent from the centered bridge audit. The candidate basis uses source-consistency rows plus stage-local lower-pair velocity rows, so a successful upper bound identifies the velocity row space that must be compressed before a full-TFE stage replacement can be claimed."
cylindrical_smooth,0.02,sqrt_b_mean_velocity_closure,paper_tfe_lower_pair_velocity_basis_span_candidate_not_enough_not_full_tfe,,weighted_8row_velocity_closure,24,8,16,24,8,132,24,32,8,4.1491552090449368e+01,2.6042001459760067e-01,2.2942975630925805e-01,8.8099893805693630e-01,8.8351000290525994e-01,8.7521635342578319e-01,7.3363055423804648e-11,7.3363055421427899e-11,3.2156011462016375e-10,5.6547617986413359e-18,7.0466756796527945e-17,2.5293403096553380e-12,132,"5.2704627669472992e-01,6.6666666666666663e-01,5.2704627669472992e-01",False,False,True,True,False,False,False,False,The candidate stage-velocity row family is only a local tangent-space basis test; it is not yet a nonlinear source-free closure row in a solved trajectory method.,derive a different stage-local velocity weighting or nonlinear closure formula,"The target is the terminal-boundary bridge tangent from the centered bridge audit. The candidate basis uses source-consistency rows plus stage-local lower-pair velocity rows, so a successful upper bound identifies the velocity row space that must be compressed before a full-TFE stage replacement can be claimed."
